latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
32.641159	-86.356987	1500	457	135.2	73	84	1344	6.8	120	0	1590471938
32.64006	-86.354462	1600	488	142.6	77	88.6	320	1.6	116	0	1590471944
32.638092	-86.349739	1500	457	164.8	89	102.4	0	0	115	0	1590471956
32.635574	-86.344574	1500	457	188.9	102	117.4	0	0	121	0	1590471966
32.633724	-86.341049	1500	457	194.5	105	120.8	0	0	122	0	1590471974
32.631863	-86.337296	1500	457	198.2	107	123.1	-128	-0.7	119	0	1590471980
32.62944	-86.332245	1500	457	201.9	109	125.4	-192	-1	118	0	1590471990
32.628067	-86.329361	1500	457	201.9	109	125.4	0	0	120	0	1590471996
32.626415	-86.326141	1500	457	200	108	124.3	128	0.7	120	0	1590472002
32.623718	-86.320511	1500	457	201.9	109	125.4	-128	-0.7	119	0	1590472014
32.620922	-86.314758	1500	457	200	108	124.3	-64	-0.3	120	0	1590472024
32.617859	-86.308426	1500	457	200	108	124.3	-64	-0.3	118	0	1590472036
32.616173	-86.30484	1500	457	200	108	124.3	0	0	119	0	1590472044
32.613602	-86.29953	1500	457	200	108	124.3	0	0	119	0	1590472054
32.610867	-86.294022	1500	457	201.9	109	125.4	0	0	120	0	1590472064
32.607147	-86.286728	1500	457	200	108	124.3	0	0	121	0	1590472078
32.604584	-86.281685	1500	457	200	108	124.3	0	0	121	0	1590472088
32.603119	-86.278877	1500	457	201.9	109	125.4	0	0	121	0	1590472094
32.600372	-86.273605	1500	457	200	108	124.3	64	0.3	122	0	1590472104
32.598904	-86.270874	1500	457	200	108	124.3	64	0.3	122	0	1590472110
32.596069	-86.265579	1500	457	200	108	124.3	0	0	122	0	1590472120
32.59314	-86.260201	1500	457	201.9	109	125.4	0	0	122	0	1590472132
32.582611	-86.240379	1500	457	201.9	109	125.4	0	0	121	0	1590472170
32.581146	-86.237511	1500	457	201.9	109	125.4	0	0	121	0	1590472176
32.57111	-86.218239	1400	427	181.5	98	112.8	-576	-2.9	121	0	1590472214
32.568832	-86.213837	1300	396	168.5	91	104.7	-512	-2.6	121	0	1590472226
32.566544	-86.208893	1200	366	163	88	101.3	-576	-2.9	118	0	1590472236
32.565571	-86.206749	1100	335	161.1	87	100.1	-576	-2.9	118	0	1590472242
