latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
36.265148	120.380714	0	0	0	0	0	0	0	89	0	1590472036
36.265041	120.380508	0	0	0	0	0	0	0	239	0	1590473203
36.264862	120.380157	0	0	5.6	3	3.5	0	0	73	0	1590473227
36.264801	120.379852	0	0	5.6	3	3.5	0	0	106	0	1590473250
36.264843	120.379578	0	0	3.7	2	2.3	0	0	137	0	1590473271
36.264473	120.379639	0	0	7.4	4	4.6	0	0	174	0	1590473526
36.264137	120.379669	0	0	13	7	8.1	0	0	174	0	1590473536
36.263706	120.379799	0	0	16.7	9	10.4	0	0	165	0	1590473548
36.263168	120.379974	0	0	20.4	11	12.7	0	0	165	0	1590473558
36.26276	120.379929	0	0	14.8	8	9.2	0	0	199	0	1590473570
36.262615	120.379456	0	0	14.8	8	9.2	0	0	255	0	1590473580
36.26247	120.378799	0	0	16.7	9	10.4	0	0	253	0	1590473594
36.262123	120.378494	0	0	14.8	8	9.2	0	0	199	0	1590473604
36.261726	120.378593	0	0	14.8	8	9.2	0	0	165	0	1590473616
36.261265	120.378754	0	0	16.7	9	10.4	0	0	165	0	1590473626
36.260712	120.378922	0	0	20.4	11	12.7	0	0	165	0	1590473638
36.260059	120.379128	0	0	24.1	13	15	0	0	165	0	1590473648
36.259361	120.379356	0	0	25.9	14	16.1	0	0	165	0	1590473660
36.258495	120.379631	0	0	29.6	16	18.4	0	0	165	0	1590473672
36.257675	120.379898	0	0	31.5	17	19.6	0	0	165	0	1590473682
36.256767	120.380173	0	0	33.3	18	20.7	0	0	165	0	1590473694
36.255829	120.38047	0	0	35.2	19	21.9	0	0	165	0	1590473704
36.254929	120.38076	0	0	33.3	18	20.7	0	0	165	0	1590473716
36.251526	120.380287	0	0	20.4	11	12.7	0	0	255	0	1590473784
36.251366	120.379517	0	0	24.1	13	15	0	0	255	0	1590473794
36.251949	120.37899	0	0	9.3	5	5.8	0	0	343	0	1590473827
36.257168	120.377312	151	46	51.9	28	32.2	0	0	345	0	1590473851
36.263401	120.375381	125	38	164.8	89	102.4	0	0	346	0	1590473862
36.28384	120.368958	1425	434	251.9	136	156.5	2560	13	345	0	1590473894
36.290123	120.366913	1875	572	246.3	133	153.1	2368	12	345	0	1590473906
36.296734	120.364693	2200	671	264.8	143	164.6	1792	9.1	345	0	1590473916
36.303947	120.36235	2525	770	285.2	154	177.2	1408	7.2	344	0	1590473926
36.310932	120.358208	2675	815	311.1	168	193.3	832	4.2	327	0	1590473936
36.314072	120.354309	2750	838	326	176	202.5	704	3.6	315	0	1590473942
36.317871	120.344353	2925	892	361.1	195	224.4	1088	5.5	289	0	1590473952
36.318604	120.337204	3000	914	385.2	208	239.4	512	2.6	275	0	1590473958
36.31778	120.328445	3125	953	413	223	256.6	1856	9.4	259	0	1590473965
36.313259	120.315369	3500	1067	446.3	241	277.3	1984	10.1	244	0	1590473976
36.304642	120.303207	3900	1189	481.5	260	299.2	2880	14.6	222	715	1590473986
36.299713	120.299477	4125	1257	494.5	267	307.3	2624	13.3	211	715	1590473992
36.285965	120.29509	4700	1433	513	277	318.8	3520	17.9	187	715	1590474002
36.27951	120.295502	5000	1524	516.7	279	321.1	3584	18.2	178	715	1590474008
36.271912	120.297607	5375	1638	520.4	281	323.4	3776	19.2	166	715	1590474014
36.259048	120.303154	6000	1829	524.1	283	325.7	3392	17.2	159	715	1590474024
36.246967	120.309525	6500	1981	533.4	288	331.4	3008	15.3	156	715	1590474034
36.220963	120.322952	7550	2301	550	297	341.8	3520	17.9	158	715	1590474055
36.207958	120.329216	8150	2484	550	297	341.8	3264	16.6	158	715	1590474064
36.188919	120.338173	8900	2713	557.5	301	346.4	3072	15.6	159	715	1590474079
36.174347	120.345001	9450	2880	564.9	305	351	3008	15.3	159	715	1590474090
36.133072	120.363983	10800	3292	594.5	321	369.4	1152	5.9	159	715	1590474120
36.118561	120.370621	10975	3345	618.6	334	384.4	1088	5.5	159	715	1590474131
35.867008	120.486122	17650	5380	720.4	389	447.7	2624	13.3	159	715	1590474289
35.816036	120.509384	19000	5791	720.4	389	447.7	1856	9.4	159	715	1590474320
35.743973	120.542107	19700	6005	768.6	415	477.6	64	0.3	159	715	1590474360
35.289368	120.879135	23100	7041	364.8	197	226.7	0	0	158	715	1590474610
35.270626	120.888351	23301	7102	366.7	198	227.9	0	0	158	715	1590474620
35.250458	120.8983	23474	7155	366.7	198	227.9	0	0	158	715	1590474631
35.14769	120.948936	23599	7193	470.4	254	292.3	0	0	158	715	1590474684
34.408108	121.31321	23600	7193	842.7	455	523.6	0	0	157	715	1590475061
34.281189	121.375214	23600	7193	844.5	456	524.8	0	0	157	715	1590475125
34.162174	121.433144	23600	7193	835.3	451	519	0	0	157	715	1590475186
34.035877	121.494431	23600	7193	835.3	451	519	0	0	157	715	1590475252
33.978699	121.522072	23600	7193	837.1	452	520.2	0	0	157	715	1590475281
33.80563	121.605721	23600	7193	837.1	452	520.2	0	0	158	715	1590475369
33.70079	121.656097	23600	7193	839	453	521.3	0	0	158	715	1590475423
33.503723	121.752632	23600	7193	837.1	452	520.2	64	0.3	157	715	1590475524
33.440708	121.783386	23599	7193	827.8	447	514.4	0	0	158	715	1590475556
33.374508	121.815567	23599	7193	829.7	448	515.5	0	0	158	715	1590475590
33.204128	121.898415	23600	7193	840.8	454	522.5	0	0	157	715	1590475679
33.085739	121.955658	23600	7193	835.3	451	519	0	0	157	715	1590475739
32.966766	122.013115	23600	7193	842.7	455	523.6	0	0	157	715	1590475802
32.844234	122.072121	23600	7193	839	453	521.3	0	0	157	715	1590475864
32.783569	122.101227	23600	7193	840.8	454	522.5	-64	-0.3	158	715	1590475895
