latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
-37.179596	139.791168	1250	381	213	115	132.3	448	2.3	181	0	1590472082
-37.183136	139.79126	1300	396	218.5	118	135.8	448	2.3	179	0	1590472088
-37.186348	139.791351	1350	411	220.4	119	136.9	448	2.3	179	0	1590472094
-37.189774	139.791443	1400	427	220.4	119	136.9	448	2.3	179	0	1590472100
-37.193344	139.791565	1425	434	222.2	120	138.1	256	1.3	178	0	1590472106
-37.196541	139.791718	1475	450	222.2	120	138.1	384	2	177	0	1590472112
-37.199894	139.791718	1500	457	224.1	121	139.2	320	1.6	187	0	1590472118
-37.205154	139.79126	1550	472	225.9	122	140.4	256	1.3	187	1200	1590472128
-37.208225	139.792191	1600	488	216.7	117	134.6	320	1.6	163	1200	1590472134
-37.211609	139.793488	1625	495	216.7	117	134.6	320	1.6	163	1200	1590472140
-37.214722	139.794708	1650	503	216.7	117	134.6	256	1.3	162	1200	1590472146
-37.217651	139.795944	1675	511	216.7	117	134.6	256	1.3	161	1200	1590472152
-37.220901	139.797409	1725	526	216.7	117	134.6	320	1.6	160	1200	1590472158
-37.224052	139.798874	1750	533	214.8	116	133.5	320	1.6	158	1200	1590472164
-37.226944	139.800323	1800	549	214.8	116	133.5	384	2	158	1200	1590472170
-37.230148	139.801956	1825	556	214.8	116	133.5	192	1	157	1200	1590472176
-37.23304	139.803467	1850	564	216.7	117	134.6	320	1.6	156	1200	1590472182
-37.236019	139.805145	1875	572	213	115	132.3	384	2	154	1200	1590472188
-37.23912	139.807098	1925	587	211.1	114	131.2	512	2.6	152	1200	1590472194
-37.24173	139.808853	1975	602	207.4	112	128.9	448	2.3	150	1200	1590472200
-37.244568	139.810959	2025	617	207.4	112	128.9	384	2	148	1200	1590472206
-37.24733	139.812973	2075	632	205.6	111	127.7	512	2.6	149	1200	1590472212
-37.250061	139.814926	2125	648	200	108	124.3	512	2.6	149	1200	1590472218
-37.252449	139.816666	2150	655	205.6	111	127.7	384	2	151	1200	1590472224
-37.255615	139.818695	2200	671	209.3	113	130	384	2	153	1200	1590472231
-37.258503	139.820313	2225	678	209.3	113	130	448	2.3	155	1200	1590472237
-37.261414	139.822128	2275	693	209.3	113	130	448	2.3	153	1200	1590472243
-37.26432	139.824066	2325	709	207.4	112	128.9	448	2.3	150	1200	1590472250
-37.266975	139.826096	2375	724	203.7	110	126.6	512	2.6	147	1200	1590472256
-37.269562	139.828262	2450	747	200	108	124.3	640	3.3	146	1200	1590472262
-37.272141	139.830399	2500	762	200	108	124.3	576	2.9	147	1200	1590472268
-37.27475	139.832428	2550	777	200	108	124.3	384	2	147	1200	1590472274
-37.277309	139.834457	2600	792	200	108	124.3	512	2.6	147	1200	1590472280
-37.279861	139.83667	2650	808	200	108	124.3	512	2.6	146	1200	1590472286
-37.282379	139.838776	2700	823	200	108	124.3	384	2	145	1200	1590472292
-37.28508	139.841003	2750	838	203.7	110	126.6	448	2.3	145	1200	1590472298
-37.287643	139.843155	2800	853	203.7	110	126.6	512	2.6	145	1200	1590472304
-37.290161	139.845322	2850	869	203.7	110	126.6	512	2.6	143	1200	1590472310
-37.292625	139.847778	2875	876	201.9	109	125.4	384	2	140	1200	1590472316
-37.294998	139.850525	2925	892	200	108	124.3	128	0.7	135	1200	1590472324
-37.299606	139.855713	2975	907	211.1	114	131.2	256	1.3	140	1200	1590472336
-37.3022	139.858292	3000	914	216.7	117	134.6	192	1	143	1200	1590472342
-37.306404	139.861755	3000	914	225.9	122	140.4	128	0.7	149	1200	1590472350
-37.309662	139.864014	3000	914	227.8	123	141.5	64	0.3	151	1200	1590472356
-37.312458	139.865875	3025	922	227.8	123	141.5	256	1.3	153	1200	1590472362
-37.315933	139.867996	3050	930	235.2	127	146.1	0	0	154	1200	1590472368
-37.319252	139.869873	3050	930	235.2	127	146.1	64	0.3	155	1200	1590472375
-37.3228	139.871918	3075	937	237.1	128	147.3	128	0.7	156	1200	1590472382
-37.325726	139.873505	3075	937	235.2	127	146.1	128	0.7	155	1200	1590472388
-37.3293	139.875534	3100	945	235.2	127	146.1	128	0.7	155	1200	1590472394
-37.332428	139.877274	3100	945	237.1	128	147.3	128	0.7	156	1200	1590472400
-37.33564	139.87912	3125	953	235.2	127	146.1	64	0.3	154	1200	1590472406
-37.339039	139.881271	3125	953	238.9	129	148.5	128	0.7	152	1200	1590472412
-37.342205	139.883301	3125	953	235.2	127	146.1	64	0.3	152	1200	1590472418
-37.345322	139.885452	3125	953	237.1	128	147.3	64	0.3	151	1200	1590472424
-37.348396	139.887726	3150	960	233.4	126	145	64	0.3	149	1200	1590472430
-37.351776	139.890259	3150	960	237.1	128	147.3	0	0	149	1200	1590472436
-37.354958	139.892563	3150	960	238.9	129	148.5	-64	-0.3	149	1200	1590472442
-37.357956	139.89476	3150	960	237.1	128	147.3	64	0.3	150	1200	1590472448
-37.361023	139.896927	3150	960	235.2	127	146.1	64	0.3	150	1200	1590472454
-37.364273	139.899261	3175	968	231.5	125	143.8	64	0.3	149	1200	1590472460
-37.367294	139.901474	3175	968	237.1	128	147.3	-64	-0.3	149	1200	1590472466
-37.370552	139.903839	3150	960	240.8	130	149.6	-256	-1.3	151	1200	1590472473
-37.376862	139.907913	3125	953	240.8	130	149.6	-192	-1	152	1200	1590472484
-37.380142	139.910172	3100	945	237.1	128	147.3	-64	-0.3	150	1200	1590472492
