latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
48.806671	1.409671	2925	892	0	0	0	0	0	248	0	1590472270
48.800468	1.388185	2999	914	0	0	0	320	1.6	247	0	1590472279
48.799313	1.3843	3025	922	259.3	140	161.1	320	1.6	246	7000	1590472296
48.795143	1.369506	3125	953	259.3	140	161.1	320	1.6	246	7000	1590472303
48.792465	1.35999	3199	975	251.9	136	156.5	320	1.6	247	7000	1590472315
48.789555	1.349496	3275	998	251.9	136	156.5	320	1.6	247	7000	1590472322
48.787777	1.343338	3325	1013	246.3	133	153.1	320	1.6	247	7000	1590472330
48.784985	1.333288	3399	1036	240.8	130	149.6	576	2.9	247	7000	1590472342
48.782192	1.323259	3474	1059	240.8	130	149.6	320	1.6	247	7000	1590472354
48.779629	1.31394	3550	1082	240.8	130	149.6	512	2.6	247	7000	1590472367
48.776718	1.303405	3610	1100	240.8	130	149.6	128	0.7	247	7000	1590472379
48.77599	1.300863	3649	1112	233.4	126	145	704	3.6	247	7000	1590472388
48.773899	1.293353	3700	1128	235.2	127	146.1	320	1.6	247	7000	1590472395
48.772308	1.287652	3749	1143	237.1	128	147.3	384	2	247	7000	1590472415
48.76672	1.267181	3900	1189	237.1	128	147.3	320	1.6	247	7000	1590472424
48.766098	1.264684	3925	1196	229.6	124	142.7	448	2.3	248	7000	1590472432
48.763657	1.255467	4000	1219	225.9	122	140.4	512	2.6	248	7000	1590472438
48.761219	1.245977	4074	1242	222.2	120	138.1	0	0	248	7000	1590472450
48.758621	1.235685	4163	1269	222.2	120	138.1	384	2	248	7000	1590472462
48.756241	1.225883	4245	1294	222.2	120	138.1	512	2.6	250	7000	1590472476
48.754642	1.219106	4289	1307	222.2	120	138.1	192	1	250	7000	1590472483
48.753132	1.212454	4340	1323	222.2	120	138.1	192	1	251	7000	1590472490
48.751831	1.206586	4375	1334	229.6	124	142.7	320	1.6	251	7000	1590472502
48.749523	1.196252	4457	1358	225.9	122	140.4	448	2.3	251	7000	1590472510
48.748108	1.189573	4500	1372	231.5	125	143.8	320	1.6	252	7000	1590472519
48.746025	1.179665	4586	1398	224.1	121	139.2	448	2.3	252	7000	1590472530
48.743847	1.169735	4661	1421	222.2	120	138.1	384	2	252	7000	1590472542
48.742397	1.162641	4716	1437	229.6	124	142.7	256	1.3	252	7000	1590472551
48.740986	1.155901	4758	1450	225.9	122	140.4	256	1.3	252	7000	1590472558
48.739563	1.149116	4825	1471	231.5	125	143.8	256	1.3	252	7000	1590472570
48.738304	1.14304	4875	1486	231.5	125	143.8	384	2	252	7000	1590472578
48.736282	1.133211	4950	1509	235.2	127	146.1	320	1.6	252	7000	1590472594
48.732002	1.112466	5100	1554	237.1	128	147.3	320	1.6	252	7000	1590472610
48.729908	1.102272	5181	1579	237.1	128	147.3	64	0.3	252	7000	1590472622
48.727661	1.091485	5274	1608	237.1	128	147.3	448	2.3	252	7000	1590472639
48.724934	1.078086	5371	1637	237.1	128	147.3	320	1.6	252	7000	1590472651
48.723534	1.070783	5424	1653	237.1	128	147.3	320	1.6	253	7000	1590472668
48.720409	1.054376	5546	1690	237.1	128	147.3	512	2.6	254	7000	1590472684
48.717762	1.041	5645	1721	237.1	128	147.3	576	2.9	254	7000	1590472695
48.715729	1.0299	5725	1745	237.1	128	147.3	448	2.3	255	7000	1590472708
48.714001	1.01979	5799	1768	237.1	128	147.3	320	1.6	255	7000	1590472720
48.712151	1.009211	5875	1791	237.1	128	147.3	320	1.6	255	7000	1590472731
48.710274	0.999208	5950	1814	237.1	128	147.3	320	1.6	255	7000	1590472742
48.708076	0.987401	6050	1844	237.1	128	147.3	576	2.9	255	7000	1590472755
48.706303	0.977904	6125	1867	237.1	128	147.3	320	1.6	255	7000	1590472766
48.704185	0.967886	6200	1890	237.1	128	147.3	384	2	253	7000	1590472778
48.702862	0.961207	6248	1904	237.1	128	147.3	320	1.6	253	7000	1590472798
48.699364	0.943833	6375	1943	237.1	128	147.3	320	1.6	253	7000	1590472811
48.696629	0.930651	6475	1974	229.6	124	142.7	448	2.3	253	7000	1590472827
48.69389	0.917959	6573	2003	231.5	125	143.8	384	2	252	7000	1590472840
48.691608	0.90657	6649	2027	231.5	125	143.8	384	2	252	7000	1590472851
48.690937	0.904244	6675	2035	231.5	125	143.8	576	2.9	252	7000	1590472863
48.686893	0.886749	6800	2073	227.8	123	141.5	256	1.3	250	7000	1590472875
48.686386	0.884731	6825	2080	227.8	123	141.5	512	2.6	250	7000	1590472888
48.682579	0.868076	6949	2118	224.1	121	139.2	384	2	250	7000	1590472899
48.680168	0.858397	7037	2145	222.2	120	138.1	192	1	250	7000	1590472910
48.677971	0.848829	7106	2166	222.2	120	138.1	192	1	250	7000	1590472923
48.676388	0.842045	7175	2187	222.2	120	138.1	384	2	250	7000	1590472934
48.673515	0.830102	7250	2210	222.2	120	138.1	320	1.6	250	7000	1590472946
48.670631	0.816916	7375	2248	222.2	120	138.1	384	2	251	7000	1590472963
48.668533	0.807353	7450	2271	222.2	120	138.1	384	2	251	7000	1590472976
48.66576	0.794623	7550	2301	222.2	120	138.1	448	2.3	251	7000	1590472992
48.663029	0.781699	7649	2331	218.5	118	135.8	320	1.6	253	7000	1590473006
48.660805	0.7711	7725	2355	218.5	118	135.8	256	1.3	252	7000	1590473019
48.659103	0.762197	7800	2377	218.5	118	135.8	320	1.6	253	7000	1590473031
48.656597	0.749316	7899	2408	225.9	122	140.4	384	2	254	7000	1590473046
48.655304	0.742999	7950	2423	224.1	121	139.2	320	1.6	253	7000	1590473058
48.652653	0.730105	8050	2454	222.2	120	138.1	320	1.6	253	7000	1590473070
48.650581	0.720616	8132	2479	222.2	120	138.1	384	2	253	7000	1590473082
48.648335	0.710576	8225	2507	222.2	120	138.1	512	2.6	252	7000	1590473094
48.646488	0.702666	8275	2522	222.2	120	138.1	320	1.6	251	7000	1590473106
48.644955	0.696115	8350	2545	222.2	120	138.1	448	2.3	251	7000	1590473122
