latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
-34.793701	138.637207	175	53	129.6	70	80.6	832	4.2	26	0	1590472404
-34.791916	138.638443	275	84	129.6	70	80.6	1024	5.2	30	0	1590472411
-34.788391	138.641129	425	130	135.2	73	84	1088	5.5	33	0	1590472423
-34.785049	138.643646	625	191	127.8	69	79.4	832	4.2	32	0	1590472434
-34.783367	138.645004	700	213	129.6	70	80.6	960	4.9	34	0	1590472440
-34.781693	138.646255	800	244	129.6	70	80.6	960	4.9	25	440	1590472446
-34.779827	138.646606	875	267	131.5	71	81.7	1024	5.2	2	440	1590472452
-34.777725	138.645996	925	282	150	81	93.2	-192	-1	339	440	1590472458
-34.775482	138.644211	950	290	174.1	94	108.2	-192	-1	322	440	1590472464
-34.773651	138.641693	950	290	190.8	103	118.5	-64	-0.3	306	440	1590472471
-34.772232	138.638657	925	282	198.2	107	123.1	-128	-0.7	297	440	1590472477
-34.770905	138.634964	925	282	205.6	111	127.7	-192	-1	292	440	1590472483
-34.770172	138.631378	900	274	213	115	132.3	192	1	278	440	1590472489
-34.770237	138.627609	925	282	220.4	119	136.9	0	0	265	440	1590472495
-34.771133	138.622238	900	274	227.8	123	141.5	0	0	255	440	1590472502
-34.772148	138.618164	900	274	229.6	124	142.7	64	0.3	251	440	1590472509
-34.773651	138.613327	925	282	231.5	125	143.8	64	0.3	249	440	1590472516
-34.77494	138.609589	925	282	231.5	125	143.8	128	0.7	246	440	1590472522
-34.776993	138.603577	925	282	231.5	125	143.8	64	0.3	247	440	1590472531
-34.778275	138.599594	925	282	227.8	123	141.5	64	0.3	248	440	1590472537
-34.779549	138.595444	950	290	227.8	123	141.5	-64	-0.3	250	440	1590472543
-34.780666	138.591614	925	282	227.8	123	141.5	-128	-0.7	250	440	1590472549
-34.781754	138.587708	925	282	229.6	124	142.7	-64	-0.3	251	440	1590472556
-34.783813	138.5793	925	282	227.8	123	141.5	0	0	254	440	1590472568
-34.785004	138.572525	950	290	216.7	117	134.6	448	2.3	265	440	1590472577
-34.780293	138.559341	900	274	209.3	113	130	-256	-1.3	299	440	1590472601
-34.778687	138.556046	900	274	209.3	113	130	-128	-0.7	300	440	1590472607
-34.777084	138.552734	875	267	211.1	114	131.2	0	0	301	440	1590472613
-34.775314	138.549622	900	274	209.3	113	130	-64	-0.3	305	440	1590472620
-34.771542	138.543716	900	274	196.3	106	122	128	0.7	311	440	1590472632
-34.768982	138.540573	875	267	190.8	103	118.5	0	0	314	440	1590472639
-34.76651	138.537872	875	267	190.8	103	118.5	-64	-0.3	319	440	1590472645
-34.764839	138.536224	875	267	190.8	103	118.5	128	0.7	320	440	1590472651
-34.760559	138.532272	875	267	187.1	101	116.2	0	0	323	440	1590472662
-34.758228	138.530212	875	267	188.9	102	117.4	128	0.7	324	440	1590472668
-34.753757	138.526321	875	267	187.1	101	116.2	64	0.3	324	440	1590472680
-34.749069	138.522293	925	282	183.3	99	113.9	192	1	323	440	1590472692
-34.744587	138.51825	950	290	179.6	97	111.6	448	2.3	324	440	1590472703
-34.742386	138.516464	1075	328	170.4	92	105.9	1408	7.2	325	440	1590472709
-34.740417	138.514893	1175	358	159.3	86	99	1088	5.5	327	440	1590472715
-34.738312	138.513275	1300	396	148.2	80	92.1	1152	5.9	328	440	1590472722
-34.736488	138.511963	1425	434	140.8	76	87.5	1152	5.9	329	440	1590472729
-34.734718	138.510651	1500	457	138.9	75	86.3	960	4.9	327	440	1590472735
-34.73291	138.509354	1600	488	135.2	73	84	832	4.2	329	440	1590472741
-34.729294	138.50705	1750	533	138.9	75	86.3	640	3.3	333	440	1590472752
-34.727364	138.505951	1800	549	142.6	77	88.6	576	2.9	335	440	1590472758
-34.723267	138.503845	1950	594	144.5	78	89.8	960	4.9	337	440	1590472770
-34.721218	138.502808	2050	625	140.8	76	87.5	768	3.9	337	440	1590472776
-34.719177	138.501892	2125	648	144.5	78	89.8	576	2.9	339	440	1590472783
-34.715122	138.500351	2275	693	144.5	78	89.8	768	3.9	344	440	1590472795
-34.710464	138.498856	2350	716	166.7	90	103.6	320	1.6	345	440	1590472806
-34.707672	138.497894	2350	716	177.8	96	110.5	-192	-1	341	440	1590472813
-34.704025	138.495956	2350	716	185.2	100	115.1	-128	-0.7	334	440	1590472822
-34.701324	138.494324	2350	716	187.1	101	116.2	-64	-0.3	332	440	1590472828
-34.69899	138.492752	2325	709	188.9	102	117.4	-64	-0.3	331	440	1590472834
-34.694965	138.490112	2325	709	190.8	103	118.5	-192	-1	330	440	1590472843
-34.692543	138.488159	2300	701	194.5	105	120.8	-128	-0.7	323	440	1590472849
-34.690338	138.486023	2300	701	190.8	103	118.5	128	0.7	321	1200	1590472855
-34.688076	138.483749	2275	693	192.6	104	119.7	128	0.7	319	1200	1590472861
-34.68576	138.481323	2300	701	192.6	104	119.7	128	0.7	320	1200	1590472867
-34.683464	138.479126	2300	701	188.9	102	117.4	256	1.3	321	1200	1590472874
-34.67923	138.475113	2350	716	183.3	99	113.9	-128	-0.7	321	1200	1590472885
-34.677181	138.473175	2325	709	187.1	101	116.2	0	0	321	1200	1590472891
-34.674713	138.470993	2325	709	185.2	100	115.1	0	0	324	1200	1590472897
-34.672062	138.468872	2325	709	187.1	101	116.2	-192	-1	327	1200	1590472905
-34.667591	138.465393	2300	701	187.1	101	116.2	64	0.3	327	1200	1590472915
-34.665264	138.46344	2300	701	188.9	102	117.4	128	0.7	322	1200	1590472921
-34.66275	138.461029	2350	716	185.2	100	115.1	256	1.3	323	1200	1590472928
-34.660263	138.458847	2350	716	179.6	97	111.6	192	1	325	1200	1590472935
-34.657928	138.457108	2350	716	177.8	96	110.5	-256	-1.3	328	1200	1590472941
-34.655411	138.455261	2325	709	185.2	100	115.1	-192	-1	329	1200	1590472947
-34.653076	138.45369	2325	709	187.1	101	116.2	-64	-0.3	331	1200	1590472953
-34.65033	138.452011	2325	709	185.2	100	115.1	256	1.3	333	1200	1590472960
-34.648041	138.450546	2350	716	183.3	99	113.9	128	0.7	332	1200	1590472966
-34.643051	138.447632	2350	716	183.3	99	113.9	64	0.3	335	1200	1590472978
-34.637844	138.444839	2350	716	183.3	99	113.9	0	0	336	1200	1590472990
-34.635315	138.443604	2350	716	181.5	98	112.8	256	1.3	337	1200	1590472996
-34.632751	138.442139	2375	724	183.3	99	113.9	64	0.3	333	1200	1590473002
-34.630325	138.440628	2375	724	185.2	100	115.1	-128	-0.7	332	1200	1590473008
-34.627834	138.439117	2375	724	183.3	99	113.9	256	1.3	334	1200	1590473014
-34.625648	138.437927	2375	724	175.9	95	109.3	192	1	335	1200	1590473020
-34.622955	138.436539	2375	724	172.2	93	107	-192	-1	337	1200	1590473026
-34.618378	138.433731	2325	709	177.8	96	110.5	-512	-2.6	330	1200	1590473038
