latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
61.766327	2.867432	2575	785	181.5	98	112.8	64	0.3	113	0	1590472569
61.764221	2.878222	2575	785	188.9	102	117.4	0	0	111	0	1590472582
61.763229	2.884318	2575	785	194.5	105	120.8	0	0	108	0	1590472588
61.76104	2.896627	2625	800	216.7	117	134.6	-64	-0.3	111	0	1590472599
61.759598	2.903824	2600	792	237.1	128	147.3	-192	-1	113	0	1590472606
61.758133	2.911279	2600	792	250	135	155.4	-192	-1	111	5160	1590472613
61.755386	2.926974	2575	785	264.8	143	164.6	-64	-0.3	109	5160	1590472625
61.751682	2.950032	2575	785	266.7	144	165.7	0	0	108	5160	1590472641
61.750149	2.95929	2575	785	266.7	144	165.7	0	0	109	5160	1590472648
61.748932	2.966309	2575	785	264.8	143	164.6	64	0.3	110	5160	1590472654
61.74754	2.973938	2575	785	264.8	143	164.6	0	0	110	5160	1590472660
61.745911	2.982483	2575	785	264.8	143	164.6	0	0	111	5160	1590472666
61.744469	2.990316	2575	785	264.8	143	164.6	-64	-0.3	111	5160	1590472672
61.743023	2.998047	2575	785	264.8	143	164.6	0	0	111	5160	1590472678
61.741535	3.006185	2575	785	264.8	143	164.6	0	0	110	5160	1590472684
61.740234	3.013687	2575	785	264.8	143	164.6	-64	-0.3	110	5160	1590472691
61.616264	3.697001	2575	785	268.5	145	166.9	0	0	111	0	1590473212
61.612427	3.717597	2575	785	268.5	145	166.9	0	0	111	0	1590473229
61.609001	3.736369	2575	785	268.5	145	166.9	0	0	110	0	1590473243
61.605881	3.753302	2575	785	268.5	145	166.9	0	0	111	5160	1590473256
61.603134	3.768016	2575	785	268.5	145	166.9	0	0	111	5160	1590473266
61.601669	3.775962	2575	785	268.5	145	166.9	0	0	111	5160	1590473272
61.600433	3.782632	2575	785	270.4	146	168	0	0	111	5160	1590473278
61.598667	3.792012	2575	785	270.4	146	168	0	0	111	5160	1590473284
61.59713	3.800151	2575	785	272.2	147	169.2	0	0	111	5160	1590473290
61.594757	3.81304	2575	785	270.4	146	168	0	0	111	5160	1590473300
61.593292	3.820986	2600	792	268.5	145	166.9	448	2.3	110	5160	1590473306
61.591873	3.828735	2650	808	263	142	163.4	512	2.6	111	5160	1590473312
61.5905	3.835896	2700	823	261.1	141	162.3	512	2.6	111	5160	1590473318
61.589127	3.843253	2750	838	259.3	140	161.1	384	2	111	5160	1590473324
61.587479	3.851885	2775	846	259.3	140	161.1	192	1	111	5160	1590473331
61.586014	3.859831	2800	853	261.1	141	162.3	128	0.7	111	5160	1590473337
61.583313	3.874446	2775	846	268.5	145	166.9	0	0	110	5160	1590473348
61.580276	3.890991	2775	846	272.2	147	169.2	0	0	110	5160	1590473360
61.578781	3.89946	2775	846	272.2	147	169.2	0	0	111	5160	1590473367
61.577251	3.907471	2775	846	272.2	147	169.2	0	0	111	5160	1590473373
61.57576	3.915351	2775	846	272.2	147	169.2	0	0	111	5160	1590473379
61.574295	3.923002	2775	846	270.4	146	168	0	0	112	5160	1590473385
61.572647	3.931438	2775	846	272.2	147	169.2	0	0	111	5160	1590473391
61.571201	3.939006	2775	846	272.2	147	169.2	0	0	111	5160	1590473397
61.569672	3.947133	2775	846	272.2	147	169.2	0	0	111	5160	1590473403
61.568207	3.955078	2775	846	272.2	147	169.2	0	0	111	5160	1590473409
61.566788	3.962827	2775	846	272.2	147	169.2	0	0	111	5160	1590473415
61.565277	3.971067	2775	846	272.2	147	169.2	0	0	111	5160	1590473422
61.562122	3.987935	2775	846	272.2	147	169.2	0	0	111	5160	1590473434
61.559284	4.002889	2775	846	270.4	146	168	0	0	111	5160	1590473445
61.557632	4.011775	2775	846	270.4	146	168	0	0	111	5160	1590473452
61.556072	4.019775	2775	846	270.4	146	168	0	0	111	5160	1590473458
61.554581	4.027608	2775	846	270.4	146	168	0	0	111	5160	1590473464
61.553185	4.035034	2775	846	272.2	147	169.2	0	0	111	5160	1590473470
61.550251	4.051005	2775	846	270.4	146	168	0	0	111	5160	1590473482
61.548763	4.058939	2775	846	272.2	147	169.2	0	0	111	5160	1590473488
61.545685	4.075241	2775	846	272.2	147	169.2	0	0	111	5160	1590473500
