latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
20.520241	-103.305214	0	0	35.2	19	21.9	0	0	264	0	1590472624
20.520206	-103.305771	0	0	29.6	16	18.4	0	0	264	0	1590472630
20.520006	-103.306213	0	0	48.2	26	29.9	0	0	208	0	1590472638
20.51976	-103.306107	0	0	42.6	23	26.5	0	0	135	0	1590472644
20.519587	-103.305794	0	0	31.5	17	19.6	0	0	112	0	1590472650
20.519314	-103.305115	0	0	48.2	26	29.9	0	0	112	0	1590472656
20.51897	-103.304306	0	0	50	27	31.1	0	0	115	0	1590472662
20.518616	-103.303452	0	0	50	27	31.1	0	0	115	1052	1590472670
20.518078	-103.3022	0	0	50	27	31.1	0	0	115	1052	1590472680
20.517712	-103.301315	0	0	50	27	31.1	0	0	115	1052	1590472686
20.517376	-103.300514	0	0	50	27	31.1	0	0	115	1052	1590472694
20.516712	-103.298935	0	0	48.2	26	29.9	0	0	115	1052	1590472706
20.516384	-103.298164	0	0	48.2	26	29.9	0	0	115	1052	1590472712
20.516106	-103.29744	0	0	38.9	21	24.2	0	0	104	1052	1590472718
20.516006	-103.296913	0	0	27.8	15	17.3	0	0	98	1052	1590472726
20.515816	-103.296631	0	0	31.5	17	19.6	0	0	160	1052	1590472732
20.515839	-103.29689	0	0	24.1	13	15	0	0	295	1052	1590472746
20.516258	-103.297844	0	0	79.6	43	49.5	0	0	295	1052	1590472774
20.517105	-103.299858	0	0	144.5	78	89.8	0	0	292	1052	1590472782
20.53652	-103.352982	6575	2004	363	196	225.6	640	3.3	286	1052	1590472852
20.540152	-103.365768	6775	2065	405.6	219	252	960	4.9	286	1052	1590472865
20.543884	-103.378555	7100	2164	429.7	232	267	1856	9.4	287	1052	1590472878
20.548416	-103.393066	7525	2294	457.4	247	284.2	2368	12	291	1052	1590472890
20.551529	-103.399742	7750	2362	472.3	255	293.4	2304	11.7	301	1052	1590472896
20.556931	-103.406654	8000	2438	490.8	265	305	2112	10.7	314	1052	1590472904
20.562515	-103.411758	8225	2507	501.9	271	311.9	2560	13	323	1052	1590472910
20.569805	-103.416008	8500	2591	509.3	275	316.5	2752	14	336	1052	1590472916
20.577209	-103.418427	8800	2682	513	277	318.8	2880	14.6	347	1052	1590472922
20.585213	-103.41925	9100	2774	516.7	279	321.1	3072	15.6	359	1052	1590472928
20.612549	-103.408714	10225	3117	518.6	280	322.2	2880	14.6	39	1052	1590472951
20.618271	-103.402779	10475	3193	527.8	285	328	1664	8.5	48	1052	1590472958
20.622711	-103.396156	10625	3239	540.8	292	336	1408	7.2	58	1052	1590472964
20.626644	-103.387444	10850	3307	550	297	341.8	2560	13	67	1052	1590472970
20.629765	-103.379448	11100	3383	553.7	299	344.1	2240	11.4	67	1052	1590472976
20.633194	-103.371048	11325	3452	559.3	302	347.5	2816	14.3	66	1052	1590472982
20.636719	-103.36261	11675	3559	557.5	301	346.4	3392	17.2	65	1052	1590472988
20.64592	-103.340935	12475	3802	559.3	302	347.5	2816	14.3	65	1052	1590473005
20.664322	-103.297379	13725	4183	579.7	313	360.2	2240	11.4	65	1052	1590473036
20.683346	-103.252357	14975	4564	596.3	322	370.6	2688	13.7	65	1052	1590473066
20.70314	-103.205223	15725	4793	650.1	351	403.9	896	4.6	66	1052	1590473098
20.725296	-103.152397	16275	4961	711.2	384	441.9	2112	10.7	65	1052	1590473130
20.748367	-103.097221	17575	5357	720.4	389	447.7	2624	13.3	66	1052	1590473160
20.771841	-103.041023	18825	5738	733.4	396	455.7	2240	11.4	66	1052	1590473193
20.817835	-102.930855	21025	6408	759.3	410	471.8	2304	11.7	66	1052	1590473254
20.843672	-102.880768	22050	6721	763	412	474.1	1920	9.8	56	1052	1590473282
20.850723	-102.869995	22250	6782	764.9	413	475.3	1856	9.4	54	1052	1590473288
20.858276	-102.859398	22450	6843	764.9	413	475.3	1792	9.1	52	1052	1590473294
20.934631	-102.755714	24025	7323	811.2	438	504	1472	7.5	51	1052	1590473358
21.014145	-102.647713	25025	7628	827.8	447	514.4	0	0	52	1052	1590473420
21.093338	-102.539398	25050	7635	824.1	445	512.1	64	0.3	51	1052	1590473482
21.171957	-102.432503	25025	7628	824.1	445	512.1	64	0.3	51	1052	1590473543
21.251375	-102.324272	25050	7635	833.4	450	517.9	0	0	51	1052	1590473606
21.331192	-102.214699	25025	7628	831.5	449	516.7	0	0	52	1052	1590473668
21.410398	-102.105812	25050	7635	839	453	521.3	-64	-0.3	52	1052	1590473730
21.490841	-101.995186	25025	7628	839	453	521.3	0	0	52	1052	1590473792
21.571888	-101.883545	25050	7635	840.8	454	522.5	0	0	52	1052	1590473854
21.650188	-101.775307	25050	7635	839	453	521.3	0	0	52	1052	1590473916
21.730133	-101.66468	24975	7612	809.3	437	502.9	-832	-4.2	52	1052	1590473978
21.803192	-101.563309	23575	7186	731.5	395	454.6	-2176	-11.1	52	1052	1590474040
21.870939	-101.469322	21325	6500	713	385	443.1	-2048	-10.4	52	1052	1590474102
21.93709	-101.377205	19250	5867	687.1	371	426.9	-2560	-13	52	1052	1590474164
22.000868	-101.288246	16875	5144	661.2	357	410.8	-1984	-10.1	52	1052	1590474226
22.034134	-101.241959	16075	4900	620.4	335	385.5	-512	-2.6	52	1052	1590474258
