latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
40.779293	-76.36216	1300	396	124.1	67	77.1	896	4.6	252	0	1590472716
40.778915	-76.364746	1400	427	140.8	76	87.5	896	4.6	261	0	1590472722
40.780739	-76.376205	1900	579	163	88	101.3	1216	6.2	296	0	1590472746
40.78204	-76.378952	1900	579	168.5	91	104.7	704	3.6	306	0	1590472752
40.783905	-76.381653	2000	610	187.1	101	116.2	320	1.6	315	0	1590472758
40.785954	-76.384193	2100	640	200	108	124.3	384	2	318	213	1590472764
40.788467	-76.387062	2100	640	207.4	112	128.9	384	2	319	213	1590472770
40.790726	-76.389648	2100	640	214.8	116	133.5	0	0	318	213	1590472776
40.795914	-76.395805	2100	640	222.2	120	138.1	128	0.7	317	213	1590472788
40.798737	-76.399292	2100	640	225.9	122	140.4	64	0.3	317	213	1590472796
40.802902	-76.404175	2100	640	229.6	124	142.7	64	0.3	318	213	1590472806
40.826935	-76.433899	2100	640	225.9	122	140.4	64	0.3	315	213	1590472862
40.829384	-76.437004	2100	640	222.2	120	138.1	64	0.3	316	213	1590472868
40.83165	-76.439819	2100	640	225.9	122	140.4	128	0.7	316	213	1590472874
40.834579	-76.443481	2100	640	231.5	125	143.8	-64	-0.3	317	213	1590472880
40.837234	-76.446716	2100	640	235.2	127	146.1	-128	-0.7	316	213	1590472887
40.839798	-76.449951	2100	640	235.2	127	146.1	-192	-1	316	213	1590472893
40.842499	-76.453369	2100	640	231.5	125	143.8	0	0	315	213	1590472900
40.844933	-76.456413	2100	640	227.8	123	141.5	192	1	316	213	1590472906
40.84877	-76.460999	2100	640	225.9	122	140.4	64	0.3	318	213	1590472914
40.85083	-76.463379	2100	640	225.9	122	140.4	64	0.3	318	213	1590472920
40.862904	-76.477951	2100	640	231.5	125	143.8	64	0.3	315	213	1590472947
40.882828	-76.502113	2100	640	227.8	123	141.5	0	0	317	213	1590472994
40.885849	-76.505859	2100	640	227.8	123	141.5	0	0	317	213	1590473001
40.888691	-76.509285	2100	640	227.8	123	141.5	0	0	317	213	1590473008
40.891624	-76.512909	2100	640	229.6	124	142.7	0	0	316	213	1590473014
40.894558	-76.516533	2100	640	229.6	124	142.7	-64	-0.3	316	213	1590473022
40.897156	-76.519653	2100	640	229.6	124	142.7	0	0	316	213	1590473028
40.900051	-76.523209	2100	640	227.8	123	141.5	0	0	317	213	1590473035
40.905304	-76.529663	2100	640	227.8	123	141.5	0	0	317	213	1590473048
40.925934	-76.556168	1700	518	225.9	122	140.4	-768	-3.9	317	213	1590473099
40.930801	-76.56189	1600	488	225.9	122	140.4	-768	-3.9	318	213	1590473109
40.933521	-76.565094	1500	457	220.4	119	136.9	-576	-2.9	318	213	1590473116
40.936157	-76.568176	1400	427	214.8	116	133.5	-576	-2.9	318	213	1590473122
40.938736	-76.571213	1400	427	209.3	113	130	-576	-2.9	319	213	1590473128
40.941158	-76.573898	1400	427	200	108	124.3	-448	-2.3	319	213	1590473136
40.943577	-76.576645	1300	396	190.8	103	118.5	-384	-2	318	213	1590473143
40.948105	-76.581909	1200	366	172.2	93	107	-192	-1	318	213	1590473154
40.950047	-76.584129	1100	335	164.8	89	102.4	-192	-1	318	213	1590473162
40.952095	-76.586632	1100	335	155.6	84	96.7	-128	-0.7	317	213	1590473168
40.953865	-76.588814	1100	335	146.3	79	90.9	-256	-1.3	317	213	1590473174
40.95554	-76.590813	1100	335	137	74	85.2	-384	-2	317	213	1590473180
40.957123	-76.592682	1100	335	129.6	70	80.6	-384	-2	318	213	1590473188
40.958633	-76.594421	1000	305	124.1	67	77.1	-448	-2.3	319	213	1590473194
40.960098	-76.59613	1000	305	116.7	63	72.5	-448	-2.3	318	213	1590473200
40.961563	-76.597839	900	274	113	61	70.2	-448	-2.3	318	213	1590473207
40.962845	-76.599365	900	274	98.2	53	61	-512	-2.6	318	213	1590473214
40.964062	-76.6008	900	274	85.2	46	52.9	-512	-2.6	318	213	1590473221
40.965782	-76.602859	600	183	61.1	33	38	-640	-3.3	317	213	1590473234
40.962849	-76.608231	900	274	129.6	70	80.6	960	4.9	161	0	1590474574
40.960831	-76.607361	900	274	138.9	75	86.3	1024	5.2	161	0	1590474580
40.957993	-76.606079	1100	335	148.2	80	92.1	896	4.6	162	0	1590474588
40.955521	-76.604919	1100	335	157.4	85	97.8	960	4.9	160	0	1590474596
40.953186	-76.603638	1300	396	159.3	86	99	1216	6.2	151	0	1590474602
40.951263	-76.60144	1400	427	163	88	101.3	448	2.3	134	0	1590474608
40.949341	-76.598938	1400	427	181.5	98	112.8	-192	-1	137	0	1590474614
40.947021	-76.596428	1400	427	192.6	104	119.7	192	1	142	213	1590474620
40.94437	-76.593933	1400	427	198.2	107	123.1	192	1	145	213	1590474626
40.941574	-76.591499	1400	427	200	108	124.3	320	1.6	147	213	1590474634
40.938877	-76.589378	1400	427	194.5	105	120.8	640	3.3	149	213	1590474640
40.935848	-76.587067	1600	488	190.8	103	118.5	704	3.6	149	213	1590474646
40.933334	-76.585068	1600	488	187.1	101	116.2	768	3.9	148	213	1590474654
40.930756	-76.582886	1700	518	187.1	101	116.2	768	3.9	146	213	1590474660
40.928192	-76.580566	1700	518	185.2	100	115.1	832	4.2	144	213	1590474666
40.92572	-76.578186	1900	579	185.2	100	115.1	896	4.6	142	213	1590474672
40.923561	-76.575958	1900	579	185.2	100	115.1	896	4.6	141	213	1590474680
40.921143	-76.573425	2100	640	183.3	99	113.9	896	4.6	141	213	1590474686
40.918953	-76.571083	2100	640	183.3	99	113.9	640	3.3	141	213	1590474692
40.916485	-76.568527	2100	640	187.1	101	116.2	448	2.3	141	213	1590474698
40.91423	-76.566223	2200	671	192.6	104	119.7	384	2	142	213	1590474704
40.911621	-76.563599	2200	671	203.7	110	126.6	-128	-0.7	142	213	1590474710
40.908943	-76.560913	2200	671	211.1	114	131.2	-128	-0.7	142	213	1590474718
40.906357	-76.558411	2200	671	214.8	116	133.5	-64	-0.3	143	213	1590474724
40.90345	-76.555672	2200	671	216.7	117	134.6	0	0	144	213	1590474730
40.90036	-76.552795	2200	671	216.7	117	134.6	64	0.3	145	213	1590474736
40.897568	-76.550293	2200	671	216.7	117	134.6	64	0.3	145	213	1590474744
40.894409	-76.547485	2200	671	216.7	117	134.6	64	0.3	145	213	1590474750
40.89167	-76.545059	2200	671	216.7	117	134.6	64	0.3	145	213	1590474756
40.888645	-76.542244	2200	671	216.7	117	134.6	0	0	144	213	1590474764
40.885757	-76.539551	2200	671	218.5	118	135.8	0	0	144	213	1590474770
40.88306	-76.536942	2200	671	218.5	118	135.8	0	0	143	213	1590474776
40.880314	-76.534256	2200	671	218.5	118	135.8	0	0	143	213	1590474782
40.877563	-76.531677	2200	671	220.4	119	136.9	0	0	144	213	1590474788
40.874634	-76.528893	2200	671	220.4	119	136.9	0	0	144	213	1590474794
40.871704	-76.526062	2200	671	220.4	119	136.9	-64	-0.3	144	213	1590474800
40.868908	-76.523331	2200	671	222.2	120	138.1	0	0	143	213	1590474808
40.865929	-76.520523	2200	671	220.4	119	136.9	64	0.3	144	213	1590474814
40.840805	-76.497192	2200	671	216.7	117	134.6	0	0	144	213	1590474870
40.837299	-76.493996	2200	671	218.5	118	135.8	-128	-0.7	145	213	1590474878
40.833946	-76.490936	2200	671	222.2	120	138.1	-128	-0.7	145	213	1590474884
40.830505	-76.487732	2200	671	218.5	118	135.8	-128	-0.7	143	213	1590474892
