latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
22.63615	113.805435	0	0	18.5	10	11.5	0	0	151	0	1590472895
22.635269	113.806725	0	0	48.2	26	29.9	0	0	64	0	1590472941
22.635548	113.80732	0	0	55.6	30	34.5	0	0	64	0	1590472952
22.635727	113.807701	0	0	51.9	28	32.2	0	0	64	0	1590472960
22.635864	113.807983	0	0	0	0	0	0	0	57	0	1590472972
22.636026	113.808342	0	0	35.2	19	21.9	0	0	61	0	1590473056
22.636177	113.80867	0	0	40.7	22	25.3	0	0	64	0	1590473066
22.636379	113.809242	0	0	53.7	29	33.4	0	0	67	0	1590473077
22.636585	113.809669	0	0	37	20	23	0	0	53	0	1590473088
22.636946	113.809753	0	0	38.9	21	24.2	0	0	345	0	1590473098
22.637306	113.80957	0	0	44.4	24	27.6	0	0	334	0	1590473107
22.637527	113.809448	0	0	48.2	26	29.9	0	0	331	0	1590473113
22.63789	113.809242	0	0	55.6	30	34.5	0	0	331	0	1590473120
22.638319	113.809013	0	0	59.3	32	36.8	0	0	334	0	1590473128
22.64138	113.807335	0	0	38.9	21	24.2	0	0	331	0	1590473169
22.650261	113.802467	0	0	40.7	22	25.3	0	0	331	0	1590473276
22.651119	113.801994	0	0	29.6	16	18.4	0	0	334	0	1590473286
22.652344	113.802055	0	0	24.1	13	15	0	0	61	0	1590473327
22.650702	113.802223	0	0	3.7	2	2.3	0	0	61	0	1590473361
22.652744	113.802895	0	0	40.7	22	25.3	0	0	64	0	1590473397
22.652727	113.803329	0	0	38.9	21	24.2	0	0	146	0	1590473408
22.646162	113.806892	0	0	194.5	105	120.8	0	0	151	0	1590473444
22.64139	113.809509	0	0	259.3	140	161.1	0	0	151	0	1590473453
22.630718	113.81546	625	191	290.8	157	180.7	2304	11.7	152	0	1590473470
22.623276	113.819557	975	297	296.3	160	184.1	1792	9.1	153	0	1590473481
22.61586	113.823402	1325	404	305.6	165	189.9	2048	10.4	154	0	1590473493
22.609444	113.826805	1625	495	311.1	168	193.3	2176	11.1	153	0	1590473501
22.604782	113.829346	1825	556	316.7	171	196.8	2048	10.4	153	0	1590473507
22.597412	113.833389	2125	648	326	176	202.5	1600	8.1	152	0	1590473518
22.591507	113.836639	2325	709	329.7	178	204.8	1920	9.8	152	3143	1590473525
22.583038	113.841377	2700	823	335.2	181	208.3	1984	10.1	152	3143	1590473538
22.573563	113.846527	3075	937	335.2	181	208.3	1984	10.1	153	3143	1590473550
22.565231	113.85302	3375	1029	346.3	187	215.2	768	3.9	153	3143	1590473562
22.560238	113.855591	3450	1052	364.8	197	226.7	320	1.6	153	3143	1590473568
22.555435	113.85836	3475	1059	383.4	207	238.2	576	2.9	153	3143	1590473574
22.550125	113.861107	3550	1082	396.3	214	246.3	768	3.9	153	3143	1590473580
22.544783	113.863831	3625	1105	411.1	222	255.5	832	4.2	153	3143	1590473586
22.53915	113.866936	3725	1135	426	230	264.7	832	4.2	153	3143	1590473592
22.533285	113.870033	3775	1151	442.6	239	275	320	1.6	153	3143	1590473598
22.526962	113.873444	3825	1166	450	243	279.6	64	0.3	153	3143	1590473604
22.520782	113.877388	3950	1204	481.5	260	299.2	1728	8.8	146	3143	1590473610
22.512863	113.885277	4225	1288	500	270	310.7	1920	9.8	128	3143	1590473618
22.508926	113.892166	4400	1341	507.4	274	315.3	2304	11.7	115	3143	1590473624
22.5065	113.900055	4650	1417	509.3	275	316.5	2688	13.7	102	3143	1590473630
22.505814	113.908096	4925	1501	507.4	274	315.3	2688	13.7	89	3143	1590473637
22.506866	113.916885	5200	1585	503.7	272	313	2688	13.7	76	3143	1590473644
22.508844	113.925171	5575	1699	498.2	269	309.6	2688	13.7	63	3143	1590473651
22.512941	113.931885	5825	1775	496.3	268	308.4	2560	13	52	3143	1590473658
22.518494	113.937958	6075	1852	492.6	266	306.1	2368	12	39	3143	1590473664
22.524813	113.942619	6300	1920	488.9	264	303.8	2560	13	30	3143	1590473670
22.531403	113.946098	6525	1989	487.1	263	302.7	2816	14.3	25	3143	1590473676
22.537674	113.949043	6800	2073	487.1	263	302.7	2752	14	22	3143	1590473683
22.548157	113.953644	7175	2187	490.8	265	305	2752	14	22	3143	1590473690
22.553879	113.956085	7400	2256	490.8	265	305	2816	14.3	21	3143	1590473696
22.568619	113.962379	7950	2423	494.5	267	307.3	2624	13.3	21	3143	1590473709
22.581467	113.967896	8375	2553	503.7	272	313	2368	12	21	3143	1590473719
22.596863	113.974617	8850	2697	511.2	276	317.6	2368	12	21	3143	1590473733
22.612099	113.981071	9300	2835	520.4	281	323.4	2432	12.4	21	3143	1590473745
22.625107	113.986549	9750	2972	524.1	283	325.7	2496	12.7	21	3143	1590473757
22.641312	113.99334	10300	3139	524.1	283	325.7	2624	13.3	21	3143	1590473770
22.654587	113.999084	10700	3261	531.5	287	330.3	2176	11.1	23	3143	1590473780
22.663376	114.004326	10900	3322	544.5	294	338.3	1600	8.1	31	3143	1590473787
22.669922	114.009323	11000	3353	557.5	301	346.4	1152	5.9	36	3143	1590473793
22.675964	114.014412	11100	3383	564.9	305	351	1152	5.9	37	3143	1590473799
22.683229	114.020638	11225	3421	579.7	313	360.2	1152	5.9	38	3143	1590473805
22.690351	114.026794	11325	3452	592.6	320	368.2	960	4.9	38	3143	1590473812
22.703154	114.037933	11450	3490	614.9	332	382.1	896	4.6	39	3143	1590473822
22.717958	114.050751	11650	3551	638.9	345	397	1024	5.2	38	3143	1590473834
22.734344	114.063667	11775	3589	661.2	357	410.8	512	2.6	33	3143	1590473846
22.746643	114.071342	11800	3597	681.5	368	423.5	128	0.7	28	3143	1590473856
22.758499	114.07769	11825	3604	700.1	378	435	64	0.3	25	3143	1590473862
22.767197	114.082085	11800	3597	711.2	384	441.9	-64	-0.3	25	3143	1590473868
22.785782	114.09137	11800	3597	718.6	388	446.5	64	0.3	24	3143	1590473880
22.803909	114.100258	11800	3597	722.3	390	448.8	64	0.3	24	3143	1590473890
22.827438	114.111946	11800	3597	727.8	393	452.3	-64	-0.3	24	3143	1590473905
22.848312	114.122383	11800	3597	727.8	393	452.3	0	0	24	3143	1590473916
22.863527	114.129997	11800	3597	726	392	451.1	128	0.7	24	3143	1590473926
22.88736	114.143608	11800	3597	727.8	393	452.3	64	0.3	32	3143	1590473940
22.894501	114.149101	11800	3597	724.1	391	450	128	0.7	36	3143	1590473946
22.903656	114.157486	11825	3604	727.8	393	452.3	128	0.7	42	3143	1590473952
22.911894	114.165855	11825	3604	729.7	394	453.4	0	0	43	3143	1590473958
22.920134	114.174294	11800	3597	729.7	394	453.4	-64	-0.3	43	3143	1590473964
22.927322	114.181656	11800	3597	731.5	395	454.6	0	0	43	3143	1590473970
22.943317	114.197998	11800	3597	731.5	395	454.6	64	0.3	43	3143	1590473982
22.958267	114.213318	11800	3597	733.4	396	455.7	-64	-0.3	43	3143	1590473994
22.976044	114.231567	11975	3650	748.2	404	464.9	1216	6.2	43	3143	1590474006
