latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
37.930752	23.947329	0	0	35.2	19	21.9	0	0	216	2074	1590472952
37.930168	23.946777	0	0	37	20	23	0	0	216	2074	1590472960
37.929394	23.946032	0	0	38.9	21	24.2	0	0	216	2074	1590472969
37.928753	23.945417	0	0	61.1	33	38	0	0	216	2074	1590472980
37.927971	23.944672	0	0	29.6	16	18.4	0	0	216	2074	1590472994
37.9272	23.943941	0	0	57.4	31	35.7	0	0	216	2074	1590473006
37.926888	23.943642	0	0	59.3	32	36.8	0	0	216	2074	1590473013
37.926353	23.943119	0	0	59.3	32	36.8	0	0	216	2074	1590473024
37.925957	23.942747	0	0	59.3	32	36.8	0	0	216	2074	1590473031
37.92564	23.942451	0	0	57.4	31	35.7	0	0	216	2074	1590473038
37.925365	23.942175	0	0	51.9	28	32.2	0	0	216	2074	1590473044
37.925011	23.941853	0	0	33.3	18	20.7	0	0	216	2074	1590473056
37.924595	23.941553	0	0	35.2	19	21.9	0	0	196	2074	1590473074
37.924381	23.941605	0	0	37	20	23	0	0	168	2074	1590473080
37.924175	23.941839	0	0	31.5	17	19.6	0	0	137	2074	1590473089
37.924129	23.942234	0	0	16.7	9	10.4	0	0	92	2074	1590473104
37.924129	23.942448	0	0	31.5	17	19.6	0	0	90	2074	1590473133
37.924141	23.942806	0	0	50	27	31.1	0	0	87	2074	1590473139
37.924164	23.943256	0	0	53.7	29	33.4	0	0	87	2074	1590473145
37.924198	23.943665	0	0	51.9	28	32.2	0	0	84	2074	1590473152
37.924374	23.944016	0	0	51.9	28	32.2	0	0	53	2074	1590473158
37.924702	23.944307	0	0	0	0	0	0	0	35	2074	1590473212
37.925083	23.944702	0	0	33.3	18	20.7	0	0	39	2074	1590473224
37.928329	23.9478	175	53	168.5	91	104.7	0	0	37	2074	1590473236
37.933731	23.952942	125	38	259.3	140	161.1	384	2	37	2074	1590473248
37.937759	23.956799	400	122	279.7	151	173.8	2688	13.7	37	2074	1590473256
37.94133	23.960247	675	206	281.5	152	174.9	2624	13.3	37	2074	1590473262
37.944855	23.963577	950	290	283.4	153	176.1	2944	15	36	2074	1590473268
37.948196	23.966734	1300	396	281.5	152	174.9	3584	18.2	37	2074	1590473274
37.951767	23.97024	1700	518	275.9	149	171.5	3584	18.2	37	2074	1590473280
37.955063	23.973394	2050	625	272.2	147	169.2	3456	17.6	37	2074	1590473286
37.958267	23.976492	2400	732	268.5	145	166.9	3520	17.9	36	2074	1590473292
37.961517	23.979589	2750	838	266.7	144	165.7	3328	16.9	37	2074	1590473298
37.965637	23.983505	3175	968	261.1	141	162.3	3328	16.9	36	2074	1590473306
37.968891	23.986618	3500	1067	263	142	163.4	2368	12	37	2074	1590473313
37.975662	23.993147	3900	1189	288.9	156	179.5	2048	10.4	37	2074	1590473324
37.978806	23.99629	4100	1250	301.9	163	187.6	1984	10.1	38	2074	1590473330
37.983673	24.001211	4350	1326	320.4	173	199.1	1856	9.4	38	2074	1590473338
37.98835	24.005783	4550	1387	338.9	183	210.6	1792	9.1	38	2074	1590473344
37.992119	24.009426	4700	1433	355.6	192	220.9	1728	8.8	37	2074	1590473350
37.996811	24.013893	4925	1501	370.4	200	230.2	2368	12	37	2074	1590473357
38.001663	24.018452	5175	1577	381.5	206	237.1	2560	13	36	2074	1590473363
38.010414	24.026443	5675	1730	394.5	213	245.1	2752	14	35	2074	1590473374
38.020283	24.035219	6300	1920	409.3	221	254.3	3200	16.3	34	2074	1590473386
38.029266	24.043221	6875	2096	418.6	226	260.1	3392	17.2	35	2074	1590473396
38.039974	24.052954	7650	2332	420.4	227	261.2	3904	19.8	36	2074	1590473409
38.049145	24.06167	8300	2530	422.3	228	262.4	3200	16.3	37	2074	1590473420
38.059387	24.071762	8875	2705	438.9	237	272.7	2688	13.7	38	2074	1590473431
38.069302	24.081732	9425	2873	448.2	242	278.5	3200	16.3	38	2074	1590473442
38.078987	24.091764	10025	3056	457.4	247	284.2	3072	15.6	39	2074	1590473454
38.08873	24.1019	10450	3185	476	257	295.8	1728	8.8	39	2074	1590473465
38.09935	24.113003	10825	3299	500	270	310.7	2880	14.6	39	2074	1590473476
38.110641	24.124842	11525	3513	501.9	271	311.9	3776	19.2	39	2074	1590473487
38.120819	24.135502	12125	3696	507.4	274	315.3	3136	15.9	39	2074	1590473497
38.151489	24.167877	13625	4153	531.5	287	330.3	2752	14	40	2074	1590473529
38.184128	24.202881	14700	4481	581.5	314	361.3	1152	5.9	40	2074	1590473559
38.222076	24.239521	15275	4656	650.1	351	403.9	1024	5.2	28	2074	1590473590
38.230865	24.244314	15375	4686	655.6	354	407.4	1152	5.9	23	2074	1590473596
38.240662	24.248287	15475	4717	664.9	359	413.1	1024	5.2	16	2074	1590473602
38.249588	24.250507	15575	4747	670.4	362	416.6	960	4.9	10	2074	1590473608
38.259281	24.251184	15675	4778	676	365	420	1088	5.5	1	2074	1590473614
38.27013	24.249811	15775	4808	679.7	367	422.3	960	4.9	352	2074	1590473620
38.28093	24.246109	15900	4846	685.2	370	425.8	1664	8.5	342	2074	1590473626
38.291061	24.240982	16150	4923	687.1	371	426.9	2624	13.3	337	2074	1590473632
38.299072	24.236423	16375	4991	688.9	372	428.1	2624	13.3	336	2074	1590473638
38.30793	24.231182	16600	5060	687.1	371	426.9	2560	13	335	2074	1590473644
38.36705	24.196491	18025	5494	716.7	387	445.4	2368	12	335	2074	1590473680
38.468021	24.138062	20700	6309	729.7	394	453.4	2560	13	335	2074	1590473741
38.574371	24.076	22750	6934	761.2	411	473	2048	10.4	335	2074	1590473804
38.682583	24.012634	24925	7597	774.1	418	481	2368	12	335	2074	1590473865
38.791718	23.948523	26850	8184	787.1	425	489.1	1536	7.8	335	2074	1590473927
38.901611	23.883667	28600	8717	800.1	432	497.1	2944	15	335	2074	1590473988
39.010357	23.819397	31000	9449	770.4	416	478.7	1792	9.1	335	2074	1590474049
39.119202	23.754711	32600	9936	772.3	417	479.9	1792	9.1	335	2074	1590474112
39.225521	23.691162	33775	10295	783.4	423	486.8	832	4.2	335	2074	1590474171
39.3349	23.625561	34975	10660	790.8	427	491.4	1792	9.1	335	2074	1590474233
39.442314	23.555908	36075	10996	785.2	424	487.9	1152	5.9	329	2074	1590474294
39.546593	23.476807	36975	11270	794.5	429	493.7	960	4.9	329	2074	1590474354
39.650757	23.397415	37925	11560	792.7	428	492.5	640	3.3	329	2074	1590474416
39.757565	23.315918	38000	11582	794.5	429	493.7	0	0	329	2074	1590474478
39.861145	23.236561	38000	11582	792.7	428	492.5	0	0	329	2074	1590474539
39.96719	23.154997	38025	11590	798.2	431	496	64	0.3	329	2074	1590474601
40.070938	23.075073	38050	11598	796.4	430	494.8	-64	-0.3	329	2074	1590474661
40.173977	22.994947	38000	11582	794.5	429	493.7	-64	-0.3	329	2074	1590474722
40.279137	22.913048	37950	11567	798.2	431	496	0	0	329	2074	1590474782
40.384003	22.831299	38000	11582	801.9	433	498.3	64	0.3	329	2074	1590474844
40.490997	22.747566	38000	11582	803.8	434	499.4	0	0	329	2074	1590474905
40.597733	22.663635	38025	11590	805.6	435	500.6	0	0	329	2074	1590474967
40.701134	22.582024	38050	11598	798.2	431	496	0	0	328	2074	1590475028
40.806152	22.498718	38000	11582	789	426	490.2	-64	-0.3	328	2074	1590475089
40.906219	22.416016	37950	11567	783.4	423	486.8	0	0	324	2074	1590475149
41.00079	22.317539	37975	11575	781.5	422	485.6	0	0	321	2074	1590475211
41.092667	22.22052	37950	11567	783.4	423	486.8	-64	-0.3	321	2074	1590475271
41.187325	22.120222	37975	11575	794.5	429	493.7	64	0.3	321	2074	1590475333
41.281448	22.020264	38050	11598	798.2	431	496	0	0	321	2074	1590475394
41.375793	21.919312	38000	11582	789	426	490.2	0	0	321	2074	1590475455
41.470047	21.818411	38000	11582	794.5	429	493.7	0	0	321	2074	1590475515
41.562908	21.718565	37975	11575	792.7	428	492.5	0	0	321	2074	1590475576
41.65773	21.616224	38000	11582	790.8	427	491.4	64	0.3	320	2074	1590475637
41.75148	21.514664	38000	11582	790.8	427	491.4	0	0	320	2074	1590475699
41.844967	21.412609	38000	11582	792.7	428	492.5	-64	-0.3	320	2074	1590475760
41.938213	21.311176	38000	11582	792.7	428	492.5	0	0	320	2074	1590475820
42.032043	21.208046	38000	11582	794.5	429	493.7	-64	-0.3	320	2074	1590475882
42.125244	21.099056	37975	11575	801.9	433	498.3	64	0.3	317	2074	1590475944
42.215523	20.985867	38025	11590	809.3	437	502.9	64	0.3	317	2074	1590476004
42.305603	20.872463	38050	11598	811.2	438	504	0	0	316	2074	1590476066
42.396515	20.757607	38050	11598	809.3	437	502.9	0	0	316	2074	1590476128
42.484955	20.645184	38025	11590	803.8	434	499.4	-64	-0.3	316	2074	1590476187
42.574631	20.530825	38000	11582	800.1	432	497.1	-64	-0.3	316	2074	1590476250
42.66188	20.419151	38000	11582	796.4	430	494.8	0	0	316	2074	1590476310
42.749817	20.306231	38000	11582	787.1	425	489.1	0	0	316	2074	1590476371
42.836517	20.194021	38000	11582	781.5	422	485.6	64	0.3	316	2074	1590476432
