latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
43.831627	1.198961	600	183	81.5	44	50.6	-384	-2	312	0	1590472985
43.782654	1.11802	700	213	81.5	44	50.6	0	0	312	0	1590473213
43.762306	1.111145	700	213	81.5	44	50.6	0	0	312	1276	1590473237
43.765522	1.125138	800	244	81.5	44	50.6	0	0	312	1276	1590473269
43.771591	1.135327	800	244	127.8	69	79.4	0	0	65	1276	1590473293
43.773476	1.137827	740	226	127.8	69	79.4	-704	-3.6	50	1276	1590473300
43.774479	1.139014	700	213	127.8	69	79.4	-704	-3.6	43	1276	1590473312
43.776371	1.141234	700	213	127.8	69	79.4	0	0	43	1276	1590473337
43.781143	1.146471	700	213	127.8	69	79.4	0	0	43	1276	1590473344
43.784729	1.149799	700	213	164.8	89	102.4	0	0	35	1276	1590473381
43.792629	1.163326	700	213	164.8	89	102.4	0	0	35	1276	1590473397
43.793827	1.166912	699	213	164.8	89	102.4	0	0	35	1276	1590473410
43.794262	1.167728	700	213	164.8	89	102.4	0	0	35	1276	1590473749
43.801964	1.223708	899	274	253.7	137	157.7	896	4.6	167	0	1590474288
43.792351	1.214604	800	244	253.7	137	157.7	-64	-0.3	167	1276	1590474309
43.784637	1.206319	800	244	253.7	137	157.7	0	0	167	1276	1590474340
43.773899	1.19637	700	213	253.7	137	157.7	-128	-0.7	167	1276	1590474364
43.762611	1.187906	700	213	253.7	137	157.7	0	0	167	1276	1590474384
43.751495	1.183158	800	244	253.7	137	157.7	256	1.3	167	1276	1590474410
43.726925	1.183324	800	244	253.7	137	157.7	0	0	167	1276	1590474433
43.71981	1.185709	800	244	292.6	158	181.8	0	0	166	1276	1590474457
43.705563	1.190423	800	244	292.6	158	181.8	0	0	166	1276	1590474624
43.621941	1.261554	800	244	292.6	158	181.8	0	0	166	1276	1590474657
43.604206	1.28616	900	274	292.6	158	181.8	128	0.7	166	1276	1590474674
43.595943	1.297851	900	274	292.6	158	181.8	0	0	166	1276	1590474680
43.590141	1.307021	931	284	300	162	186.4	384	2	139	1276	1590474688
43.584431	1.314747	1000	305	281.5	152	174.9	0	0	135	1276	1590474706
43.580349	1.319128	1000	305	264.8	143	164.6	0	0	140	1276	1590474712
43.575298	1.324983	999	304	253.7	137	157.7	0	0	140	1276	1590474734
43.567661	1.333766	900	274	253.7	137	157.7	-320	-1.6	140	1276	1590474765
43.556549	1.35091	900	274	253.7	137	157.7	0	0	140	1276	1590474784
43.552601	1.362372	1000	305	253.7	137	157.7	256	1.3	140	1276	1590474829
43.547611	1.38664	899	274	253.7	137	157.7	0	0	140	1276	1590474836
