latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
-32.126163	148.75174	5975	1821	361.1	195	224.4	1472	7.5	58	0	1590473104
-32.120407	148.762741	6275	1913	361.1	195	224.4	1472	7.5	58	0	1590473116
-32.112247	148.776627	6725	2050	359.3	194	223.3	1856	9.4	54	0	1590473131
-32.106007	148.786896	7125	2172	344.5	186	214	2240	11.4	55	0	1590473144
-32.097885	148.801636	7675	2339	331.5	179	206	1152	5.9	56	0	1590473162
-32.0923	148.810913	7825	2385	346.3	187	215.2	512	2.6	52	0	1590473172
-32.085712	148.821243	7950	2423	361.1	195	224.4	832	4.2	56	0	1590473184
-32.080078	148.83316	8175	2492	364.8	197	226.7	1344	6.8	62	0	1590473198
-32.077099	148.840134	8350	2545	361.1	195	224.4	1408	7.2	63	0	1590473204
-32.071289	148.85376	8650	2637	359.3	194	223.3	1280	6.5	63	0	1590473220
-32.066254	148.865814	8825	2690	370.4	200	230.2	256	1.3	63	0	1590473232
-32.060387	148.879379	8825	2690	398.2	215	247.4	-64	-0.3	63	0	1590473244
-32.054802	148.891876	8825	2690	414.8	224	257.8	-128	-0.7	60	0	1590473256
-32.047165	148.907227	8825	2690	431.5	233	268.1	256	1.3	59	0	1590473270
-32.037415	148.926712	9025	2751	431.5	233	268.1	1088	5.5	59	0	1590473288
-32.029404	148.9422	9275	2827	424.1	229	263.5	960	4.9	59	0	1590473303
-32.022766	148.95517	9475	2888	420.4	227	261.2	1024	5.2	58	0	1590473315
-32.017319	148.965714	9625	2934	414.8	224	257.8	896	4.6	58	0	1590473326
-32.011459	148.977249	9775	2979	416.7	225	258.9	640	3.3	59	0	1590473336
-32.004868	148.990265	9950	3033	413	223	256.6	1024	5.2	58	0	1590473348
-31.998053	149.003357	10175	3101	407.4	220	253.2	1024	5.2	58	0	1590473361
-31.991409	149.015808	10325	3147	405.6	219	252	640	3.3	57	0	1590473374
-31.984543	149.028107	10425	3178	411.1	222	255.5	448	2.3	56	0	1590473386
-31.978088	149.040192	10550	3216	411.1	222	255.5	704	3.6	58	0	1590473398
-31.97175	149.052795	10700	3261	411.1	222	255.5	704	3.6	59	0	1590473410
-31.965454	149.06601	10825	3299	409.3	221	254.3	768	3.9	61	0	1590473422
-31.959555	149.078644	10950	3338	413	223	256.6	64	0.3	61	0	1590473434
-31.953316	149.092102	10975	3345	422.3	228	262.4	192	1	61	0	1590473446
