latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
15.335238	108.775192	3175	968	450	243	279.6	2496	12.7	134	0	1590473170
15.33035	108.780487	3425	1044	457.4	247	284.2	2432	12.4	133	0	1590473177
15.325836	108.786766	3675	1120	464.9	251	288.8	2624	13.3	126	0	1590473184
15.320853	108.795746	4100	1250	464.9	251	288.8	2944	15	119	0	1590473192
15.314476	108.804131	4525	1379	468.6	253	291.1	2752	14	130	0	1590473200
15.309122	108.808838	4800	1463	468.6	253	291.1	2752	14	140	0	1590473206
15.302307	108.812927	5075	1547	470.4	254	292.3	2496	12.7	151	4673	1590473213
15.296814	108.815002	5275	1608	470.4	254	292.3	2432	12.4	155	4673	1590473219
15.288826	108.816345	5525	1684	474.1	256	294.6	1536	7.8	171	4673	1590473225
15.261566	108.804062	6100	1859	501.9	271	311.9	2240	11.4	223	4673	1590473251
15.256577	108.795052	6475	1974	500	270	310.7	3264	16.6	242	4673	1590473258
15.250327	108.77951	7150	2179	496.3	268	308.4	2688	13.7	247	4673	1590473272
15.244308	108.765175	7600	2316	507.4	274	315.3	2368	12	246	4673	1590473283
15.2379	108.750916	8100	2469	516.7	279	321.1	2560	13	245	4673	1590473295
15.231033	108.736023	8575	2614	524.1	283	325.7	2432	12.4	244	4673	1590473307
15.224213	108.721474	9125	2781	526	284	326.8	2880	14.6	244	4673	1590473320
15.217255	108.706444	9750	2972	526	284	326.8	3008	15.3	244	4673	1590473331
15.210339	108.691376	10350	3155	524.1	283	325.7	2752	14	244	4673	1590473344
15.203588	108.676559	10775	3284	531.5	287	330.3	1280	6.5	244	4673	1590473355
15.196932	108.661797	10975	3345	553.7	299	344.1	832	4.2	245	4673	1590473368
15.189331	108.644669	11150	3399	579.7	313	360.2	896	4.6	245	4673	1590473379
15.18187	108.627846	11350	3459	601.9	325	374	960	4.9	245	4673	1590473391
15.173795	108.60981	11550	3520	627.8	339	390.1	768	3.9	245	4673	1590473405
15.163971	108.592575	11675	3559	653.8	353	406.2	640	3.3	235	4673	1590473416
15.153763	108.580872	11800	3597	674.1	364	418.9	1344	6.8	225	4673	1590473425
15.14619	108.574593	11950	3642	681.5	368	423.5	1856	9.4	217	4673	1590473431
15.137054	108.568825	12150	3703	690.8	373	429.2	1920	9.8	209	4673	1590473437
15.127121	108.564339	12325	3757	698.2	377	433.8	2112	10.7	202	4673	1590473443
15.117004	108.561356	12550	3825	701.9	379	436.1	2624	13.3	195	4673	1590473449
15.106705	108.558846	12825	3909	701.9	379	436.1	2816	14.3	193	4673	1590473455
15.096771	108.556534	13100	3993	700.1	378	435	2624	13.3	192	4673	1590473461
15.088558	108.554581	13275	4046	700.1	378	435	2240	11.4	192	4673	1590473467
15.076548	108.551743	13525	4122	701.9	379	436.1	2240	11.4	192	4673	1590473473
15.019821	108.537987	14675	4473	711.2	384	441.9	1408	7.2	193	4673	1590473507
14.96077	108.523338	15875	4839	720.4	389	447.7	2048	10.4	193	4673	1590473539
