latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
38.077103	23.802114	2375	724	366.7	198	227.9	0	0	198	0	1590473253
38.068882	23.798895	2450	747	442.6	239	275	0	0	197	0	1590473267
38.059898	23.796328	2300	701	285.2	154	177.2	0	0	193	0	1590473281
38.05748	23.79549	2325	709	142.6	77	88.6	0	0	196	0	1590473288
38.048904	23.793289	2400	732	387.1	209	240.5	0	0	192	0	1590473299
38.045189	23.792208	2375	724	168.5	91	104.7	0	0	193	0	1590473306
38.040485	23.791193	2325	709	238.9	129	148.5	0	0	190	0	1590473312
38.032806	23.789221	2300	701	192.6	104	119.7	0	0	196	0	1590473324
38.026104	23.787073	2300	701	250	135	155.4	0	0	195	0	1590473336
38.020283	23.784683	2300	701	244.5	132	151.9	0	0	198	0	1590473342
38.010506	23.780624	2300	701	292.6	158	181.8	0	0	199	0	1590473357
38.006084	23.778593	2300	701	187.1	101	116.2	0	0	200	0	1590473364
37.998589	23.774714	2300	701	281.5	152	174.9	0	0	201	0	1590473377
37.995705	23.772682	2225	678	131.5	71	81.7	0	0	210	0	1590473384
37.987186	23.767309	2275	693	164.8	89	102.4	0	0	204	0	1590473400
37.980293	23.763128	2325	709	159.3	86	99	0	0	205	0	1590473413
37.973499	23.758173	2325	709	250	135	155.4	0	0	206	0	1590473424
37.969307	23.755905	2250	686	181.5	98	112.8	0	0	204	0	1590473432
37.965214	23.753874	2250	686	250	135	155.4	0	0	202	0	1590473439
37.96051	23.751307	2225	678	203.7	110	126.6	0	0	204	0	1590473448
37.954178	23.746889	2175	663	426	230	264.7	0	0	211	0	1590473460
37.951107	23.745993	2225	678	125.9	68	78.3	0	0	193	0	1590473466
37.944916	23.743008	2275	693	92.6	50	57.5	0	0	198	0	1590473478
37.935513	23.740082	2325	709	214.8	116	133.5	0	0	194	0	1590473494
37.926712	23.738171	2300	701	170.4	92	105.9	0	0	191	0	1590473508
37.920708	23.734888	2250	686	290.8	157	180.7	0	0	204	0	1590473518
37.916706	23.733215	2150	655	187.1	101	116.2	0	0	199	0	1590473524
37.913494	23.729872	2100	640	207.4	112	128.9	0	0	220	0	1590473530
37.90958	23.728678	2075	632	229.6	124	142.7	0	0	194	0	1590473538
37.904415	23.724199	2000	610	198.2	107	123.1	0	0	236	0	1590473547
37.898315	23.718826	1900	579	187.1	101	116.2	0	0	222	0	1590473562
37.891983	23.713287	1775	541	274.1	148	170.3	0	0	217	0	1590473574
37.888821	23.709929	1775	541	164.8	89	102.4	0	0	220	0	1590473582
37.882908	23.703421	1775	541	198.2	107	123.1	0	0	223	0	1590473592
37.880905	23.699898	1775	541	113	61	70.2	0	0	235	0	1590473600
37.877182	23.696077	1775	541	190.8	103	118.5	0	0	220	0	1590473606
37.876621	23.693211	1800	549	103.7	56	64.4	0	0	257	0	1590473612
37.86871	23.677328	1800	549	246.3	133	153.1	0	0	238	0	1590473636
37.866707	23.669088	1800	549	116.7	63	72.5	0	0	258	0	1590473648
37.864101	23.664789	1800	549	188.9	102	117.4	0	0	233	0	1590473654
37.856094	23.647116	1950	594	225.9	122	140.4	0	0	240	0	1590473682
37.85358	23.642519	2000	610	159.3	86	99	0	0	236	0	1590473690
37.842594	23.625799	2325	709	274.1	148	170.3	0	0	229	0	1590473714
37.839802	23.62162	2325	709	172.2	93	107	0	0	230	0	1590473722
37.835007	23.615171	2350	716	214.8	116	133.5	0	0	227	0	1590473732
37.827	23.600306	2300	701	1001.9	541	622.6	0	0	287	0	1590473756
