latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
37.698933	45.130222	6750	2057	340.8	184	211.7	2304	11.7	123	0	1590473425
37.693634	45.140133	7075	2156	346.3	187	215.2	1856	9.4	123	0	1590473435
37.687134	45.152115	7450	2271	359.3	194	223.3	1280	6.5	124	0	1590473448
37.679893	45.165512	7750	2362	383.4	207	238.2	1344	6.8	123	0	1590473463
37.673096	45.178467	8050	2454	403.7	218	250.9	1344	6.8	123	0	1590473475
37.665482	45.192436	8325	2537	426	230	264.7	1408	7.2	124	0	1590473488
37.657364	45.207188	8625	2629	448.2	242	278.5	1408	7.2	124	0	1590473500
37.648842	45.222294	8925	2720	468.6	253	291.1	1408	7.2	125	0	1590473514
37.639858	45.237999	9200	2804	488.9	264	303.8	1280	6.5	125	0	1590473526
37.630646	45.254089	9450	2880	509.3	275	316.5	1088	5.5	125	0	1590473538
37.622635	45.267971	9650	2941	526	284	326.8	1472	7.5	125	0	1590473549
37.610321	45.289558	10050	3063	542.6	293	337.2	1024	5.2	125	0	1590473566
37.59938	45.308552	10250	3124	566.7	306	352.1	832	4.2	125	0	1590473578
37.588669	45.327019	10400	3170	588.9	318	365.9	896	4.6	125	0	1590473590
37.577316	45.346947	10600	3231	607.5	328	377.5	832	4.2	125	0	1590473604
37.565094	45.368099	10800	3292	627.8	339	390.1	832	4.2	125	0	1590473618
37.55365	45.38826	10950	3338	644.5	348	400.5	896	4.6	125	0	1590473629
37.541588	45.409359	11125	3391	659.3	356	409.7	832	4.2	125	0	1590473642
37.529434	45.430569	11300	3444	674.1	364	418.9	832	4.2	125	0	1590473654
37.518723	45.448978	11450	3490	685.2	370	425.8	768	3.9	125	0	1590473666
37.494335	45.491638	11925	3635	700.1	378	435	1600	8.1	125	0	1590473690
37.483162	45.511105	12250	3734	698.2	377	433.8	1792	9.1	125	0	1590473700
37.445572	45.576431	13250	4039	698.2	377	433.8	1408	7.2	125	0	1590473737
37.411057	45.636097	13850	4221	711.2	384	441.9	1216	6.2	125	0	1590473770
37.378647	45.69249	14550	4435	713	385	443.1	1600	8.1	125	0	1590473802
37.35347	45.735786	15125	4610	713	385	443.1	1280	6.5	126	0	1590473824
37.276752	45.868816	16250	4953	740.8	400	460.3	1024	5.2	122	0	1590473897
37.264648	45.900761	16525	5037	757.5	409	470.7	1152	5.9	109	0	1590473912
37.260727	45.917007	16675	5083	763	412	474.1	1152	5.9	106	0	1590473919
37.257111	45.931793	16775	5113	766.7	414	476.4	1024	5.2	106	0	1590473925
37.252945	45.951134	16925	5159	768.6	415	477.6	1024	5.2	105	0	1590473934
37.24789	45.974438	17100	5212	770.4	416	478.7	1152	5.9	105	0	1590473944
36.849682	47.634556	28375	8649	813	439	505.2	1088	5.5	114	0	1590474626
36.844208	47.649364	28500	8687	813	439	505.2	1024	5.2	114	0	1590474633
36.774872	47.833187	29000	8839	829.7	448	515.5	64	0.3	115	5656	1590474712
36.693359	48.048706	29000	8839	826	446	513.2	0	0	115	5656	1590474804
36.635494	48.200703	29000	8839	831.5	449	516.7	0	0	115	5656	1590474870
36.598068	48.298187	29000	8839	824.1	445	512.1	0	0	115	5656	1590474912
36.5159	48.51247	29000	8839	827.8	447	514.4	0	0	115	5656	1590475004
36.459667	48.657745	28975	8832	824.1	445	512.1	0	0	115	5656	1590475066
36.403988	48.801094	28975	8832	833.4	450	517.9	64	0.3	115	5656	1590475128
36.347305	48.947639	29025	8847	837.1	452	520.2	128	0.7	115	5656	1590475192
36.291412	49.090691	29000	8839	827.8	447	514.4	0	0	115	5656	1590475253
36.234306	49.236282	29000	8839	831.5	449	516.7	0	0	115	5656	1590475315
36.179329	49.376358	29025	8847	835.3	451	519	0	0	115	5656	1590475376
36.12355	49.516869	29000	8839	831.5	449	516.7	-64	-0.3	116	5656	1590475438
36.065834	49.662003	29000	8839	826	446	513.2	-64	-0.3	116	5656	1590475500
36.009842	49.801769	29000	8839	822.3	444	510.9	64	0.3	116	5656	1590475561
35.950699	49.937382	28225	8603	820.4	443	509.8	-960	-4.9	115	5656	1590475622
35.940811	49.96582	28025	8542	822.3	444	510.9	-896	-4.6	111	5656	1590475634
35.893341	50.119972	26950	8214	824.1	445	512.1	-1024	-5.2	110	5656	1590475700
35.847244	50.268459	25900	7894	824.1	445	512.1	-960	-4.9	110	5656	1590475762
35.802395	50.410534	24900	7590	816.7	441	507.5	-1024	-5.2	111	5656	1590475822
35.756195	50.558968	23300	7102	798.2	431	496	-1536	-7.8	110	5656	1590475887
35.71283	50.69799	21750	6629	785.2	424	487.9	-1472	-7.5	110	5656	1590475948
35.669674	50.836781	19325	5890	776	419	482.2	-4096	-20.8	110	5656	1590476010
35.626328	50.973473	16475	5022	744.5	402	462.6	-2560	-13	112	5656	1590476071
35.603802	51.038273	15025	4580	735.2	397	456.9	-3136	-15.9	113	5656	1590476102
35.581284	51.102734	13575	4138	727.8	393	452.3	-2688	-13.7	112	5656	1590476134
35.560509	51.164909	12325	3757	707.5	382	439.6	-2432	-12.4	111	5656	1590476164
35.540588	51.227016	11225	3421	687.1	371	426.9	-960	-4.9	110	5656	1590476196
35.533649	51.249817	11000	3353	666.7	360	414.3	-1024	-5.2	110	5656	1590476207
35.526031	51.274052	10800	3292	650.1	351	403.9	-1088	-5.5	110	5656	1590476220
35.520218	51.29282	10600	3231	635.2	343	394.7	-1024	-5.2	111	5656	1590476230
35.513397	51.314041	10400	3170	620.4	335	385.5	-1024	-5.2	111	5656	1590476242
35.507492	51.332302	10250	3124	607.5	328	377.5	-960	-4.9	111	5656	1590476252
35.501587	51.351357	10075	3071	594.5	321	369.4	-896	-4.6	108	5656	1590476263
35.497101	51.371841	9900	3018	581.5	314	361.3	-832	-4.2	101	5656	1590476276
35.494354	51.388493	9775	2979	572.3	309	355.6	-1152	-5.9	101	5656	1590476285
35.490097	51.414642	9375	2858	564.9	305	351	-1472	-7.5	101	5656	1590476301
35.486629	51.43536	9125	2781	557.5	301	346.4	-1408	-7.2	99	5656	1590476312
35.485653	51.446987	8950	2728	553.7	299	344.1	-1344	-6.8	91	5656	1590476319
35.486389	51.457272	8850	2697	544.5	294	338.3	-704	-3.6	82	5656	1590476325
35.488129	51.466599	8775	2675	535.2	289	332.6	-832	-4.2	73	5656	1590476331
35.491241	51.476326	8675	2644	526	284	326.8	-832	-4.2	64	5656	1590476338
35.49527	51.48468	8600	2621	516.7	279	321.1	-768	-3.9	56	5656	1590476344
35.500923	51.493153	8525	2598	507.4	274	315.3	-640	-3.3	47	5656	1590476350
35.505623	51.499229	8450	2576	500	270	310.7	-640	-3.3	46	5656	1590476356
35.511017	51.505737	8375	2553	492.6	266	306.1	-704	-3.6	43	5656	1590476362
35.516891	51.512321	8300	2530	487.1	263	302.7	-704	-3.6	41	5656	1590476369
35.52285	51.518631	8225	2507	479.7	259	298.1	-704	-3.6	39	5656	1590476375
35.531158	51.526566	8125	2477	472.3	255	293.4	-640	-3.3	36	5656	1590476384
35.543098	51.536747	8000	2438	457.4	247	284.2	-704	-3.6	33	5656	1590476396
35.555695	51.546078	7875	2400	444.5	240	276.2	-384	-2	29	5656	1590476409
35.567913	51.553928	7850	2393	440.8	238	273.9	-64	-0.3	23	5656	1590476422
35.57457	51.556499	7825	2385	438.9	237	272.7	64	0.3	12	5656	1590476428
35.581226	51.55732	7850	2393	433.4	234	269.3	64	0.3	2	5656	1590476434
35.587601	51.556377	7825	2385	418.6	226	260.1	-384	-2	347	5656	1590476441
35.593781	51.553402	7775	2370	403.7	218	250.9	-704	-3.6	333	5656	1590476447
35.601151	51.546993	7625	2324	396.3	214	246.3	-960	-4.9	316	5656	1590476455
35.604904	51.541271	7525	2294	394.5	213	245.1	-1408	-7.2	305	5656	1590476461
35.608017	51.534691	7375	2248	394.5	213	245.1	-1536	-7.8	296	5656	1590476468
35.610554	51.527634	7200	2195	396.3	214	246.3	-1600	-8.1	291	5656	1590476474
35.612602	51.520794	7075	2156	396.3	214	246.3	-1472	-7.5	289	5656	1590476480
35.6147	51.513863	6925	2111	398.2	215	247.4	-1280	-6.5	289	5656	1590476486
35.619167	51.498764	6600	2012	401.9	217	249.7	-1472	-7.5	289	5656	1590476500
35.62289	51.485497	6325	1928	403.7	218	250.9	-1344	-6.8	289	5656	1590476510
35.627171	51.471004	6050	1844	400	216	248.6	-1088	-5.5	289	5656	1590476524
35.631084	51.458149	5850	1783	396.3	214	246.3	-1088	-5.5	290	5656	1590476534
35.634567	51.445541	5650	1722	387.1	209	240.5	-1152	-5.9	289	5656	1590476546
35.638367	51.433525	5425	1654	374.1	202	232.5	-1088	-5.5	290	5656	1590476557
35.641434	51.422596	5250	1600	366.7	198	227.9	-960	-4.9	289	5656	1590476567
35.645515	51.40871	5025	1532	344.5	186	214	-832	-4.2	289	5656	1590476581
35.648621	51.398449	4850	1478	329.7	178	204.8	-1152	-5.9	289	5656	1590476590
35.650356	51.392464	4750	1448	316.7	171	196.8	-704	-3.6	289	5656	1590476596
35.65189	51.386795	4650	1417	298.2	161	185.3	-1280	-6.5	289	5656	1590476603
35.653427	51.381302	4575	1394	290.8	157	180.7	-512	-2.6	289	5656	1590476610
35.654964	51.375984	4475	1364	283.4	153	176.1	-1024	-5.2	289	5656	1590476616
