latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
33.550991	72.80542	2675	815	314.8	170	195.6	2176	11.1	279	0	1590473494
33.551922	72.798447	2925	892	320.4	173	199.1	2816	14.3	279	0	1590473502
33.552841	72.792274	3200	975	322.2	174	200.2	2880	14.6	280	0	1590473508
33.553757	72.786552	3400	1036	327.8	177	203.7	1792	9.1	281	0	1590473516
33.554947	72.779961	3575	1090	337.1	182	209.4	1664	8.5	282	0	1590473522
33.556854	72.769028	3750	1143	370.4	200	230.2	1408	7.2	282	0	1590473532
33.558563	72.759422	3900	1189	394.5	213	245.1	1024	5.2	281	7223	1590473540
33.559834	72.751694	4075	1242	405.6	219	252	1664	8.5	280	7223	1590473547
33.560989	72.743896	4225	1288	424.1	229	263.5	1408	7.2	279	7223	1590473554
33.561275	72.735214	4425	1349	442.6	239	275	1600	8.1	267	7223	1590473560
33.56044	72.728424	4550	1387	453.7	245	281.9	2240	11.4	260	7223	1590473566
33.557461	72.718796	4700	1433	472.3	255	293.4	1024	5.2	249	7223	1590473572
33.553268	72.711525	4800	1463	501.9	271	311.9	1216	6.2	231	7223	1590473578
33.546566	72.704834	5025	1532	520.4	281	323.4	2560	13	214	7223	1590473586
33.539017	72.700104	5300	1615	526	284	326.8	2880	14.6	204	7223	1590473592
33.531693	72.696312	5525	1684	533.4	288	331.4	2304	11.7	203	7223	1590473598
33.520386	72.690384	5925	1806	537.1	290	333.7	3072	15.6	204	7223	1590473608
33.512558	72.686096	6250	1905	535.2	289	332.6	3392	17.2	204	7223	1590473614
33.497498	72.67775	6900	2103	535.2	289	332.6	3136	15.9	204	7223	1590473626
33.482464	72.669235	7575	2309	527.8	285	328	3648	18.5	205	7223	1590473638
33.467285	72.660721	8225	2507	526	284	326.8	2944	15	205	7223	1590473651
33.452454	72.65242	8775	2675	529.7	286	329.1	2624	13.3	205	7223	1590473663
33.436516	72.643616	9300	2835	537.1	290	333.7	2624	13.3	204	7223	1590473676
33.420456	72.634819	9825	2995	546.3	295	339.5	2560	13	204	7223	1590473690
33.4048	72.626221	10350	3155	551.9	298	342.9	2688	13.7	204	7223	1590473702
33.390385	72.61834	10650	3246	570.4	308	354.4	704	3.6	204	7223	1590473714
33.373947	72.60936	10875	3315	596.3	322	370.6	1216	6.2	204	7223	1590473726
33.356094	72.599525	11075	3376	626	338	389	1088	5.5	204	7223	1590473738
33.337692	72.589417	11275	3437	653.8	353	406.2	896	4.6	204	7223	1590473750
33.317734	72.578484	11675	3559	668.6	361	415.4	2560	13	204	7223	1590473764
33.300934	72.569313	12150	3703	672.3	363	417.7	2752	14	204	7223	1590473776
33.249069	72.540909	13600	4145	690.8	373	429.2	2816	14.3	204	7223	1590473808
33.199661	72.513855	15025	4580	705.6	381	438.4	2944	15	204	7223	1590473840
33.149384	72.48645	16575	5052	716.7	387	445.4	3264	16.6	204	7223	1590473870
33.09687	72.457863	18200	5547	724.1	391	450	2688	13.7	204	7223	1590473902
32.994095	72.401825	20600	6279	766.7	414	476.4	2432	12.4	204	7223	1590473964
32.88464	72.342278	23025	7018	794.5	429	493.7	2240	11.4	204	7223	1590474026
32.768448	72.279335	25250	7696	818.6	442	508.6	2240	11.4	204	7223	1590474088
32.650249	72.215378	26750	8153	827.8	447	514.4	1920	9.8	204	7223	1590474151
32.529099	72.150238	28075	8557	866.7	468	538.6	1280	6.5	204	7223	1590474214
32.403076	72.078934	29275	8923	892.7	482	554.7	768	3.9	206	7223	1590474277
32.280487	72.006485	31200	9510	870.4	470	540.9	1984	10.1	206	7223	1590474340
32.163406	71.937523	33025	10066	848.2	458	527.1	1536	7.8	206	7223	1590474400
32.047943	71.869484	34125	10401	861.2	465	535.1	1024	5.2	206	7223	1590474460
31.927872	71.799004	35200	10729	870.4	470	540.9	1152	5.9	206	7223	1590474522
31.808771	71.729347	36700	11186	853.8	461	530.5	1856	9.4	206	7223	1590474584
31.692123	71.661285	37750	11506	846.4	457	525.9	768	3.9	206	7223	1590474646
31.574295	71.592781	38000	11582	848.2	458	527.1	0	0	206	7223	1590474708
31.454323	71.523193	38000	11582	846.4	457	525.9	0	0	206	7223	1590474770
31.33729	71.455627	38000	11582	846.4	457	525.9	0	0	206	7223	1590474832
31.220718	71.388245	38000	11582	844.5	456	524.8	0	0	206	7223	1590474894
31.101151	71.31942	38000	11582	842.7	455	523.6	0	0	206	7223	1590474958
30.982773	71.251778	37975	11575	840.8	454	522.5	0	0	206	7223	1590475020
30.867004	71.185425	38000	11582	839	453	521.3	0	0	206	7223	1590475082
30.749615	71.118401	38000	11582	839	453	521.3	0	0	206	7223	1590475144
30.633467	71.052483	38000	11582	844.5	456	524.8	0	0	206	7223	1590475204
30.515596	70.985519	38000	11582	846.4	457	525.9	0	0	206	7223	1590475266
30.398006	70.918945	37975	11575	850.1	459	528.2	0	0	206	7223	1590475328
30.280701	70.852821	37975	11575	851.9	460	529.4	0	0	206	7223	1590475390
30.165985	70.784912	38000	11582	848.2	458	527.1	0	0	208	7223	1590475450
30.050261	70.711906	38000	11582	848.2	458	527.1	0	0	208	3416	1590475512
29.936417	70.639717	37975	11575	840.8	454	522.5	0	0	208	3416	1590475574
29.822992	70.568306	38000	11582	839	453	521.3	0	0	208	3416	1590475636
29.709406	70.496895	38000	11582	840.8	454	522.5	0	0	208	3416	1590475696
29.595957	70.425865	38000	11582	842.7	455	523.6	0	0	208	3416	1590475758
29.481718	70.354294	37975	11575	844.5	456	524.8	64	0.3	208	3416	1590475820
29.367525	70.28315	38000	11582	846.4	457	525.9	0	0	208	3416	1590475882
29.253845	70.212387	37975	11575	848.2	458	527.1	0	0	208	3416	1590475942
29.138489	70.140839	38000	11582	840.8	454	522.5	0	0	208	3416	1590476005
29.025009	70.07048	38000	11582	839	453	521.3	0	0	208	3416	1590476066
28.910202	69.999657	38000	11582	833.4	450	517.9	0	0	208	3416	1590476128
28.796127	69.929459	37975	11575	827.8	447	514.4	0	0	208	3416	1590476190
28.682236	69.859314	37975	11575	827.8	447	514.4	0	0	208	3416	1590476253
28.56665	69.788536	38000	11582	824.1	445	512.1	0	0	208	3416	1590476316
28.453033	69.719131	38000	11582	824.1	445	512.1	0	0	208	3416	1590476380
28.293365	69.621895	38000	11582	826	446	513.2	0	0	208	3416	1590476467
27.673691	69.234596	38000	11582	811.2	438	504	0	0	211	3416	1590476812
27.566885	69.161949	37975	11575	809.3	437	502.9	0	0	211	3416	1590476874
27.458405	69.088356	38000	11582	809.3	437	502.9	0	0	211	3416	1590476937
27.351425	69.015854	38000	11582	811.2	438	504	0	0	211	3416	1590476999
27.244904	68.943771	37975	11575	814.9	440	506.3	0	0	211	3416	1590477060
27.207596	68.91861	38000	11582	818.6	442	508.6	0	0	211	3416	1590477080
27.046663	68.810066	38000	11582	822.3	444	510.9	0	0	211	3416	1590477173
26.937685	68.736969	38000	11582	820.4	443	509.8	0	0	211	3416	1590477234
26.830103	68.664764	38000	11582	822.3	444	510.9	0	0	211	3416	1590477294
26.720673	68.591583	37975	11575	818.6	442	508.6	0	0	210	3416	1590477357
26.612005	68.518929	38000	11582	818.6	442	508.6	0	0	211	3416	1590477419
26.504982	68.443718	37975	11575	818.6	442	508.6	0	0	212	3416	1590477480
26.399368	68.36937	37150	11323	801.9	433	498.3	-2368	-12	212	3416	1590477543
26.292755	68.294853	34400	10485	820.4	443	509.8	-3136	-15.9	212	3416	1590477605
26.18475	68.219711	31175	9502	839	453	521.3	-3712	-18.9	212	3416	1590477666
26.074467	68.143173	27900	8504	827.8	447	514.4	-2880	-14.6	212	3416	1590477728
25.97113	68.071083	25275	7704	785.2	424	487.9	-2624	-13.3	212	3416	1590477788
25.871407	68.001938	22650	6904	753.8	407	468.4	-2688	-13.7	212	3416	1590477849
25.774704	67.935081	20100	6126	722.3	390	448.8	-2624	-13.3	211	3416	1590477911
25.681137	67.870735	17575	5357	694.5	375	431.5	-2496	-12.7	212	3416	1590477973
25.636225	67.839699	16375	4991	683.4	369	424.6	-2496	-12.7	212	3416	1590478004
25.591553	67.808739	15150	4618	677.8	366	421.2	-2560	-13	212	3416	1590478034
25.547516	67.77832	13925	4244	668.6	361	415.4	-2496	-12.7	212	3416	1590478066
25.50341	67.748177	12725	3879	661.2	357	410.8	-2432	-12.4	211	3416	1590478096
25.460449	67.718712	11525	3513	653.8	353	406.2	-2432	-12.4	211	3416	1590478128
25.443604	67.707161	11075	3376	651.9	352	405.1	-2432	-12.4	211	3416	1590478139
25.4263	67.695366	10575	3223	648.2	350	402.8	-1920	-9.8	211	3416	1590478152
25.411835	67.685448	10425	3178	633.4	342	393.6	-256	-1.3	211	3416	1590478162
25.397003	67.675224	10425	3178	622.3	336	386.7	64	0.3	211	3416	1590478174
25.381851	67.664795	10400	3170	626	338	389	-576	-2.9	211	3416	1590478184
25.364639	67.652977	10250	3124	624.1	337	387.8	-640	-3.3	211	3416	1590478198
25.348438	67.641785	10100	3078	605.6	327	376.3	-512	-2.6	211	3416	1590478210
25.333261	67.631371	9975	3040	588.9	318	365.9	-320	-1.6	211	3416	1590478222
25.318451	67.621307	9950	3033	563	304	349.8	0	0	211	3416	1590478234
25.304028	67.611473	9900	3018	540.8	292	336	-640	-3.3	211	3416	1590478247
25.291645	67.602974	9675	2949	535.2	289	332.6	-1536	-7.8	211	3416	1590478258
25.279308	67.594521	9400	2865	538.9	291	334.9	-1600	-8.1	211	3416	1590478269
25.266586	67.585854	9100	2774	535.2	289	332.6	-1792	-9.1	211	3416	1590478280
25.251526	67.575584	8700	2652	533.4	288	331.4	-1792	-9.1	211	3416	1590478292
25.236713	67.565506	8350	2545	529.7	286	329.1	-1856	-9.4	211	3416	1590478306
25.223099	67.556206	7975	2431	527.8	285	328	-1984	-10.1	211	3416	1590478319
25.209526	67.546898	7600	2316	524.1	283	325.7	-1920	-9.8	211	3416	1590478331
25.195541	67.537384	7200	2195	522.3	282	324.5	-1984	-10.1	211	3416	1590478342
25.182037	67.528076	6900	2103	518.6	280	322.2	-1216	-6.2	212	3416	1590478354
25.170319	67.520088	6675	2035	518.6	280	322.2	-1536	-7.8	211	3416	1590478366
25.157959	67.511597	6375	1943	518.6	280	322.2	-1536	-7.8	212	3416	1590478376
25.144213	67.502075	6100	1859	518.6	280	322.2	-1344	-6.8	212	3416	1590478389
25.132017	67.493835	5850	1783	516.7	279	321.1	-1472	-7.5	211	3416	1590478400
25.117996	67.484283	5550	1692	516.7	279	321.1	-1472	-7.5	211	3416	1590478412
25.104996	67.475487	5275	1608	514.9	278	319.9	-1472	-7.5	211	3416	1590478424
25.09133	67.466164	5025	1532	511.2	276	317.6	-1280	-6.5	211	3416	1590478438
25.077272	67.45652	4800	1463	501.9	271	311.9	-384	-2	211	3416	1590478450
25.070475	67.451912	4750	1448	494.5	267	307.3	-384	-2	211	3416	1590478456
25.064423	67.447762	4700	1433	487.1	263	302.7	-640	-3.3	211	3416	1590478462
25.057859	67.443306	4650	1417	477.8	258	296.9	-512	-2.6	211	3416	1590478468
25.051895	67.43927	4600	1402	472.3	255	293.4	-576	-2.9	211	3416	1590478474
25.045486	67.434944	4550	1387	464.9	251	288.8	-448	-2.3	211	3416	1590478481
25.039099	67.430611	4500	1372	457.4	247	284.2	-512	-2.6	211	3416	1590478488
25.033327	67.42672	4450	1356	450	243	279.6	-640	-3.3	211	3416	1590478494
25.027313	67.422638	4400	1341	440.8	238	273.9	-64	-0.3	212	3416	1590478500
25.021688	67.418739	4375	1334	429.7	232	267	-256	-1.3	212	3416	1590478506
25.01573	67.41465	4325	1318	420.4	227	261.2	-768	-3.9	211	3416	1590478513
25.010513	67.411095	4275	1303	413	223	256.6	-448	-2.3	212	3416	1590478519
25.004654	67.407021	4175	1273	405.6	219	252	-1088	-5.5	212	3416	1590478525
24.99371	67.39962	3950	1204	398.2	215	247.4	-896	-4.6	211	3416	1590478538
24.98877	67.39624	3875	1181	392.6	212	244	-704	-3.6	211	3416	1590478544
24.983734	67.392883	3750	1143	388.9	210	241.7	-1408	-7.2	211	3416	1590478550
24.978209	67.389099	3625	1105	385.2	208	239.4	-1216	-6.2	211	3416	1590478556
24.973389	67.385811	3500	1067	381.5	206	237.1	-1280	-6.5	212	3416	1590478562
24.968107	67.38221	3375	1029	379.7	205	235.9	-1152	-5.9	212	3416	1590478568
24.96373	67.378372	3275	998	368.5	199	229	-1152	-5.9	224	3416	1590478574
24.960571	67.373657	3200	975	359.3	194	223.3	-768	-3.9	237	3416	1590478580
24.958008	67.368011	3150	960	342.6	185	212.9	-64	-0.3	246	3416	1590478587
24.956406	67.363182	3150	960	327.8	177	203.7	0	0	251	3416	1590478593
24.954885	67.35775	3150	960	311.1	168	193.3	0	0	253	3416	1590478600
24.953583	67.352821	3150	960	298.2	161	185.3	0	0	254	3416	1590478606
24.952377	67.347969	3150	960	283.4	153	176.1	0	0	254	3416	1590478612
24.951187	67.343193	3150	960	281.5	152	174.9	-192	-1	254	3416	1590478618
24.95009	67.338623	3100	945	279.7	151	173.8	-320	-1.6	256	3416	1590478624
24.948927	67.333809	3050	930	281.5	152	174.9	-768	-3.9	254	3416	1590478630
24.947845	67.329559	2975	907	283.4	153	176.1	-768	-3.9	254	3416	1590478636
