latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
38.968971	121.498108	1749	533	309.3	167	192.2	0	0	275	0	1590473536
38.969528	121.489502	2001	610	296.3	160	184.1	0	0	276	0	1590473547
38.970657	121.474991	2575	785	318.5	172	197.9	0	0	275	0	1590473558
38.97171	121.460365	3100	945	338.9	183	210.6	0	0	276	0	1590473570
38.972832	121.445374	3625	1105	355.6	192	220.9	0	0	276	0	1590473580
38.973812	121.431885	3976	1212	361.1	195	224.4	0	0	275	0	1590473592
38.975021	121.415588	4551	1387	381.5	206	237.1	0	0	276	0	1590473602
38.975967	121.403404	4951	1509	374.1	202	232.5	0	0	280	0	1590473614
38.981865	121.381714	5650	1722	409.3	221	254.3	0	0	298	0	1590473626
39.002014	121.366447	6749	2057	418.6	226	260.1	0	0	338	0	1590473648
39.026463	121.367859	7875	2400	448.2	242	278.5	2880	14.6	5	0	1590473670
39.040615	121.371094	8525	2598	450	243	279.6	3136	15.9	9	0	1590473682
39.046432	121.374512	8775	2675	459.3	248	285.4	2880	14.6	27	0	1590473688
39.053238	121.381073	9125	2781	470.4	254	292.3	2688	13.7	42	0	1590473694
39.058228	121.388535	9375	2858	485.2	262	301.5	1984	10.1	52	0	1590473702
39.061798	121.396423	9525	2903	501.9	271	311.9	1280	6.5	63	0	1590473708
39.064499	121.406929	9700	2957	524.1	283	325.7	1920	9.8	76	0	1590473714
39.065426	121.417297	9925	3025	533.4	288	331.4	2624	13.3	86	0	1590473720
39.063099	121.45166	10850	3307	550	297	341.8	2240	11.4	96	7301	1590473740
39.062214	121.462341	11050	3368	557.5	301	346.4	2176	11.1	96	7301	1590473746
39.060059	121.487892	11600	3536	570.4	308	354.4	2560	13	96	7301	1590473760
39.058212	121.510864	12150	3703	577.8	312	359	2176	11.1	95	7301	1590473772
39.052322	121.570465	13350	4069	607.5	328	377.5	2368	12	105	7301	1590473804
39.048843	121.582588	13600	4145	613	331	380.9	2304	11.7	112	7301	1590473810
39.044586	121.592682	13825	4214	616.7	333	383.2	2496	12.7	121	7301	1590473816
39.039173	121.602539	14125	4305	616.7	333	383.2	3008	15.3	125	7301	1590473822
39.01096	121.649109	15374	4686	542.6	293	337.2	0	0	128	7301	1590473858
38.987637	121.687195	16348	4983	594.5	321	369.4	0	0	128	7301	1590473880
38.966873	121.721191	17201	5243	598.2	323	371.7	0	0	127	7301	1590473902
38.947174	121.781593	18301	5578	601.9	325	374	0	0	96	7301	1590473936
38.939068	121.880829	18724	5707	664.9	359	413.1	0	0	96	7301	1590473980
38.922421	122.086243	20925	6378	733.4	396	455.7	0	0	96	7301	1590474060
38.916039	122.164253	21975	6698	740.8	400	460.3	0	0	96	7301	1590474092
38.909107	122.249329	23074	7033	744.5	402	462.6	0	0	95	7301	1590474126
38.908077	122.346375	23875	7277	746.4	403	463.8	0	0	90	7301	1590474166
38.90855	122.427666	24600	7498	761.2	411	473	0	0	86	7301	1590474198
38.919201	122.49559	25249	7696	768.6	415	477.6	0	0	72	7301	1590474224
39.037769	122.660622	27149	8275	772.3	417	479.9	0	0	251	7301	1590474314
39.104576	122.7146	28150	8580	776	419	482.2	0	0	32	7301	1590474354
39.15926	122.758659	28950	8824	781.5	422	485.6	0	0	32	7301	1590474386
39.28944	122.855751	29101	8870	792.7	428	492.5	0	0	29	0	1590474462
39.669907	123.131805	29124	8877	809.3	437	502.9	0	0	29	0	1590474672
39.731449	123.173706	29101	8870	744.5	402	462.6	0	0	29	0	1590474714
39.900421	123.296516	29101	8870	779.7	421	484.5	0	0	29	0	1590474812
40.026409	123.387756	29101	8870	807.5	436	501.7	0	0	27	0	1590474881
40.364407	123.423767	29101	8870	805.6	435	500.6	0	0	56	0	1590475050
40.460037	123.426819	29101	8870	794.5	429	493.7	0	0	1	0	1590475098
40.536659	123.4319	29101	8870	796.4	430	494.8	0	0	7	0	1590475136
40.57402	123.443542	29101	8870	796.4	430	494.8	0	0	18	0	1590475156
40.630978	123.477531	29101	8870	800.1	432	497.1	0	0	29	0	1590475186
40.689079	123.519722	29101	8870	805.6	435	500.6	0	0	29	0	1590475218
41.212688	123.897339	29101	8870	835.3	451	519	0	0	28	0	1590475508
41.298679	123.959297	29101	8870	833.4	450	517.9	0	0	29	0	1590475554
41.35524	124.000122	29101	8870	839	453	521.3	0	0	29	0	1590475585
41.431858	124.055573	29101	8870	835.3	451	519	0	0	29	0	1590475626
41.494999	124.102249	29101	8870	839	453	521.3	0	0	30	0	1590475660
41.633438	124.206566	29101	8870	848.2	458	527.1	0	0	30	0	1590475734
41.689178	124.248627	29101	8870	850.1	459	528.2	0	0	30	0	1590475764
41.744019	124.290077	29101	8870	837.1	452	520.2	0	0	30	0	1590475797
41.780777	124.322098	29101	8870	842.7	455	523.6	0	0	38	0	1590475816
41.826527	124.383247	29124	8877	846.4	457	525.9	0	0	46	0	1590475845
41.8895	124.467476	29101	8870	846.4	457	525.9	0	0	43	0	1590475888
41.94516	124.56105	29101	8870	848.2	458	527.1	0	0	60	0	1590475930
41.97047	124.63868	29101	8870	846.4	457	525.9	0	0	72	0	1590475960
