latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
43.35046	77.020485	0	0	16.7	9	10.4	0	0	53	0	1590474984
43.350281	77.020241	0	0	16.7	9	10.4	0	0	84	0	1590475010
43.350246	77.020424	0	0	24.1	13	15	0	0	92	0	1590475294
43.35022	77.020996	0	0	35.2	19	21.9	0	0	92	0	1590475308
43.350197	77.021667	0	0	44.4	24	27.6	0	0	92	0	1590475320
43.350048	77.022255	0	0	48.2	26	29.9	0	0	112	0	1590475329
43.349785	77.022591	0	0	48.2	26	29.9	0	0	135	0	1590475336
43.349178	77.023308	0	0	42.6	23	26.5	0	0	137	0	1590475355
43.348919	77.023613	0	0	20.4	11	12.7	0	0	140	0	1590475365
43.348675	77.023903	0	0	27.8	15	17.3	0	0	137	0	1590475450
43.348389	77.024254	0	0	35.2	19	21.9	0	0	137	0	1590475461
43.348034	77.024673	0	0	42.6	23	26.5	0	0	140	0	1590475474
43.347618	77.025345	0	0	42.6	23	26.5	0	0	123	0	1590475488
43.34758	77.02562	0	0	38.9	21	24.2	0	0	106	0	1590475494
43.347767	77.026062	0	0	37	20	23	0	0	61	0	1590475503
43.348011	77.026535	0	0	55.6	30	34.5	0	0	56	0	1590475569
43.348297	77.027107	0	0	50	27	31.1	0	0	56	0	1590475575
43.350597	77.031754	0	0	155.6	84	96.7	0	0	56	0	1590475588
43.364807	77.060593	2300	701	342.6	185	212.9	1984	10.1	56	3416	1590475626
43.37027	77.07222	2725	831	335.2	181	208.3	2304	11.7	56	3416	1590475638
43.373108	77.078094	2975	907	335.2	181	208.3	2432	12.4	56	3416	1590475644
43.375793	77.083611	3200	975	333.4	180	207.1	2048	10.4	56	3416	1590475650
43.37896	77.090019	3425	1044	335.2	181	208.3	1984	10.1	55	3416	1590475656
43.381805	77.095856	3600	1097	338.9	183	210.6	1920	9.8	55	3416	1590475663
43.387619	77.107544	3975	1212	338.9	183	210.6	1472	7.5	55	3416	1590475674
43.390549	77.113495	4075	1242	340.8	184	211.7	960	4.9	56	3416	1590475680
43.393436	77.119377	4175	1273	346.3	187	215.2	896	4.6	55	3416	1590475686
43.396317	77.125175	4275	1303	350	189	217.5	1152	5.9	55	3416	1590475693
43.401947	77.133797	4425	1349	357.4	193	222.1	704	3.6	39	3416	1590475702
43.406517	77.137428	4500	1372	361.1	195	224.4	832	4.2	24	3416	1590475708
43.412197	77.139458	4600	1402	364.8	197	226.7	960	4.9	8	3416	1590475714
43.417503	77.139259	4700	1433	364.8	197	226.7	1152	5.9	353	3416	1590475720
43.422958	77.136925	4825	1471	361.1	195	224.4	1280	6.5	334	3416	1590475726
43.427261	77.133156	4975	1516	357.4	193	222.1	1728	8.8	323	3416	1590475732
43.431427	77.127731	5125	1562	353.7	191	219.8	1088	5.5	313	3416	1590475739
43.434959	77.121994	5225	1593	357.4	193	222.1	832	4.2	309	3416	1590475745
43.438499	77.115715	5300	1615	366.7	198	227.9	384	2	306	3416	1590475751
43.441666	77.109703	5325	1623	376	203	233.6	384	2	305	3416	1590475757
43.44511	77.102966	5375	1638	387.1	209	240.5	448	2.3	304	3416	1590475763
43.45195	77.088974	5450	1661	405.6	219	252	448	2.3	303	3416	1590475776
43.458935	77.074326	5550	1692	426	230	264.7	448	2.3	302	3416	1590475788
43.466152	77.058891	5650	1722	450	243	279.6	704	3.6	302	3416	1590475800
43.473831	77.042542	5800	1768	474.1	256	294.6	768	3.9	302	3416	1590475812
43.481838	77.025406	5950	1814	496.3	268	308.4	832	4.2	302	3416	1590475824
43.490124	77.007622	6150	1875	520.4	281	323.4	960	4.9	302	3416	1590475836
43.498947	76.988289	6375	1943	538.9	291	334.9	1472	7.5	301	3416	1590475849
43.504417	76.973221	6625	2019	550	297	341.8	1792	9.1	291	3416	1590475858
43.50705	76.960632	6850	2088	557.5	301	346.4	2048	10.4	283	3416	1590475864
43.508232	76.950531	7025	2141	559.3	302	347.5	2112	10.7	278	3416	1590475870
43.509018	76.939682	7250	2210	561.2	303	348.7	2496	12.7	274	3416	1590475876
43.50975	76.925888	7550	2301	555.6	300	345.2	2560	13	274	3416	1590475882
43.510437	76.915985	7775	2370	555.6	300	345.2	2560	13	275	3416	1590475888
43.512955	76.887878	8350	2545	551.9	298	342.9	2112	10.7	277	3416	1590475902
43.515682	76.864861	8775	2675	553.7	299	344.1	1856	9.4	280	3416	1590475915
43.519958	76.842529	9150	2789	557.5	301	346.4	1984	10.1	285	3416	1590475928
43.52449	76.820045	9625	2934	555.6	300	345.2	2496	12.7	285	3416	1590475939
43.528793	76.798073	10125	3086	550	297	341.8	2432	12.4	284	3416	1590475952
43.533188	76.775337	10450	3185	557.5	301	346.4	768	3.9	284	3416	1590475963
43.537655	76.752251	10625	3239	579.7	313	360.2	704	3.6	284	3416	1590475975
43.542252	76.728386	10750	3277	600	324	372.9	704	3.6	284	3416	1590475988
43.546967	76.703987	10925	3330	620.4	335	385.5	832	4.2	284	3416	1590475999
43.551853	76.678749	11075	3376	637.1	344	395.9	768	3.9	284	3416	1590476013
43.556789	76.653114	11225	3421	653.8	353	406.2	704	3.6	284	3416	1590476024
43.561157	76.63047	11350	3459	670.4	362	416.6	832	4.2	284	3416	1590476034
43.566559	76.602554	11550	3520	685.2	370	425.8	1088	5.5	284	3416	1590476047
43.571274	76.578156	11750	3581	694.5	375	431.5	1344	6.8	284	3416	1590476057
43.576618	76.550377	12075	3680	700.1	378	435	1920	9.8	284	3416	1590476070
43.590683	76.476913	13100	3993	703.8	380	437.3	1920	9.8	284	3416	1590476100
43.605286	76.400459	14125	4305	709.3	383	440.7	1856	9.4	284	3416	1590476132
43.619122	76.327774	15075	4595	714.9	386	444.2	1792	9.1	284	3416	1590476164
43.633224	76.253159	15950	4862	726	392	451.1	1472	7.5	284	3416	1590476195
43.648041	76.174538	16850	5136	737.1	398	458	1856	9.4	284	3416	1590476226
43.66209	76.099617	17825	5433	738.9	399	459.2	1984	10.1	284	3416	1590476257
43.676468	76.022774	18650	5685	748.2	404	464.9	1408	7.2	284	3416	1590476288
43.70549	75.866539	20150	6142	768.6	415	477.6	1472	7.5	284	3416	1590476350
43.734665	75.707901	21700	6614	779.7	421	484.5	1472	7.5	284	3416	1590476411
43.763809	75.548317	22975	7003	798.2	431	496	1152	5.9	284	3416	1590476472
43.793884	75.38224	24300	7407	811.2	438	504	1216	6.2	284	3416	1590476534
43.823624	75.216263	25650	7818	816.7	441	507.5	1344	6.8	283	3416	1590476594
43.853653	75.04715	26775	8161	826	446	513.2	896	4.6	283	3416	1590476655
43.884048	74.874504	27550	8397	842.7	455	523.6	832	4.2	283	3416	1590476718
43.913956	74.703011	28425	8664	853.8	461	530.5	768	3.9	283	3416	1590476777
43.944305	74.52729	29150	8885	864.9	467	537.4	832	4.2	283	3416	1590476838
43.974968	74.347755	29675	9045	883.4	477	548.9	384	2	283	3416	1590476900
44.007042	74.157913	30450	9281	889	480	552.4	768	3.9	283	3416	1590476962
44.037766	73.974541	31250	9525	892.7	482	554.7	192	1	283	3416	1590477024
44.069138	73.785202	31950	9738	898.2	485	558.1	1024	5.2	282	3416	1590477086
