latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
22.949856	120.210121	0	0	0	0	0	0	0	103	0	1590474418
22.949604	120.21003	0	0	27.8	15	17.3	0	0	180	0	1590474536
22.949421	120.21032	0	0	33.3	18	20.7	0	0	89	0	1590474552
22.949478	120.210556	0	0	37	20	23	0	0	56	0	1590474558
22.949776	120.210686	0	0	40.7	22	25.3	0	0	14	0	1590474566
22.950005	120.210754	0	0	38.9	21	24.2	0	0	14	0	1590474573
22.950336	120.210838	0	0	40.7	22	25.3	0	0	14	0	1590474582
22.950737	120.210907	0	0	44.4	24	27.6	0	0	2	0	1590474591
22.951069	120.210892	0	0	50	27	31.1	0	0	357	0	1590474597
22.951401	120.210876	0	0	55.6	30	34.5	0	0	357	0	1590474604
22.951767	120.210876	0	0	61.1	33	38	0	0	357	0	1590474610
22.952488	120.210854	0	0	29.6	16	18.4	0	0	357	0	1590474619
22.952991	120.210838	0	0	31.5	17	19.6	0	0	358	0	1590474625
22.953478	120.210823	0	0	33.3	18	20.7	0	0	357	0	1590474631
22.95401	120.210815	0	0	33.3	18	20.7	0	0	359	0	1590474638
22.954514	120.210815	0	0	33.3	18	20.7	0	0	357	0	1590474644
22.955013	120.210747	0	0	59.3	32	36.8	0	0	334	0	1590474650
22.955177	120.210457	0	0	53.7	29	33.4	0	0	272	0	1590474656
22.955175	120.21006	0	0	55.6	30	34.5	0	0	267	0	1590474662
22.955166	120.209618	0	0	27.8	15	17.3	0	0	270	0	1590474669
22.955141	120.208801	0	0	31.5	17	19.6	0	0	270	0	1590474678
22.95513	120.207962	0	0	29.6	16	18.4	0	0	267	0	1590474687
22.955246	120.207558	0	0	59.3	32	36.8	0	0	315	0	1590474694
22.955851	120.20742	0	0	31.5	17	19.6	0	0	357	0	1590474702
22.956493	120.207405	0	0	40.7	22	25.3	0	0	357	0	1590474709
22.957144	120.20739	0	0	48.2	26	29.9	0	0	359	0	1590474716
22.957947	120.207375	0	0	53.7	29	33.4	0	0	359	0	1590474722
22.959167	120.207344	0	0	48.2	26	29.9	0	0	357	0	1590474731
22.959927	120.207321	0	0	48.2	26	29.9	0	0	358	0	1590474737
22.96068	120.207306	0	0	48.2	26	29.9	0	0	357	0	1590474744
22.96146	120.207298	0	0	48.2	26	29.9	0	0	1	0	1590474750
22.962204	120.207268	0	0	48.2	26	29.9	0	0	359	0	1590474756
22.962961	120.207253	0	0	37	20	23	0	0	359	0	1590474762
22.963415	120.207161	0	0	59.3	32	36.8	0	0	337	0	1590474769
22.963863	120.207069	0	0	37	20	23	0	0	5	0	1590474778
22.963886	120.207321	0	0	29.6	16	18.4	0	0	8	0	1590474790
22.963625	120.207237	0	0	29.6	16	18.4	0	0	8	0	1590474800
22.963299	120.207253	0	0	55.6	30	34.5	0	0	180	0	1590474818
22.962444	120.207268	0	0	81.5	44	50.6	0	0	177	0	1590474824
22.960728	120.207306	0	0	137	74	85.2	0	0	180	0	1590474830
22.958364	120.207367	0	0	181.5	98	112.8	0	0	180	0	1590474836
22.955177	120.207443	0	0	213	115	132.3	0	0	180	0	1590474842
22.951721	120.207512	275	84	231.5	125	143.8	1216	6.2	179	0	1590474848
22.948105	120.207558	525	160	216.7	117	134.6	2304	11.7	179	0	1590474855
22.944807	120.20752	725	221	211.1	114	131.2	1984	10.1	180	0	1590474861
22.941101	120.207512	950	290	211.1	114	131.2	1856	9.4	180	0	1590474868
22.934784	120.207458	1325	404	205.6	111	127.7	1920	9.8	181	0	1590474880
22.930702	120.20742	1550	472	209.3	113	130	1856	9.4	179	0	1590474888
22.926838	120.20742	1750	533	216.7	117	134.6	1344	6.8	180	0	1590474895
22.923065	120.207405	1825	556	233.4	126	145	768	3.9	180	0	1590474902
22.918945	120.207306	1950	594	242.6	131	150.8	960	4.9	180	0	1590474909
22.911301	120.207161	2125	648	261.1	141	162.3	704	3.6	180	1041	1590474920
22.90724	120.207115	2225	678	268.5	145	166.9	1024	5.2	180	1041	1590474927
22.902695	120.207108	2375	724	268.5	145	166.9	1408	7.2	180	1041	1590474934
22.897417	120.207115	2525	770	272.2	147	169.2	1280	6.5	179	1041	1590474941
22.892899	120.207161	2675	815	274.1	148	170.3	1344	6.8	180	1041	1590474948
22.88887	120.206711	2800	853	270.4	146	168	1216	6.2	189	1041	1590474954
22.885313	120.205025	2950	899	261.1	141	162.3	1408	7.2	211	1041	1590474960
22.882553	120.202065	3075	937	257.4	139	160	1280	6.5	232	1041	1590474966
22.880814	120.197922	3200	975	261.1	141	162.3	1088	5.5	253	1041	1590474972
22.887547	120.183411	3650	1113	292.6	158	181.8	1088	5.5	324	1041	1590474996
22.8918	120.180443	3775	1151	298.2	161	185.3	1152	5.9	328	1041	1590475002
22.897976	120.176643	4000	1219	298.2	161	185.3	1408	7.2	331	1041	1590475012
22.903143	120.173645	4175	1273	296.3	160	184.1	1280	6.5	331	1041	1590475018
22.907089	120.171303	4300	1311	298.2	161	185.3	1280	6.5	331	1041	1590475026
22.914967	120.166725	4550	1387	298.2	161	185.3	1216	6.2	331	1041	1590475036
22.919083	120.16436	4675	1425	298.2	161	185.3	1280	6.5	331	1041	1590475043
22.922834	120.161896	4800	1463	294.5	159	183	1280	6.5	326	1041	1590475049
22.926512	120.15905	4950	1509	292.6	158	181.8	1280	6.5	324	1041	1590475055
22.930189	120.15625	5075	1547	292.6	158	181.8	1216	6.2	324	1041	1590475062
22.937452	120.150658	5300	1615	294.5	159	183	1152	5.9	324	1041	1590475073
22.943502	120.145927	5500	1676	296.3	160	184.1	1216	6.2	324	1041	1590475084
22.950897	120.14019	5725	1745	298.2	161	185.3	1088	5.5	324	1041	1590475095
22.958027	120.134636	5925	1806	303.7	164	188.7	1024	5.2	324	1041	1590475107
22.964996	120.129257	6100	1859	309.3	167	192.2	896	4.6	324	1041	1590475118
22.971817	120.123909	6250	1905	316.7	171	196.8	896	4.6	324	1041	1590475129
22.979416	120.118019	6425	1958	322.2	174	200.2	896	4.6	324	1041	1590475140
22.987289	120.111931	6575	2004	329.7	178	204.8	832	4.2	324	1041	1590475151
22.994431	120.106354	6700	2042	337.1	182	209.4	704	3.6	324	1041	1590475163
23.002159	120.100349	6850	2088	340.8	184	211.7	896	4.6	324	1041	1590475174
23.01026	120.094048	7050	2149	340.8	184	211.7	960	4.9	324	1041	1590475186
23.018509	120.087654	7225	2202	342.6	185	212.9	896	4.6	324	1041	1590475197
23.027437	120.080719	7425	2263	346.3	187	215.2	896	4.6	324	1041	1590475210
23.034668	120.075127	7575	2309	348.2	188	216.3	768	3.9	324	1041	1590475220
23.043962	120.067848	7750	2362	350	189	217.5	896	4.6	324	1041	1590475233
23.052155	120.061493	7925	2416	351.9	190	218.6	896	4.6	324	1041	1590475244
23.061172	120.054497	8100	2469	355.6	192	220.9	896	4.6	324	1041	1590475256
23.069147	120.048271	8275	2522	355.6	192	220.9	960	4.9	324	1041	1590475267
23.077667	120.041656	8450	2576	351.9	190	218.6	960	4.9	324	1041	1590475279
23.085907	120.035248	8625	2629	353.7	191	219.8	832	4.2	324	1041	1590475291
23.094315	120.028679	8800	2682	355.6	192	220.9	896	4.6	324	1041	1590475302
23.101595	120.023041	8950	2728	355.6	192	220.9	832	4.2	324	1041	1590475313
23.109604	120.016792	9100	2774	357.4	193	222.1	768	3.9	324	1041	1590475323
23.117376	120.010735	9225	2812	359.3	194	223.3	704	3.6	324	1041	1590475334
23.126873	120.003357	9400	2865	361.1	195	224.4	768	3.9	324	1041	1590475346
23.135925	119.996323	9550	2911	364.8	197	226.7	832	4.2	324	1041	1590475359
23.143864	119.990181	9700	2957	364.8	197	226.7	768	3.9	324	1041	1590475370
23.152039	119.983833	9850	3002	361.1	195	224.4	832	4.2	324	1041	1590475381
23.160324	119.977348	10000	3048	363	196	225.6	768	3.9	324	1041	1590475392
23.168381	119.971054	10100	3078	366.7	198	227.9	640	3.3	324	1041	1590475403
23.177288	119.964142	10250	3124	368.5	199	229	704	3.6	324	1041	1590475415
23.185434	119.957787	10400	3170	368.5	199	229	896	4.6	324	1041	1590475425
23.194977	119.950378	10600	3231	364.8	197	226.7	768	3.9	324	1041	1590475438
23.204288	119.943138	10725	3269	368.5	199	229	576	2.9	324	1041	1590475450
