latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
18.308681	109.410034	0	0	0	0	0	0	0	351	0	1590474797
18.308424	109.410072	0	0	16.7	9	10.4	0	0	351	0	1590474968
18.308216	109.410095	0	0	16.7	9	10.4	0	0	351	0	1590474986
18.308006	109.410141	0	0	16.7	9	10.4	0	0	5	4272	1590475006
18.307796	109.410172	0	0	16.7	9	10.4	0	0	36	4272	1590475026
18.307594	109.41011	0	0	3.7	2	2.3	0	0	81	4272	1590475048
18.307621	109.410423	0	0	29.6	16	18.4	0	0	81	4272	1590475328
18.307674	109.410805	0	0	37	20	23	0	0	81	4272	1590475340
18.307737	109.411278	0	0	42.6	23	26.5	0	0	81	4272	1590475354
18.307777	109.411606	0	0	46.3	25	28.8	0	0	81	4272	1590475360
18.3078	109.412239	0	0	50	27	31.1	0	0	101	4272	1590475372
18.307194	109.412621	0	0	50	27	31.1	0	0	171	4272	1590475386
18.305363	109.41288	0	0	53.7	29	33.4	0	0	171	4272	1590475421
18.305004	109.412941	0	0	44.4	24	27.6	0	0	171	4272	1590475429
18.304783	109.413269	0	0	42.6	23	26.5	0	0	106	4272	1590475436
18.304817	109.413513	0	0	42.6	23	26.5	0	0	78	4272	1590475444
18.304916	109.414238	0	0	51.9	28	32.2	0	0	81	4272	1590475456
18.304956	109.414543	0	0	55.6	30	34.5	0	0	81	4272	1590475462
18.305008	109.414925	0	0	59.3	32	36.8	0	0	81	4272	1590475468
18.305073	109.415451	0	0	63	34	39.1	0	0	81	4272	1590475474
18.305132	109.415886	0	0	29.6	16	18.4	0	0	81	4272	1590475480
18.305191	109.416359	0	0	31.5	17	19.6	0	0	81	4272	1590475486
18.305305	109.417229	0	0	33.3	18	20.7	0	0	81	4272	1590475496
18.305511	109.418777	0	0	38.9	21	24.2	0	0	81	4272	1590475512
18.305649	109.419907	0	0	42.6	23	26.5	0	0	81	4272	1590475522
18.305809	109.421066	0	0	29.6	16	18.4	0	0	81	4272	1590475534
18.305855	109.42141	0	0	61.1	33	38	0	0	81	4272	1590475540
18.306131	109.423553	0	0	37	20	23	0	0	81	4272	1590475564
18.306435	109.425911	0	0	38.9	21	24.2	0	0	81	4272	1590475586
18.306507	109.426498	0	0	63	34	39.1	0	0	81	4272	1590475593
18.306576	109.426994	0	0	42.6	23	26.5	0	0	84	4272	1590475602
18.306551	109.4272	0	0	44.4	24	27.6	0	0	98	4272	1590475608
18.306438	109.427505	0	0	44.4	24	27.6	0	0	118	4272	1590475615
18.306156	109.427826	0	0	16.7	9	10.4	0	0	137	4272	1590475626
18.305702	109.428001	0	0	37	20	23	0	0	171	4272	1590475722
18.305477	109.428032	0	0	42.6	23	26.5	0	0	174	4272	1590475728
18.305212	109.428062	0	0	42.6	23	26.5	0	0	174	4272	1590475734
18.304968	109.427986	0	0	35.2	19	21.9	0	0	222	4272	1590475742
18.304916	109.42775	0	0	27.8	15	17.3	0	0	253	4272	1590475750
18.304899	109.427437	0	0	46.3	25	28.8	0	0	261	4272	1590475854
18.304756	109.426331	0	0	81.5	44	50.6	0	0	261	4272	1590475860
18.304537	109.424637	0	0	125.9	68	78.3	0	0	261	4272	1590475866
18.304201	109.422043	0	0	174.1	94	108.2	0	0	261	4272	1590475872
