latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
32.361881	34.910114	2325	709	0	0	0	320	1.6	8	0	1590474886
32.396523	34.909691	2375	724	0	0	0	0	0	8	0	1590474921
32.41259	34.909653	2400	732	0	0	0	0	0	8	7000	1590474933
32.418751	34.908978	2425	739	0	0	0	64	0.3	355	7000	1590474996
32.448685	34.915493	2400	732	185.2	100	115.1	0	0	29	5100	1590475032
32.457966	34.923332	2400	732	185.2	100	115.1	0	0	29	7000	1590475045
32.459385	34.926323	2375	724	185.2	100	115.1	-192	-1	29	7000	1590475060
32.46365	34.931583	2350	716	185.2	100	115.1	-64	-0.3	29	7000	1590475093
32.470657	34.942749	2350	716	185.2	100	115.1	0	0	29	5100	1590475118
32.473621	34.954479	2400	732	185.2	100	115.1	64	0.3	29	5100	1590475126
32.472961	34.960659	2400	732	214.8	116	133.5	0	0	80	5100	1590475164
32.477917	34.978855	2300	701	214.8	116	133.5	-128	-0.7	80	5100	1590475176
32.47818	34.992809	2275	693	214.8	116	133.5	-64	-0.3	80	5100	1590475274
32.488716	35.029705	2325	709	214.8	116	133.5	0	0	80	5100	1590475308
32.494858	35.04496	2325	709	214.8	116	133.5	0	0	80	5100	1590475336
32.500454	35.054363	2400	732	214.8	116	133.5	128	0.7	80	5100	1590475346
32.51083	35.051666	2400	732	187.1	101	116.2	-448	-2.3	49	5100	1590475352
32.514481	35.05072	2400	732	407.4	220	253.2	0	0	265	5100	1590475376
32.642414	34.985046	2350	716	503.7	272	313	0	0	166	5100	1590475418
32.650936	34.980923	2350	716	503.7	272	313	0	0	166	5100	1590475478
32.552185	35.136833	2300	701	503.7	272	313	0	0	166	5100	1590475634
32.544624	35.16766	2350	716	503.7	272	313	0	0	166	5100	1590475657
32.54673	35.175247	2325	709	503.7	272	313	0	0	166	7000	1590475740
