latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
2.913849	-58.185501	37025	11285	868.6	469	539.7	896	4.6	348	4207	1590474914
3.062531	-58.216461	37875	11544	864.9	467	537.4	576	2.9	348	4207	1590474982
3.173978	-58.239662	38000	11582	874.1	472	543.2	0	0	348	4207	1590475036
3.312564	-58.268547	38000	11582	868.6	469	539.7	0	0	348	4207	1590475100
3.44577	-58.296249	38000	11582	866.7	468	538.6	0	0	348	4207	1590475162
3.635078	-58.335697	38000	11582	868.6	469	539.7	0	0	348	4207	1590475250
3.765747	-58.362961	38000	11582	870.4	470	540.9	0	0	348	6032	1590475312
3.896805	-58.39024	38000	11582	874.1	472	543.2	0	0	348	6032	1590475374
4.028538	-58.417717	38000	11582	876	473	544.3	0	0	348	6032	1590475434
4.162748	-58.445751	38000	11582	874.1	472	543.2	0	0	348	6032	1590475498
4.295841	-58.473454	38000	11582	874.1	472	543.2	0	0	348	6032	1590475560
4.430328	-58.501545	38000	11582	872.3	471	542	0	0	348	6032	1590475622
4.560837	-58.528824	38000	11582	868.6	469	539.7	0	0	348	6032	1590475684
4.695969	-58.557083	38000	11582	868.6	469	539.7	0	0	348	6032	1590475746
4.827164	-58.584454	38000	11582	872.3	471	542	0	0	348	6032	1590475808
4.954508	-58.611115	38000	11582	868.6	469	539.7	0	0	348	6032	1590475868
5.086761	-58.638783	38000	11582	864.9	467	537.4	0	0	348	6032	1590475930
5.218413	-58.666283	38000	11582	861.2	465	535.1	0	0	348	6032	1590475992
5.347778	-58.693386	38000	11582	859.3	464	534	0	0	348	6032	1590476054
5.484375	-58.72197	38000	11582	861.2	465	535.1	-64	-0.3	348	6032	1590476118
5.616015	-58.74958	38000	11582	861.2	465	535.1	0	0	348	6032	1590476180
5.746781	-58.776997	38000	11582	863	466	536.3	0	0	348	6032	1590476242
5.876149	-58.804039	38000	11582	864.9	467	537.4	0	0	348	6032	1590476302
6.00975	-58.832066	38000	11582	866.7	468	538.6	0	0	348	6032	1590476366
6.141963	-58.859821	38000	11582	868.6	469	539.7	-64	-0.3	348	6032	1590476428
6.27626	-58.888023	38000	11582	861.2	465	535.1	0	0	348	6032	1590476490
6.405441	-58.915115	38000	11582	855.6	462	531.7	0	0	348	6032	1590476552
6.533707	-58.942116	38000	11582	851.9	460	529.4	0	0	348	6032	1590476612
