latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
13.910053	100.599365	0	0	16.7	9	10.4	0	0	188	0	1590474928
13.910297	100.599373	0	0	3.7	2	2.3	0	0	112	4206	1590474954
13.910122	100.599701	0	0	29.6	16	18.4	0	0	115	4206	1590475087
13.909925	100.60006	0	0	50	27	31.1	0	0	118	4206	1590475098
13.909727	100.600533	0	0	61.1	33	38	0	0	104	4206	1590475106
13.909859	100.601013	0	0	27.8	15	17.3	0	0	59	4206	1590475112
13.910294	100.60144	0	0	29.6	16	18.4	0	0	36	4206	1590475120
13.911003	100.601891	0	0	37	20	23	0	0	28	4206	1590475130
13.911472	100.602135	0	0	40.7	22	25.3	0	0	28	4206	1590475136
13.912434	100.602692	0	0	46.3	25	28.8	0	0	28	4206	1590475145
13.913521	100.60331	0	0	48.2	26	29.9	0	0	28	4206	1590475156
13.914539	100.603889	0	0	50	27	31.1	0	0	28	4206	1590475165
13.916349	100.604904	0	0	50	27	31.1	0	0	28	4206	1590475180
13.917978	100.60582	0	0	50	27	31.1	0	0	28	4206	1590475195
13.919003	100.606392	0	0	48.2	26	29.9	0	0	28	4206	1590475205
13.920132	100.607025	0	0	40.7	22	25.3	0	0	28	4206	1590475216
13.920948	100.607475	0	0	35.2	19	21.9	0	0	28	4206	1590475226
13.921657	100.60788	0	0	29.6	16	18.4	0	0	28	4206	1590475235
13.922276	100.608223	0	0	63	34	39.1	0	0	28	4206	1590475245
13.922867	100.608566	0	0	53.7	29	33.4	0	0	28	4206	1590475256
13.923134	100.608841	0	0	40.7	22	25.3	0	0	56	4206	1590475264
13.923065	100.609207	0	0	27.8	15	17.3	0	0	112	4206	1590475276
13.92261	100.608421	0	0	0	0	0	0	0	271	4206	1590475314
13.922951	100.609406	0	0	18.5	10	11.5	0	0	115	4206	1590475344
13.922768	100.609764	0	0	44.4	24	27.6	0	0	118	4206	1590475356
13.922562	100.610115	0	0	38.9	21	24.2	0	0	123	4206	1590475365
13.92207	100.610023	0	0	3.7	2	2.3	0	0	208	4206	1590475398
13.921577	100.609764	0	0	55.6	30	34.5	0	0	205	4206	1590475416
13.920295	100.609032	0	0	118.5	64	73.6	0	0	208	4206	1590475423
13.910973	100.603783	200	61	268.5	145	166.9	704	3.6	208	4206	1590475442
13.904938	100.600388	575	175	274.1	148	170.3	2496	12.7	208	4206	1590475452
13.899148	100.597328	975	297	274.1	148	170.3	2368	12	207	4206	1590475461
13.891754	100.593521	1300	396	300	162	186.4	1280	6.5	205	4206	1590475474
13.886439	100.590866	1575	480	309.3	167	192.2	2368	12	205	4206	1590475480
13.882187	100.588737	1825	556	309.3	167	192.2	2496	12.7	205	4206	1590475486
13.8782	100.586433	2075	632	311.1	168	193.3	2496	12.7	212	4206	1590475492
13.874496	100.58329	2350	716	307.4	166	191	2880	14.6	223	4206	1590475499
13.871496	100.579399	2675	815	303.7	164	188.7	2944	15	237	4206	1590475505
13.869553	100.575005	2950	899	300	162	186.4	2624	13.3	249	4206	1590475511
13.868656	100.571205	3175	968	298.2	161	185.3	2560	13	260	4206	1590475517
13.871217	100.553955	4025	1227	309.3	167	192.2	2240	11.4	289	4206	1590475539
13.872892	100.549767	4250	1295	311.1	168	193.3	2368	12	292	4206	1590475545
13.876831	100.541191	4775	1455	309.3	167	192.2	2624	13.3	296	4206	1590475556
13.878983	100.53688	5025	1532	307.4	166	191	2496	12.7	297	4206	1590475563
13.883554	100.528709	5500	1676	311.1	168	193.3	2304	11.7	300	4206	1590475575
13.888162	100.520805	5925	1806	316.7	171	196.8	2048	10.4	300	4206	1590475586
13.893219	100.511879	6375	1943	318.5	172	197.9	2240	11.4	299	4206	1590475598
13.897752	100.503319	6775	2065	326	176	202.5	2048	10.4	297	4206	1590475610
13.902237	100.494308	7200	2195	329.7	178	204.8	2112	10.7	296	4206	1590475622
13.906586	100.485031	7625	2324	329.7	178	204.8	2176	11.1	295	4206	1590475635
13.910879	100.475365	8050	2454	335.2	181	208.3	1984	10.1	294	4206	1590475647
13.914551	100.466705	8400	2560	340.8	184	211.7	1920	9.8	293	4206	1590475657
13.918854	100.459076	8725	2659	346.3	187	215.2	1984	10.1	308	4206	1590475667
13.922145	100.455849	8925	2720	348.2	188	216.3	2176	11.1	320	4206	1590475673
13.926544	100.45311	9125	2781	350	189	217.5	2112	10.7	331	4206	1590475679
13.932154	100.450455	9350	2850	357.4	193	222.1	1664	8.5	337	4206	1590475686
13.936855	100.448578	9500	2896	357.4	193	222.1	1728	8.8	339	4206	1590475692
13.942256	100.446556	9725	2964	359.3	194	223.3	2048	10.4	340	4206	1590475698
13.954193	100.442177	10150	3094	363	196	225.6	1920	9.8	340	4206	1590475711
13.964951	100.43824	10550	3216	364.8	197	226.7	1728	8.8	340	4206	1590475724
13.974377	100.434845	10875	3315	364.8	197	226.7	1856	9.4	340	4206	1590475735
13.984571	100.431038	11300	3444	359.3	194	223.3	2176	11.1	339	4206	1590475747
13.994339	100.427307	11675	3559	359.3	194	223.3	1792	9.1	339	4206	1590475758
14.004639	100.423325	12000	3658	363	196	225.6	1664	8.5	339	4206	1590475771
14.030751	100.413254	12850	3917	370.4	200	230.2	1728	8.8	339	4206	1590475801
14.059241	100.402367	13750	4191	376	203	233.6	1600	8.1	339	4206	1590475832
14.087677	100.391693	14575	4442	385.2	208	239.4	1600	8.1	340	4206	1590475864
14.11647	100.381035	15425	4702	387.1	209	240.5	1472	7.5	339	4206	1590475896
14.14541	100.370369	16175	4930	394.5	213	245.1	1408	7.2	340	4206	1590475928
14.175247	100.359489	16875	5144	403.7	218	250.9	1344	6.8	340	4206	1590475959
14.205505	100.348557	17625	5372	409.3	221	254.3	1472	7.5	340	4206	1590475990
14.235123	100.337807	18375	5601	403.7	218	250.9	1344	6.8	340	4206	1590476021
14.293991	100.316116	19575	5966	416.7	225	258.9	1088	5.5	340	4206	1590476081
14.355453	100.293564	20650	6294	429.7	232	267	1216	6.2	340	4206	1590476143
14.417725	100.270607	21725	6622	431.5	233	268.1	1024	5.2	340	4206	1590476204
14.464737	100.25351	22350	6812	440.8	238	273.9	1024	5.2	348	4206	1590476250
14.471924	100.252235	22450	6843	440.8	238	273.9	960	4.9	350	4206	1590476256
14.479329	100.251114	22525	6866	442.6	239	275	704	3.6	352	4206	1590476262
14.548782	100.242668	23425	7140	446.3	241	277.3	896	4.6	353	4206	1590476325
14.61676	100.234711	24000	7315	470.4	254	292.3	0	0	353	4206	1590476385
14.673778	100.233864	24000	7315	520.4	281	323.4	64	0.3	6	4206	1590476431
14.762833	100.244324	24000	7315	544.5	294	338.3	0	0	4	4206	1590476497
14.845695	100.251762	24000	7315	544.5	294	338.3	0	0	5	4206	1590476557
14.929769	100.260056	24000	7315	544.5	294	338.3	0	0	5	4206	1590476620
15.012911	100.267952	24000	7315	546.3	295	339.5	0	0	5	4206	1590476681
15.096704	100.276039	24000	7315	546.3	295	339.5	0	0	5	4206	1590476742
15.179535	100.284119	24000	7315	548.2	296	340.6	0	0	5	4206	1590476803
15.263548	100.292229	24000	7315	550	297	341.8	0	0	5	4206	1590476864
15.347574	100.300369	24000	7315	551.9	298	342.9	0	0	5	4206	1590476925
15.432358	100.308647	24000	7315	550	297	341.8	0	0	5	4206	1590476987
15.517956	100.316994	24000	7315	551.9	298	342.9	64	0.3	5	4206	1590477048
15.603053	100.325287	24000	7315	559.3	302	347.5	0	0	5	4206	1590477110
15.690758	100.335342	22525	6866	577.8	312	359	-1728	-8.8	6	4206	1590477171
15.78065	100.342743	20725	6317	574.1	310	356.7	-1664	-8.5	4	4206	1590477234
15.869472	100.351082	18925	5768	564.9	305	351	-1664	-8.5	5	4206	1590477296
15.956085	100.359383	17200	5243	557.5	301	346.4	-1792	-9.1	4	4206	1590477357
16.00168	100.363739	16275	4961	551.9	298	342.9	-1664	-8.5	5	4206	1590477390
16.044891	100.367958	15425	4702	548.2	296	340.6	-1536	-7.8	5	4206	1590477422
16.087875	100.372253	14575	4442	544.5	294	338.3	-1472	-7.5	5	4206	1590477453
16.131514	100.376686	13675	4168	540.8	292	336	-1600	-8.1	5	4206	1590477485
16.173737	100.381004	12925	3940	527.8	285	328	-1536	-7.8	5	4206	1590477517
16.214005	100.385071	12175	3711	518.6	280	322.2	-1536	-7.8	5	4206	1590477548
16.254227	100.388992	11375	3467	513	277	318.8	-1472	-7.5	5	4206	1590477579
16.2701	100.390564	11050	3368	511.2	276	317.6	-1664	-8.5	5	4206	1590477592
16.283833	100.391937	10775	3284	507.4	274	315.3	-1408	-7.2	5	4206	1590477602
16.299683	100.393547	10450	3185	503.7	272	313	-1536	-7.8	5	4206	1590477614
16.315247	100.395088	10150	3094	500	270	310.7	-1472	-7.5	5	4206	1590477627
16.331268	100.396683	9825	2995	498.2	269	309.6	-1536	-7.8	5	4206	1590477640
16.346283	100.398125	9525	2903	494.5	267	307.3	-1408	-7.2	5	4206	1590477652
16.361202	100.39959	9225	2812	490.8	265	305	-1536	-7.8	5	4206	1590477665
16.375809	100.401062	8900	2713	485.2	262	301.5	-1536	-7.8	5	4206	1590477676
16.390299	100.402634	8625	2629	477.8	258	296.9	-1344	-6.8	5	4206	1590477688
16.403687	100.404053	8350	2545	470.4	254	292.3	-1408	-7.2	6	4206	1590477699
16.416925	100.405571	8100	2469	463	250	287.7	-1344	-6.8	5	4206	1590477712
16.429642	100.406898	7825	2385	457.4	247	284.2	-1600	-8.1	5	4206	1590477722
16.441738	100.408028	7600	2316	451.9	244	280.8	-1472	-7.5	4	4206	1590477732
16.454681	100.409111	7350	2240	450	243	279.6	-1408	-7.2	4	4206	1590477745
16.466537	100.410126	7100	2164	450	243	279.6	-1344	-6.8	4	4206	1590477755
16.480423	100.411308	6825	2080	451.9	244	280.8	-1472	-7.5	4	4206	1590477767
16.494715	100.41259	6550	1996	451.9	244	280.8	-1280	-6.5	4	4206	1590477780
16.506819	100.413765	6300	1920	451.9	244	280.8	-1216	-6.2	5	4206	1590477791
16.522018	100.415283	5975	1821	451.9	244	280.8	-1408	-7.2	5	4206	1590477803
16.534889	100.416557	5750	1753	451.9	244	280.8	-1280	-6.5	5	4206	1590477815
16.549507	100.417984	5425	1654	451.9	244	280.8	-1280	-6.5	5	4206	1590477828
16.563446	100.419373	5175	1577	450	243	279.6	-1408	-7.2	5	4206	1590477841
16.576447	100.420677	4900	1494	444.5	240	276.2	-1344	-6.8	5	4206	1590477852
16.582001	100.42112	4775	1455	438.9	237	272.7	-1472	-7.5	4	4206	1590477858
16.590193	100.420677	4575	1394	433.4	234	269.3	-1856	-9.4	353	4206	1590477865
16.596863	100.418602	4400	1341	427.8	231	265.8	-1472	-7.5	343	4206	1590477872
