latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
-26.122347	28.23794	0	0	0	0	0	0	0	284	0	1590475247
-26.122381	28.238165	0	0	24.1	13	15	0	0	292	2627	1590475299
-26.122427	28.238377	0	0	24.1	13	15	0	0	309	2627	1590475308
-26.122536	28.238581	0	0	22.2	12	13.8	0	0	334	2627	1590475321
-26.122765	28.23872	0	0	25.9	14	16.1	0	0	155	2627	1590475333
-26.122982	28.238737	0	0	24.1	13	15	0	0	19	2627	1590475344
-26.122776	28.238802	0	0	29.6	16	18.4	0	0	19	2627	1590475652
-26.122322	28.238956	0	0	44.4	24	27.6	0	0	16	2627	1590475664
-26.122032	28.239037	0	0	50	27	31.1	0	0	14	2627	1590475670
-26.121752	28.239128	0	0	40.7	22	25.3	0	0	16	2627	1590475676
-26.121597	28.23945	0	0	38.9	21	24.2	0	0	70	2627	1590475685
-26.121643	28.239721	0	0	40.7	22	25.3	0	0	92	2627	1590475692
-26.12154	28.239981	0	0	38.9	21	24.2	0	0	67	2627	1590475698
-26.121136	28.240145	0	0	37	20	23	0	0	19	2627	1590475710
-26.120787	28.240252	0	0	40.7	22	25.3	0	0	14	2627	1590475718
-26.120506	28.24033	0	0	44.4	24	27.6	0	0	14	2627	1590475725
-26.120216	28.240423	0	0	46.3	25	28.8	0	0	16	2627	1590475732
-26.119617	28.240616	0	0	51.9	28	32.2	0	0	16	2627	1590475743
-26.119274	28.240719	0	0	55.6	30	34.5	0	0	14	2627	1590475749
-26.118914	28.240831	0	0	53.7	29	33.4	0	0	16	2627	1590475755
-26.118576	28.240938	0	0	53.7	29	33.4	0	0	16	2627	1590475762
-26.11783	28.241161	0	0	63	34	39.1	0	0	14	2627	1590475774
-26.117397	28.241289	0	0	29.6	16	18.4	0	0	14	2627	1590475780
-26.116585	28.241549	0	0	31.5	17	19.6	0	0	16	2627	1590475791
-26.115818	28.241781	0	0	33.3	18	20.7	0	0	16	2627	1590475800
-26.114408	28.242218	0	0	37	20	23	0	0	16	2627	1590475816
-26.113758	28.24243	0	0	38.9	21	24.2	0	0	16	2627	1590475822
-26.112808	28.242714	0	0	42.6	23	26.5	0	0	14	2627	1590475831
-26.112175	28.242918	0	0	42.6	23	26.5	0	0	16	2627	1590475837
-26.111546	28.243116	0	0	44.4	24	27.6	0	0	16	2627	1590475843
-26.110882	28.243315	0	0	44.4	24	27.6	0	0	16	2627	1590475849
-26.110176	28.24353	0	0	44.4	24	27.6	0	0	16	2627	1590475855
-26.10887	28.243843	0	0	42.6	23	26.5	0	0	11	2627	1590475867
-26.108288	28.244001	0	0	33.3	18	20.7	0	0	14	2627	1590475874
-26.107967	28.244087	0	0	48.2	26	29.9	0	0	14	2627	1590475880
-26.107706	28.244331	0	0	40.7	22	25.3	0	0	47	2627	1590475888
-26.107738	28.244606	0	0	42.6	23	26.5	0	0	90	2627	1590475895
-26.107811	28.244886	0	0	44.4	24	27.6	0	0	104	2627	1590475901
-26.107914	28.245335	0	0	48.2	26	29.9	0	0	104	2627	1590475910
-26.108007	28.245718	0	0	50	27	31.1	0	0	106	2627	1590475916
-26.108078	28.246021	0	0	44.4	24	27.6	0	0	104	2627	1590475922
-26.108208	28.246225	0	0	27.8	15	17.3	0	0	126	2627	1590475932
-26.108473	28.246088	0	0	24.1	13	15	0	0	194	2627	1590475949
-26.109068	28.245903	0	0	40.7	22	25.3	0	0	196	2627	1590475958
-26.110323	28.245506	0	0	90.7	49	56.4	0	0	196	2627	1590475964
-26.112116	28.244965	0	0	137	74	85.2	0	0	196	2627	1590475970
-26.164686	28.228579	6975	2126	359.3	194	223.3	1600	8.1	197	2627	1590476040
-26.175997	28.224934	7225	2202	385.2	208	239.4	1280	6.5	195	2627	1590476053
-26.187403	28.221447	7475	2278	411.1	222	255.5	1216	6.2	195	2627	1590476064
-26.199879	28.217381	7725	2355	438.9	237	272.7	1280	6.5	196	2627	1590476076
-26.213751	28.214211	7975	2431	474.1	256	294.6	1024	5.2	188	2627	1590476089
-26.22171	28.214342	8125	2477	500	270	310.7	1856	9.4	176	2627	1590476095
-26.229309	28.216259	8325	2537	520.4	281	323.4	2368	12	166	2627	1590476102
-26.23982	28.221817	8675	2644	546.3	295	339.5	2368	12	151	2627	1590476110
-26.246758	28.227943	8925	2720	563	304	349.8	2368	12	140	2627	1590476116
