latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
56.081875	13.232174	0	0	0	0	0	0	0	346	0	1590475306
56.0816	13.232284	0	0	55.6	30	34.5	0	0	168	254	1590475514
56.081509	13.231992	0	0	27.8	15	17.3	0	0	253	254	1590475523
56.081482	13.231724	0	0	29.6	16	18.4	0	0	258	254	1590475529
56.081314	13.23143	0	0	31.5	17	19.6	0	0	210	254	1590475538
56.081074	13.231187	0	0	35.2	19	21.9	0	0	210	254	1590475547
56.080845	13.230972	0	0	42.6	23	26.5	0	0	210	254	1590475553
56.080582	13.230701	0	0	48.2	26	29.9	0	0	210	254	1590475560
56.080032	13.230119	0	0	53.7	29	33.4	0	0	208	254	1590475571
56.079735	13.229807	0	0	59.3	32	36.8	0	0	210	254	1590475577
56.079414	13.229453	0	0	27.8	15	17.3	0	0	210	254	1590475584
56.079025	13.229041	0	0	57.4	31	35.7	0	0	210	254	1590475590
56.078781	13.228655	0	0	38.9	21	24.2	0	0	244	254	1590475597
56.078796	13.228184	0	0	35.2	19	21.9	0	0	289	254	1590475604
56.078896	13.227732	0	0	44.4	24	27.6	0	0	289	254	1590475610
56.079002	13.227282	0	0	50	27	31.1	0	0	289	254	1590475616
56.079155	13.226616	0	0	59.3	32	36.8	0	0	292	254	1590475623
56.079361	13.225672	0	0	57.4	31	35.7	0	0	292	254	1590475633
56.079571	13.225007	0	0	59.3	32	36.8	0	0	306	254	1590475640
56.079933	13.22432	0	0	61.1	33	38	0	0	315	254	1590475647
56.080212	13.223763	0	0	59.3	32	36.8	0	0	303	254	1590475654
56.080387	13.223141	0	0	61.1	33	38	0	0	292	254	1590475660
56.080547	13.222379	0	0	27.8	15	17.3	0	0	289	254	1590475666
56.080772	13.221252	0	0	29.6	16	18.4	0	0	289	254	1590475674
56.080933	13.220415	0	0	31.5	17	19.6	0	0	289	254	1590475681
56.081177	13.219213	0	0	33.3	18	20.7	0	0	289	254	1590475690
56.081364	13.21829	0	0	35.2	19	21.9	0	0	289	254	1590475696
56.081539	13.217411	0	0	33.3	18	20.7	0	0	289	254	1590475702
56.081726	13.216511	0	0	33.3	18	20.7	0	0	289	254	1590475708
56.081909	13.215616	0	0	33.3	18	20.7	0	0	286	254	1590475715
56.081806	13.214493	0	0	27.8	15	17.3	0	0	236	254	1590475723
56.081532	13.213827	0	0	40.7	22	25.3	0	0	258	254	1590475732
56.081577	13.21341	0	0	40.7	22	25.3	0	0	289	254	1590475738
56.08168	13.212991	0	0	46.3	25	28.8	0	0	292	254	1590475744
56.081783	13.212562	0	0	53.7	29	33.4	0	0	292	254	1590475750
56.081966	13.211767	0	0	63	34	39.1	0	0	292	254	1590475756
56.082138	13.21106	0	0	29.6	16	18.4	0	0	292	254	1590475762
56.082329	13.210244	0	0	33.3	18	20.7	0	0	292	254	1590475768
56.082539	13.209343	0	0	37	20	23	0	0	292	254	1590475774
56.082737	13.208506	0	0	37	20	23	0	0	292	254	1590475780
56.082985	13.20748	0	0	35.2	19	21.9	0	0	292	254	1590475786
56.083191	13.206596	0	0	33.3	18	20.7	0	0	292	254	1590475792
56.083408	13.205733	0	0	31.5	17	19.6	0	0	292	254	1590475799
56.083591	13.204942	0	0	31.5	17	19.6	0	0	292	254	1590475805
56.083786	13.204151	0	0	31.5	17	19.6	0	0	292	254	1590475812
56.083981	13.203299	0	0	31.5	17	19.6	0	0	292	254	1590475818
56.084175	13.202508	0	0	33.3	18	20.7	0	0	292	254	1590475824
56.08437	13.201696	0	0	35.2	19	21.9	0	0	292	254	1590475830
56.084599	13.200674	0	0	35.2	19	21.9	0	0	292	254	1590475836
56.084816	13.199823	0	0	35.2	19	21.9	0	0	292	254	1590475842
56.085033	13.198887	0	0	35.2	19	21.9	0	0	292	254	1590475848
56.085484	13.196962	0	0	37	20	23	0	0	292	254	1590475860
56.085789	13.195683	0	0	40.7	22	25.3	0	0	292	254	1590475868
56.086929	13.191212	0	0	29.6	16	18.4	0	0	312	254	1590475896
56.087242	13.190825	0	0	63	34	39.1	0	0	334	254	1590475902
56.087666	13.19071	0	0	51.9	28	32.2	0	0	5	254	1590475908
56.087963	13.190856	0	0	40.7	22	25.3	0	0	22	254	1590475915
56.088139	13.191061	0	0	20.4	11	12.7	0	0	39	7240	1590476340
56.088287	13.191339	0	0	33.3	18	20.7	0	0	53	7240	1590476349
56.088406	13.191705	0	0	44.4	24	27.6	0	0	64	7240	1590476355
56.08849	13.192229	0	0	50	27	31.1	0	0	81	7240	1590476362
56.088444	13.19277	0	0	50	27	31.1	0	0	109	7240	1590476368
56.088276	13.193507	0	0	50	27	31.1	0	0	109	7240	1590476374
56.087608	13.196307	0	0	109.3	59	67.9	0	0	112	7240	1590476382
56.086716	13.20024	0	0	138.9	75	86.3	320	1.6	111	7240	1590476388
56.085892	13.203818	0	0	153.7	83	95.5	384	2	111	7240	1590476394
56.084972	13.20797	0	0	164.8	89	102.4	640	3.3	112	7240	1590476400
56.08353	13.213892	0	0	161.1	87	100.1	1280	6.5	113	7240	1590476410
56.0826	13.21784	0	0	150	81	93.2	448	2.3	113	7240	1590476416
56.080734	13.226337	0	0	175.9	95	109.3	640	3.3	110	7240	1590476428
56.079758	13.230972	100	30	183.3	99	113.9	640	3.3	110	7240	1590476434
56.07906	13.235521	100	30	187.1	101	116.2	448	2.3	100	7240	1590476440
56.079071	13.240856	200	61	190.8	103	118.5	0	0	83	7240	1590476446
56.079945	13.246164	200	61	196.3	106	122	-192	-1	68	7240	1590476452
56.081268	13.251176	100	30	200	108	124.3	-64	-0.3	62	7240	1590476458
56.082691	13.255606	100	30	200	108	124.3	64	0.3	57	7240	1590476464
56.084553	13.260069	200	61	196.3	106	122	64	0.3	52	7240	1590476470
56.086395	13.264243	200	61	194.5	105	120.8	64	0.3	49	7240	1590476476
56.088184	13.268137	100	30	198.2	107	123.1	0	0	50	7240	1590476482
56.090286	13.27265	200	61	196.3	106	122	-128	-0.7	49	7240	1590476488
56.092484	13.276395	200	61	196.3	106	122	0	0	38	7240	1590476494
56.095047	13.279308	200	61	198.2	107	123.1	0	0	27	7240	1590476502
56.09903	13.281888	200	61	201.9	109	125.4	0	0	15	7240	1590476510
56.102005	13.283386	200	61	201.9	109	125.4	-64	-0.3	14	7240	1590476516
56.105576	13.284884	100	30	201.9	109	125.4	-128	-0.7	13	7240	1590476524
56.109459	13.286505	100	30	201.9	109	125.4	64	0.3	14	7240	1590476530
56.112259	13.288297	100	30	196.3	106	122	128	0.7	24	7240	1590476536
56.114208	13.290367	200	61	196.3	106	122	64	0.3	35	7240	1590476542
56.116608	13.293957	200	61	194.5	105	120.8	-128	-0.7	41	7240	1590476548
56.118629	13.297148	100	30	194.5	105	120.8	0	0	41	7240	1590476554
56.120911	13.300753	200	61	192.6	104	119.7	128	0.7	41	7240	1590476560
56.124939	13.307107	200	61	194.5	105	120.8	-128	-0.7	40	7240	1590476571
56.127426	13.310623	100	30	198.2	107	123.1	-128	-0.7	37	7240	1590476578
56.132355	13.318176	100	30	196.3	106	122	0	0	48	7240	1590476590
56.133991	13.32221	100	30	194.5	105	120.8	64	0.3	56	7240	1590476596
56.135433	13.326845	100	30	190.8	103	118.5	0	0	62	7240	1590476602
56.136551	13.331652	100	30	190.8	103	118.5	0	0	69	7240	1590476608
56.137436	13.336987	200	61	190.8	103	118.5	128	0.7	76	7240	1590476615
56.138088	13.342466	200	61	190.8	103	118.5	1024	5.2	77	7240	1590476621
56.13858	13.346641	300	91	187.1	101	116.2	1344	6.8	78	7240	1590476627
56.139313	13.353549	500	152	179.6	97	111.6	1088	5.5	79	7240	1590476635
56.139996	13.36195	700	213	177.8	96	110.5	960	4.9	84	7240	1590476645
56.140274	13.366532	800	244	177.8	96	110.5	1152	5.9	84	7240	1590476651
56.140549	13.37161	900	274	179.6	97	111.6	960	4.9	85	7240	1590476658
56.141006	13.382513	1100	335	183.3	99	113.9	832	4.2	85	7240	1590476670
56.14119	13.387424	1200	366	183.3	99	113.9	896	4.6	87	7240	1590476676
56.141327	13.392667	1300	396	179.6	97	111.6	1152	5.9	87	7240	1590476683
56.141556	13.398077	1400	427	174.1	94	108.2	1152	5.9	85	7240	1590476690
56.141739	13.402987	1500	457	172.2	93	107	832	4.2	85	7240	1590476696
56.142014	13.408896	1600	488	174.1	94	108.2	768	3.9	84	7240	1590476704
56.142242	13.413308	1700	518	174.1	94	108.2	832	4.2	84	7240	1590476711
56.142838	13.423576	1900	579	175.9	95	109.3	896	4.6	84	7240	1590476722
56.143112	13.428539	2000	610	174.1	94	108.2	1024	5.2	85	7240	1590476729
56.143295	13.43345	2100	640	174.1	94	108.2	896	4.6	86	7240	1590476736
56.14344	13.438339	2200	671	174.1	94	108.2	832	4.2	86	7240	1590476742
56.143673	13.443232	2300	701	172.2	93	107	832	4.2	85	7240	1590476748
56.143906	13.447351	2300	701	170.4	92	105.9	1024	5.2	83	7240	1590476754
56.144512	13.456535	2500	762	166.7	90	103.6	896	4.6	82	7240	1590476766
56.145309	13.464911	2700	823	170.4	92	105.9	704	3.6	79	7240	1590476778
56.146004	13.470097	2800	853	174.1	94	108.2	640	3.3	75	7240	1590476784
56.146748	13.478594	2900	884	181.5	98	112.8	704	3.6	83	7240	1590476795
56.147141	13.484303	3000	914	179.6	97	111.6	1024	5.2	83	7240	1590476802
56.147736	13.493542	3100	945	175.9	95	109.3	768	3.9	83	7240	1590476814
56.148052	13.498421	3200	975	175.9	95	109.3	768	3.9	83	7240	1590476820
56.148331	13.503313	3300	1006	175.9	95	109.3	768	3.9	83	7240	1590476826
56.148609	13.50812	3400	1036	172.2	93	107	832	4.2	83	7240	1590476832
56.148933	13.512669	3500	1067	172.2	93	107	768	3.9	83	7240	1590476838
56.149612	13.522006	3600	1097	172.2	93	107	832	4.2	81	7240	1590476850
56.149979	13.525751	3700	1128	170.4	92	105.9	832	4.2	80	7240	1590476856
56.150436	13.530746	3800	1158	170.4	92	105.9	640	3.3	79	7240	1590476862
56.15094	13.535239	3800	1158	172.2	93	107	640	3.3	79	7240	1590476868
56.151913	13.544512	4000	1219	174.1	94	108.2	768	3.9	79	7240	1590476880
56.152863	13.553467	4100	1250	175.9	95	109.3	640	3.3	79	7240	1590476891
56.15332	13.558377	4200	1280	179.6	97	111.6	640	3.3	80	7240	1590476897
56.153728	13.563566	4300	1311	181.5	98	112.8	704	3.6	83	7240	1590476904
56.153961	13.568198	4300	1311	181.5	98	112.8	768	3.9	85	7240	1590476910
56.154102	13.573093	4400	1341	179.6	97	111.6	704	3.6	86	7240	1590476916
56.154282	13.578103	4500	1372	179.6	97	111.6	640	3.3	87	7240	1590476922
56.154419	13.582931	4600	1402	179.6	97	111.6	704	3.6	87	7240	1590476928
56.154556	13.587424	4600	1402	179.6	97	111.6	704	3.6	87	7240	1590476934
56.154709	13.592405	4700	1433	179.6	97	111.6	640	3.3	86	7240	1590476940
56.154922	13.597412	4800	1463	181.5	98	112.8	640	3.3	85	7240	1590476946
56.155106	13.601907	4800	1463	183.3	99	113.9	512	2.6	86	7240	1590476952
56.155426	13.61256	5000	1524	187.1	101	116.2	640	3.3	86	7240	1590476965
56.155655	13.621299	5100	1554	187.1	101	116.2	704	3.6	88	7240	1590476975
56.155838	13.630538	5200	1585	181.5	98	112.8	832	4.2	88	7240	1590476986
56.155964	13.63987	5400	1646	181.5	98	112.8	640	3.3	88	7240	1590476997
56.156113	13.648515	5500	1676	181.5	98	112.8	640	3.3	88	7240	1590477009
56.156384	13.658066	5600	1707	181.5	98	112.8	640	3.3	87	7240	1590477020
56.156662	13.667075	5800	1768	179.6	97	111.6	704	3.6	85	7240	1590477031
56.157082	13.676863	5900	1798	177.8	96	110.5	704	3.6	84	7240	1590477043
56.157688	13.685274	6000	1829	177.8	96	110.5	704	3.6	81	7240	1590477054
56.158524	13.694458	6200	1890	175.9	95	109.3	640	3.3	79	7240	1590477066
