latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
50.225956	12.828229	3525	1074	0	0	0	704	3.6	301	0	1590475348
50.223873	12.810594	3750	1143	0	0	0	448	2.3	260	0	1590475360
50.221439	12.802022	3974	1211	0	0	0	1024	5.2	247	0	1590475369
50.218094	12.793287	3975	1212	203.7	110	126.6	0	0	243	0	1590475384
50.212673	12.778491	3950	1204	218.5	118	135.8	0	0	239	3355	1590475397
50.210094	12.77187	3975	1212	225.9	122	140.4	0	0	239	3355	1590475404
50.207401	12.765759	3925	1196	231.5	125	143.8	-256	-1.3	236	3355	1590475428
50.193935	12.75367	4000	1219	250	135	155.4	448	2.3	197	3355	1590475444
50.190182	12.753677	3993	1217	238.9	129	148.5	0	0	183	3355	1590475450
50.185612	12.757766	3974	1211	238.9	129	148.5	0	0	158	3355	1590475456
50.183865	12.760108	3974	1211	238.9	129	148.5	0	0	158	3355	1590475462
50.180252	12.764894	3978	1212	238.9	129	148.5	-384	-2	146	3355	1590475469
50.17654	12.770259	3948	1203	238.9	129	148.5	0	0	139	3355	1590475480
50.171745	12.777671	3950	1204	238.9	129	148.5	320	1.6	139	3355	1590475492
50.168304	12.78299	3971	1210	238.9	129	148.5	128	0.7	139	3355	1590475502
50.162357	12.799873	3950	1204	305.6	165	189.9	0	0	115	3355	1590475514
50.159691	12.808764	3974	1211	324.1	175	201.4	448	2.3	115	3355	1590475525
50.155056	12.820106	3975	1212	298.2	161	185.3	0	0	123	3355	1590475532
50.151802	12.829686	3950	1204	303.7	164	188.7	0	0	118	3355	1590475541
50.149338	12.837687	3974	1211	307.4	166	191	320	1.6	115	3355	1590475549
50.145256	12.850182	3974	1211	298.2	161	185.3	0	0	116	3355	1590475560
50.144062	12.854115	3974	1211	298.2	161	185.3	0	0	116	3355	1590475570
50.140202	12.865135	3975	1212	298.2	161	185.3	0	0	116	3355	1590475577
50.138672	12.869631	4000	1219	288.9	156	179.5	256	1.3	116	3355	1590475584
50.132496	12.88801	3975	1212	268.5	145	166.9	0	0	116	3355	1590475601
50.128445	12.898757	3925	1196	261.1	141	162.3	-256	-1.3	119	3355	1590475612
50.127426	12.901112	3925	1196	261.1	141	162.3	0	0	119	3355	1590475626
50.121647	12.914194	3975	1212	261.1	141	162.3	0	0	119	3355	1590475633
50.118473	12.921068	3974	1211	259.3	140	161.1	0	0	125	3355	1590475646
50.114067	12.930418	3975	1212	259.3	140	161.1	-384	-2	125	3355	1590475657
50.109814	12.93916	3950	1204	259.3	140	161.1	-320	-1.6	125	3355	1590475669
50.105186	12.948713	3949	1204	259.3	140	161.1	0	0	125	3355	1590475676
50.102554	12.953868	3949	1204	251.9	136	156.5	0	0	126	3355	1590475690
50.099174	12.961111	3950	1204	251.9	136	156.5	0	0	126	3355	1590475696
50.094749	12.969835	3975	1212	246.3	133	153.1	0	0	126	3355	1590475710
50.091736	12.976093	3975	1212	246.3	133	153.1	0	0	126	3355	1590475717
50.087475	12.984876	4000	1219	242.6	131	150.8	0	0	126	3355	1590475744
50.078064	13.003296	3999	1219	242.6	131	150.8	0	0	126	3355	1590475761
50.070847	13.012343	4000	1219	242.6	131	150.8	0	0	126	3355	1590475769
50.065685	13.014699	4000	1219	240.8	130	149.6	0	0	153	3355	1590475786
50.048695	13.009143	3975	1212	240.8	130	149.6	-64	-0.3	153	3355	1590475810
50.047215	12.992482	3975	1212	300	162	186.4	0	0	235	3355	1590475830
50.045357	12.987156	4025	1227	300	162	186.4	256	1.3	235	3355	1590475837
50.04631	12.97375	4024	1227	250	135	155.4	0	0	275	3355	1590475862
50.049976	12.954715	4000	1219	250	135	155.4	0	0	275	3355	1590475869
50.052513	12.948631	3975	1212	387.1	209	240.5	-448	-2.3	296	3355	1590475878
50.057236	12.934448	3975	1212	335.2	181	208.3	-320	-1.6	293	3355	1590475885
