latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
40.099911	116.611382	925	282	326	176	202.5	1984	10.1	352	0	1590475387
40.107376	116.610168	1300	396	322.2	174	200.2	2816	14.3	352	0	1590475396
40.170776	116.680725	4600	1402	359.3	194	223.3	0	0	82	3040	1590475491
40.107376	116.610168	5025	1532	488.9	264	303.8	768	3.9	85	3040	1590475523
40.180569	116.789673	5026	1532	442.6	239	275	0	0	81	3040	1590475558
40.182449	116.805885	5000	1524	453.7	245	281.9	0	0	81	3040	1590475568
40.18412	116.819809	5026	1532	459.3	248	285.4	0	0	82	3040	1590475577
40.18927	116.868095	5026	1532	466.7	252	290	0	0	82	3040	1590475608
40.194759	116.918327	5600	1707	476	257	295.8	0	0	82	3040	1590475638
40.198101	116.948608	6699	2042	494.5	267	307.3	0	0	81	3040	1590475656
40.200138	116.965691	7326	2233	500	270	310.7	0	0	81	3040	1590475666
40.201771	116.979553	7825	2385	507.4	274	315.3	0	0	81	3040	1590475674
40.201164	117.025681	9500	2896	535.2	289	332.6	3456	17.6	104	3040	1590475700
40.196693	117.037727	9900	3018	540.8	292	336	3392	17.2	117	3040	1590475708
40.160007	117.069748	10774	3284	518.6	280	322.2	0	0	165	3040	1590475740
40.090988	117.05896	11749	3581	553.7	299	344.1	0	0	193	3040	1590475780
40.063057	117.05127	12500	3810	572.3	309	355.6	0	0	193	3040	1590475796
39.987907	117.030037	14774	4503	637.1	344	395.9	0	0	193	3040	1590475840
39.904579	117.006897	16825	5128	751.9	406	467.2	2624	13.3	191	3040	1590475887
39.843384	116.989944	18250	5563	768.6	415	477.6	2496	12.7	191	3040	1590475919
39.722839	116.95697	20550	6264	785.2	424	487.9	2496	12.7	192	3040	1590475982
39.599846	116.923523	22575	6881	820.4	443	509.8	320	1.6	191	3040	1590476046
39.474483	116.88916	23500	7163	850.1	459	528.2	1408	7.2	191	3040	1590476107
39.341949	116.853271	25225	7689	879.7	475	546.6	1600	8.1	191	3040	1590476169
39.207924	116.816956	26600	8108	905.6	489	562.7	192	1	191	3040	1590476230
39.072456	116.780518	26600	8108	898.2	485	558.1	64	0.3	191	3040	1590476292
38.935959	116.744003	26600	8108	903.8	488	561.6	-64	-0.3	191	3040	1590476354
38.799316	116.707405	26900	8199	909.3	491	565	1536	7.8	191	3040	1590476416
38.656677	116.670563	28425	8664	931.6	503	578.8	1472	7.5	189	3040	1590476478
38.516418	116.650978	30300	9235	937.1	506	582.3	2304	11.7	185	3040	1590476538
38.369339	116.634422	32450	9891	927.9	501	576.5	1472	7.5	185	3040	1590476603
38.293259	116.632439	33150	10104	957.5	517	595	1600	8.1	175	3040	1590476635
38.277466	116.634659	33375	10173	963	520	598.4	1920	9.8	172	3040	1590476642
38.258163	116.638802	33625	10249	968.6	523	601.9	2112	10.7	169	3040	1590476649
38.242767	116.643135	33875	10325	970.4	524	603	2368	12	166	3040	1590476656
38.220749	116.650848	34200	10424	974.2	526	605.3	1856	9.4	163	3040	1590476666
38.065952	116.709015	35075	10691	976	527	606.5	-64	-0.3	163	3040	1590476731
37.918259	116.765205	35075	10691	979.7	529	608.8	0	0	163	3040	1590476794
37.870991	116.783058	35100	10698	983.4	531	611.1	64	0.3	163	3040	1590476815
37.651291	116.866249	35075	10691	985.3	532	612.2	64	0.3	163	3040	1590476908
37.507004	116.920883	35075	10691	983.4	531	611.1	64	0.3	163	3040	1590476969
37.361526	116.975174	35100	10698	983.4	531	611.1	0	0	163	3040	1590477031
37.212799	117.035194	35075	10691	977.9	528	607.6	64	0.3	163	3040	1590477094
37.071457	117.083206	35075	10691	974.2	526	605.3	0	0	165	3040	1590477154
36.924591	117.131676	35100	10698	972.3	525	604.2	0	0	165	3040	1590477217
36.77338	117.181168	35100	10698	985.3	532	612.2	0	0	165	3040	1590477281
36.622551	117.230553	35075	10691	981.6	530	609.9	0	0	165	3040	1590477344
