latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
37.357613	-121.929413	0	0	0	0	0	0	0	233	0	1590475408
37.357613	-121.928841	100	30	46.3	25	28.8	320	1.6	83	1200	1590475494
37.357704	-121.927162	150	46	87	47	54.1	0	0	85	1200	1590475501
37.357773	-121.925156	150	46	101.9	55	63.3	64	0.3	86	1200	1590475508
37.357132	-121.921188	125	38	96.3	52	59.8	-128	-0.7	90	1200	1590475520
37.357315	-121.920135	175	53	37	20	23	192	1	78	1200	1590475526
37.357471	-121.919762	150	46	18.5	10	11.5	-192	-1	56	1200	1590475532
37.357704	-121.919464	125	38	22.2	12	13.8	-256	-1.3	48	1200	1590475538
37.357864	-121.919197	100	30	18.5	10	11.5	-128	-0.7	48	1200	1590475544
37.358093	-121.918968	0	0	46.3	25	28.8	0	0	39	1200	1590475550
37.358242	-121.918762	0	0	38.9	21	24.2	0	0	39	1200	1590475556
37.358414	-121.91848	0	0	38.9	21	24.2	0	0	345	1200	1590475562
37.358696	-121.918327	0	0	27.8	15	17.3	0	0	236	1200	1590475574
