latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
59.415855	24.827847	0	0	27.8	15	17.3	0	0	90	0	1590475447
59.415848	24.828667	0	0	63	34	39.1	0	0	87	0	1590475453
59.415821	24.830334	0	0	27.8	15	17.3	0	0	84	0	1590475465
59.415798	24.83135	0	0	40.7	22	25.3	0	0	104	0	1590475475
59.415646	24.831989	0	0	40.7	22	25.3	0	0	106	0	1590475483
59.415588	24.832605	0	0	33.3	18	20.7	0	0	87	0	1590475492
59.415676	24.832855	0	0	27.8	15	17.3	0	0	14	0	1590475498
59.415844	24.832228	0	0	37	20	23	0	0	264	0	1590476459
59.415882	24.831596	0	0	53.7	29	33.4	0	0	275	0	1590476465
59.415848	24.830978	0	0	48.2	26	29.9	0	0	264	0	1590476472
59.415951	24.830338	0	0	48.2	26	29.9	0	0	255	0	1590476478
59.415871	24.829376	0	0	55.6	30	34.5	0	0	270	0	1590476486
59.415848	24.828735	0	0	55.6	30	34.5	0	0	270	0	1590476493
59.415825	24.827911	0	0	3.7	2	2.3	0	0	270	0	1590476502
59.415825	24.827316	0	0	46.3	25	28.8	0	0	270	0	1590476514
59.415859	24.82663	0	0	51.9	28	32.2	0	0	270	0	1590476520
59.415844	24.825975	0	0	50	27	31.1	0	0	267	0	1590476527
59.415619	24.825165	0	0	51.9	28	32.2	0	0	230	0	1590476536
59.415585	24.824249	0	0	46.3	25	28.8	0	0	284	0	1590476544
59.415539	24.82386	0	0	33.3	18	20.7	0	0	202	0	1590476550
59.415722	24.825417	0	0	29.6	16	18.4	0	0	53	0	1590495097
59.415771	24.825882	0	0	48.2	26	29.9	0	0	87	0	1590495104
59.415771	24.826876	0	0	53.7	29	33.4	0	0	87	0	1590495113
59.415779	24.82782	0	0	53.7	29	33.4	0	0	87	0	1590495121
59.415771	24.828533	0	0	51.9	28	32.2	0	0	87	0	1590495128
59.41576	24.829481	0	0	53.7	29	33.4	0	0	90	0	1590495136
59.415768	24.830177	0	0	53.7	29	33.4	0	0	87	0	1590495143
59.415737	24.831423	0	0	48.2	26	29.9	0	0	92	0	1590495155
59.415714	24.831944	0	0	42.6	23	26.5	0	0	112	0	1590495161
59.415607	24.832397	0	0	40.7	22	25.3	0	0	106	0	1590495167
59.415646	24.832796	0	0	35.2	19	21.9	0	0	39	0	1590495173
59.415848	24.83194	0	0	44.4	24	27.6	0	0	272	0	1590496213
59.415844	24.831232	0	0	42.6	23	26.5	0	0	270	0	1590496221
59.415802	24.830406	0	0	44.4	24	27.6	0	0	270	0	1590496230
59.415798	24.829552	0	0	46.3	25	28.8	0	0	270	0	1590496239
59.415821	24.828274	0	0	53.7	29	33.4	0	0	270	0	1590496252
59.415825	24.82766	0	0	42.6	23	26.5	0	0	267	0	1590496263
59.415848	24.826424	0	0	53.7	29	33.4	0	0	270	0	1590496275
59.415833	24.825668	0	0	55.6	30	34.5	0	0	261	0	1590496281
59.415642	24.825142	0	0	50	27	31.1	0	0	219	0	1590496287
59.415539	24.824409	0	0	42.6	23	26.5	0	0	286	0	1590496296
59.415573	24.823997	0	0	35.2	19	21.9	0	0	255	0	1590496302
59.415504	24.822069	0	0	29.6	16	18.4	0	0	270	0	1590502153
59.415527	24.820335	0	0	61.1	33	38	0	0	267	0	1590502165
59.415527	24.819536	0	0	59.3	32	36.8	0	0	270	0	1590502171
59.415539	24.818825	0	0	61.1	33	38	0	0	270	0	1590502177
59.41555	24.818001	0	0	61.1	33	38	0	0	267	0	1590502183
59.415539	24.817154	0	0	27.8	15	17.3	0	0	270	0	1590502189
59.415554	24.815557	0	0	29.6	16	18.4	0	0	270	0	1590502200
59.415565	24.814587	0	0	31.5	17	19.6	0	0	270	0	1590502206
59.415733	24.812851	0	0	55.6	30	34.5	0	0	337	0	1590502220
59.416042	24.812811	0	0	51.9	28	32.2	0	0	2	0	1590502226
59.416286	24.811674	0	0	27.8	15	17.3	0	0	270	0	1590502244
59.416283	24.810493	0	0	29.6	16	18.4	0	0	270	0	1590502252
59.416286	24.809591	0	0	29.6	16	18.4	0	0	270	0	1590502258
59.416286	24.808668	0	0	29.6	16	18.4	0	0	270	0	1590502264
59.416294	24.807014	0	0	27.8	15	17.3	0	0	270	0	1590502276
59.416298	24.806181	0	0	44.4	24	27.6	0	0	270	0	1590502282
59.416294	24.805595	0	0	46.3	25	28.8	0	0	270	0	1590502294
59.416286	24.804785	0	0	53.7	29	33.4	0	0	258	0	1590502302
59.415951	24.804359	0	0	51.9	28	32.2	0	0	182	0	1590502310
59.415714	24.804028	0	0	44.4	24	27.6	0	0	233	0	1590502317
59.415539	24.803467	0	0	35.2	19	21.9	0	0	258	0	1590502324
59.415554	24.802938	0	0	48.2	26	29.9	0	0	270	0	1590502330
59.415562	24.802322	0	0	55.6	30	34.5	0	0	270	0	1590502336
59.415596	24.801155	0	0	57.4	31	35.7	0	0	272	0	1590502346
59.4156	24.800547	0	0	53.7	29	33.4	0	0	270	0	1590502352
59.415539	24.800056	0	0	29.6	16	18.4	0	0	202	0	1590502358
59.41539	24.800381	0	0	37	20	23	0	0	61	0	1590502366
59.415504	24.800808	0	0	44.4	24	27.6	0	0	64	0	1590502373
59.415539	24.801453	0	0	51.9	28	32.2	0	0	90	0	1590502379
59.415527	24.802227	0	0	33.3	18	20.7	0	0	90	0	1590502388
59.415539	24.802643	0	0	25.9	14	16.1	0	0	90	0	1590502693
