latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
29.70845	106.635727	0	0	29.6	16	18.4	0	0	196	0	1590475618
29.705647	106.635429	0	0	37	20	23	0	0	104	0	1590475671
29.705681	106.636909	0	0	18.5	10	11.5	0	0	19	0	1590475713
29.709526	106.638252	0	0	163	88	101.3	0	0	16	0	1590475754
29.713049	106.639465	0	0	222.2	120	138.1	0	0	16	1540	1590475761
29.722504	106.642807	1600	488	281.5	152	174.9	2304	11.7	16	1540	1590475776
29.727036	106.644287	1875	572	283.4	153	176.1	2560	13	15	1540	1590475782
29.731098	106.64563	2150	655	285.2	154	177.2	2816	14.3	15	1540	1590475788
29.735521	106.64698	2450	747	285.2	154	177.2	3200	16.3	15	1540	1590475796
29.743761	106.649406	3050	930	281.5	152	174.9	3136	15.9	13	1540	1590475807
29.747952	106.650642	3325	1013	277.8	150	172.6	2624	13.3	14	1540	1590475813
29.755911	106.652954	3775	1151	272.2	147	169.2	2304	11.7	14	1540	1590475825
29.759962	106.654198	4025	1227	270.4	146	168	2368	12	15	1540	1590475832
29.767689	106.656731	4475	1364	263	142	163.4	2368	12	16	1540	1590475843
29.77146	106.65802	4625	1410	268.5	145	166.9	1536	7.8	16	1540	1590475849
29.775509	106.659363	4750	1448	277.8	150	172.6	1408	7.2	16	1540	1590475855
29.779606	106.660767	4900	1494	288.9	156	179.5	1472	7.5	16	1540	1590475861
29.784214	106.662331	5050	1539	303.7	164	188.7	1472	7.5	16	1540	1590475868
29.792587	106.665253	5375	1638	320.4	173	199.1	1856	9.4	17	1540	1590475878
29.80279	106.668846	5725	1745	342.6	185	212.9	1728	8.8	17	1540	1590475891
29.813217	106.672508	6075	1852	366.7	198	227.9	1664	8.5	16	1540	1590475903
29.824203	106.676331	6450	1966	392.6	212	244	2496	12.7	16	1540	1590475915
29.835934	106.68042	7025	2141	396.3	214	246.3	2944	15	16	1540	1590475928
29.847527	106.684517	7475	2278	409.3	221	254.3	1792	9.1	17	1540	1590475939
29.859489	106.688988	7850	2393	437.1	236	271.6	2112	10.7	21	1540	1590475952
29.868668	106.694885	8125	2477	455.6	246	283.1	1664	8.5	33	1540	1590475960
29.873657	106.700272	8275	2522	474.1	256	294.6	1536	7.8	47	1540	1590475966
29.877914	106.707512	8425	2568	488.9	264	303.8	1792	9.1	61	1540	1590475972
29.880341	106.715172	8650	2637	501.9	271	311.9	2304	11.7	72	1540	1590475978
29.881485	106.723991	8900	2713	511.2	276	317.6	2816	14.3	86	1540	1590475984
29.872896	106.753395	10050	3063	524.1	283	325.7	3776	19.2	123	1540	1590476006
29.865784	106.764771	10550	3216	529.7	286	329.1	2944	15	126	1540	1590476015
29.856033	106.779556	10950	3338	555.6	300	345.2	1728	8.8	126	1540	1590476026
29.845596	106.795715	11225	3421	585.2	316	363.6	1344	6.8	126	1540	1590476038
29.834656	106.812782	11450	3490	618.6	334	384.4	960	4.9	126	1540	1590476050
29.823441	106.830368	11725	3574	644.5	348	400.5	1728	8.8	125	1540	1590476062
29.811859	106.84864	12150	3703	661.2	357	410.8	2368	12	126	1540	1590476075
29.779234	106.899933	12800	3901	670.4	362	416.6	320	1.6	126	1540	1590476108
29.745987	106.950478	12800	3901	674.1	364	418.9	-64	-0.3	133	1540	1590476140
29.73793	106.958878	12800	3901	677.8	366	421.2	0	0	139	1540	1590476147
29.729645	106.965637	12800	3901	681.5	368	423.5	0	0	146	1540	1590476153
29.71583	106.973228	12800	3901	683.4	369	424.6	64	0.3	158	1540	1590476161
29.705612	106.976463	12800	3901	685.2	370	425.8	0	0	168	1540	1590476168
29.695486	106.977913	12800	3901	690.8	373	429.2	0	0	175	1540	1590476174
29.680206	106.977043	12800	3901	694.5	375	431.5	-64	-0.3	187	1540	1590476182
29.669416	106.974037	12800	3901	694.5	375	431.5	0	0	197	1540	1590476189
29.655312	106.967415	12825	3909	694.5	375	431.5	192	1	204	1540	1590476197
29.645462	106.962204	12825	3909	696.4	376	432.7	0	0	204	1540	1590476205
29.630919	106.954491	12800	3901	700.1	378	435	-64	-0.3	204	1540	1590476213
29.57366	106.924332	12800	3901	701.9	379	436.1	0	0	204	1540	1590476249
29.520493	106.896286	12800	3901	700.1	378	435	0	0	204	1540	1590476282
29.495777	106.885826	12800	3901	698.2	377	433.8	0	0	194	1540	1590476298
29.481718	106.883453	12800	3901	696.4	376	432.7	64	0.3	184	1540	1590476306
29.470093	106.883347	12800	3901	694.5	375	431.5	128	0.7	179	1540	1590476312
29.459839	106.883659	12800	3901	696.4	376	432.7	64	0.3	178	1540	1590476318
29.449127	106.884087	12800	3901	694.5	375	431.5	0	0	178	1540	1590476324
29.43869	106.884506	12800	3901	692.6	374	430.4	-64	-0.3	178	1540	1590476331
29.37561	106.887306	12800	3901	692.6	374	430.4	0	0	177	1540	1590476366
29.318367	106.890076	12800	3901	694.5	375	431.5	64	0.3	177	1540	1590476399
29.2603	106.892906	12800	3901	690.8	373	429.2	0	0	177	1540	1590476432
29.203569	106.895569	12800	3901	692.6	374	430.4	64	0.3	177	1540	1590476466
29.146317	106.898399	12800	3901	690.8	373	429.2	0	0	177	1540	1590476499
29.088911	106.90123	12800	3901	690.8	373	429.2	64	0.3	177	1540	1590476531
29.031139	106.90403	12800	3901	690.8	373	429.2	0	0	177	1540	1590476565
28.974253	106.90683	12800	3901	692.6	374	430.4	-64	-0.3	177	1540	1590476598
28.921646	106.909492	12800	3901	696.4	376	432.7	0	0	177	1540	1590476628
28.864838	106.912186	12800	3901	698.2	377	433.8	64	0.3	177	1540	1590476661
28.805557	106.914986	12800	3901	705.6	381	438.4	0	0	177	1540	1590476694
28.780701	106.916145	12800	3901	703.8	380	437.3	0	0	177	1540	1590476708
28.738129	106.918419	12799	3901	700.1	378	435	0	0	177	1540	1590476732
28.638937	106.924118	13525	4122	700.1	378	435	2432	12.4	177	1540	1590476790
28.58717	106.927124	15174	4625	701.9	379	436.1	0	0	177	1540	1590476818
28.550308	106.929405	16250	4953	690.8	373	429.2	0	0	177	1540	1590476840
28.5228	106.930885	16801	5121	690.8	373	429.2	0	0	177	1540	1590476856
28.478148	106.933167	17625	5372	701.9	379	436.1	0	0	177	1540	1590476880
28.443558	106.935112	18350	5593	700.1	378	435	0	0	177	1540	1590476900
28.263586	106.945229	21250	6477	753.8	407	468.4	2112	10.7	177	1540	1590476999
28.143219	106.951797	22600	6888	768.6	415	477.6	128	0.7	177	1540	1590477062
28.118343	106.95314	22625	6896	766.7	414	476.4	64	0.3	177	1540	1590477074
28.06284	106.956177	22874	6972	751.9	406	467.2	0	0	177	1540	1590477104
27.970728	106.961006	24049	7330	768.6	415	477.6	0	0	177	1540	1590477150
27.880459	106.965538	25276	7704	772.3	417	479.9	0	0	177	1540	1590477196
27.696346	106.976677	27425	8359	818.6	442	508.6	1600	8.1	176	1540	1590477288
27.660139	106.978897	27851	8489	792.7	428	492.5	0	0	177	1540	1590477306
27.633547	106.980537	28176	8588	796.4	430	494.8	0	0	177	1540	1590477318
27.350239	107.067612	29101	8870	738.9	399	459.2	0	0	177	1540	1590477490
25.212601	107.993011	29101	8870	776	419	482.2	0	0	174	0	1590478620
25.14967	108.000687	29101	8870	783.4	423	486.8	0	0	174	0	1590478651
25.024427	108.0159	29101	8870	813	439	505.2	0	0	174	0	1590478710
24.96245	108.023575	29101	8870	816.7	441	507.5	0	0	174	0	1590478741
24.836977	108.038788	29101	8870	829.7	448	515.5	0	0	174	0	1590478800
24.77412	108.046371	29101	8870	831.5	449	516.7	0	0	174	0	1590478830
24.692469	108.056236	28848	8793	835.3	451	519	0	0	174	0	1590478870
24.63052	108.063705	28350	8641	833.4	450	517.9	0	0	174	0	1590478900
24.510727	108.078362	27375	8344	813	439	505.2	0	0	174	0	1590478960
24.452488	108.085358	26877	8192	805.6	435	500.6	0	0	174	0	1590478990
24.373857	108.094788	26601	8108	811.2	438	504	0	0	174	0	1590479028
24.314209	108.098961	26601	8108	798.2	431	496	0	0	183	0	1590479061
24.275177	108.09153	26601	8108	798.2	431	496	0	0	196	0	1590479080
24.204901	108.062386	26601	8108	789	426	490.2	0	0	201	0	1590479120
24.151527	108.039551	26601	8108	785.2	424	487.9	0	0	202	0	1590479150
24.098558	108.0168	26601	8108	779.7	421	484.5	0	0	201	0	1590479180
23.992228	107.971153	26601	8108	764.9	413	475.3	0	0	202	0	1590479242
23.93465	107.94648	26549	8092	766.7	414	476.4	0	0	202	0	1590479274
23.881439	107.923729	26076	7948	764.9	413	475.3	0	0	202	0	1590479304
23.724792	107.856544	24550	7483	729.7	394	453.4	-1088	-5.5	201	1540	1590479394
23.622606	107.812981	22800	6949	705.6	381	438.4	-1664	-8.5	201	1540	1590479455
23.518843	107.768761	22575	6881	688.9	372	428.1	192	1	201	1540	1590479518
23.424852	107.728783	22600	6888	635.2	343	394.7	0	0	201	1540	1590479579
23.368059	107.70462	22598	6888	690.8	373	429.2	0	0	202	1540	1590479617
23.30279	107.699173	22024	6713	679.7	367	422.3	0	0	162	1540	1590479659
23.27598	107.713875	21475	6546	668.6	361	415.4	-2048	-10.4	149	1540	1590479677
23.255219	107.727097	21050	6416	679.7	367	422.3	0	0	150	1540	1590479690
23.240688	107.736305	20801	6340	677.8	366	421.2	0	0	150	1540	1590479700
23.229658	107.743378	20623	6286	676	365	420	0	0	150	1540	1590479708
23.197628	107.763672	20098	6126	674.1	364	418.9	0	0	150	1540	1590479730
23.172628	107.779488	19524	5951	672.3	363	417.7	0	0	150	1540	1590479748
23.128595	107.807106	18200	5547	644.5	348	400.5	-2048	-10.4	149	1540	1590479782
23.060259	107.850746	16549	5044	648.2	350	402.8	0	0	150	1540	1590479832
23.033838	107.867355	15676	4778	644.5	348	400.5	0	0	150	1540	1590479852
23.0259	107.872307	15427	4702	638.9	345	397	0	0	150	1540	1590479858
22.9503	107.920326	13150	4008	590.8	319	367.1	-2688	-13.7	149	1540	1590479915
22.906219	107.948212	11950	3642	570.4	308	354.4	-1920	-9.8	149	1540	1590479951
22.889875	107.958427	11475	3498	563	304	349.8	-2496	-12.7	150	1540	1590479964
22.872744	107.969154	10825	3299	566.7	306	352.1	-3136	-15.9	149	1540	1590479977
22.854538	107.980721	10125	3086	572.3	309	355.6	-2880	-14.6	149	1540	1590479993
22.834991	107.99231	9375	2858	577.8	312	359	-3328	-16.9	154	1540	1590480009
22.81805	107.996353	8848	2697	592.6	320	368.2	0	0	175	1540	1590480019
22.792465	107.995255	8325	2537	550	297	341.8	-1792	-9.1	183	1540	1590480039
22.777079	107.99408	8100	2469	572.3	309	355.6	0	0	185	1540	1590480050
22.750309	107.991806	7575	2309	559.3	302	347.5	0	0	186	1540	1590480070
22.72385	107.989105	7126	2172	553.7	299	344.1	0	0	187	1540	1590480090
22.71089	107.987717	6824	2080	548.2	296	340.6	0	0	187	1540	1590480100
22.677084	107.983856	6175	1882	522.3	282	324.5	-1408	-7.2	185	1540	1590480126
22.660858	107.981972	6000	1829	513	277	318.8	-704	-3.6	185	1540	1590480139
22.645844	107.980278	5875	1791	500	270	310.7	-640	-3.3	185	1540	1590480150
22.631241	107.978577	5750	1753	487.1	263	302.7	-576	-2.9	185	1540	1590480162
22.616684	107.976929	5625	1715	474.1	256	294.6	-576	-2.9	185	1540	1590480175
22.602493	107.97538	5525	1684	461.1	249	286.5	-512	-2.6	185	1540	1590480186
22.588348	107.973831	5400	1646	448.2	242	278.5	-640	-3.3	185	1540	1590480199
22.576904	107.972466	5300	1615	433.4	234	269.3	-576	-2.9	186	1540	1590480209
22.562897	107.970787	5175	1577	409.3	221	254.3	-640	-3.3	186	1540	1590480222
22.550508	107.969307	5000	1524	394.5	213	245.1	-1088	-5.5	186	1540	1590480235
22.538639	107.967781	4775	1455	387.1	209	240.5	-1152	-5.9	186	1540	1590480248
22.52417	107.965889	4450	1356	387.1	209	240.5	-1600	-8.1	186	1540	1590480262
22.506588	107.963692	4026	1227	437.1	236	271.6	0	0	185	1540	1590480278
22.49872	107.964241	3825	1166	420.4	227	261.2	0	0	171	1540	1590480288
22.489059	107.968742	3575	1090	405.6	219	252	-1408	-7.2	146	1540	1590480299
22.482496	107.975922	3425	1044	398.2	215	247.4	-960	-4.9	126	1540	1590480308
22.479704	107.98172	3325	1013	390.8	211	242.8	-1088	-5.5	113	1540	1590480314
22.478493	107.986961	3250	991	379.7	205	235.9	-896	-4.6	98	1540	1590480320
22.478256	107.993759	3175	968	370.4	200	230.2	-512	-2.6	89	1540	1590480326
