latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
36.089172	-115.240799	2525	770	83.3	45	51.8	384	2	249	0	1590475678
36.091438	-115.249329	2650	808	159.3	86	99	448	2.3	289	0	1590475700
36.092102	-115.252533	2700	823	168.5	91	104.7	384	2	280	0	1590475706
36.09251	-115.255936	2725	831	172.2	93	107	320	1.6	276	5277	1590475713
36.092606	-115.261002	2775	846	177.8	96	110.5	256	1.3	270	5277	1590475722
36.092606	-115.26432	2775	846	183.3	99	113.9	256	1.3	269	5277	1590475728
36.092693	-115.269081	2850	869	183.3	99	113.9	448	2.3	272	5277	1590475736
36.092926	-115.273582	2900	884	183.3	99	113.9	384	2	273	5277	1590475744
36.093063	-115.278397	2900	884	187.1	101	116.2	-192	-1	271	5277	1590475752
36.093067	-115.281059	2875	876	188.9	102	117.4	-128	-0.7	270	5277	1590475758
36.093067	-115.28521	2900	884	185.2	100	115.1	192	1	268	5277	1590475764
36.092976	-115.288895	2900	884	187.1	101	116.2	-192	-1	268	5277	1590475771
36.094418	-115.30011	2925	892	192.6	104	119.7	192	1	287	5277	1590475791
36.096371	-115.306129	2975	907	200	108	124.3	384	2	294	5277	1590475801
36.097816	-115.309814	3025	922	201.9	109	125.4	512	2.6	295	5277	1590475808
36.09906	-115.313019	3075	937	205.6	111	127.7	320	1.6	296	5277	1590475814
36.100525	-115.31662	3100	945	207.4	112	128.9	320	1.6	297	5277	1590475820
36.10199	-115.320114	3125	953	209.3	113	130	320	1.6	297	5277	1590475826
36.103542	-115.323776	3150	960	211.1	114	131.2	192	1	297	5277	1590475832
36.104984	-115.327286	3200	975	211.1	114	131.2	384	2	297	5277	1590475838
36.106522	-115.331024	3250	991	211.1	114	131.2	384	2	296	5277	1590475844
36.107918	-115.334587	3275	998	207.4	112	128.9	512	2.6	296	5277	1590475850
36.10936	-115.338249	3350	1021	205.6	111	127.7	576	2.9	294	5277	1590475857
36.110664	-115.341774	3400	1036	205.6	111	127.7	512	2.6	294	5277	1590475863
36.111874	-115.345169	3450	1052	205.6	111	127.7	576	2.9	293	5277	1590475870
36.114395	-115.352264	3550	1082	200	108	124.3	576	2.9	292	5277	1590475882
36.115448	-115.355698	3625	1105	194.5	105	120.8	576	2.9	289	5277	1590475888
36.116436	-115.359367	3700	1128	192.6	104	119.7	640	3.3	287	5277	1590475894
36.117275	-115.362755	3750	1143	190.8	103	118.5	640	3.3	286	5277	1590475900
36.118057	-115.366226	3825	1166	185.2	100	115.1	768	3.9	285	5277	1590475907
36.119556	-115.372864	4025	1227	179.6	97	111.6	1024	5.2	286	5277	1590475918
36.1203	-115.376129	4125	1257	177.8	96	110.5	1024	5.2	286	5277	1590475925
36.121231	-115.380051	4225	1288	181.5	98	112.8	960	4.9	286	5277	1590475932
36.122223	-115.384201	4350	1326	181.5	98	112.8	960	4.9	286	5277	1590475940
36.123932	-115.391212	4525	1379	185.2	100	115.1	832	4.2	285	5277	1590475952
36.124584	-115.394257	4600	1402	185.2	100	115.1	768	3.9	285	5277	1590475958
36.125427	-115.397705	4675	1425	185.2	100	115.1	768	3.9	287	5277	1590475964
36.126213	-115.401093	4750	1448	187.1	101	116.2	704	3.6	285	5277	1590475970
36.127029	-115.404739	4800	1463	192.6	104	119.7	448	2.3	284	5277	1590475977
36.12854	-115.41172	4900	1494	194.5	105	120.8	448	2.3	285	5277	1590475988
36.129318	-115.415329	4950	1509	194.5	105	120.8	576	2.9	284	5277	1590475994
36.129982	-115.418739	5025	1532	190.8	103	118.5	640	3.3	282	5277	1590476000
36.131287	-115.426025	5150	1570	192.6	104	119.7	576	2.9	282	5277	1590476013
36.13245	-115.432999	5275	1608	194.5	105	120.8	576	2.9	281	5277	1590476026
36.133659	-115.440422	5425	1654	188.9	102	117.4	896	4.6	279	5277	1590476038
36.134583	-115.447601	5575	1699	187.1	101	116.2	832	4.2	279	5277	1590476050
36.135452	-115.454292	5775	1760	177.8	96	110.5	1024	5.2	278	5277	1590476063
36.13636	-115.461105	5950	1814	179.6	97	111.6	704	3.6	277	5277	1590476074
36.1371	-115.467743	6100	1859	179.6	97	111.6	768	3.9	277	5277	1590476087
36.137924	-115.474663	6250	1905	183.3	99	113.9	704	3.6	277	5277	1590476100
36.138596	-115.481499	6425	1958	181.5	98	112.8	1024	5.2	278	5277	1590476112
36.139481	-115.488457	6600	2012	183.3	99	113.9	640	3.3	278	5277	1590476124
36.140396	-115.495316	6775	2065	179.6	97	111.6	960	4.9	280	5277	1590476136
36.141155	-115.500671	6950	2118	175.9	95	109.3	1024	5.2	278	5277	1590476146
36.141899	-115.506805	7150	2179	170.4	92	105.9	960	4.9	278	5277	1590476158
36.142784	-115.512238	7300	2225	168.5	91	104.7	896	4.6	281	5277	1590476168
36.143921	-115.518326	7500	2286	166.7	90	103.6	1152	5.9	283	5277	1590476180
36.145111	-115.524162	7675	2339	168.5	91	104.7	896	4.6	284	5277	1590476192
36.146164	-115.52948	7775	2370	168.5	91	104.7	832	4.2	283	5277	1590476202
36.14772	-115.537659	7900	2408	187.1	101	116.2	512	2.6	283	5277	1590476216
36.148788	-115.544327	7975	2431	200	108	124.3	256	1.3	279	5277	1590476228
36.149673	-115.550812	8025	2446	201.9	109	125.4	128	0.7	279	5277	1590476238
36.150558	-115.558609	8075	2461	203.7	110	126.6	192	1	276	5277	1590476250
36.151108	-115.56633	8100	2469	207.4	112	128.9	128	0.7	274	5277	1590476263
36.151428	-115.574173	8125	2477	207.4	112	128.9	192	1	272	5277	1590476276
36.151703	-115.582466	8150	2484	214.8	116	133.5	-64	-0.3	272	5277	1590476288
36.151978	-115.590652	8125	2477	218.5	118	135.8	-128	-0.7	271	5277	1590476301
36.152298	-115.598602	8125	2477	222.2	120	138.1	0	0	272	5277	1590476312
36.152573	-115.607529	8150	2484	222.2	120	138.1	192	1	271	5277	1590476324
36.152847	-115.616165	8175	2492	218.5	118	135.8	128	0.7	273	5277	1590476338
36.153259	-115.62458	8200	2499	214.8	116	133.5	256	1.3	273	5277	1590476350
36.153866	-115.633034	8200	2499	216.7	117	134.6	-256	-1.3	275	5277	1590476362
36.154587	-115.641571	8175	2492	222.2	120	138.1	-384	-2	276	5277	1590476376
36.155594	-115.650269	8075	2461	233.4	126	145	-768	-3.9	279	5277	1590476388
36.156845	-115.659683	8000	2438	235.2	127	146.1	-64	-0.3	278	5277	1590476402
36.157928	-115.668579	7900	2408	235.2	127	146.1	-512	-2.6	279	5277	1590476414
36.159119	-115.676765	7750	2362	244.5	132	151.9	-768	-3.9	281	5277	1590476425
36.160801	-115.686096	7600	2316	246.3	133	153.1	-704	-3.6	282	5277	1590476436
36.16214	-115.694565	7475	2278	242.6	131	150.8	-1088	-5.5	280	5277	1590476448
36.163193	-115.702858	7400	2256	235.2	127	146.1	-512	-2.6	278	5277	1590476460
36.164013	-115.711342	7325	2233	233.4	126	145	-384	-2	276	5277	1590476472
36.164803	-115.720161	7250	2210	231.5	125	143.8	-320	-1.6	275	5277	1590476484
36.16555	-115.729164	7175	2187	235.2	127	146.1	-448	-2.3	275	5277	1590476496
36.16634	-115.737633	7075	2156	240.8	130	149.6	-256	-1.3	277	5277	1590476508
36.167503	-115.747276	6950	2118	240.8	130	149.6	-576	-2.9	279	5277	1590476521
36.168854	-115.756569	6850	2088	240.8	130	149.6	-448	-2.3	280	5277	1590476534
36.170345	-115.765511	6775	2065	231.5	125	143.8	64	0.3	281	5277	1590476546
36.171787	-115.774338	6750	2057	225.9	122	140.4	64	0.3	281	5277	1590476558
36.173462	-115.782982	6700	2042	224.1	121	139.2	-320	-1.6	284	5277	1590476572
36.17514	-115.791168	6675	2035	222.2	120	138.1	-192	-1	285	5277	1590476584
36.177094	-115.799759	6550	1996	229.6	124	142.7	-960	-4.9	285	5277	1590476596
36.179096	-115.808228	6350	1935	235.2	127	146.1	-896	-4.6	286	5277	1590476608
36.181236	-115.817345	6100	1859	235.2	127	146.1	-1280	-6.5	285	5277	1590476622
36.183197	-115.826172	5825	1775	240.8	130	149.6	-1216	-6.2	285	5277	1590476634
36.185333	-115.835342	5575	1699	238.9	129	148.5	-1024	-5.2	286	5277	1590476646
36.187225	-115.844711	5325	1623	235.2	127	146.1	-1280	-6.5	282	5277	1590476660
36.188736	-115.85318	5075	1547	233.4	126	145	-1344	-6.8	282	5277	1590476672
36.190407	-115.862167	4800	1463	231.5	125	143.8	-1088	-5.5	283	5277	1590476684
36.191292	-115.867195	4675	1425	227.8	123	141.5	-960	-4.9	282	5277	1590476692
36.19194	-115.871262	4600	1402	225.9	122	140.4	-832	-4.2	280	5277	1590476698
36.192444	-115.875664	4550	1387	213	115	132.3	-64	-0.3	276	5277	1590476704
36.192783	-115.879875	4525	1379	207.4	112	128.9	-512	-2.6	275	5277	1590476710
36.193039	-115.883163	4475	1364	205.6	111	127.7	-512	-2.6	275	5277	1590476716
36.193573	-115.88765	4425	1349	205.6	111	127.7	-512	-2.6	279	5277	1590476722
36.194225	-115.891441	4350	1326	209.3	113	130	-832	-4.2	282	5277	1590476730
36.195007	-115.895462	4250	1295	213	115	132.3	-704	-3.6	284	5277	1590476736
36.195831	-115.899582	4175	1273	214.8	116	133.5	-832	-4.2	284	5277	1590476742
36.196739	-115.903831	4075	1242	220.4	119	136.9	-832	-4.2	285	5277	1590476748
36.197624	-115.908043	4000	1219	220.4	119	136.9	-576	-2.9	283	5277	1590476754
36.198277	-115.912018	3975	1212	213	115	132.3	-192	-1	280	5277	1590476760
36.198833	-115.916161	3975	1212	209.3	113	130	-128	-0.7	279	5277	1590476767
36.199356	-115.920471	3950	1204	207.4	112	128.9	-128	-0.7	277	5277	1590476774
36.199722	-115.92453	3925	1196	205.6	111	127.7	-192	-1	277	5277	1590476780
36.200138	-115.928497	3900	1189	203.7	110	126.6	0	0	276	5277	1590476786
36.200455	-115.932541	3875	1181	201.9	109	125.4	-256	-1.3	275	5277	1590476792
36.200741	-115.936615	3850	1173	205.6	111	127.7	-512	-2.6	274	5277	1590476800
36.200958	-115.940613	3775	1151	211.1	114	131.2	-640	-3.3	274	5277	1590476806
36.201206	-115.944626	3725	1135	214.8	116	133.5	-448	-2.3	274	5277	1590476812
36.201599	-115.948906	3650	1113	216.7	117	134.6	-768	-3.9	277	5277	1590476818
36.202141	-115.953094	3525	1074	216.7	117	134.6	-896	-4.6	278	5277	1590476824
36.202652	-115.957321	3475	1059	218.5	118	135.8	-384	-2	278	5277	1590476830
36.203201	-115.961548	3350	1021	214.8	116	133.5	-704	-3.6	279	5277	1590476838
36.20372	-115.965599	3275	998	214.8	116	133.5	-832	-4.2	278	5277	1590476844
36.204117	-115.969681	3200	975	213	115	132.3	-896	-4.6	276	5277	1590476850
36.204422	-115.9739	3125	953	203.7	110	126.6	-512	-2.6	274	5277	1590476856
36.204514	-115.977287	3075	937	194.5	105	120.8	-384	-2	270	5277	1590476862
36.204346	-115.981064	3025	922	181.5	98	112.8	-384	-2	264	5277	1590476868
36.203815	-115.984711	2975	907	172.2	93	107	-256	-1.3	256	5277	1590476875
36.202976	-115.987572	2950	899	157.4	85	97.8	-384	-2	245	5277	1590476881
36.201443	-115.989449	2900	884	131.5	71	81.7	-448	-2.3	207	5277	1590476888
36.199493	-115.989647	2850	869	109.3	59	67.9	-512	-2.6	174	5277	1590476894
36.197948	-115.989273	2800	853	94.5	51	58.7	-384	-2	161	5277	1590476900
36.196785	-115.988686	2775	846	81.5	44	50.6	-128	-0.7	157	5277	1590476906
36.195667	-115.988098	2750	838	66.7	36	41.4	-128	-0.7	155	5277	1590476912
36.195053	-115.987762	2750	838	57.4	31	35.7	-64	-0.3	153	5277	1590476918
36.194134	-115.987106	2725	831	50	27	31.1	-192	-1	151	5277	1590476924
36.193405	-115.986671	2725	831	48.2	26	29.9	-64	-0.3	157	5277	1590476931
36.19281	-115.986389	2725	831	33.3	18	20.7	-128	-0.7	164	5277	1590476938
36.192398	-115.986267	2700	823	29.6	16	18.4	-128	-0.7	165	5277	1590476944
36.191944	-115.986115	2675	815	25.9	14	16.1	-128	-0.7	164	5277	1590476950
36.191574	-115.986038	2675	815	24.1	13	15	-128	-0.7	171	5277	1590476956
36.191299	-115.986099	2650	808	14.8	8	9.2	-128	-0.7	209	5277	1590476962
