latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
-6.117908	106.660194	0	0	16.7	9	10.4	0	0	154	0	1590475686
-6.117714	106.661537	0	0	48.2	26	29.9	0	0	67	2341	1590475928
-6.117604	106.661781	0	0	48.2	26	29.9	0	0	67	2341	1590475934
-6.117488	106.662071	0	0	40.7	22	25.3	0	0	67	2341	1590475941
-6.117325	106.662476	0	0	37	20	23	0	0	67	2341	1590475952
-6.117243	106.662682	0	0	35.2	19	21.9	0	0	70	2341	1590475958
-6.117165	106.662895	0	0	40.7	22	25.3	0	0	67	2341	1590475964
-6.117034	106.663216	0	0	46.3	25	28.8	0	0	67	2341	1590475972
-6.11689	106.663574	0	0	48.2	26	29.9	0	0	67	2341	1590475980
-6.116776	106.663841	0	0	40.7	22	25.3	0	0	67	2341	1590475986
-6.116569	106.664055	0	0	37	20	23	0	0	50	2341	1590475994
-6.116341	106.664108	0	0	42.6	23	26.5	0	0	25	2341	1590476001
-6.116103	106.664024	0	0	48.2	26	29.9	0	0	357	2341	1590476007
-6.115814	106.663849	0	0	42.6	23	26.5	0	0	337	2341	1590476014
-6.115494	106.663734	0	0	42.6	23	26.5	0	0	337	2341	1590476021
-6.115218	106.66362	0	0	44.4	24	27.6	0	0	337	2341	1590476028
-6.114916	106.663498	0	0	51.9	28	32.2	0	0	337	2341	1590476034
-6.114395	106.663292	0	0	63	34	39.1	0	0	337	2341	1590476043
-6.11404	106.663155	0	0	57.4	31	35.7	0	0	337	2341	1590476049
-6.113731	106.663025	0	0	44.4	24	27.6	0	0	337	2341	1590476057
-6.113426	106.662994	0	0	33.3	18	20.7	0	0	351	2341	1590476065
-6.113228	106.663208	0	0	35.2	19	21.9	0	0	30	2341	1590476074
-6.113135	106.663513	0	0	37	20	23	0	0	59	2341	1590476083
-6.113056	106.663734	0	0	40.7	22	25.3	0	0	67	2341	1590476090
-6.112914	106.664093	0	0	48.2	26	29.9	0	0	67	2341	1590476098
-6.112793	106.664383	0	0	51.9	28	32.2	0	0	67	2341	1590476104
-6.112669	106.664719	0	0	55.6	30	34.5	0	0	67	2341	1590476111
-6.112381	106.665421	0	0	27.8	15	17.3	0	0	67	2341	1590476123
-6.112209	106.665855	0	0	29.6	16	18.4	0	0	67	2341	1590476129
-6.111866	106.666725	0	0	33.3	18	20.7	0	0	67	2341	1590476141
-6.111459	106.667725	0	0	37	20	23	0	0	67	2341	1590476152
-6.111122	106.668594	0	0	29.6	16	18.4	0	0	67	2341	1590476163
-6.110936	106.669067	0	0	57.4	31	35.7	0	0	67	2341	1590476170
-6.110784	106.669411	0	0	50	27	31.1	0	0	67	2341	1590476176
-6.110656	106.669678	0	0	42.6	23	26.5	0	0	64	2341	1590476183
-6.110319	106.669891	0	0	48.2	26	29.9	0	0	33	2341	1590476192
-6.110081	106.669853	0	0	38.9	21	24.2	0	0	5	2341	1590476198
-6.109807	106.669655	0	0	38.9	21	24.2	0	0	337	2341	1590476207
-6.109531	106.669388	0	0	42.6	23	26.5	0	0	317	2341	1590476217
-6.109423	106.669044	0	0	38.9	21	24.2	0	0	292	2341	1590476226
-6.10933	106.668724	0	0	38.9	21	24.2	0	0	289	2341	1590476235
-6.109222	106.668404	0	0	37	20	23	0	0	286	2341	1590476244
-6.109257	106.668182	0	0	37	20	23	0	0	270	2341	1590476251
-6.109399	106.667953	0	0	25.9	14	16.1	0	0	247	2341	1590476259
-6.109509	106.667747	0	0	33.3	18	20.7	0	0	247	2341	1590476268
-6.109632	106.667435	0	0	38.9	21	24.2	0	0	247	2341	1590476275
-6.110287	106.665794	0	0	116.7	63	72.5	0	0	247	2341	1590476282
-6.111063	106.663857	0	0	163	88	101.3	0	0	247	2341	1590476289
-6.112169	106.661049	150	46	209.3	113	130	0	0	248	2341	1590476295
-6.11348	106.657784	150	46	246.3	133	153.1	0	0	248	2341	1590476302
-6.116684	106.64978	275	84	300	162	186.4	1920	9.8	248	2341	1590476313
-6.11864	106.644905	575	175	292.6	158	181.8	2752	14	248	2341	1590476320
-6.120163	106.641075	850	259	290.8	157	180.7	2816	14.3	247	2341	1590476326
-6.121902	106.636887	1150	351	287.1	155	178.4	2944	15	247	2341	1590476332
-6.123574	106.632637	1425	434	285.2	154	177.2	2688	13.7	248	2341	1590476338
-6.124786	106.62883	1600	488	294.5	159	183	1408	7.2	255	2341	1590476344
-6.125336	106.624084	1700	518	318.5	172	197.9	704	3.6	270	2341	1590476350
-6.124603	106.618401	1775	541	348.2	188	216.3	704	3.6	281	2341	1590476358
-6.122726	106.610863	1925	587	379.7	205	235.9	1216	6.2	286	2341	1590476366
-6.120642	106.604462	2050	625	403.7	218	250.9	1088	5.5	288	2341	1590476372
-6.118744	106.598854	2150	655	424.1	229	263.5	1024	5.2	289	2341	1590476378
-6.116498	106.592667	2250	686	446.3	241	277.3	1088	5.5	290	2341	1590476384
-6.113937	106.585632	2400	732	466.7	252	290	1664	8.5	290	2341	1590476391
-6.109131	106.572456	2900	884	479.7	259	298.1	3200	16.3	290	2341	1590476402
-6.106567	106.565338	3250	991	481.5	260	299.2	3392	17.2	289	2341	1590476408
-6.104162	106.558525	3575	1090	483.4	261	300.4	3328	16.9	289	2341	1590476414
-6.101462	106.550812	3975	1212	483.4	261	300.4	3712	18.9	288	2341	1590476420
-6.099134	106.543892	4325	1318	485.2	262	301.5	3264	16.6	288	2341	1590476428
