latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
38.789604	-97.643585	0	0	31.5	17	19.6	0	0	180	0	1590475734
38.809753	-97.647736	2300	701	259.3	140	161.1	1600	8.1	335	0	1590475974
38.813049	-97.650902	2400	732	266.7	144	165.7	1024	5.2	320	4724	1590475980
38.81572	-97.655579	2500	762	285.2	154	177.2	768	3.9	299	4724	1590475986
38.81694	-97.659439	2500	762	294.5	159	183	640	3.3	289	4724	1590475992
38.817585	-97.666992	2600	792	316.7	171	196.8	704	3.6	268	4724	1590476000
38.816254	-97.674667	2700	823	335.2	181	208.3	832	4.2	250	4724	1590476006
38.81369	-97.680519	2800	853	346.3	187	215.2	1216	6.2	234	4724	1590476014
38.809902	-97.685364	2900	884	350	189	217.5	1280	6.5	218	4724	1590476020
38.80481	-97.68882	3000	914	359.3	194	223.3	832	4.2	201	4724	1590476026
38.783333	-97.683334	3200	975	359.3	194	223.3	0	0	238	0	1590476048
38.783878	-97.686768	3600	1097	342.6	185	212.9	1600	8.1	162	4724	1590476050
38.775787	-97.683327	3900	1189	333.4	180	207.1	1536	7.8	160	4724	1590476060
38.771126	-97.681274	4000	1219	331.5	179	206	1472	7.5	160	4724	1590476066
38.76619	-97.679016	4200	1280	326	176	202.5	1664	8.5	160	4724	1590476072
38.733334	-97.666664	4800	1463	316.7	171	196.8	0	0	165	0	1590476108
38.727459	-97.653732	5100	1554	313	169	194.5	1600	8.1	89	0	1590476128
38.718887	-97.654961	5800	1768	305.6	165	189.9	1344	6.8	157	4724	1590476138
38.710838	-97.650818	6100	1859	307.4	166	191	1280	6.5	158	4724	1590476150
38.70409	-97.6474	6200	1890	307.4	166	191	1280	6.5	158	4724	1590476160
38.701157	-97.635658	6100	1859	309.3	167	192.2	1280	6.5	158	0	1590476166
38.694809	-97.642723	6500	1981	309.3	167	192.2	1344	6.8	158	4724	1590476172
38.685608	-97.638306	6800	2073	309.3	167	192.2	1280	6.5	159	4724	1590476184
38.684067	-97.629547	6400	1951	305.6	165	189.9	1408	7.2	180	0	1590476188
38.676498	-97.634003	7000	2134	316.7	171	196.8	640	3.3	159	4724	1590476198
38.66317	-97.627991	7100	2164	348.2	188	216.3	128	0.7	160	4724	1590476214
38.653835	-97.61586	7100	2164	329.7	178	204.8	1216	6.2	158	0	1590476227
38.643219	-97.619255	7100	2164	387.1	209	240.5	-64	-0.3	161	4724	1590476236
38.616337	-97.607056	7100	2164	400	216	248.6	128	0.7	160	4724	1590476264
38.604446	-97.6017	7100	2164	401.9	217	249.7	0	0	161	4724	1590476278
38.604176	-97.596977	7100	2164	392.6	212	244	1152	5.9	165	0	1590476288
38.592365	-97.596802	7100	2164	407.4	220	253.2	0	0	163	4724	1590476290
38.580551	-97.592804	7100	2164	413	223	256.6	0	0	166	4724	1590476302
38.586567	-97.587158	7100	2164	400	216	248.6	640	3.3	141	0	1590476307
38.568249	-97.589539	7100	2164	414.8	224	257.8	0	0	168	4724	1590476314
38.541092	-97.584862	7100	2164	420.4	227	261.2	0	0	173	4724	1590476340
38.545223	-97.576668	7100	2164	411.1	222	255.5	576	2.9	180	0	1590476349
38.527405	-97.583076	7000	2134	422.3	228	262.4	64	0.3	174	4724	1590476352
38.5149	-97.581421	7100	2164	422.3	228	262.4	-64	-0.3	173	4724	1590476366
38.524372	-97.568787	7000	2134	420.4	227	261.2	384	2	141	0	1590476367
38.50098	-97.579285	7100	2164	422.3	228	262.4	0	0	173	4724	1590476378
38.487389	-97.576782	7100	2164	422.3	228	262.4	0	0	170	4724	1590476390
38.474262	-97.573853	7100	2164	420.4	227	261.2	0	0	169	4724	1590476404
38.485859	-97.558929	7100	2164	416.7	225	258.9	320	1.6	180	0	1590476411
38.460846	-97.570534	7000	2134	422.3	228	262.4	0	0	168	4724	1590476416
38.462879	-97.557587	7000	2134	424.1	229	263.5	192	1	180	0	1590476429
38.44791	-97.5672	7100	2164	422.3	228	262.4	-64	-0.3	168	4724	1590476430
38.43446	-97.563721	7100	2164	420.4	227	261.2	64	0.3	168	4724	1590476442
38.421379	-97.560364	7000	2134	422.3	228	262.4	0	0	168	4724	1590476454
38.410309	-97.557655	7100	2164	422.3	228	262.4	0	0	169	4724	1590476466
38.418667	-97.546631	7000	2134	420.4	227	261.2	64	0.3	158	0	1590476472
38.394562	-97.553993	7000	2134	422.3	228	262.4	64	0.3	169	4724	1590476480
38.397766	-97.543732	7000	2134	424.1	229	263.5	0	0	180	0	1590476494
38.381016	-97.551071	7100	2164	422.3	228	262.4	-64	-0.3	170	4724	1590476494
