latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
36.504868	103.618095	0	0	16.7	9	10.4	0	0	69	0	1590475774
36.504719	103.618324	0	0	31.5	17	19.6	0	0	168	0	1590476045
36.504513	103.61834	0	0	37	20	23	0	0	174	0	1590476052
36.504021	103.61837	0	0	46.3	25	28.8	0	0	177	0	1590476063
36.503723	103.618401	0	0	46.3	25	28.8	0	0	177	0	1590476069
36.503426	103.618408	0	0	44.4	24	27.6	0	0	177	0	1590476075
36.503185	103.618439	0	0	40.7	22	25.3	0	0	171	0	1590476082
36.502934	103.618713	0	0	38.9	21	24.2	0	0	123	0	1590476090
36.502903	103.619003	0	0	38.9	21	24.2	0	0	90	0	1590476096
36.502831	103.619324	0	0	44.4	24	27.6	0	0	120	0	1590476102
36.50259	103.619469	0	0	50	27	31.1	0	0	157	0	1590476109
36.502064	103.619514	0	0	57.4	31	35.7	0	0	177	0	1590476118
36.501446	103.619553	0	0	27.8	15	17.3	0	0	177	0	1590476126
36.500957	103.619583	0	0	29.6	16	18.4	0	0	177	0	1590476132
36.500484	103.619614	0	0	33.3	18	20.7	0	0	177	0	1590476138
36.500027	103.619644	0	0	31.5	17	19.6	0	0	177	0	1590476144
36.499538	103.619675	0	0	29.6	16	18.4	0	0	177	0	1590476150
36.499054	103.619698	0	0	31.5	17	19.6	0	0	177	0	1590476156
36.498585	103.619728	0	0	31.5	17	19.6	0	0	177	0	1590476162
36.498047	103.619774	0	0	29.6	16	18.4	0	0	177	0	1590476169
36.497143	103.619827	0	0	29.6	16	18.4	0	0	177	0	1590476181
36.496361	103.619873	0	0	55.6	30	34.5	0	0	177	0	1590476192
36.496048	103.619888	0	0	46.3	25	28.8	0	0	177	0	1590476199
36.495804	103.619911	0	0	38.9	21	24.2	0	0	171	0	1590476205
36.495544	103.62014	0	0	35.2	19	21.9	0	0	129	0	1590476214
36.49551	103.620361	0	0	24.1	13	15	0	0	109	0	1590476221
36.49551	103.620575	0	0	25.9	14	16.1	0	0	109	0	1590476284
36.49551	103.620796	0	0	35.2	19	21.9	0	0	109	0	1590476290
36.495529	103.621277	0	0	46.3	25	28.8	0	0	87	0	1590476298
36.495571	103.621628	0	0	46.3	25	28.8	0	0	78	0	1590476305
36.495861	103.621948	0	0	44.4	24	27.6	0	0	25	0	1590476313
36.496117	103.621964	0	0	42.6	23	26.5	0	0	358	0	1590476320
36.496525	103.621933	0	0	51.9	28	32.2	0	0	357	0	1590476328
36.49791	103.621841	0	0	85.2	46	52.9	0	0	357	0	1590476337
36.500084	103.621719	0	0	144.5	78	89.8	0	0	357	0	1590476345
36.506516	103.621315	0	0	240.8	130	149.6	0	0	357	0	1590476356
36.510502	103.621063	0	0	277.8	150	172.6	0	0	357	0	1590476363
36.520325	103.620476	6300	1920	322.2	174	200.2	2752	14	357	0	1590476374
36.529774	103.619835	6875	2096	326	176	202.5	3072	15.6	355	0	1590476386
36.540024	103.618637	7400	2256	333.4	180	207.1	2816	14.3	354	0	1590476399
36.550095	103.617386	7975	2431	335.2	181	208.3	2944	15	354	0	1590476410
36.559986	103.616035	8500	2591	335.2	181	208.3	2624	13.3	354	6203	1590476423
36.570236	103.615204	9125	2781	329.7	178	204.8	2944	15	357	6203	1590476434
36.580376	103.614632	9550	2911	335.2	181	208.3	2176	11.1	357	6203	1590476446
36.590927	103.613831	9900	3018	359.3	194	223.3	1472	7.5	356	6203	1590476459
36.602509	103.613091	10225	3117	387.1	209	240.5	1664	8.5	358	6203	1590476470
36.633446	103.620476	11225	3421	444.5	240	276.2	2112	10.7	29	6203	1590476501
36.638615	103.62603	11525	3513	453.7	245	281.9	2880	14.6	43	6203	1590476508
36.644714	103.636551	11925	3635	472.3	255	293.4	2240	11.4	58	6203	1590476516
36.648251	103.644783	12100	3688	488.9	264	303.8	1216	6.2	62	6203	1590476523
36.651695	103.652847	12200	3719	507.4	274	315.3	768	3.9	61	6203	1590476529
36.657654	103.66629	12425	3787	529.7	286	329.1	1728	8.8	61	6203	1590476537
36.681702	103.719749	14025	4275	542.6	293	337.2	3456	17.6	60	6203	1590476574
36.70467	103.769783	15625	4763	564.9	305	351	2688	13.7	60	6203	1590476607
36.726223	103.817062	16925	5159	592.6	320	368.2	2752	14	60	6203	1590476637
36.750851	103.872574	17825	5433	648.2	350	402.8	704	3.6	61	6203	1590476671
36.778084	103.934402	18850	5745	698.2	377	433.8	1984	10.1	61	6203	1590476704
36.831573	104.055252	20700	6309	755.6	408	469.5	640	3.3	61	6203	1590476764
36.863785	104.115105	21575	6576	768.6	415	477.6	1920	9.8	51	6203	1590476794
36.874649	104.130753	21875	6668	774.1	418	481	2240	11.4	48	6203	1590476802
36.962151	104.25428	24350	7422	809.3	437	502.9	2240	11.4	48	6203	1590476868
37.045303	104.369591	26475	8070	829.7	448	515.5	1984	10.1	48	6203	1590476929
37.133698	104.495522	28425	8664	855.6	462	531.7	1728	8.8	48	6203	1590476993
37.221359	104.620644	29100	8870	885.3	478	550.1	0	0	48	6203	1590477053
37.313828	104.752243	29100	8870	881.6	476	547.8	0	0	48	6203	1590477117
37.400665	104.876831	29100	8870	864.9	467	537.4	0	0	48	6203	1590477178
37.490707	105.00592	29100	8870	864.9	467	537.4	0	0	48	6203	1590477240
37.576172	105.130043	29100	8870	866.7	468	538.6	0	0	50	6203	1590477302
37.659737	105.266396	29100	8870	870.4	470	540.9	0	0	52	6203	1590477364
37.740364	105.399193	29100	8870	876	473	544.3	0	0	52	6203	1590477425
37.896317	105.657188	29100	8870	883.4	477	548.9	64	0.3	52	6203	1590477542
37.903297	105.668716	29100	8870	883.4	477	548.9	64	0.3	52	6203	1590477548
38.0383	105.89238	29100	8870	885.3	478	550.1	0	0	52	6203	1590477648
38.078156	105.958931	29100	8870	883.4	477	548.9	0	0	52	6203	1590477678
38.195206	106.154579	29100	8870	877.8	474	545.5	-64	-0.3	52	6203	1590477766
38.275993	106.290695	29100	8870	872.3	471	542	64	0.3	53	6203	1590477828
38.344757	106.419594	29100	8870	881.6	476	547.8	-320	-1.6	63	6203	1590477884
38.355366	106.451248	29100	8870	889	480	552.4	-64	-0.3	68	6203	1590477896
38.360348	106.469398	29075	8862	892.7	482	554.7	-64	-0.3	71	6203	1590477903
38.366135	106.493866	29100	8870	892.7	482	554.7	0	0	73	6203	1590477912
38.405045	106.641777	29100	8870	885.3	478	550.1	64	0.3	63	6203	1590477967
38.416954	106.66864	29100	8870	881.6	476	547.8	64	0.3	58	6203	1590477978
38.424263	106.682617	29100	8870	877.8	474	545.5	128	0.7	56	6203	1590477984
38.432327	106.696472	29100	8870	876	473	544.3	128	0.7	53	6203	1590477990
38.441208	106.710144	29100	8870	872.3	471	542	128	0.7	49	6203	1590477996
38.450191	106.722961	29100	8870	872.3	471	542	-64	-0.3	48	6203	1590478002
38.502609	106.799011	29100	8870	874.1	472	543.2	64	0.3	48	6203	1590478040
