latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
49.211582	11.827867	1475	450	118.5	64	73.6	768	3.9	176	0	1590475905
49.208084	11.828261	1550	472	140.8	76	87.5	512	2.6	174	0	1590475916
49.197521	11.832564	1875	572	155.6	84	96.7	384	2	166	0	1590475946
49.195194	11.833287	1950	594	159.3	86	99	896	4.6	169	33	1590475952
49.190399	11.834227	2050	625	166.7	90	103.6	640	3.3	174	33	1590475963
49.185234	11.834733	2175	663	179.6	97	111.6	576	2.9	177	33	1590475974
49.179794	11.834881	2275	693	188.9	102	117.4	448	2.3	180	33	1590475987
49.175922	11.834805	2350	716	185.2	100	115.1	576	2.9	181	33	1590475995
49.173035	11.834661	2400	732	179.6	97	111.6	576	2.9	181	33	1590476001
49.170319	11.834458	2475	754	175.9	95	109.3	576	2.9	182	33	1590476008
49.166565	11.833613	2550	777	175.9	95	109.3	512	2.6	197	33	1590476016
49.16391	11.831994	2625	800	170.4	92	105.9	640	3.3	202	33	1590476023
49.160477	11.829881	2700	823	168.5	91	104.7	576	2.9	201	33	1590476032
49.157021	11.827939	2775	846	170.4	92	105.9	512	2.6	199	33	1590476040
49.154388	11.826571	2850	869	172.2	93	107	640	3.3	199	33	1590476046
49.151917	11.825233	2900	884	177.8	96	110.5	448	2.3	198	33	1590476052
49.149342	11.823891	2950	899	181.5	98	112.8	384	2	198	33	1590476059
49.146687	11.822446	2950	899	190.8	103	118.5	128	0.7	199	33	1590476065
49.143986	11.821073	2950	899	200	108	124.3	0	0	198	33	1590476071
49.140839	11.819387	2950	899	205.6	111	127.7	-64	-0.3	198	33	1590476077
49.135025	11.816289	2950	899	211.1	114	131.2	0	0	199	33	1590476088
49.132324	11.81481	2950	899	211.1	114	131.2	-64	-0.3	199	33	1590476094
49.129074	11.812979	2950	899	211.1	114	131.2	0	0	200	33	1590476100
49.126389	11.81146	2950	899	211.1	114	131.2	128	0.7	200	33	1590476107
49.086044	11.789034	2675	815	216.7	117	134.6	192	1	200	4454	1590476184
49.082539	11.787102	2650	808	216.7	117	134.6	-64	-0.3	199	4454	1590476191
49.06308	11.776332	2675	815	211.1	114	131.2	64	0.3	199	4454	1590476230
49.057755	11.77347	2675	815	211.1	114	131.2	0	0	199	4454	1590476240
49.052765	11.770723	2675	815	209.3	113	130	-64	-0.3	199	4454	1590476250
