latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
51.677544	-1.058875	800	244	222.2	120	138.1	64	0.3	11	0	1590476082
51.66898	-1.056897	775	236	233.4	126	145	-384	-2	11	16	1590476127
51.691978	-1.042375	700	213	225.9	122	140.4	-64	-0.3	11	16	1590476176
51.724113	-1.019313	675	206	211.1	114	131.2	0	0	11	16	1590476259
51.775196	-0.982367	950	290	222.2	120	138.1	192	1	11	16	1590476291
51.795147	-0.96743	975	297	222.2	120	138.1	0	0	11	16	1590476298
51.800575	-0.963202	982	299	225.9	122	140.4	0	0	21	16	1590476319
51.814327	-0.952511	986	301	225.9	122	140.4	-192	-1	21	16	1590476328
51.816898	-0.950362	1000	305	229.6	124	142.7	128	0.7	25	16	1590476350
51.831253	-0.938986	975	297	229.6	124	142.7	-320	-1.6	25	16	1590476374
51.842224	-0.930257	1000	305	229.6	124	142.7	64	0.3	25	16	1590476387
51.848774	-0.925157	999	304	229.6	124	142.7	0	0	25	16	1590476422
51.867455	-0.909495	1000	305	225.9	122	140.4	0	0	25	16	1590476435
51.873756	-0.903853	975	297	225.9	122	140.4	-64	-0.3	25	16	1590476447
51.880058	-0.898009	975	297	225.9	122	140.4	0	0	25	16	1590476459
51.885395	-0.893699	999	304	229.6	124	142.7	128	0.7	25	16	1590476478
51.897755	-0.882672	1000	305	229.6	124	142.7	0	0	25	16	1590476486
51.89949	-0.881023	1000	305	229.6	124	142.7	0	0	28	16	1590476531
51.923603	-0.860431	975	297	229.6	124	142.7	-64	-0.3	28	16	1590476551
51.933167	-0.852257	975	297	229.6	124	142.7	-256	-1.3	28	16	1590476558
51.934784	-0.850793	975	297	229.6	124	142.7	0	0	28	16	1590476603
51.95731	-0.830767	1000	305	229.6	124	142.7	512	2.6	28	16	1590476611
51.96405	-0.856258	1000	305	388.9	210	241.7	128	0.7	200	16	1590476655
51.984676	-0.819168	975	297	411.1	222	255.5	-448	-2.3	86	16	1590476678
51.988125	-0.813803	975	297	453.7	245	281.9	0	0	56	16	1590476688
51.997372	-0.799622	1000	305	405.6	219	252	448	2.3	50	16	1590476694
51.970722	-0.751696	999	304	405.6	219	252	0	0	50	16	1590476716
51.982559	-0.736744	1000	305	405.6	219	252	0	0	50	16	1590476730
52.00465	-0.741986	975	297	405.6	219	252	-192	-1	50	16	1590476780
52.042995	-0.736253	775	236	181.5	98	112.8	-384	-2	259	16	1590476820
