latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
35.167473	25.098448	4400	1341	166.7	90	103.6	0	0	247	3662	1590476414
35.175991	25.072525	4399	1341	174.1	94	108.2	0	0	307	3662	1590476436
35.181129	25.070992	4400	1341	177.8	96	110.5	0	0	343	3662	1590476448
35.184746	25.070524	4399	1341	179.6	97	111.6	0	0	351	3662	1590476457
35.197304	25.072956	4400	1341	209.3	113	130	0	0	17	3662	1590476489
35.202557	25.073483	4400	1341	209.3	113	130	0	0	17	3662	1590476498
35.209667	25.077957	4400	1341	220.4	119	136.9	0	0	20	3662	1590476508
35.218998	25.084547	4400	1341	242.6	131	150.8	0	0	29	3662	1590476522
35.222755	25.08803	4400	1341	255.6	138	158.8	0	0	35	3662	1590476629
35.27705	25.125694	4400	1341	250	135	155.4	0	0	37	3662	1590476648
35.280548	25.12793	4400	1341	231.5	125	143.8	0	0	29	3662	1590476656
35.282566	25.129129	4400	1341	231.5	125	143.8	0	0	29	3662	1590476665
35.28801	25.131853	4400	1341	231.5	125	143.8	0	0	29	3662	1590476672
35.292461	25.134031	4400	1341	220.4	119	136.9	0	0	22	3662	1590476681
35.294258	25.134779	4400	1341	213	115	132.3	0	0	20	3662	1590476690
35.300201	25.137482	4500	1372	209.3	113	130	0	0	21	3662	1590476704
35.308216	25.140358	4500	1372	209.3	113	130	0	0	21	3662	1590476714
35.311909	25.140919	4500	1372	205.6	111	127.7	0	0	12	3662	1590476724
35.317909	25.143005	4500	1372	205.6	111	127.7	0	0	12	3662	1590476736
35.326069	25.145153	4500	1372	203.7	110	126.6	0	0	9	3662	1590476748
35.329941	25.145197	4500	1372	203.7	110	126.6	0	0	2	3662	1590476762
35.334026	25.145752	4500	1372	203.7	110	126.6	0	0	5	3662	1590476768
35.339806	25.146904	4500	1372	203.7	110	126.6	0	0	8	3662	1590476776
35.34499	25.148384	4400	1341	203.7	110	126.6	0	0	12	3662	1590476788
35.351585	25.148951	4500	1372	196.3	106	122	0	0	6	3662	1590476801
35.361774	25.150188	4400	1341	185.2	100	115.1	-1216	-6.2	24	3662	1590476828
35.365253	25.153776	4400	1341	185.2	100	115.1	0	0	24	3662	1590476837
35.366077	25.157824	4400	1341	177.8	96	110.5	0	0	58	3662	1590476844
35.364777	25.169918	4500	1372	196.3	106	122	0	0	100	3662	1590476865
35.364017	25.172318	4500	1372	196.3	106	122	0	0	100	3662	1590476872
35.363235	25.176121	4500	1372	196.3	106	122	0	0	100	3662	1590476884
35.360931	25.181116	4400	1341	196.3	106	122	-448	-2.3	100	3662	1590476892
35.357269	25.183741	4400	1341	213	115	132.3	0	0	136	3662	1590476901
35.349514	25.188978	4400	1341	216.7	117	134.6	0	0	142	3662	1590476910
35.344364	25.193171	4400	1341	270.4	146	168	0	0	151	3662	1590476918
35.341442	25.197048	4400	1341	264.8	143	164.6	0	0	142	3662	1590476930
35.340134	25.202633	4400	1341	264.8	143	164.6	0	0	142	3662	1590476944
35.34063	25.213184	4400	1341	238.9	129	148.5	0	0	91	3662	1590476956
35.340996	25.218506	4400	1341	224.1	121	139.2	0	0	86	3662	1590476964
35.341106	25.220301	4400	1341	224.1	121	139.2	0	0	86	3662	1590476970
35.338318	25.234673	4400	1341	201.9	109	125.4	0	0	99	3662	1590476992
35.336674	25.23912	4400	1341	209.3	113	130	0	0	110	3662	1590477000
35.334736	25.24394	4400	1341	213	115	132.3	0	0	114	3662	1590477009
35.332573	25.248627	4400	1341	216.7	117	134.6	0	0	117	3662	1590477078
35.315216	25.289093	4400	1341	216.7	117	134.6	0	0	117	3662	1590477090
35.311146	25.296661	4400	1341	216.7	117	134.6	0	0	117	3662	1590477100
35.308109	25.306211	4400	1341	218.5	118	135.8	0	0	111	3662	1590477118
35.307713	25.313541	4366	1331	211.1	114	131.2	-512	-2.6	104	3662	1590477124
35.309074	25.317205	4300	1311	200	108	124.3	0	0	80	3662	1590477134
