latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
37.92841	23.936974	0	0	0	0	0	0	0	138	0	1590476622
37.928753	23.936974	0	0	24.1	13	15	0	0	233	0	1590476662
37.928925	23.937325	0	0	24.1	13	15	0	0	40	0	1590476674
37.929276	23.937492	0	0	20.4	11	12.7	0	0	359	0	1590476698
37.929611	23.937485	0	0	0	0	0	0	0	319	0	1590476778
37.929611	23.937836	0	0	29.6	16	18.4	0	0	89	0	1590476975
37.929436	23.938179	0	0	37	20	23	0	0	92	0	1590476984
37.92926	23.938522	0	0	33.3	18	20.7	0	0	88	0	1590476994
37.9291	23.938866	0	0	33.3	18	20.7	0	0	85	0	1590477003
37.928753	23.939209	0	0	31.5	17	19.6	0	0	143	0	1590477016
37.928581	23.939735	0	0	35.2	19	21.9	0	0	87	0	1590477030
37.928226	23.940086	0	0	40.7	22	25.3	0	0	177	0	1590477044
37.928066	23.940422	0	0	42.6	23	26.5	0	0	141	0	1590477050
37.927883	23.940773	0	0	46.3	25	28.8	0	0	130	0	1590477058
37.927376	23.941448	0	0	44.4	24	27.6	0	0	141	0	1590477072
37.92738	23.941956	0	0	35.2	19	21.9	0	0	89	0	1590477084
37.927906	23.942307	0	0	40.7	22	25.3	0	0	36	0	1590477092
37.928795	23.943195	0	0	94.5	51	58.7	0	0	36	0	1590477100
37.931076	23.945299	0	0	174.1	94	108.2	0	0	36	0	1590477108
37.936081	23.949972	0	0	259.3	140	161.1	0	0	36	0	1590477120
37.939701	23.953598	200	61	287.1	155	178.4	1728	8.8	36	0	1590477126
37.943436	23.95715	500	152	279.7	151	173.8	3200	16.3	38	0	1590477132
37.946686	23.960405	825	251	275.9	149	171.5	3136	15.9	38	0	1590477138
37.950268	23.963987	1150	351	272.2	147	169.2	3008	15.3	38	0	1590477145
37.956665	23.970415	1800	549	264.8	143	164.6	3392	17.2	39	0	1590477156
37.959812	23.973661	2100	640	263	142	163.4	2496	12.7	38	0	1590477163
37.963486	23.977194	2375	724	263	142	163.4	2368	12	37	0	1590477170
37.966793	23.980528	2625	800	264.8	143	164.6	2304	11.7	36	0	1590477176
37.970627	23.983973	2900	884	266.7	144	165.7	2368	12	36	0	1590477182
37.974197	23.987394	3150	960	270.4	146	168	2240	11.4	36	0	1590477190
37.980927	23.993439	3600	1097	279.7	151	173.8	1664	8.5	36	0	1590477202
37.984131	23.996479	3725	1135	290.8	157	180.7	1280	6.5	36	0	1590477208
37.988068	24.000217	3850	1173	311.1	168	193.3	1152	5.9	36	0	1590477214
37.991932	24.003754	3975	1212	326	176	202.5	1216	6.2	35	0	1590477220
37.99617	24.007635	4075	1242	346.3	187	215.2	1088	5.5	35	0	1590477226
38.000793	24.011789	4200	1280	363	196	225.6	1728	8.8	35	0	1590477233
38.010506	24.020412	4675	1425	377.8	204	234.8	2496	12.7	36	0	1590477245
38.014931	24.024652	4950	1509	379.7	205	235.9	2944	15	36	0	1590477252
38.029907	24.038494	5475	1669	422.3	228	262.4	1216	6.2	35	0	1590477269
38.041325	24.048655	5725	1745	463	250	287.7	1280	6.5	35	0	1590477282
38.052544	24.058685	6100	1859	483.4	261	300.4	2432	12.4	35	6713	1590477293
38.063671	24.068775	6600	2012	494.5	267	307.3	2944	15	35	6713	1590477305
38.074997	24.078758	7150	2179	503.7	272	313	3008	15.3	35	6713	1590477316
38.086479	24.089018	7700	2347	511.2	276	317.6	3136	15.9	35	6713	1590477326
38.098446	24.099764	8300	2530	518.6	280	322.2	3264	16.6	35	6713	1590477338
38.110611	24.110723	8950	2728	524.1	283	325.7	3456	17.6	35	6713	1590477350
