latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
41.807671	12.589084	0	0	44.4	24	27.6	0	0	132	0	1590476669
41.80743	12.589255	0	0	42.6	23	26.5	0	0	154	0	1590476676
41.806629	12.589817	0	0	68.5	37	42.6	0	0	154	0	1590476686
41.803444	12.592025	0	0	163	88	101.3	0	0	151	2000	1590476697
41.800323	12.594171	0	0	213	115	132.3	0	0	154	2000	1590476704
41.793854	12.598572	225	69	263	142	163.4	1280	6.5	152	2000	1590476716
41.785767	12.603878	425	130	309.3	167	192.2	1984	10.1	160	2000	1590476728
41.781006	12.604627	650	198	311.1	168	193.3	2752	14	176	2000	1590476734
41.776768	12.603809	925	282	311.1	168	193.3	1920	9.8	190	2000	1590476740
41.772125	12.602255	1050	320	326	176	202.5	1344	6.8	194	2000	1590476746
41.76622	12.600195	1175	358	342.6	185	212.9	832	4.2	194	2000	1590476752
41.761185	12.598634	1225	373	363	196	225.6	192	1	192	2000	1590476758
41.752533	12.596012	1175	358	396.3	214	246.3	-256	-1.3	192	2000	1590476767
41.740318	12.592695	1175	358	416.7	225	258.9	-64	-0.3	191	2000	1590476779
41.727448	12.589707	1225	373	427.8	231	265.8	320	1.6	188	2000	1590476792
41.720627	12.588863	1225	373	433.4	234	269.3	-64	-0.3	184	2000	1590476798
41.714298	12.588672	1225	373	438.9	237	272.7	128	0.7	180	2000	1590476804
41.707581	12.588709	1250	381	440.8	238	273.9	0	0	179	2000	1590476810
41.697678	12.589118	1225	373	448.2	242	278.5	-256	-1.3	177	2000	1590476818
41.690552	12.589645	1250	381	450	243	279.6	128	0.7	176	2000	1590476825
41.683666	12.590332	1225	373	453.7	245	281.9	-384	-2	174	2000	1590476831
41.676914	12.591865	1200	366	455.6	246	283.1	128	0.7	169	2000	1590476838
41.669418	12.594483	1200	366	455.6	246	283.1	0	0	163	2000	1590476844
41.663544	12.59726	1200	366	453.7	245	281.9	64	0.3	159	2000	1590476850
41.657135	12.600944	1200	366	448.2	242	278.5	64	0.3	155	2000	1590476856
41.651592	12.604512	1225	373	446.3	241	277.3	0	0	153	2000	1590476862
41.641769	12.611602	1175	358	446.3	241	277.3	-256	-1.3	152	2000	1590476871
41.636135	12.615882	1150	351	444.5	240	276.2	128	0.7	150	2000	1590476878
41.629211	12.621293	1175	358	440.8	238	273.9	-128	-0.7	149	2000	1590476884
41.623169	12.626038	1150	351	437.1	236	271.6	128	0.7	149	2000	1590476891
41.61731	12.630532	1175	358	433.4	234	269.3	64	0.3	150	2000	1590476897
41.611557	12.634852	1200	366	429.7	232	267	128	0.7	150	2000	1590476903
41.600052	12.643454	1225	373	426	230	264.7	-384	-2	150	2000	1590476915
41.594696	12.647698	1150	351	431.5	233	268.1	-1216	-6.2	149	2000	1590476921
41.588837	12.652417	1025	312	435.2	235	270.4	-1088	-5.5	148	2000	1590476927
41.58316	12.657124	925	282	437.1	236	271.6	-1024	-5.2	147	2000	1590476934
41.571613	12.667236	775	236	431.5	233	268.1	-512	-2.6	145	2000	1590476946
41.567425	12.671197	750	229	427.8	231	265.8	-64	-0.3	144	2000	1590476952
41.561234	12.677648	750	229	420.4	227	261.2	-320	-1.6	139	2000	1590476958
41.55661	12.683529	725	221	414.8	224	257.8	128	0.7	134	2000	1590476964
41.552483	12.68972	750	229	405.6	219	252	192	1	130	2000	1590476970
41.548851	12.696171	775	236	400	216	248.6	-128	-0.7	124	2000	1590476977
41.545731	12.702686	750	229	396.3	214	246.3	0	0	122	2000	1590476983
41.542374	12.709995	750	229	394.5	213	245.1	-320	-1.6	120	2000	1590476989
41.539398	12.71693	725	221	392.6	212	244	64	0.3	119	2000	1590476995
41.534317	12.729221	725	221	390.8	211	242.8	0	0	118	2000	1590477005
41.531479	12.736088	725	221	390.8	211	242.8	128	0.7	119	2000	1590477011
41.52874	12.742544	725	221	388.9	210	241.7	-128	-0.7	119	2000	1590477018
41.525848	12.749072	750	229	387.1	209	240.5	384	2	121	2000	1590477024
41.519241	12.7626	800	244	379.7	205	235.9	-64	-0.3	124	2000	1590477037
41.512573	12.774915	750	229	383.4	207	238.2	-384	-2	126	2000	1590477048
41.508816	12.78157	725	221	383.4	207	238.2	0	0	127	2000	1590477054
41.505463	12.787447	725	221	383.4	207	238.2	-128	-0.7	127	2000	1590477060
41.501862	12.793579	725	221	383.4	207	238.2	0	0	127	2000	1590477066
41.498154	12.799903	725	221	381.5	206	237.1	64	0.3	128	2000	1590477072
41.494446	12.805877	750	229	381.5	206	237.1	128	0.7	129	2000	1590477079
41.490845	12.811655	725	221	379.7	205	235.9	-320	-1.6	130	2000	1590477085
41.482651	12.823664	725	221	379.7	205	235.9	128	0.7	132	2000	1590477098
41.474808	12.834029	750	229	377.8	204	234.8	-128	-0.7	139	2000	1590477109
41.469898	12.838483	750	229	377.8	204	234.8	-320	-1.6	149	2000	1590477115
41.464508	12.841831	750	229	376	203	233.6	192	1	157	2000	1590477121
41.459797	12.844232	750	229	376	203	233.6	-64	-0.3	159	2000	1590477128
41.453888	12.847137	750	229	377.8	204	234.8	192	1	159	2000	1590477134
41.448807	12.850446	750	229	377.8	204	234.8	128	0.7	156	2000	1590477140
41.442898	12.863074	825	251	353.7	191	219.8	704	3.6	106	2000	1590477152
41.443222	12.868759	800	244	342.6	185	212.9	-320	-1.6	82	2000	1590477158
41.448345	12.877765	750	229	340.8	184	211.7	0	0	60	2000	1590477168
41.45612	12.879554	700	213	340.8	184	211.7	-384	-2	8	2000	1590477178
41.46167	12.877038	725	221	338.9	183	210.6	64	0.3	336	2000	1590477184
41.467346	12.871108	700	213	344.5	186	214	-64	-0.3	320	2000	1590477192
41.480186	12.846786	700	213	351.9	190	218.6	128	0.7	303	2000	1590477218
41.483818	12.839568	725	221	353.7	191	219.8	128	0.7	303	2000	1590477226
41.489044	12.829035	725	221	353.7	191	219.8	128	0.7	303	2000	1590477236
41.492661	12.821876	750	229	353.7	191	219.8	128	0.7	303	2000	1590477243
41.49564	12.815935	750	229	357.4	193	222.1	128	0.7	304	2000	1590477250
41.501694	12.80399	725	221	363	196	225.6	-192	-1	303	2000	1590477261
41.504837	12.797886	725	221	363	196	225.6	0	0	304	2000	1590477268
41.508087	12.791769	725	221	364.8	197	226.7	0	0	305	2000	1590477274
41.51445	12.779721	700	213	368.5	199	229	64	0.3	304	2000	1590477286
41.52087	12.7672	725	221	368.5	199	229	0	0	304	2000	1590477298
41.523788	12.761432	725	221	368.5	199	229	-64	-0.3	304	2000	1590477304
41.530277	12.749187	700	213	372.3	201	231.3	0	0	305	2000	1590477316
41.533768	12.742736	700	213	372.3	201	231.3	-128	-0.7	305	2000	1590477322
41.537071	12.736732	700	213	372.3	201	231.3	256	1.3	306	2000	1590477328
41.540562	12.730536	725	221	372.3	201	231.3	0	0	307	2000	1590477334
41.544067	12.724853	700	213	374.1	202	232.5	-192	-1	310	2000	1590477340
41.547775	12.719172	700	213	376	203	233.6	-64	-0.3	310	2000	1590477346
41.551548	12.713417	725	221	377.8	204	234.8	192	1	312	2000	1590477352
41.555508	12.707988	725	221	376	203	233.6	-256	-1.3	315	2000	1590477358
41.559788	12.702622	750	229	377.8	204	234.8	128	0.7	317	2000	1590477364
41.564072	12.697511	725	221	377.8	204	234.8	64	0.3	319	2000	1590477371
41.569061	12.692142	750	229	376	203	233.6	-64	-0.3	321	2000	1590477377
