latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
37.75745	112.610519	3625	1105	290.8	157	180.7	2560	13	307	141	1590476719
37.761932	112.603027	4025	1227	290.8	157	180.7	2432	12.4	306	141	1590476728
37.766575	112.595238	4375	1334	296.3	160	184.1	1088	5.5	306	141	1590476739
37.769257	112.590813	4450	1356	309.3	167	192.2	960	4.9	307	141	1590476745
37.773884	112.583176	4600	1402	331.5	179	206	768	3.9	307	141	1590476754
37.776901	112.578072	4675	1425	351.9	190	218.6	704	3.6	306	141	1590476760
37.783081	112.567551	4775	1455	387.1	209	240.5	64	0.3	307	141	1590476771
37.789398	112.556915	5000	1524	414.8	224	257.8	2240	11.4	307	141	1590476781
37.796494	112.545113	5575	1699	424.1	229	263.5	3200	16.3	306	141	1590476793
37.80698	112.527229	6275	1913	444.5	240	276.2	2624	13.3	306	141	1590476808
37.813545	112.516304	6700	2042	455.6	246	283.1	2560	13	307	141	1590476818
37.825562	112.496262	7675	2339	455.6	246	283.1	4032	20.5	306	141	1590476836
37.832676	112.484413	8200	2499	470.4	254	292.3	2560	13	307	141	1590476846
37.84346	112.466629	8775	2675	496.3	268	308.4	3200	16.3	307	141	1590476860
37.852249	112.452019	9450	2880	500	270	310.7	3520	17.9	307	141	1590476873
37.863358	112.433601	10250	3124	501.9	271	311.9	3264	16.6	307	141	1590476887
37.871521	112.420113	10775	3284	511.2	276	317.6	2880	14.6	307	141	1590476898
37.884018	112.399017	11725	3574	501.9	271	311.9	3776	19.2	306	141	1590476914
37.894913	112.377693	12450	3795	503.7	272	313	2752	14	303	141	1590476931
37.899155	112.360458	12700	3871	526	284	326.8	1664	8.5	280	141	1590476942
37.899296	112.347687	13025	3970	533.4	288	331.4	2752	14	266	141	1590476948
37.893723	112.325508	13725	4183	540.8	292	336	3712	18.9	243	141	1590476962
37.887039	112.313698	14150	4313	550	297	341.8	2752	14	230	141	1590476971
37.878799	112.304054	14425	4397	564.9	305	351	1984	10.1	220	141	1590476978
37.872482	112.297806	14575	4442	576	311	357.9	1728	8.8	217	141	1590476985
37.860168	112.286293	14775	4503	598.2	323	371.7	896	4.6	216	141	1590476996
37.812428	112.244034	14800	4511	644.5	348	400.5	64	0.3	207	141	1590477031
37.796951	112.236565	14825	4519	651.9	352	405.1	64	0.3	199	141	1590477042
37.717228	112.263618	15625	4763	692.6	374	430.4	704	3.6	135	141	1590477093
37.667233	112.337112	16775	5113	722.3	390	448.8	1984	10.1	130	141	1590477137
37.627987	112.395332	17650	5380	759.3	410	471.8	768	3.9	130	141	1590477170
37.592972	112.449799	17700	5395	785.2	424	487.9	64	0.3	122	141	1590477198
37.586369	112.464951	17700	5395	785.2	424	487.9	0	0	116	141	1590477205
37.580841	112.482994	17700	5395	785.2	424	487.9	0	0	116	141	1590477214
37.577152	112.50872	17700	5395	783.4	423	486.8	0	0	95	141	1590477223
37.577152	112.523407	17700	5395	779.7	421	484.5	64	0.3	88	141	1590477230
37.584137	112.5606	17700	5395	768.6	415	477.6	-64	-0.3	70	141	1590477245
37.593246	112.583855	17700	5395	763	412	474.1	64	0.3	61	141	1590477256
37.598465	112.594437	17725	5403	761.2	411	473	64	0.3	57	141	1590477262
37.611237	112.613136	17850	5441	750.1	405	466.1	960	4.9	44	141	1590477272
37.622074	112.624016	18000	5486	746.4	403	463.8	1472	7.5	35	141	1590477280
37.638702	112.635223	18325	5585	735.2	397	456.9	2112	10.7	23	141	1590477290
37.657921	112.642166	18775	5723	722.3	390	448.8	2560	13	10	141	1590477300
37.675797	112.643715	19175	5845	714.9	386	444.2	2240	11.4	359	141	1590477311
37.694138	112.640968	19475	5936	711.2	384	441.9	1536	7.8	349	141	1590477322
37.705265	112.638168	19600	5974	707.5	382	439.6	960	4.9	348	141	1590477328
37.724628	112.633087	19700	6005	705.6	381	438.4	384	2	348	141	1590477338
37.837055	112.602997	20850	6355	729.7	394	453.4	2176	11.1	348	141	1590477402
37.951618	112.572067	21725	6622	683.4	369	424.6	128	0.7	348	141	1590477467
38.047379	112.548599	21700	6614	583.4	315	362.5	-64	-0.3	349	0	1590477530
38.077679	112.541496	21699	6614	646.3	349	401.6	0	0	350	0	1590477552
38.145977	112.525139	22001	6706	633.4	342	393.6	0	0	350	0	1590477598
38.160778	112.521545	22326	6805	631.5	341	392.4	0	0	350	0	1590477607
38.274273	112.494682	23600	7193	611.2	330	379.8	-64	-0.3	349	0	1590477684
38.324268	112.482689	23599	7193	627.8	339	390.1	0	0	350	0	1590477716
38.342098	112.478439	23599	7193	626	338	389	0	0	350	0	1590477728
38.447029	112.453308	23599	7193	616.7	333	383.2	0	0	350	0	1590477798
38.464577	112.449036	23599	7193	616.7	333	383.2	0	0	350	0	1590477811
38.496277	112.441536	23599	7193	614.9	332	382.1	0	0	350	0	1590477832
38.527977	112.43396	23599	7193	618.6	334	384.4	0	0	350	0	1590477852
38.542828	112.430496	23599	7193	616.7	333	383.2	0	0	350	0	1590477862
38.557079	112.427116	23599	7193	614.9	332	382.1	0	0	350	0	1590477872
38.58971	112.419312	23599	7193	618.6	334	384.4	0	0	350	0	1590477892
38.59874	112.417175	23599	7193	616.7	333	383.2	0	0	350	0	1590477898
38.675987	112.398857	23599	7193	620.4	335	385.5	0	0	350	0	1590477948
38.708038	112.391266	23599	7193	611.2	330	379.8	0	0	350	0	1590477970
38.738159	112.384048	23599	7193	611.2	330	379.8	0	0	350	0	1590477990
38.78009	112.373947	23599	7193	609.3	329	378.6	0	0	350	0	1590478018
38.80962	112.366875	23599	7193	609.3	329	378.6	0	0	350	0	1590478038
38.825169	112.363098	23599	7193	611.2	330	379.8	0	0	350	0	1590478048
38.84166	112.359154	23599	7193	614.9	332	382.1	0	0	350	0	1590478058
38.854637	112.356018	23599	7193	609.3	329	378.6	0	0	350	0	1590478068
38.957199	112.331421	23599	7193	607.5	328	377.5	0	0	350	0	1590478138
39.086098	112.300232	23600	7193	618.6	334	384.4	0	0	349	0	1590478223
39.128971	112.289856	23600	7193	616.7	333	383.2	0	0	349	0	1590478252
39.160488	112.282242	23599	7193	620.4	335	385.5	0	0	350	0	1590478270
39.231899	112.26487	23599	7193	613	331	380.9	0	0	350	0	1590478318
39.24765	112.260986	23599	7193	614.9	332	382.1	0	0	350	0	1590478328
39.276676	112.253906	23599	7193	613	331	380.9	0	0	350	0	1590478348
39.28981	112.250717	23599	7193	616.7	333	383.2	0	0	350	0	1590478356
39.433823	112.215431	23600	7193	611.2	330	379.8	-64	-0.3	344	0	1590478452
39.447144	112.209702	23600	7193	609.3	329	378.6	0	0	339	0	1590478462
39.45726	112.204323	23600	7193	607.5	328	377.5	0	0	336	0	1590478468
39.466049	112.199127	23600	7193	603.8	326	375.2	0	0	334	0	1590478475
39.474197	112.193878	23600	7193	603.8	326	375.2	0	0	331	0	1590478481
39.482628	112.187012	23600	7193	601.9	325	374	0	0	326	0	1590478487
39.493847	112.175232	23600	7193	603.8	326	375.2	64	0.3	319	4163	1590478498
39.505672	112.161804	23600	7193	605.6	327	376.3	0	0	318	4163	1590478507
39.511826	112.154823	23600	7193	603.8	326	375.2	-64	-0.3	318	4163	1590478513
39.530502	112.138824	23600	7193	611.2	330	379.8	128	0.7	332	4163	1590478527
39.544636	112.130066	23600	7193	614.9	332	382.1	0	0	333	4163	1590478537
39.613037	112.082817	23600	7193	622.3	336	386.7	-64	-0.3	341	4163	1590478588
39.620316	112.080307	23600	7193	627.8	339	390.1	0	0	346	4163	1590478594
39.636703	112.07756	23600	7193	637.1	344	395.9	0	0	355	4163	1590478603
39.644348	112.077026	23600	7193	638.9	345	397	64	0.3	356	4163	1590478609
39.660919	112.075775	23600	7193	638.9	345	397	64	0.3	356	4163	1590478618
39.764595	112.061462	23600	7193	633.4	342	393.6	-64	-0.3	353	4163	1590478684
39.867508	112.044907	23000	7010	622.3	336	386.7	-1792	-9.1	352	4163	1590478750
39.96579	112.028625	21275	6485	590.8	319	367.1	-1664	-8.5	352	4163	1590478814
40.053223	112.013916	19450	5928	574.1	310	356.7	-1856	-9.4	352	4163	1590478876
40.146091	111.998436	17500	5334	561.2	303	348.7	-1728	-8.8	352	4163	1590478941
40.195297	111.990074	16225	4945	572.3	309	355.6	-2368	-12	352	4163	1590478976
40.237793	111.983032	15725	4793	555.6	300	345.2	-128	-0.7	352	4163	1590479006
40.278717	111.976135	15675	4778	535.2	289	332.6	0	0	352	4163	1590479037
40.323223	111.968727	15450	4709	488.9	264	303.8	-768	-3.9	352	4163	1590479071
40.353062	111.977776	14875	4534	507.4	274	315.3	-768	-3.9	33	4163	1590479097
40.363117	111.987823	14850	4526	505.6	273	314.2	-192	-1	38	4163	1590479108
40.393478	112.020508	14800	4511	526	284	326.8	64	0.3	39	4163	1590479137
40.424377	112.054016	14800	4511	527.8	285	328	0	0	39	4163	1590479167
40.440674	112.068161	14800	4511	518.6	280	322.2	0	0	24	4163	1590479183
40.453056	112.072159	14800	4511	505.6	273	314.2	128	0.7	7	4163	1590479192
40.465767	112.072533	14825	4519	518.6	280	322.2	64	0.3	358	4163	1590479202
40.472351	112.072205	14800	4511	529.7	286	329.1	-128	-0.7	357	4163	1590479208
40.486061	112.071342	14800	4511	538.9	291	334.9	-128	-0.7	357	4163	1590479217
40.561665	112.070221	14800	4511	555.6	300	345.2	64	0.3	3	4163	1590479273
40.610138	112.074463	14800	4511	546.3	295	339.5	-64	-0.3	3	4163	1590479309
40.651794	112.079895	14800	4511	548.2	296	340.6	128	0.7	5	4163	1590479339
40.699768	112.086182	14625	4458	540.8	292	336	-896	-4.6	5	4163	1590479374
