latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
55.978798	37.419495	0	0	18.5	10	11.5	0	0	247	0	1590476766
55.978821	37.419754	0	0	18.5	10	11.5	0	0	236	0	1590476777
55.978867	37.419991	0	0	18.5	10	11.5	0	0	213	0	1590476789
55.978981	37.420223	0	0	16.7	9	10.4	0	0	177	0	1590476803
55.979183	37.420204	0	0	16.7	9	10.4	0	0	168	1547	1590476822
55.978901	37.420391	0	0	33.3	18	20.7	0	0	163	1547	1590477039
55.978386	37.420639	0	0	42.6	23	26.5	0	0	165	1547	1590477051
55.978134	37.420746	0	0	44.4	24	27.6	0	0	165	1547	1590477058
55.977879	37.420872	0	0	44.4	24	27.6	0	0	165	1547	1590477064
55.977356	37.421127	0	0	44.4	24	27.6	0	0	165	1547	1590477076
55.976856	37.421257	0	0	38.9	21	24.2	0	0	180	1547	1590477087
55.976681	37.420952	0	0	42.6	23	26.5	0	0	219	1547	1590477093
55.976601	37.420536	0	0	40.7	22	25.3	0	0	247	1547	1590477099
55.976532	37.420078	0	0	42.6	23	26.5	0	0	253	1547	1590477106
55.976452	37.419601	0	0	48.2	26	29.9	0	0	253	1547	1590477112
55.976364	37.419025	0	0	53.7	29	33.4	0	0	255	1547	1590477118
55.976234	37.41806	0	0	61.1	33	38	0	0	255	1547	1590477126
55.97604	37.416794	0	0	31.5	17	19.6	0	0	255	1547	1590477136
55.975876	37.41568	0	0	35.2	19	21.9	0	0	255	1547	1590477144
55.975628	37.414066	0	0	40.7	22	25.3	0	0	255	1547	1590477152
55.975479	37.413086	0	0	42.6	23	26.5	0	0	255	1547	1590477159
55.975182	37.41111	0	0	44.4	24	27.6	0	0	253	1547	1590477168
55.975029	37.410057	0	0	42.6	23	26.5	0	0	255	1547	1590477174
55.97477	37.408302	0	0	42.6	23	26.5	0	0	255	1547	1590477183
55.974415	37.40591	0	0	44.4	24	27.6	0	0	255	1547	1590477196
55.974247	37.4048	0	0	46.3	25	28.8	0	0	255	1547	1590477202
55.9739	37.402439	0	0	48.2	26	29.9	0	0	255	1547	1590477213
55.973545	37.400166	0	0	50	27	31.1	0	0	255	1547	1590477224
55.973049	37.396839	0	0	53.7	29	33.4	0	0	255	1547	1590477237
55.972862	37.395596	0	0	50	27	31.1	0	0	255	1547	1590477243
55.972527	37.393299	0	0	42.6	23	26.5	0	0	255	1547	1590477255
55.972332	37.391987	0	0	40.7	22	25.3	0	0	255	1547	1590477261
55.972095	37.3904	0	0	37	20	23	0	0	253	1547	1590477272
55.97192	37.38924	0	0	33.3	18	20.7	0	0	255	1547	1590477279
55.971806	37.388451	0	0	61.1	33	38	0	0	255	1547	1590477285
55.97171	37.387871	0	0	51.9	28	32.2	0	0	255	1547	1590477292
55.971573	37.386841	0	0	48.2	26	29.9	0	0	255	1547	1590477304
55.971291	37.386456	0	0	40.7	22	25.3	0	0	208	1547	1590477312
55.97105	37.386536	0	0	40.7	22	25.3	0	0	177	1547	1590477318
55.970592	37.386795	0	0	42.6	23	26.5	0	0	163	1547	1590477331
55.970169	37.386993	0	0	46.3	25	28.8	0	0	165	1547	1590477340
55.969872	37.387119	0	0	48.2	26	29.9	0	0	165	1547	1590477346
55.969414	37.387348	0	0	53.7	29	33.4	0	0	165	1547	1590477355
55.969059	37.387516	0	0	61.1	33	38	0	0	165	1547	1590477361
55.968658	37.387703	0	0	27.8	15	17.3	0	0	165	1547	1590477367
55.968292	37.38789	0	0	27.8	15	17.3	0	0	163	1547	1590477373
55.96772	37.388042	0	0	55.6	30	34.5	0	0	177	1547	1590477382
55.967346	37.388149	0	0	29.6	16	18.4	0	0	149	1547	1590477393
55.967392	37.388386	0	0	22.2	12	13.8	0	0	109	1547	1590477401
55.967438	37.388618	0	0	24.1	13	15	0	0	87	1547	1590477409
55.967503	37.388931	0	0	33.3	18	20.7	0	0	75	1547	1590477415
55.967579	37.389393	0	0	38.9	21	24.2	0	0	75	1547	1590477422
55.967636	37.389801	0	0	48.2	26	29.9	0	0	75	1547	1590477428
55.967812	37.391052	0	0	40.7	22	25.3	0	0	75	1547	1590477436
55.968315	37.39436	0	0	107.4	58	66.7	0	0	75	1547	1590477445
55.97168	37.416771	225	69	283.4	153	176.1	64	0.3	74	1547	1590477469
55.972641	37.423294	250	76	300	162	186.4	192	1	75	1547	1590477475
55.974037	37.432652	600	183	303.7	164	188.7	3648	18.5	74	1547	1590477481
55.976227	37.44664	1075	328	301.9	163	187.6	1600	8.1	74	1547	1590477493
55.977768	37.456223	1300	396	314.8	170	195.6	2496	12.7	74	1547	1590477499
55.979233	37.465126	1550	472	318.5	172	197.9	1792	9.1	73	1547	1590477506
55.981018	37.476528	1775	541	331.5	179	206	1344	6.8	74	1547	1590477514
55.983765	37.495255	2025	617	361.1	195	224.4	1152	5.9	75	1547	1590477526
55.986145	37.512901	2250	686	388.9	210	241.7	1408	7.2	76	1547	1590477537
55.988983	37.534275	2600	792	420.4	227	261.2	1792	9.1	76	1547	1590477548
55.990517	37.54586	2775	846	433.4	234	269.3	1856	9.4	76	1547	1590477556
55.992096	37.55751	2975	907	446.3	241	277.3	2112	10.7	76	1547	1590477562
55.993824	37.569981	3200	975	459.3	248	285.4	2368	12	76	1547	1590477568
55.995758	37.583481	3500	1067	468.6	253	291.1	2688	13.7	75	1547	1590477574
55.997589	37.596214	3775	1151	476	257	295.8	2880	14.6	75	1547	1590477581
56.001114	37.620602	4350	1326	485.2	262	301.5	2944	15	75	1547	1590477592
56.00304	37.633926	4625	1410	490.8	265	305	2240	11.4	75	1547	1590477599
56.004856	37.646454	4800	1463	492.6	266	306.1	1344	6.8	75	1547	1590477605
56.008858	37.674179	5025	1532	492.6	266	306.1	960	4.9	75	1547	1590477618
56.012329	37.697586	5200	1585	496.3	268	308.4	896	4.6	75	1547	1590477629
56.015934	37.712891	5300	1615	498.2	269	309.6	896	4.6	65	1547	1590477636
56.020309	37.724388	5400	1646	501.9	271	311.9	960	4.9	58	1547	1590477642
56.025803	37.734089	5500	1676	503.7	272	313	960	4.9	44	1547	1590477648
56.030972	37.740612	5575	1699	505.6	273	314.2	1024	5.2	35	1547	1590477654
56.040665	37.748276	5725	1745	511.2	276	317.6	1024	5.2	19	1547	1590477662
56.049408	37.751083	5850	1783	513	277	318.8	1024	5.2	7	1547	1590477668
56.057228	37.750912	5950	1814	514.9	278	319.9	1024	5.2	357	1547	1590477674
56.064697	37.748356	6050	1844	514.9	278	319.9	1088	5.5	346	1547	1590477680
56.070602	37.744446	6150	1875	516.7	279	321.1	1024	5.2	339	1547	1590477686
56.07756	37.73737	6225	1897	516.7	279	321.1	832	4.2	328	1547	1590477692
56.083622	37.728165	6325	1928	516.7	279	321.1	1088	5.5	319	1547	1590477698
56.088959	37.717896	6450	1966	514.9	278	319.9	1152	5.9	312	1547	1590477704
56.094376	37.706795	6575	2004	516.7	279	321.1	1088	5.5	310	1547	1590477710
56.107456	37.678986	6850	2088	518.6	280	322.2	1024	5.2	310	1547	1590477726
56.11702	37.658886	7025	2141	518.6	280	322.2	1024	5.2	310	1547	1590477737
56.12645	37.638988	7450	2271	511.2	276	317.6	2816	14.3	310	1547	1590477749
56.136017	37.618687	8100	2469	501.9	271	311.9	3328	16.9	310	1547	1590477761
56.145443	37.598732	8750	2667	498.2	269	309.6	3200	16.3	309	1547	1590477772
56.15126	37.58165	9100	2774	509.3	275	316.5	1984	10.1	298	1547	1590477781
56.153687	37.567917	9275	2827	518.6	280	322.2	1536	7.8	285	1547	1590477787
56.154465	37.553848	9400	2865	533.4	288	331.4	1216	6.2	272	1547	1590477793
56.153824	37.541916	9525	2903	540.8	292	336	1408	7.2	263	1547	1590477799
56.152008	37.525005	9700	2957	551.9	298	342.9	1728	8.8	258	1547	1590477805
56.150208	37.510403	9900	3018	561.2	303	348.7	2048	10.4	257	1547	1590477811
56.145905	37.476028	10325	3147	577.8	312	359	1344	6.8	257	1547	1590477825
56.142094	37.443981	10575	3223	603.8	326	375.2	1152	5.9	257	1547	1590477838
56.138367	37.411621	10800	3292	627.8	339	390.1	1152	5.9	258	1547	1590477849
56.134552	37.377377	11025	3360	651.9	352	405.1	1088	5.5	258	1547	1590477861
56.130753	37.342281	11250	3429	672.3	363	417.7	1024	5.2	259	1547	1590477873
56.116333	37.209362	12850	3917	705.6	381	438.4	2368	12	258	1547	1590477917
56.105576	37.1124	13950	4252	726	392	451.1	2624	13.3	258	1547	1590477947
56.094498	37.012608	15225	4641	733.4	396	455.7	1920	9.8	258	1547	1590477979
56.083344	36.913376	16300	4968	748.2	404	464.9	2368	12	258	1547	1590478009
56.071846	36.811752	17600	5364	750.1	405	466.1	2240	11.4	258	1547	1590478040
56.06002	36.707809	18450	5624	770.4	416	478.7	2048	10.4	258	1547	1590478072
56.035721	36.497498	20425	6226	787.1	425	489.1	1344	6.8	258	1547	1590478133
56.00993	36.277283	22125	6744	813	439	505.2	1792	9.1	258	1547	1590478196
55.983349	36.054466	23675	7216	839	453	521.3	1472	7.5	257	1547	1590478258
55.955475	35.825001	25200	7681	853.8	461	530.5	1408	7.2	257	1547	1590478320
55.927322	35.596371	26575	8100	868.6	469	539.7	1728	8.8	257	1547	1590478382
55.898113	35.362328	28400	8656	864.9	467	537.4	1664	8.5	257	1547	1590478443
55.869576	35.138226	30375	9258	846.4	457	525.9	1600	8.1	257	1547	1590478504
55.841736	34.909744	31625	9639	840.8	454	522.5	896	4.6	260	1547	1590478568
55.832428	34.677929	32000	9754	835.3	451	519	0	0	264	1547	1590478630
55.818832	34.453873	32000	9754	839	453	521.3	0	0	264	1547	1590478690
55.806217	34.219749	32000	9754	839	453	521.3	0	0	264	1547	1590478754
55.793743	33.995647	32000	9754	837.1	452	520.2	0	0	264	1547	1590478814
55.780708	33.766651	32000	9754	835.3	451	519	0	0	264	1547	1590478876
55.767578	33.543491	32000	9754	833.4	450	517.9	0	0	263	1547	1590478938
55.753658	33.317673	32000	9754	829.7	448	515.5	0	0	263	1547	1590478999
55.739822	33.096397	32000	9754	827.8	447	514.4	0	0	263	1547	1590479059
55.725861	32.880917	32000	9754	831.5	449	516.7	0	0	263	1547	1590479120
