latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
39.476944	-118.764954	3900	1189	1.9	1	1.2	448	2.3	180	0	1590477010
39.477833	-118.767639	4100	1250	90.7	49	56.4	640	3.3	274	0	1590477032
39.477768	-118.769913	4200	1280	116.7	63	72.5	576	2.9	262	0	1590477038
39.477127	-118.772537	4200	1280	131.5	71	81.7	704	3.6	247	0	1590477044
39.476017	-118.774963	4300	1311	144.5	78	89.8	448	2.3	233	0	1590477052
39.474388	-118.777222	4300	1311	151.9	82	94.4	576	2.9	223	1200	1590477058
39.472366	-118.779221	4400	1341	159.3	86	99	448	2.3	214	1200	1590477064
39.470058	-118.780945	4400	1341	168.5	91	104.7	320	1.6	207	1200	1590477071
39.466232	-118.783043	4500	1372	175.9	95	109.3	448	2.3	199	1200	1590477080
39.463543	-118.783997	4500	1372	175.9	95	109.3	448	2.3	193	1200	1590477086
39.460888	-118.784607	4600	1402	181.5	98	112.8	320	1.6	188	1200	1590477092
39.457909	-118.785034	4600	1402	183.3	99	113.9	320	1.6	184	1200	1590477099
39.455109	-118.785194	4600	1402	185.2	100	115.1	320	1.6	182	1200	1590477105
39.450897	-118.785255	4700	1433	187.1	101	116.2	320	1.6	178	1200	1590477114
39.448135	-118.785095	4700	1433	188.9	102	117.4	256	1.3	178	1200	1590477120
39.445015	-118.785095	4700	1433	192.6	104	119.7	64	0.3	180	1200	1590477126
39.441742	-118.785194	4700	1433	196.3	106	122	128	0.7	182	1200	1590477132
39.438858	-118.785431	4700	1433	196.3	106	122	64	0.3	184	1200	1590477140
39.435562	-118.785789	4700	1433	198.2	107	123.1	128	0.7	184	1200	1590477147
39.429325	-118.786438	4800	1463	196.3	106	122	128	0.7	184	1200	1590477158
39.4263	-118.786743	4800	1463	196.3	106	122	192	1	182	1200	1590477164
39.423203	-118.786865	4800	1463	196.3	106	122	256	1.3	181	1200	1590477170
39.420135	-118.786926	4800	1463	194.5	105	120.8	192	1	181	1200	1590477176
39.41684	-118.787048	4900	1494	196.3	106	122	256	1.3	180	1200	1590477185
39.413818	-118.787048	4900	1494	194.5	105	120.8	256	1.3	180	1200	1590477191
39.407772	-118.78717	4900	1494	194.5	105	120.8	256	1.3	181	1200	1590477202
39.404617	-118.787346	5000	1524	194.5	105	120.8	256	1.3	182	1200	1590477210
39.398438	-118.787643	5000	1524	192.6	104	119.7	192	1	182	1200	1590477222
39.392132	-118.788025	5100	1554	190.8	103	118.5	512	2.6	183	1200	1590477235
39.386169	-118.7883	5200	1585	188.9	102	117.4	448	2.3	181	1200	1590477248
39.380215	-118.788574	5300	1615	192.6	104	119.7	384	2	184	1200	1590477260
39.374359	-118.789078	5300	1615	192.6	104	119.7	448	2.3	183	1200	1590477272
39.368362	-118.789436	5400	1646	192.6	104	119.7	192	1	181	1200	1590477284
39.36232	-118.789551	5500	1676	196.3	106	122	128	0.7	181	1200	1590477298
39.355957	-118.789673	5500	1676	200	108	124.3	320	1.6	180	1200	1590477310
39.349594	-118.789795	5600	1707	200	108	124.3	320	1.6	181	1200	1590477322
39.343483	-118.789917	5700	1737	200	108	124.3	320	1.6	181	1200	1590477334
39.337326	-118.790154	5700	1737	200	108	124.3	320	1.6	181	1200	1590477348
39.330917	-118.790451	5800	1768	198.2	107	123.1	320	1.6	182	1200	1590477360
39.324646	-118.79081	5800	1768	200	108	124.3	64	0.3	182	1200	1590477372
39.31842	-118.791222	5800	1768	207.4	112	128.9	-64	-0.3	183	1200	1590477384
39.311642	-118.791687	5800	1768	211.1	114	131.2	-64	-0.3	183	1200	1590477398
39.262482	-118.789246	5800	1768	214.8	116	133.5	0	0	176	1200	1590477490
39.25589	-118.788597	5800	1768	214.8	116	133.5	-64	-0.3	175	1200	1590477502
39.249207	-118.787941	5800	1768	214.8	116	133.5	0	0	175	1200	1590477514
39.242607	-118.787109	5800	1768	214.8	116	133.5	0	0	174	1200	1590477528
39.235809	-118.786255	5800	1768	216.7	117	134.6	64	0.3	175	1200	1590477540
39.228973	-118.785492	5800	1768	214.8	116	133.5	0	0	174	1200	1590477552
39.222214	-118.784607	5800	1768	216.7	117	134.6	-64	-0.3	174	1200	1590477566
39.215233	-118.783691	5800	1768	214.8	116	133.5	-64	-0.3	173	1200	1590477578
39.208714	-118.782715	5800	1768	213	115	132.3	64	0.3	173	1200	1590477590
39.201546	-118.781677	5800	1768	213	115	132.3	64	0.3	174	1200	1590477604
39.195007	-118.780716	5800	1768	213	115	132.3	0	0	173	1200	1590477616
39.174591	-118.7771	5800	1768	216.7	117	134.6	0	0	171	1200	1590477654
39.167908	-118.775818	5800	1768	216.7	117	134.6	0	0	171	1200	1590477666
39.160858	-118.774506	5800	1768	214.8	116	133.5	0	0	172	1200	1590477680
39.154037	-118.77343	5800	1768	214.8	116	133.5	-64	-0.3	173	1200	1590477692
39.147583	-118.772476	5800	1768	214.8	116	133.5	-64	-0.3	173	1200	1590477704
39.14061	-118.771362	5800	1768	214.8	116	133.5	-128	-0.7	173	1200	1590477718
39.133442	-118.770142	5800	1768	214.8	116	133.5	64	0.3	172	1200	1590477730
39.126846	-118.769012	5800	1768	211.1	114	131.2	128	0.7	172	1200	1590477744
39.119934	-118.767822	5800	1768	213	115	132.3	0	0	172	1200	1590477756
39.115952	-118.767166	5800	1768	216.7	117	134.6	-64	-0.3	172	1200	1590477764
