latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
-32.805405	151.847702	525	160	242.6	131	150.8	2176	11.1	130	0	1590477021
-32.80862	151.854034	900	274	257.4	139	160	2560	13	112	0	1590477031
-32.809925	151.862106	1300	396	281.5	152	174.9	2496	12.7	92	0	1590477041
-32.809364	151.870743	1750	533	288.9	156	179.5	2368	12	83	0	1590477052
-32.808388	151.879929	2175	663	294.5	159	183	2560	13	82	0	1590477062
-32.806778	151.893677	2800	853	300	162	186.4	2560	13	81	0	1590477077
-32.805595	151.902863	3200	975	305.6	165	189.9	2240	11.4	81	0	1590477087
-32.804947	151.907852	3400	1036	311.1	168	193.3	2240	11.4	80	0	1590477094
-32.803314	151.917664	3850	1173	318.5	172	197.9	2432	12.4	75	0	1590477104
-32.799957	151.927628	4275	1303	331.5	179	206	1984	10.1	61	0	1590477114
-32.797668	151.931641	4425	1349	344.5	186	214	1792	9.1	52	0	1590477120
-32.789719	151.938843	4675	1425	376	203	233.6	1024	5.2	29	0	1590477130
-32.784988	151.941528	4775	1455	385.2	208	239.4	1600	8.1	23	0	1590477137
-32.775661	151.945801	5150	1570	381.5	206	237.1	2880	14.6	20	0	1590477146
-32.770401	151.948151	5500	1676	368.5	199	229	3648	18.5	20	0	1590477153
-32.761734	151.952072	6100	1859	342.6	185	212.9	3328	16.9	21	0	1590477163
-32.753311	151.956299	6600	2012	335.2	181	208.3	2176	11.1	23	0	1590477174
-32.740795	151.962219	7075	2156	346.3	187	215.2	1920	9.8	20	6066	1590477190
-32.732391	151.965973	7375	2248	351.9	190	218.6	1600	8.1	20	6066	1590477200
-32.719162	151.972336	7775	2370	366.7	198	227.9	1472	7.5	22	6066	1590477216
-32.705509	151.979095	8175	2492	374.1	202	232.5	1664	8.5	23	6066	1590477232
-32.696804	151.983582	8450	2576	379.7	205	235.9	1408	7.2	23	6066	1590477242
-32.687164	151.988724	8650	2637	388.9	210	241.7	704	3.6	24	6066	1590477252
-32.672501	151.996628	8750	2667	416.7	225	258.9	448	2.3	24	6066	1590477269
-32.661896	152.002274	8825	2690	431.5	233	268.1	64	0.3	24	6066	1590477279
-32.646149	152.010406	8800	2682	453.7	245	281.9	0	0	22	6066	1590477294
-32.634979	152.015915	8825	2690	461.1	249	286.5	64	0.3	22	6066	1590477306
