latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
40.101563	116.59259	3075	937	326	176	202.5	1984	10.1	353	0	1590477089
40.154572	116.583923	3700	1128	381.5	206	237.1	1024	5.2	353	5633	1590477116
40.164871	116.582336	3875	1181	407.4	220	253.2	1792	9.1	353	5633	1590477127
40.17458	116.580795	4125	1257	407.4	220	253.2	1792	9.1	353	5633	1590477136
40.199249	116.576538	4649	1417	385.2	208	239.4	0	0	354	5633	1590477156
40.21056	116.574654	5026	1532	400	216	248.6	0	0	354	5633	1590477166
40.220249	116.573105	5374	1638	416.7	225	258.9	0	0	354	5633	1590477174
40.23349	116.569702	5925	1806	424.1	229	263.5	0	0	343	5633	1590477186
40.246689	116.559631	6476	1974	440.8	238	273.9	0	0	319	5633	1590477198
40.257065	116.538635	7225	2202	466.7	252	290	2560	13	294	5633	1590477216
40.259628	116.519119	7776	2370	448.2	242	278.5	0	0	278	5633	1590477228
40.26123	116.454468	9050	2758	470.4	254	292.3	0	0	255	5633	1590477272
40.258575	116.445923	9050	2758	474.1	256	294.6	-64	-0.3	244	5633	1590477278
40.255161	116.437347	9100	2774	479.7	259	298.1	768	3.9	240	5633	1590477286
40.249718	116.425491	9300	2835	483.4	261	300.4	1600	8.1	237	5633	1590477294
40.238079	116.402458	9675	2949	520.4	281	323.4	1600	8.1	237	5633	1590477310
40.229553	116.385559	10200	3109	526	284	326.8	3264	16.6	236	5633	1590477322
40.220669	116.367683	10700	3261	538.9	291	334.9	2752	14	237	5633	1590477335
40.210571	116.34671	11348	3459	492.6	266	306.1	0	0	239	5633	1590477348
40.187847	116.299896	12600	3840	577.8	312	359	1728	8.8	237	5633	1590477379
40.160896	116.245155	14200	4328	598.2	323	371.7	3712	18.9	236	5633	1590477412
40.134964	116.193153	15925	4854	605.6	327	376.3	3008	15.3	236	5633	1590477445
40.106148	116.135353	17625	5372	624.1	337	387.8	3136	15.9	237	5633	1590477478
40.078217	116.079231	19075	5814	644.5	348	400.5	2624	13.3	236	5633	1590477511
40.021469	115.965248	19700	6005	694.5	375	431.5	0	0	236	5633	1590477572
