latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
52.459553	5.549498	400	122	694.5	375	431.5	320	1.6	134	0	1590477172
52.453999	5.54788	400	122	129.6	70	80.6	0	0	187	0	1590477198
52.450138	5.543927	400	122	129.6	70	80.6	0	0	187	0	1590477216
52.444344	5.537201	400	122	129.6	70	80.6	0	0	187	7000	1590477248
52.432625	5.537831	400	122	129.6	70	80.6	0	0	187	7000	1590477280
52.421677	5.546687	400	122	129.6	70	80.6	0	0	187	7000	1590477305
52.413357	5.557287	400	122	129.6	70	80.6	0	0	187	7000	1590477388
52.388256	5.594871	399	122	129.6	70	80.6	0	0	187	7000	1590477410
52.384396	5.619139	400	122	129.6	70	80.6	0	0	187	7000	1590477420
52.382271	5.629182	400	122	129.6	70	80.6	0	0	187	7000	1590477440
52.378284	5.644746	400	122	129.6	70	80.6	0	0	187	7000	1590477466
52.374561	5.657866	400	122	129.6	70	80.6	0	0	187	7000	1590477488
52.372738	5.672871	400	122	129.6	70	80.6	0	0	187	7000	1590477625
52.388245	5.763806	400	122	129.6	70	80.6	0	0	187	7000	1590477645
52.400776	5.777806	400	122	129.6	70	80.6	0	0	187	7000	1590477682
52.424149	5.80957	999	304	159.3	86	99	0	0	72	7000	1590477708
52.428867	5.816535	1200	366	170.4	92	105.9	0	0	39	7000	1590477720
52.431351	5.819383	1300	396	168.5	91	104.7	0	0	35	7000	1590477732
52.433529	5.823844	1499	457	166.7	90	103.6	1344	6.8	47	7000	1590477741
52.435627	5.827127	1600	488	166.7	90	103.6	832	4.2	44	7000	1590477757
52.441853	5.835242	1800	549	166.7	90	103.6	1024	5.2	44	7000	1590477776
52.445736	5.840539	1900	579	166.7	90	103.6	384	2	44	7000	1590477814
52.457344	5.853873	1900	579	166.7	90	103.6	0	0	44	7000	1590477840
52.467594	5.861322	1900	579	166.7	90	103.6	0	0	44	7000	1590477852
52.476479	5.859792	1900	579	166.7	90	103.6	0	0	44	7000	1590477889
52.489388	5.861551	1899	579	166.7	90	103.6	0	0	44	7000	1590477901
52.49229	5.860336	1899	579	166.7	90	103.6	0	0	44	7000	1590477913
52.498173	5.86061	1900	579	166.7	90	103.6	0	0	44	7000	1590477966
52.515251	5.867101	1900	579	166.7	90	103.6	0	0	44	7000	1590478014
52.531666	5.869387	1900	579	166.7	90	103.6	0	0	44	7000	1590478033
52.541626	5.868311	1800	549	151.9	82	94.4	-1152	-5.9	272	7000	1590478065
52.552151	5.869261	2000	610	135.2	73	84	1408	7.2	68	7000	1590478093
52.561447	5.872291	1900	579	135.2	73	84	0	0	68	7000	1590478102
52.562405	5.870628	1900	579	161.1	87	100.1	0	0	286	7000	1590478118
52.567467	5.868251	1899	579	161.1	87	100.1	0	0	286	7000	1590478137
52.570198	5.859741	1700	518	161.1	87	100.1	0	0	286	7000	1590478153
52.569553	5.855668	1900	579	161.1	87	100.1	1088	5.5	286	7000	1590478166
52.567722	5.851267	1999	609	161.1	87	100.1	448	2.3	286	7000	1590478218
52.560482	5.835157	2000	610	161.1	87	100.1	0	0	286	7000	1590478240
52.554359	5.823148	1900	579	161.1	87	100.1	-256	-1.3	286	7000	1590478286
52.554359	5.804335	1900	579	161.1	87	100.1	0	0	286	7000	1590478302
52.552666	5.800237	1900	579	161.1	87	100.1	0	0	286	7000	1590478310
52.553173	5.799672	1900	579	103.7	56	64.4	1344	6.8	294	7000	1590478390
52.557178	5.782845	2000	610	103.7	56	64.4	64	0.3	294	7000	1590478397
52.561768	5.782667	1999	609	127.8	69	79.4	0	0	75	7000	1590478406
52.563225	5.782142	1899	579	135.2	73	84	-1472	-7.5	282	7000	1590478424
52.566254	5.776674	1900	579	135.2	73	84	0	0	282	7000	1590478469
52.573299	5.759764	1600	488	135.2	73	84	-384	-2	282	7000	1590478480
52.575912	5.753704	1500	457	135.2	73	84	-448	-2.3	282	7000	1590478502
52.579998	5.741718	1300	396	135.2	73	84	0	0	282	7000	1590478522
52.582184	5.734362	1100	335	135.2	73	84	-704	-3.6	282	7000	1590478533
52.583637	5.728301	999	304	135.2	73	84	-448	-2.3	282	7000	1590478662
52.579723	5.711895	500	152	135.2	73	84	-192	-1	282	7000	1590478689
52.572903	5.731855	900	274	135.2	73	84	320	1.6	282	7000	1590478772
52.573841	5.718568	900	274	135.2	73	84	0	0	282	7000	1590478806
52.576496	5.703179	900	274	135.2	73	84	0	0	282	7000	1590478818
52.588203	5.67019	900	274	135.2	73	84	0	0	282	7000	1590478826
52.587807	5.669092	899	274	427.8	231	265.8	0	0	297	7000	1590478938
52.588799	5.609859	900	274	427.8	231	265.8	0	0	297	7000	1590479001
52.578072	5.565289	900	274	427.8	231	265.8	0	0	297	7000	1590479014
52.572506	5.554568	900	274	427.8	231	265.8	0	0	297	7000	1590479032
52.564289	5.537806	900	274	427.8	231	265.8	0	0	297	7000	1590479048
52.560452	5.530225	900	274	427.8	231	265.8	0	0	297	7000	1590479102
52.539391	5.51136	900	274	427.8	231	265.8	0	0	297	7000	1590479169
52.512386	5.496894	900	274	427.8	231	265.8	0	0	297	7000	1590479185
52.497982	5.499806	900	274	427.8	231	265.8	0	0	297	7000	1590479217
52.483646	5.491396	899	274	427.8	231	265.8	0	0	297	7000	1590479232
52.477879	5.487502	900	274	427.8	231	265.8	0	0	297	7000	1590479249
52.470848	5.484934	800	244	427.8	231	265.8	-320	-1.6	297	7000	1590479261
