latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
40.0979	116.593628	1025	312	327.8	177	203.7	2368	12	353	0	1590477255
40.104427	116.592659	1375	419	327.8	177	203.7	2688	13.7	353	0	1590477264
40.118534	116.590721	2125	648	327.8	177	203.7	2688	13.7	353	0	1590477280
40.12587	116.5896	2300	701	324.1	175	201.4	896	4.6	353	0	1590477289
40.134567	116.588257	2475	754	331.5	179	206	896	4.6	353	71	1590477300
40.140701	116.587402	2675	815	335.2	181	208.3	1856	9.4	354	71	1590477308
40.157078	116.585167	3250	991	329.7	178	204.8	960	4.9	354	71	1590477327
40.166573	116.583916	3475	1059	338.9	183	210.6	1216	6.2	353	71	1590477338
40.272079	116.569397	5800	1768	481.5	260	299.2	3008	15.3	354	71	1590477436
40.288834	116.567139	6475	1974	479.7	259	298.1	2432	12.4	353	71	1590477450
40.306	116.564751	6975	2126	492.6	266	306.1	1728	8.8	354	71	1590477465
40.321266	116.562943	7400	2256	503.7	272	313	2112	10.7	355	71	1590477477
40.353436	116.563507	8000	2438	511.2	276	317.6	512	2.6	1	71	1590477502
40.371777	116.56369	8025	2446	526	284	326.8	-64	-0.3	1	71	1590477517
40.392632	116.563881	8050	2454	524.1	283	325.7	64	0.3	1	71	1590477532
40.411251	116.564064	8050	2454	522.3	282	324.5	-128	-0.7	1	71	1590477547
40.431828	116.564133	8050	2454	516.7	279	321.1	-64	-0.3	1	71	1590477562
40.451752	116.564377	8175	2492	522.3	282	324.5	1408	7.2	1	71	1590477578
40.469696	116.564514	8800	2682	520.4	281	323.4	3904	19.8	1	71	1590477591
40.490707	116.564575	9825	2995	505.6	273	314.2	3136	15.9	1	71	1590477607
40.509384	116.564697	10475	3193	511.2	276	317.6	2368	12	1	71	1590477623
40.525494	116.564819	10775	3284	533.4	288	331.4	1088	5.5	1	71	1590477635
40.55077	116.564941	11100	3383	570.4	308	354.4	1152	5.9	1	71	1590477653
40.572884	116.565063	11350	3459	603.8	326	375.2	1024	5.2	1	71	1590477668
40.590363	116.565186	11650	3551	614.9	332	382.1	1664	8.5	1	71	1590477680
40.633308	116.565567	12700	3871	633.4	342	393.6	2496	12.7	357	71	1590477706
40.694336	116.566193	15175	4625	598.2	323	371.7	4160	21.1	357	71	1590477747
40.787613	116.566101	16600	5060	655.6	354	407.4	1344	6.8	356	71	1590477807
40.839706	116.560913	17775	5418	661.2	357	410.8	2048	10.4	355	71	1590477838
40.865936	116.558594	18300	5578	666.7	360	414.3	1984	10.1	356	71	1590477855
40.992828	116.546898	20525	6256	701.9	379	436.1	2048	10.4	355	71	1590477928
41.06424	116.540283	22000	6706	696.4	376	432.7	1792	9.1	356	71	1590477970
42.0905	115.626862	30100	9174	738.9	399	459.2	-64	-0.3	298	71	1590478670
42.76918	113.836586	36100	11003	792.7	428	492.5	0	0	297	0	1590479443
42.826538	113.685951	36075	10996	801.9	433	498.3	64	0.3	297	71	1590479505
42.880737	113.542618	36100	11003	800.1	432	497.1	0	0	297	71	1590479564
42.942764	113.377991	36125	11011	761.2	411	473	-128	-0.7	296	71	1590479635
42.997696	113.230972	36100	11003	777.8	420	483.3	128	0.7	296	71	1590479696
43.03894	113.121178	36100	11003	779.7	421	484.5	-64	-0.3	297	71	1590479744
43.122665	112.903557	36100	11003	781.5	422	485.6	64	0.3	297	71	1590479836
43.177963	112.758179	36100	11003	781.5	422	485.6	0	0	297	71	1590479897
43.234589	112.608391	36100	11003	790.8	427	491.4	-64	-0.3	297	71	1590479959
43.291019	112.458412	36100	11003	803.8	434	499.4	0	0	297	71	1590480022
43.345459	112.312851	36100	11003	811.2	438	504	0	0	297	71	1590480080
43.415863	112.164276	36100	11003	811.2	438	504	0	0	310	71	1590480145
43.5107	112.046288	36100	11003	811.2	438	504	0	0	324	71	1590480208
43.617783	111.954773	36100	11003	813	439	505.2	0	0	328	71	1590480270
43.720276	111.845612	36100	11003	807.5	436	501.7	0	0	315	4227	1590480335
43.80505	111.72612	36100	11003	809.3	437	502.9	64	0.3	314	4227	1590480394
43.895409	111.598465	36100	11003	816.7	441	507.5	0	0	314	4227	1590480459
43.984741	111.471535	36100	11003	814.9	440	506.3	-64	-0.3	314	4227	1590480520
44.070419	111.349052	36100	11003	822.3	444	510.9	0	0	314	4227	1590480581
44.157578	111.223991	36100	11003	822.3	444	510.9	-64	-0.3	314	4227	1590480642
44.247986	111.09375	36100	11003	818.6	442	508.6	0	0	313	4227	1590480705
44.337296	110.964661	36100	11003	800.1	432	497.1	0	0	313	4227	1590480770
44.423824	110.838783	36100	11003	792.7	428	492.5	64	0.3	313	4227	1590480833
44.508774	110.714592	36100	11003	796.4	430	494.8	128	0.7	313	4227	1590480893
44.591629	110.592758	36100	11003	794.5	429	493.7	0	0	313	4227	1590480954
44.676819	110.467201	36100	11003	783.4	423	486.8	0	0	313	4227	1590481018
44.758858	110.345741	36100	11003	787.1	425	489.1	0	0	313	4227	1590481079
44.846565	110.215515	36125	11011	805.6	435	500.6	0	0	313	4227	1590481142
44.933487	110.098244	36100	11003	811.2	438	504	0	0	321	4227	1590481201
45.037262	109.987137	36100	11003	820.4	443	509.8	64	0.3	322	4227	1590481266
45.135605	109.880829	36100	11003	816.7	441	507.5	0	0	322	4227	1590481326
45.236347	109.771706	36125	11011	811.2	438	504	-64	-0.3	322	4227	1590481388
45.335968	109.663246	36100	11003	809.3	437	502.9	0	0	322	4227	1590481450
45.434875	109.555077	36100	11003	809.3	437	502.9	64	0.3	322	4227	1590481512
45.53223	109.448143	36100	11003	803.8	434	499.4	64	0.3	322	4227	1590481574
45.631943	109.33815	36100	11003	789	426	490.2	0	0	322	4227	1590481637
45.726448	109.233353	36100	11003	785.2	424	487.9	0	0	322	4227	1590481697
45.823418	109.125549	36100	11003	801.9	433	498.3	64	0.3	322	4227	1590481759
45.919407	109.018089	36100	11003	807.5	436	501.7	-64	-0.3	321	4227	1590481820
46.015228	108.910416	36100	11003	794.5	429	493.7	0	0	321	4227	1590481881
46.110626	108.802765	36100	11003	789	426	490.2	0	0	321	4227	1590481943
46.206589	108.694061	36100	11003	787.1	425	489.1	-64	-0.3	321	4227	1590482004
46.29657	108.591682	36100	11003	781.5	422	485.6	-64	-0.3	321	4227	1590482063
46.404099	108.468689	36100	11003	785.2	424	487.9	0	0	321	4227	1590482134
46.499359	108.359558	36100	11003	789	426	490.2	-64	-0.3	321	4227	1590482195
46.598282	108.245743	36100	11003	790.8	427	491.4	0	0	321	4227	1590482259
46.701599	108.126305	36100	11003	792.7	428	492.5	0	0	321	4227	1590482327
46.795753	108.016823	36100	11003	790.8	427	491.4	64	0.3	321	4227	1590482386
46.893417	107.902924	36100	11003	794.5	429	493.7	0	0	321	4227	1590482451
46.989269	107.790245	36100	11003	792.7	428	492.5	0	0	321	4227	1590482512
47.087952	107.674049	36100	11003	792.7	428	492.5	0	0	321	4227	1590482576
47.182892	107.561508	36100	11003	787.1	425	489.1	0	0	320	4227	1590482637
47.27631	107.450302	36100	11003	790.8	427	491.4	128	0.7	320	4227	1590482699
47.372303	107.335724	36100	11003	794.5	429	493.7	0	0	320	4227	1590482762
47.468853	107.219658	36100	11003	800.1	432	497.1	64	0.3	320	4227	1590482824
47.573456	107.093353	36100	11003	805.6	435	500.6	-128	-0.7	320	4227	1590482891
47.668167	106.978409	36100	11003	801.9	433	498.3	0	0	320	4227	1590482952
47.763107	106.862534	36100	11003	798.2	431	496	0	0	320	4227	1590483014
47.861332	106.747246	36100	11003	794.5	429	493.7	-64	-0.3	326	4227	1590483076
47.967316	106.664406	36100	11003	785.2	424	487.9	0	0	334	4227	1590483138
48.075706	106.587662	36100	11003	787.1	425	489.1	0	0	334	4227	1590483198
48.190201	106.506462	36100	11003	790.8	427	491.4	0	0	334	4227	1590483264
48.303394	106.425865	36100	11003	785.2	424	487.9	0	0	334	4227	1590483326
48.411255	106.34864	36100	11003	785.2	424	487.9	0	0	334	4227	1590483388
48.517532	106.27227	36100	11003	783.4	423	486.8	0	0	334	4227	1590483448
48.628235	106.192261	36100	11003	781.5	422	485.6	0	0	334	4227	1590483512
48.745083	106.107475	36100	11003	781.5	422	485.6	0	0	334	4227	1590483578
48.856476	106.026169	36100	11003	785.2	424	487.9	0	0	334	4227	1590483641
48.965832	105.94593	36100	11003	783.4	423	486.8	0	0	334	4227	1590483703
49.031799	105.897285	36100	11003	783.4	423	486.8	0	0	334	4227	1590483740
49.763504	105.34864	36000	10973	776	419	482.2	0	0	333	4227	1590484154
49.869877	105.267212	36000	10973	770.4	416	478.7	0	0	333	4227	1590484216
49.975662	105.185921	36000	10973	776	419	482.2	0	0	333	4227	1590484276
50.081501	105.104195	36000	10973	774.1	418	481	0	0	333	4227	1590484338
50.188061	105.021431	36000	10973	774.1	418	481	0	0	333	4227	1590484401
50.293304	104.93924	36000	10973	764.9	413	475.3	0	0	332	4227	1590484462
50.388382	104.835663	36000	10973	783.4	423	486.8	64	0.3	318	4227	1590484522
50.470505	104.695656	36000	10973	792.7	428	492.5	0	0	309	4227	1590484584
50.547729	104.550308	36000	10973	781.5	422	485.6	0	0	309	4227	1590484644
50.624443	104.404633	36000	10973	783.4	423	486.8	64	0.3	309	4227	1590484706
50.701263	104.257286	36000	10973	790.8	427	491.4	0	0	309	4227	1590484768
50.776062	104.111641	36000	10973	790.8	427	491.4	0	0	309	4227	1590484828
50.853245	103.961105	36000	10973	790.8	427	491.4	0	0	309	4227	1590484890
50.929497	103.81134	36000	10973	792.7	428	492.5	64	0.3	308	4227	1590484952
