latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
45.730171	9.598549	700	213	124.1	67	77.1	448	2.3	10	0	1590477288
45.7332	9.599036	800	244	125.9	68	78.3	256	1.3	1	0	1590477298
45.735214	9.598701	800	244	133.3	72	82.9	704	3.6	350	0	1590477304
45.738602	9.597495	900	274	140.8	76	87.5	768	3.9	341	0	1590477314
45.74004	9.59594	1000	305	140.8	76	87.5	896	4.6	311	0	1590477320
45.740845	9.590863	1100	335	148.2	80	92.1	128	0.7	273	23	1590477330
45.740601	9.585091	1200	366	144.5	78	89.8	64	0.3	260	23	1590477340
45.740112	9.582222	1200	366	144.5	78	89.8	832	4.2	251	23	1590477346
45.737549	9.579073	1300	396	137	74	85.2	512	2.6	201	23	1590477356
45.734314	9.577606	1400	427	144.5	78	89.8	384	2	194	23	1590477366
45.732265	9.576851	1400	427	144.5	78	89.8	640	3.3	194	23	1590477372
45.728729	9.575684	1500	457	146.3	79	90.9	640	3.3	193	23	1590477382
45.724869	9.574049	1600	488	150	81	93.2	640	3.3	202	23	1590477392
45.721001	9.571426	1700	518	159.3	86	99	-448	-2.3	204	23	1590477404
45.717556	9.56916	1700	518	163	88	101.3	640	3.3	205	23	1590477413
45.714157	9.566814	1700	518	172.2	93	107	-640	-3.3	206	23	1590477422
45.709503	9.563599	1700	518	164.8	89	102.4	576	2.9	205	23	1590477434
45.707153	9.561991	1600	488	170.4	92	105.9	-1600	-8.1	206	23	1590477440
45.704086	9.558976	1600	488	192.6	104	119.7	640	3.3	227	23	1590477448
45.703171	9.555292	1600	488	183.3	99	113.9	128	0.7	263	23	1590477454
45.702896	9.551474	1600	488	179.6	97	111.6	192	1	264	23	1590477460
45.702568	9.547874	1700	518	170.4	92	105.9	896	4.6	262	23	1590477466
45.702118	9.54377	1700	518	181.5	98	112.8	-704	-3.6	261	23	1590477472
45.701542	9.538811	1600	488	198.2	107	123.1	256	1.3	260	23	1590477480
45.700699	9.530438	1600	488	187.1	101	116.2	-192	-1	260	23	1590477492
45.70015	9.525548	1600	488	185.2	100	115.1	-192	-1	260	23	1590477500
45.699097	9.517711	1600	488	181.5	98	112.8	-64	-0.3	258	23	1590477512
45.698593	9.513825	1600	488	183.3	99	113.9	-256	-1.3	260	23	1590477518
45.698181	9.509872	1600	488	185.2	100	115.1	-64	-0.3	260	23	1590477524
45.697678	9.505586	1500	457	183.3	99	113.9	-64	-0.3	260	23	1590477530
45.697311	9.501767	1500	457	185.2	100	115.1	-320	-1.6	263	23	1590477536
45.697025	9.497749	1500	457	185.2	100	115.1	-64	-0.3	264	23	1590477542
45.696747	9.493767	1500	457	185.2	100	115.1	-256	-1.3	263	23	1590477548
45.696281	9.485733	1400	427	188.9	102	117.4	320	1.6	266	23	1590477560
45.696049	9.48175	1400	427	183.3	99	113.9	384	2	265	23	1590477566
45.695892	9.477919	1500	457	174.1	94	108.2	-128	-0.7	266	23	1590477572
45.695816	9.474747	1500	457	175.9	95	109.3	0	0	268	23	1590477578
45.695801	9.463114	1500	457	170.4	92	105.9	320	1.6	269	23	1590477597
45.700752	9.453323	1500	457	163	88	101.3	-320	-1.6	332	23	1590477618
45.703171	9.451813	1500	457	166.7	90	103.6	-64	-0.3	338	23	1590477624
45.705505	9.450654	1500	457	170.4	92	105.9	-320	-1.6	340	23	1590477630
45.709167	9.448912	1500	457	172.2	93	107	128	0.7	342	23	1590477639
45.711689	9.44783	1500	457	168.5	91	104.7	-64	-0.3	344	23	1590477645
45.716125	9.446165	1600	488	151.9	82	94.4	128	0.7	345	4612	1590477657
45.720703	9.444424	1600	488	159.3	86	99	128	0.7	344	4612	1590477668
45.723003	9.443504	1600	488	153.7	83	95.5	-384	-2	342	4612	1590477674
45.725555	9.442146	1500	457	164.8	89	102.4	192	1	339	4612	1590477681
45.727703	9.440964	1600	488	157.4	85	97.8	320	1.6	339	4612	1590477688
45.73008	9.439659	1500	457	164.8	89	102.4	-192	-1	337	4612	1590477694
45.733109	9.437925	1600	488	155.6	84	96.7	384	2	337	4612	1590477701
45.73645	9.435045	1600	488	161.1	87	100.1	768	3.9	311	4612	1590477712
45.736496	9.431361	1600	488	163	88	101.3	-1216	-6.2	244	4612	1590477718
45.734619	9.429016	1600	488	163	88	101.3	832	4.2	212	4612	1590477724
45.732407	9.427986	1600	488	155.6	84	96.7	-448	-2.3	192	4612	1590477730
45.730087	9.427475	1600	488	153.7	83	95.5	0	0	186	4612	1590477736
45.728165	9.427207	1600	488	153.7	83	95.5	-64	-0.3	186	4612	1590477742
45.725098	9.424622	1600	488	163	88	101.3	64	0.3	227	4612	1590477751
45.729996	9.416221	1600	488	155.6	84	96.7	-256	-1.3	26	4612	1590477776
45.731415	9.418566	1600	488	148.2	80	92.1	-320	-1.6	65	4612	1590477782
45.73114	9.421982	1600	488	144.5	78	89.8	-256	-1.3	78	4612	1590477788
45.727192	9.418648	1600	488	164.8	89	102.4	1280	6.5	295	4612	1590477808
45.728729	9.416725	1600	488	151.9	82	94.4	-448	-2.3	335	4612	1590477814
45.735619	9.421875	1500	457	144.5	78	89.8	-128	-0.7	31	4612	1590477836
45.737274	9.423656	1500	457	144.5	78	89.8	64	0.3	46	4612	1590477842
45.738274	9.426338	1500	457	137	74	85.2	768	3.9	75	4612	1590477848
45.738041	9.429222	1600	488	135.2	73	84	128	0.7	109	4612	1590477854
45.736496	9.431361	1500	457	150	81	93.2	-576	-2.9	156	4612	1590477861
45.732834	9.422116	1500	457	175.9	95	109.3	-256	-1.3	308	4612	1590477884
45.734985	9.420307	1500	457	168.5	91	104.7	128	0.7	342	4612	1590477890
45.738831	9.428673	1600	488	137	74	85.2	512	2.6	105	4612	1590477914
45.738693	9.431026	1700	518	137	74	85.2	384	2	98	4612	1590477920
45.740322	9.434097	1700	518	148.2	80	92.1	64	0.3	30	4612	1590477927
45.742538	9.434308	1700	518	161.1	87	100.1	-192	-1	349	4612	1590477933
45.744644	9.432031	1600	488	164.8	89	102.4	128	0.7	304	4612	1590477939
45.74493	9.428879	1700	518	161.1	87	100.1	192	1	261	4612	1590477946
45.743546	9.425734	1600	488	161.1	87	100.1	-256	-1.3	220	4612	1590477952
45.741394	9.424796	1600	488	161.1	87	100.1	0	0	183	4612	1590477958
45.739014	9.425734	1700	518	151.9	82	94.4	960	4.9	157	4612	1590477964
45.736923	9.427162	1700	518	153.7	83	95.5	-576	-2.9	154	4612	1590477970
45.733383	9.429291	1600	488	175.9	95	109.3	256	1.3	170	4612	1590477978
45.72831	9.421326	1600	488	179.6	97	111.6	-64	-0.3	258	4612	1590477998
45.727386	9.416556	1600	488	177.8	96	110.5	-256	-1.3	253	4612	1590478006
45.725842	9.413635	1600	488	166.7	90	103.6	512	2.6	215	4612	1590478012
45.723541	9.413341	1700	518	148.2	80	92.1	128	0.7	165	4612	1590478018
45.722168	9.41515	1700	518	138.9	75	86.3	-128	-0.7	122	4612	1590478024
