latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
13.908016	100.597786	0	0	16.7	9	10.4	0	0	5	0	1590477414
13.907866	100.598022	0	0	3.7	2	2.3	0	0	5	0	1590477445
13.907639	100.598175	0	0	3.7	2	2.3	0	0	5	723	1590477475
13.908039	100.598457	0	0	33.3	18	20.7	0	0	5	0	1590479085
13.908337	100.598633	0	0	37	20	23	0	0	5	0	1590479095
13.9086	100.598907	0	0	38.9	21	24.2	0	0	5	0	1590479105
13.908794	100.599236	0	0	37	20	23	0	0	5	723	1590479115
13.908978	100.599525	0	0	33.3	18	20.7	0	0	5	723	1590479126
13.909149	100.599815	0	0	37	20	23	0	0	5	723	1590479136
13.909355	100.600166	0	0	44.4	24	27.6	0	0	5	723	1590479146
13.909622	100.600624	0	0	48.2	26	29.9	0	0	5	723	1590479156
13.90989	100.601074	0	0	51.9	28	32.2	0	0	5	723	1590479166
13.91032	100.601494	0	0	55.6	30	34.5	0	0	5	723	1590479176
13.91082	100.601791	0	0	57.4	31	35.7	0	0	5	723	1590479186
13.91138	100.602104	0	0	59.3	32	36.8	0	0	5	723	1590479196
13.912008	100.602455	0	0	63	34	39.1	0	0	5	723	1590479207
13.912628	100.602814	0	0	63	34	39.1	0	0	5	723	1590479217
13.913223	100.603134	0	0	27.8	15	17.3	0	0	5	723	1590479227
13.913719	100.603424	0	0	27.8	15	17.3	0	0	5	723	1590479234
13.914505	100.603867	0	0	29.6	16	18.4	0	0	5	723	1590479246
13.915169	100.604225	0	0	29.6	16	18.4	0	0	5	723	1590479256
13.915878	100.604637	0	0	29.6	16	18.4	0	0	5	723	1590479267
13.918636	100.606186	0	0	27.8	15	17.3	0	0	5	723	1590479308
13.919231	100.606522	0	0	27.8	15	17.3	0	0	5	723	1590479316
13.919838	100.606865	0	0	27.8	15	17.3	0	0	5	723	1590479326
