latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
56.976994	14.57234	3100	945	0	0	0	448	2.3	307	0	1590477462
56.978958	14.565491	3200	975	166.7	90	103.6	704	3.6	296	0	1590477475
56.980766	14.559433	3325	1013	151.9	82	94.4	1024	5.2	301	0	1590477483
56.982517	14.554502	3325	1013	164.8	89	102.4	0	0	300	0	1590477492
56.98465	14.547976	3425	1044	172.2	93	107	0	0	301	0	1590477499
56.986523	14.542954	3510	1070	175.9	95	109.3	512	2.6	304	6714	1590477512
56.989674	14.535473	3616	1102	175.9	95	109.3	1728	8.8	304	6714	1590477518
56.991726	14.529943	3717	1133	172.2	93	107	512	2.6	305	6714	1590477526
56.992592	14.52737	3749	1143	168.5	91	104.7	448	2.3	303	6714	1590477532
56.994587	14.521966	3824	1166	166.7	90	103.6	1024	5.2	304	6714	1590477543
56.997314	14.513867	3850	1173	166.7	90	103.6	0	0	304	6714	1590477551
56.990501	14.508224	3950	1204	477.8	258	296.9	0	0	181	6714	1590477595
57.009521	14.470994	3950	1204	466.7	252	290	320	1.6	310	6714	1590477619
57.011696	14.466372	3938	1200	435.2	235	270.4	-192	-1	310	6714	1590477627
57.017612	14.452076	3950	1204	379.7	205	235.9	0	0	308	6714	1590477636
57.021076	14.443726	3949	1204	361.1	195	224.4	0	0	307	6714	1590477643
57.026325	14.430776	3925	1196	324.1	175	201.4	-448	-2.3	307	6714	1590477660
57.029671	14.421855	3949	1204	298.2	161	185.3	128	0.7	305	6714	1590477667
57.033573	14.410971	3950	1204	281.5	152	174.9	0	0	304	6714	1590477674
57.035763	14.404154	3949	1204	264.8	143	164.6	0	0	303	6714	1590477683
57.037434	14.399418	3950	1204	253.7	137	157.7	0	0	303	6714	1590477694
57.042221	14.385747	3950	1204	253.7	137	157.7	128	0.7	303	6714	1590477704
57.044399	14.378878	3950	1204	233.4	126	145	0	0	301	6714	1590477712
57.047405	14.368871	3950	1204	213	115	132.3	0	0	300	7000	1590477724
57.048244	14.366065	3950	1204	213	115	132.3	0	0	300	7000	1590477730
57.051105	14.35656	3925	1196	213	115	132.3	-384	-2	300	7000	1590477738
57.052959	14.350779	3941	1201	209.3	113	130	-128	-0.7	298	7000	1590477747
57.054493	14.345952	3950	1204	205.6	111	127.7	64	0.3	300	7000	1590477759
57.057823	14.33583	3950	1204	205.6	111	127.7	0	0	300	7000	1590477775
57.063297	14.319345	3950	1204	205.6	111	127.7	0	0	300	7000	1590477792
57.066574	14.309646	3950	1204	205.6	111	127.7	0	0	300	2174	1590477863
57.085987	14.249866	3950	1204	205.6	111	127.7	0	0	300	2174	1590477878
57.090096	14.236606	3950	1204	205.6	111	127.7	0	0	300	2174	1590477886
57.09206	14.230151	3950	1204	203.7	110	126.6	0	0	300	2174	1590477895
57.09454	14.222447	3924	1196	203.7	110	126.6	-128	-0.7	300	2174	1590477903
57.097519	14.213277	3950	1204	203.7	110	126.6	0	0	300	2174	1590478030
57.134083	14.101825	3925	1196	211.1	114	131.2	-192	-1	302	2174	1590478056
57.138996	14.086453	3950	1204	211.1	114	131.2	64	0.3	302	2174	1590478063
57.142677	14.075669	3924	1196	222.2	120	138.1	0	0	303	2174	1590478082
57.146763	14.063525	3950	1204	222.2	120	138.1	64	0.3	303	2174	1590478098
57.151379	14.049688	3925	1196	222.2	120	138.1	-64	-0.3	303	2174	1590478107
57.154961	14.038565	3925	1196	222.2	120	138.1	-320	-1.6	302	2174	1590478115
57.15617	14.034817	3950	1204	222.2	120	138.1	320	1.6	301	2174	1590478131
57.160328	14.02186	3950	1204	222.2	120	138.1	0	0	301	2174	1590478139
57.164326	14.009983	3925	1196	222.2	120	138.1	-320	-1.6	301	2174	1590478150
57.168316	13.996894	3925	1196	222.2	120	138.1	0	0	300	2174	1590478162
57.17062	13.9902	3939	1201	222.2	120	138.1	192	1	302	2174	1590478174
57.173119	13.982184	3950	1204	222.2	120	138.1	64	0.3	300	2174	1590478186
57.178703	13.965776	3938	1200	222.2	120	138.1	-128	-0.7	303	2174	1590478198
57.180702	13.959435	3950	1204	222.2	120	138.1	0	0	301	2174	1590478211
57.183964	13.949154	3950	1204	222.2	120	138.1	0	0	301	2174	1590478219
57.187412	13.938564	3947	1203	222.2	120	138.1	448	2.3	301	2174	1590478230
57.18988	13.930909	3949	1204	222.2	120	138.1	320	1.6	301	2174	1590478246
57.192997	13.921008	3950	1204	222.2	120	138.1	0	0	301	2174	1590478259
57.197266	13.907404	3949	1204	222.2	120	138.1	0	0	301	2174	1590478266
57.19833	13.90418	3950	1204	222.2	120	138.1	0	0	301	2174	1590478279
57.203724	13.886938	3925	1196	214.8	116	133.5	0	0	299	2174	1590478291
57.205624	13.880505	3949	1204	209.3	113	130	192	1	299	2174	1590478299
57.20813	13.872583	3950	1204	213	115	132.3	0	0	300	2174	1590478308
57.20945	13.868453	3924	1196	213	115	132.3	-320	-1.6	300	2174	1590478320
57.212601	13.858499	3925	1196	213	115	132.3	0	0	300	2174	1590478328
57.215832	13.848813	3950	1204	216.7	117	134.6	384	2	301	2174	1590478334
57.217857	13.842501	3924	1196	218.5	118	135.8	-384	-2	301	2174	1590478343
57.219112	13.838782	3950	1204	218.5	118	135.8	320	1.6	301	2174	1590478350
57.223583	13.824931	3949	1204	218.5	118	135.8	0	0	301	2174	1590478364
57.225666	13.818266	3950	1204	211.1	114	131.2	0	0	300	2174	1590478400
57.237637	13.783505	3925	1196	214.8	116	133.5	0	0	302	2174	1590478411
57.238346	13.780688	3925	1196	214.8	116	133.5	0	0	302	2174	1590478418
57.240471	13.774022	3950	1204	214.8	116	133.5	128	0.7	302	2174	1590478426
57.242908	13.766716	3950	1204	209.3	113	130	0	0	302	2174	1590478443
57.248135	13.750574	3950	1204	209.3	113	130	0	0	302	2174	1590478455
57.25024	13.744206	3924	1196	209.3	113	130	-192	-1	302	2174	1590478468
57.254822	13.729797	3925	1196	209.3	113	130	0	0	302	2174	1590478492
57.260197	13.712965	3950	1204	209.3	113	130	64	0.3	302	2174	1590478498
