latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
40.510609	22.975662	0	0	31.5	17	19.6	0	0	163	0	1590477484
40.510212	22.975767	0	0	59.3	32	36.8	0	0	171	0	1590477490
40.509853	22.975571	0	0	63	34	39.1	0	0	210	0	1590477496
40.509636	22.975204	0	0	27.8	15	17.3	0	0	239	0	1590477502
40.509613	22.974625	0	0	27.8	15	17.3	0	0	272	0	1590477508
40.50985	22.974144	0	0	27.8	15	17.3	0	0	317	0	1590477514
40.510361	22.973927	0	0	44.4	24	27.6	0	0	343	0	1590477521
40.512783	22.97316	0	0	148.2	80	92.1	0	0	343	6725	1590477529
40.515976	22.972168	0	0	207.4	112	128.9	1280	6.5	346	6725	1590477536
40.518929	22.971102	100	30	203.7	110	126.6	2432	12.4	344	6725	1590477542
40.521908	22.970039	375	114	201.9	109	125.4	2496	12.7	344	6725	1590477548
40.524746	22.968979	600	183	205.6	111	127.7	2240	11.4	343	6725	1590477554
40.528564	22.966736	925	282	209.3	113	130	2368	12	329	6725	1590477562
40.531082	22.963867	1150	351	214.8	116	133.5	2240	11.4	315	6725	1590477569
40.533783	22.960083	1375	419	227.8	123	141.5	1472	7.5	313	6725	1590477575
40.535751	22.957275	1475	450	240.8	130	149.6	1216	6.2	311	6725	1590477581
40.538296	22.953499	1600	488	255.6	138	158.8	1152	5.9	311	6725	1590477587
40.542904	22.947943	1800	549	281.5	152	174.9	1280	6.5	320	6725	1590477596
40.546116	22.944447	1925	587	292.6	158	181.8	1344	6.8	321	6725	1590477602
40.550034	22.940491	2050	625	307.4	166	191	1280	6.5	322	6725	1590477609
40.553787	22.936768	2200	671	316.7	171	196.8	1600	8.1	323	6725	1590477615
40.55896	22.929993	2500	762	320.4	173	199.1	2176	11.1	303	6725	1590477623
40.560684	22.924284	2725	831	318.5	172	197.9	2304	11.7	286	6725	1590477629
40.560883	22.917969	2925	892	322.2	174	200.2	1728	8.8	265	6725	1590477635
40.559475	22.911737	3100	945	329.7	178	204.8	1664	8.5	245	6725	1590477641
40.556625	22.906311	3275	998	333.4	180	207.1	1728	8.8	229	6725	1590477647
40.552734	22.902344	3450	1052	335.2	181	208.3	2240	11.4	210	6725	1590477653
40.548164	22.900314	3675	1120	329.7	178	204.8	2304	11.7	191	6725	1590477659
40.543087	22.90019	3900	1189	331.5	179	206	1920	9.8	173	6725	1590477665
40.538223	22.902283	4100	1250	327.8	177	203.7	1984	10.1	154	6725	1590477671
40.534336	22.905621	4275	1303	329.7	178	204.8	1856	9.4	143	6725	1590477678
