latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
55.977917	37.419205	0	0	16.7	9	10.4	0	0	295	0	1590477593
55.977448	37.41967	0	0	3.7	2	2.3	0	0	28	2102	1590477646
55.97731	37.419327	0	0	3.7	2	2.3	0	0	64	2102	1590477679
55.977379	37.419628	0	0	24.1	13	15	0	0	64	2102	1590477911
55.977459	37.42012	0	0	35.2	19	21.9	0	0	64	2102	1590477920
55.977505	37.420464	0	0	29.6	16	18.4	0	0	67	2102	1590477926
55.977493	37.420723	0	0	31.5	17	19.6	0	0	84	2102	1590477932
55.977356	37.421097	0	0	33.3	18	20.7	0	0	126	2102	1590477941
55.977089	37.421257	0	0	29.6	16	18.4	0	0	154	2102	1590477950
55.976704	37.420994	0	0	40.7	22	25.3	0	0	165	2102	1590477962
55.976563	37.420315	0	0	46.3	25	28.8	0	0	165	2102	1590477972
55.97646	37.419518	0	0	51.9	28	32.2	0	0	165	2102	1590477981
55.976269	37.418331	0	0	57.4	31	35.7	0	0	165	2102	1590477992
55.97604	37.416771	0	0	27.8	15	17.3	0	0	165	2102	1590478006
55.97591	37.415936	0	0	29.6	16	18.4	0	0	165	2102	1590478012
55.975773	37.415054	0	0	31.5	17	19.6	0	0	165	2102	1590478019
55.97525	37.411537	0	0	42.6	23	26.5	0	0	255	2102	1590478040
55.975079	37.410339	0	0	44.4	24	27.6	0	0	255	2102	1590478046
55.974911	37.409264	0	0	48.2	26	29.9	0	0	255	2102	1590478052
55.974506	37.406555	0	0	48.2	26	29.9	0	0	255	2102	1590478064
55.974346	37.405472	0	0	31.5	17	19.6	0	0	255	2102	1590478070
55.974144	37.404114	0	0	33.3	18	20.7	0	0	255	2102	1590478080
55.973957	37.40287	0	0	37	20	23	0	0	255	2102	1590478088
55.973816	37.401947	0	0	38.9	21	24.2	0	0	255	2102	1590478094
55.973644	37.400787	0	0	42.6	23	26.5	0	0	255	2102	1590478100
55.973095	37.397118	0	0	51.9	28	32.2	0	0	255	2102	1590478119
55.972561	37.393528	0	0	55.6	30	34.5	0	0	255	2102	1590478133
55.972332	37.391968	0	0	53.7	29	33.4	0	0	255	2102	1590478139
55.971954	37.389511	0	0	51.9	28	32.2	0	0	253	2102	1590478150
55.971748	37.388119	0	0	37	20	23	0	0	255	2102	1590478157
55.97163	37.387268	0	0	59.3	32	36.8	0	0	255	2102	1590478165
55.971416	37.386559	0	0	33.3	18	20.7	0	0	210	2102	1590478176
55.971153	37.386517	0	0	37	20	23	0	0	182	2102	1590478184
55.970932	37.386623	0	0	33.3	18	20.7	0	0	182	2102	1590478191
55.970638	37.386753	0	0	38.9	21	24.2	0	0	182	2102	1590478200
55.970409	37.386871	0	0	35.2	19	21.9	0	0	182	2102	1590478207
55.970158	37.386993	0	0	27.8	15	17.3	0	0	154	2102	1590478216
55.969906	37.387119	0	0	25.9	14	16.1	0	0	154	2102	1590478226
55.969643	37.387222	0	0	24.1	13	15	0	0	154	2102	1590478242
55.969406	37.387333	0	0	24.1	13	15	0	0	154	2102	1590478255
55.969093	37.387493	0	0	35.2	19	21.9	0	0	154	2102	1590478266
55.968704	37.38768	0	0	31.5	17	19.6	0	0	154	2102	1590478278
55.968304	37.387848	0	0	40.7	22	25.3	0	0	154	2102	1590478291
55.967648	37.388168	0	0	38.9	21	24.2	0	0	154	2102	1590478305
55.967422	37.388325	0	0	18.5	10	11.5	0	0	137	2102	1590478316
55.967579	37.389435	0	0	27.8	15	17.3	0	0	87	2102	1590478367
55.9678	37.390873	0	0	77.8	42	48.3	0	0	75	2102	1590478374
55.968258	37.394009	0	0	127.8	69	79.4	0	0	75	2102	1590478380
55.970638	37.410049	0	0	250	135	155.4	0	0	75	2102	1590478399
55.971806	37.41806	300	91	270.4	146	168	1216	6.2	75	2102	1590478406
55.973053	37.42659	600	183	261.1	141	162.3	2688	13.7	75	2102	1590478413
55.974014	37.433334	875	267	255.6	138	158.8	2560	13	75	2102	1590478419
55.974976	37.439575	1100	335	253.7	137	157.7	2240	11.4	74	2102	1590478425
55.976166	37.447483	1350	411	257.4	139	160	2112	10.7	75	2102	1590478433
55.97823	37.461147	1800	549	270.4	146	168	2368	12	74	2102	1590478444
55.979763	37.471447	2150	655	272.2	147	169.2	2496	12.7	75	2102	1590478453
55.980835	37.478657	2425	739	274.1	148	170.3	2560	13	75	2102	1590478459
55.981796	37.485435	2675	815	275.9	149	171.5	2560	13	75	2102	1590478465
55.983303	37.495995	3025	922	279.7	151	173.8	2496	12.7	75	2102	1590478474
55.984421	37.503807	3300	1006	283.4	153	176.1	2496	12.7	75	2102	1590478480
55.986603	37.51881	3650	1113	307.4	166	191	1344	6.8	75	2102	1590478491
55.987724	37.526894	3750	1143	326	176	202.5	960	4.9	75	2102	1590478497
55.989029	37.535954	3850	1173	350	189	217.5	1152	5.9	75	2102	1590478503
55.990471	37.546204	3975	1212	372.3	201	231.3	1152	5.9	75	2102	1590478510
55.993263	37.565689	4100	1250	424.1	229	263.5	768	3.9	75	2102	1590478522
55.99522	37.578735	4200	1280	446.3	241	277.3	832	4.2	74	2102	1590478528
55.997955	37.590469	4300	1311	474.1	256	294.6	1024	5.2	63	2102	1590478534
56.001938	37.600876	4550	1387	487.1	263	302.7	2432	12.4	51	2102	1590478540
56.007339	37.610195	4875	1486	494.5	267	307.3	3328	16.9	39	2102	1590478546
56.013702	37.617435	5225	1593	501.9	271	311.9	3648	18.5	28	2102	1590478553
56.021568	37.622852	5650	1722	505.6	273	314.2	3712	18.9	16	2102	1590478559
56.028946	37.625095	6000	1829	511.2	276	317.6	3648	18.5	5	2102	1590478565
56.036133	37.624928	6350	1935	513	277	318.8	3648	18.5	356	2102	1590478571
56.044239	37.622078	6750	2057	513	277	318.8	3776	19.2	343	2102	1590478578
56.053551	37.614613	7250	2210	516.7	279	321.1	3712	18.9	329	2102	1590478585
56.060112	37.605942	7650	2332	518.6	280	322.2	3712	18.9	319	2102	1590478591
56.065521	37.595383	8050	2454	516.7	279	321.1	3840	19.5	308	2102	1590478597
56.069458	37.584061	8400	2560	518.6	280	322.2	3712	18.9	298	2102	1590478604
56.072433	37.57058	8775	2675	518.6	280	322.2	3648	18.5	287	2102	1590478610
56.073853	37.557011	9125	2781	518.6	280	322.2	3648	18.5	277	2102	1590478616
56.073898	37.543198	9500	2896	520.4	281	323.4	3648	18.5	266	2102	1590478622
56.072495	37.529297	9850	3002	522.3	282	324.5	3456	17.6	258	2102	1590478628
56.069595	37.514732	10225	3117	524.1	283	325.7	3392	17.2	247	2102	1590478635
56.06477	37.496597	10675	3254	531.5	287	330.3	3200	16.3	242	2102	1590478642
56.06081	37.483978	11000	3353	537.1	290	333.7	3072	15.6	240	2102	1590478648
56.056732	37.471703	11300	3444	540.8	292	336	3008	15.3	238	2102	1590478655
56.045776	37.440636	12050	3673	553.7	299	344.1	3072	15.6	237	2102	1590478669
56.022125	37.374405	13750	4191	570.4	308	354.4	3072	15.6	237	2102	1590478701
55.997734	37.304592	15550	4740	577.8	312	359	3136	15.9	238	2102	1590478734
55.975662	37.240574	17050	5197	588.9	318	365.9	3136	15.9	238	2102	1590478762
55.950623	37.16758	18525	5646	609.3	329	378.6	3008	15.3	238	2102	1590478794
55.900406	37.021763	21225	6469	640.8	346	398.2	2560	13	238	2102	1590478856
55.870239	36.942444	22625	6896	646.3	349	401.6	2368	12	225	2102	1590478889
55.862965	36.931145	22850	6965	642.6	347	399.3	2432	12.4	218	2102	1590478896
55.855377	36.921959	23100	7041	640.8	346	398.2	2368	12	212	2102	1590478902
55.846252	36.913479	23350	7117	638.9	345	397	2432	12.4	205	2102	1590478908
55.837502	36.907711	23575	7186	637.1	344	395.9	2432	12.4	198	2102	1590478914
55.828033	36.90366	23825	7262	633.4	342	393.6	2496	12.7	191	2102	1590478920
55.818924	36.901329	24075	7338	631.5	341	392.4	2560	13	187	2102	1590478926
55.807011	36.898529	24400	7437	635.2	343	394.7	2304	11.7	187	2102	1590478934
55.795559	36.895607	24650	7513	637.1	344	395.9	2112	10.7	188	2102	1590478940
55.696381	36.870617	26925	8207	653.8	353	406.2	1984	10.1	188	2102	1590479002
55.595428	36.845825	29050	8854	664.9	359	413.1	1600	8.1	187	2102	1590479064
55.491058	36.820763	30000	9144	711.2	384	441.9	64	0.3	187	2102	1590479126
55.380981	36.794262	30000	9144	724.1	391	450	-64	-0.3	187	2102	1590479187
55.272995	36.768494	30000	9144	727.8	393	452.3	64	0.3	187	2102	1590479248
55.157181	36.740948	30000	9144	735.2	397	456.9	0	0	187	2102	1590479312
55.04805	36.71526	30000	9144	735.2	397	456.9	0	0	187	2102	1590479372
54.934574	36.688595	30000	9144	737.1	398	458	-64	-0.3	187	2102	1590479434
54.825546	36.663208	30000	9144	735.2	397	456.9	0	0	187	2102	1590479494
54.713562	36.627205	30000	9144	744.5	402	462.6	-64	-0.3	192	2102	1590479557
54.603775	36.589634	30000	9144	742.7	401	461.5	0	0	190	2102	1590479616
54.492416	36.55426	30000	9144	738.9	399	459.2	-64	-0.3	190	2102	1590479678
54.379578	36.519054	30000	9144	742.7	401	461.5	0	0	190	2102	1590479740
54.267242	36.484104	30000	9144	746.4	403	463.8	0	0	190	2102	1590479801
54.154312	36.449104	30000	9144	748.2	404	464.9	0	0	190	2102	1590479863
54.042847	36.414734	30000	9144	753.8	407	468.4	0	0	190	2102	1590479923
53.926346	36.379044	30000	9144	748.2	404	464.9	64	0.3	190	2102	1590479986
53.812729	36.344501	30000	9144	751.9	406	467.2	0	0	190	2102	1590480049
53.698929	36.309971	30000	9144	753.8	407	468.4	0	0	190	2102	1590480110
53.586281	36.276127	30000	9144	753.8	407	468.4	0	0	190	2102	1590480171
53.472656	36.242092	30000	9144	750.1	405	466.1	0	0	190	2102	1590480232
53.359154	36.208271	30000	9144	748.2	404	464.9	0	0	190	2102	1590480294
53.245796	36.174667	30000	9144	742.7	401	461.5	0	0	189	2102	1590480356
53.135056	36.142036	30000	9144	744.5	402	462.6	-64	-0.3	189	2102	1590480416
53.021042	36.108608	30000	9144	738.9	399	459.2	0	0	189	2102	1590480480
52.908249	36.1101	30000	9144	738.9	399	459.2	-64	-0.3	174	2102	1590480541
52.79694	36.128227	30000	9144	731.5	395	454.6	0	0	174	2102	1590480601
52.687683	36.145962	30000	9144	731.5	395	454.6	0	0	174	2102	1590480662
52.575348	36.164169	30000	9144	731.5	395	454.6	-64	-0.3	174	2102	1590480723
52.46265	36.182529	30000	9144	727.8	393	452.3	-64	-0.3	174	2102	1590480786
52.351856	36.200264	30000	9144	724.1	391	450	0	0	174	2102	1590480847
52.241432	36.217686	30000	9144	720.4	389	447.7	0	0	174	2102	1590480909
52.133106	36.234795	30000	9144	716.7	387	445.4	0	0	174	2102	1590480969
52.023335	36.252056	29950	9129	716.7	387	445.4	-448	-2.3	174	2102	1590481031
51.915253	36.268921	28425	8664	676	365	420	-1472	-7.5	174	2102	1590481094
51.814594	36.284561	26900	8199	651.9	352	405.1	-1472	-7.5	174	2102	1590481155
51.732147	36.285393	25625	7811	657.5	355	408.5	-1472	-7.5	191	2102	1590481206
51.721817	36.281281	25475	7765	661.2	357	410.8	-1536	-7.8	194	2102	1590481212
51.620239	36.235428	23850	7269	637.1	344	395.9	-1472	-7.5	195	2102	1590481278
51.526951	36.193924	22325	6805	616.7	333	383.2	-1472	-7.5	195	2102	1590481339
51.434875	36.153038	20450	6233	607.5	328	377.5	-1600	-8.1	195	2102	1590481401
51.346802	36.113991	18875	5753	579.7	313	360.2	-1536	-7.8	195	2102	1590481463
51.263882	36.077576	17200	5243	561.2	303	348.7	-1664	-8.5	195	2102	1590481524
51.220963	36.058731	16250	4953	561.2	303	348.7	-1920	-9.8	195	2102	1590481555
