latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
35.04958	-89.974716	0	0	14.8	8	9.2	0	0	177	0	1590478047
35.049171	-89.974731	0	0	0	0	0	0	0	176	0	1590478057
35.048859	-89.97467	0	0	13	7	8.1	0	0	169	0	1590478068
35.048679	-89.974258	0	0	14.8	8	9.2	0	0	107	0	1590478077
35.048721	-89.973839	0	0	11.1	6	6.9	0	0	92	0	1590478087
35.048721	-89.973289	0	0	18.5	10	11.5	0	0	87	0	1590478098
35.048599	-89.972969	0	0	13	7	8.1	0	0	128	0	1590478108
35.048309	-89.972969	0	0	0	0	0	0	0	192	0	1590478118
35.048061	-89.972969	0	0	0	0	0	0	0	188	0	1590478127
35.047791	-89.972961	0	0	22.2	12	13.8	0	0	179	0	1590478134
35.04607	-89.972931	0	0	100	54	62.1	0	0	179	0	1590478143
35.042271	-89.972809	0	0	185.2	100	115.1	0	0	178	0	1590478153
35.036739	-89.972748	0	0	248.2	134	154.2	0	0	179	0	1590478164
35.02887	-89.97258	0	0	309.3	167	192.2	0	0	179	0	1590478174
35.022041	-89.97242	513	156	300	162	186.4	0	0	179	1524	1590478183
35.016953	-89.972481	1125	343	292.6	158	181.8	2688	13.7	181	1524	1590478191
35.012558	-89.972649	1400	427	290.8	157	180.7	3200	16.3	182	1524	1590478197
35.008347	-89.97287	1750	533	281.5	152	174.9	3776	19.2	182	1524	1590478203
35.004257	-89.972992	2125	648	272.2	147	169.2	3456	17.6	182	1524	1590478209
34.995163	-89.973091	2600	792	292.6	158	181.8	1472	7.5	176	1524	1590478222
34.989731	-89.971558	2775	846	311.1	168	193.3	1408	7.2	164	1524	1590478228
34.985001	-89.969505	2925	892	329.7	178	204.8	1600	8.1	160	1524	1590478234
34.980236	-89.967438	3100	945	346.3	187	215.2	1856	9.4	160	1524	1590478240
34.974976	-89.965134	3300	1006	361.1	195	224.4	1984	10.1	160	1524	1590478246
34.96846	-89.962349	3550	1082	379.7	205	235.9	2048	10.4	160	1524	1590478254
34.963989	-89.960518	3725	1135	390.8	211	242.8	1984	10.1	161	1524	1590478260
34.958122	-89.958176	3925	1196	407.4	220	253.2	2112	10.7	161	1524	1590478266
34.951653	-89.955597	4150	1265	422.3	228	262.4	2304	11.7	161	1524	1590478272
34.945507	-89.952789	4425	1349	431.5	233	268.1	3200	16.3	158	1524	1590478278
