latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
47.701946	40.313835	13325	4061	0	0	0	2560	13	49	0	1590477619
47.841305	40.549942	17825	5433	0	0	0	2112	10.7	48	0	1590477631
47.914757	40.672894	19075	5814	722.3	390	448.8	0	0	47	0	1590477694
47.927971	40.695839	20000	6096	722.3	390	448.8	4672	23.7	47	0	1590477759
47.992603	40.828232	22450	6843	707.5	382	439.6	2240	11.4	47	0	1590477846
48.146965	41.143719	27600	8412	687.1	371	426.9	1600	8.1	30	2420	1590477927
48.221733	41.158321	28550	8702	751.9	406	467.2	1664	8.5	272	2420	1590477958
48.350559	41.136909	30025	9152	857.5	463	532.8	768	3.9	324	2420	1590478027
48.369568	41.13052	30275	9228	883.4	477	548.9	1728	8.8	342	2420	1590478039
48.422588	41.118465	30849	9403	877.8	474	545.5	1792	9.1	348	2420	1590478054
48.552338	41.104916	32100	9784	866.7	468	538.6	1152	5.9	353	2420	1590478122
48.566669	41.103638	32325	9853	844.5	456	524.8	1920	9.8	356	2420	1590478230
48.875996	41.094589	34750	10592	844.5	456	524.8	576	2.9	356	2420	1590478360
49.209743	41.090656	36175	11026	861.2	465	535.1	576	2.9	5	2420	1590478467
49.268925	41.090351	36350	11079	861.2	465	535.1	320	1.6	5	2420	1590478531
49.477055	41.088711	37100	11308	861.2	465	535.1	320	1.6	5	2420	1590478594
49.602097	41.087135	37625	11468	874.1	472	543.2	448	2.3	319	2420	1590478663
49.495678	40.679165	38375	11697	874.1	472	543.2	384	2	190	2420	1590478840
50.842983	40.565102	40000	12192	857.5	463	532.8	0	0	343	2420	1590479228
50.959686	40.514034	40000	12192	883.4	477	548.9	0	0	344	2420	1590479295
51.130116	40.445152	39999	12192	874.1	472	543.2	0	0	346	2420	1590479358
51.257965	40.389744	40000	12192	885.3	478	550.1	0	0	344	2420	1590479419
51.394386	40.33102	40000	12192	881.6	476	547.8	0	0	345	2420	1590479483
51.529724	40.27005	40000	12192	870.4	470	540.9	0	0	345	2420	1590479546
51.661011	40.210258	40000	12192	870.4	470	540.9	0	0	342	2420	1590479611
51.710613	40.172207	40000	12192	870.4	470	540.9	0	0	331	2420	1590479635
51.723373	40.156345	40000	12192	870.4	470	540.9	0	0	325	2420	1590479642
51.734318	40.139824	40000	12192	870.4	470	540.9	0	0	319	2420	1590479650
51.74818	40.118057	40000	12192	863	466	536.3	0	0	316	2420	1590479659
51.758648	40.096466	40000	12192	864.9	467	537.4	0	0	310	2420	1590479667
51.768646	40.072227	39999	12192	866.7	468	538.6	0	0	305	2420	1590479674
51.776142	40.047733	40000	12192	866.7	468	538.6	0	0	299	2420	1590479682
51.782852	40.022194	40000	12192	874.1	472	543.2	0	0	295	2420	1590479691
51.789818	39.993286	40000	12192	872.3	471	542	0	0	292	2420	1590479698
51.793964	39.967793	40000	12192	885.3	478	550.1	0	0	286	2420	1590479706
