latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
48.251175	2.469107	4425	1349	198.2	107	123.1	0	0	156	1000	1590477709
48.248508	2.47084	4450	1356	196.3	106	122	192	1	156	1000	1590477715
48.245808	2.472574	4450	1356	196.3	106	122	0	0	157	1000	1590477721
48.242828	2.473948	4450	1356	203.7	110	126.6	64	0.3	167	1000	1590477727
48.230354	2.465636	4400	1341	240.8	130	149.6	-192	-1	233	1000	1590477753
48.228073	2.459998	4400	1341	242.6	131	150.8	-128	-0.7	241	1000	1590477760
48.226227	2.454951	4400	1341	242.6	131	150.8	0	0	241	1000	1590477766
48.224579	2.450168	4400	1341	242.6	131	150.8	-64	-0.3	243	1000	1590477772
48.222206	2.442723	4375	1334	246.3	133	153.1	-192	-1	245	1000	1590477782
48.219135	2.432749	4375	1334	244.5	132	151.9	-64	-0.3	244	1000	1590477794
48.215881	2.422556	4350	1326	244.5	132	151.9	-128	-0.7	244	1000	1590477806
48.212757	2.413017	4375	1334	240.8	130	149.6	0	0	243	1000	1590477817
48.211174	2.408247	4375	1334	240.8	130	149.6	0	0	243	1000	1590477824
48.207821	2.398417	4375	1334	238.9	129	148.5	64	0.3	242	1000	1590477835
48.206192	2.393502	4375	1334	237.1	128	147.3	64	0.3	243	1000	1590477842
48.204704	2.389093	4375	1334	237.1	128	147.3	-64	-0.3	243	1000	1590477848
48.20137	2.379033	4375	1334	238.9	129	148.5	0	0	244	1000	1590477860
48.199814	2.374059	4375	1334	238.9	129	148.5	0	0	244	1000	1590477866
48.198349	2.369314	4375	1334	238.9	129	148.5	0	0	244	1000	1590477872
48.196743	2.364373	4375	1334	238.9	129	148.5	0	0	243	1000	1590477878
48.19519	2.359877	4375	1334	237.1	128	147.3	0	0	241	1000	1590477884
48.193344	2.354977	4400	1341	237.1	128	147.3	0	0	240	1000	1590477890
48.189854	2.345726	4400	1341	238.9	129	148.5	0	0	240	1000	1590477902
48.188175	2.3411	4375	1334	240.8	130	149.6	-64	-0.3	241	1000	1590477908
48.186222	2.336185	4375	1334	240.8	130	149.6	64	0.3	235	1000	1590477914
48.182877	2.331074	4400	1341	233.4	126	145	128	0.7	217	1000	1590477923
48.179379	2.328234	4400	1341	225.9	122	140.4	0	0	203	1000	1590477929
48.176258	2.326861	4400	1341	222.2	120	138.1	0	0	193	1000	1590477935
48.172852	2.325792	4400	1341	222.2	120	138.1	-64	-0.3	191	1000	1590477941
48.169556	2.324665	4400	1341	224.1	121	139.2	64	0.3	193	1000	1590477947
48.164658	2.322834	4400	1341	224.1	121	139.2	0	0	193	1000	1590477957
48.159943	2.32196	4425	1349	211.1	114	131.2	128	0.7	180	1000	1590477965
48.156708	2.322693	4400	1341	203.7	110	126.6	-128	-0.7	165	1000	1590477971
48.154053	2.324101	4400	1341	201.9	109	125.4	-192	-1	157	1000	1590477977
48.151215	2.326355	4375	1334	196.3	106	122	-128	-0.7	149	1000	1590477983
48.147675	2.329857	4375	1334	194.5	105	120.8	0	0	143	1000	1590477991
48.145256	2.332623	4350	1326	192.6	104	119.7	-64	-0.3	142	1000	1590477999
48.141811	2.336567	4350	1326	190.8	103	118.5	0	0	143	1000	1590478008
48.138271	2.34037	4350	1326	192.6	104	119.7	0	0	145	1000	1590478016
48.13604	2.342623	4350	1326	192.6	104	119.7	0	0	145	1000	1590478022
48.13343	2.345299	4375	1334	188.9	102	117.4	64	0.3	145	1000	1590478029
48.128906	2.350113	4375	1334	187.1	101	116.2	0	0	144	1000	1590478040
