latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
25.168049	102.961067	8950	2728	346.3	187	215.2	1472	7.5	22	0	1590480872
25.177872	102.965851	9175	2797	353.7	191	219.8	1088	5.5	24	0	1590480885
25.187622	102.970886	9450	2880	357.4	193	222.1	1280	6.5	25	0	1590480897
25.19705	102.976097	9650	2941	363	196	225.6	960	4.9	26	0	1590480908
25.207664	102.979416	9775	2979	368.5	199	229	384	2	10	6417	1590480920
25.21595	102.978378	9850	3002	366.7	198	227.9	448	2.3	349	6417	1590480929
25.221634	102.976837	9900	3018	372.3	201	231.3	640	3.3	345	6417	1590480935
25.226984	102.975319	9975	3040	377.8	204	234.8	768	3.9	345	6417	1590480942
25.244751	102.970734	10200	3109	416.7	225	258.9	704	3.6	347	6417	1590480959
25.257895	102.967651	10350	3155	440.8	238	273.9	576	2.9	348	6417	1590480971
25.271622	102.964478	10375	3162	472.3	255	293.4	576	2.9	347	6417	1590480984
25.282837	102.96183	10525	3208	496.3	268	308.4	960	4.9	347	6417	1590480994
25.300552	102.957664	10725	3269	526	284	326.8	1024	5.2	347	6417	1590481007
25.316803	102.953796	11000	3353	542.6	293	337.2	1600	8.1	348	6417	1590481019
25.334007	102.949768	11425	3482	551.9	298	342.9	2304	11.7	347	6417	1590481032
25.350533	102.945885	11925	3635	551.9	298	342.9	2624	13.3	347	6417	1590481045
25.366453	102.942101	12375	3772	553.7	299	344.1	2112	10.7	347	6417	1590481056
25.411789	102.93045	13150	4008	559.3	302	347.5	960	4.9	344	6417	1590481089
25.45709	102.915825	13875	4229	572.3	309	355.6	1408	7.2	343	6417	1590481122
25.503178	102.901062	14650	4465	581.5	314	361.3	1536	7.8	343	6417	1590481155
25.550308	102.886047	15600	4755	590.8	319	367.1	1984	10.1	343	6417	1590481189
25.593071	102.872299	16600	5060	594.5	321	369.4	2048	10.4	343	6417	1590481219
25.641449	102.856697	17275	5265	622.3	336	386.7	512	2.6	343	6417	1590481252
25.693726	102.839813	17700	5395	666.7	360	414.3	1344	6.8	343	6417	1590481285
25.748276	102.822342	18525	5646	681.5	368	423.5	1536	7.8	343	6417	1590481319
25.768991	102.818245	18775	5723	700.1	378	435	1152	5.9	354	6417	1590481331
25.811726	102.827164	19325	5890	750.1	405	466.1	1600	8.1	24	6417	1590481356
25.925262	102.90303	20975	6393	776	419	482.2	1536	7.8	31	6417	1590481424
26.03001	102.973801	22625	6896	770.4	416	478.7	1280	6.5	31	6417	1590481487
26.131214	103.042305	23525	7170	792.7	428	492.5	448	2.3	31	6417	1590481548
26.24144	103.11705	24350	7422	822.3	444	510.9	1024	5.2	31	6417	1590481611
26.351686	103.192253	25675	7826	827.8	447	514.4	1152	5.9	31	6417	1590481674
26.460526	103.266624	26775	8161	837.1	452	520.2	1408	7.2	31	6417	1590481735
26.576674	103.336449	27900	8504	835.3	451	519	896	4.6	26	6417	1590481798
26.689795	103.39978	28850	8793	842.7	455	523.6	896	4.6	26	6417	1590481858
26.708679	103.41037	28975	8832	842.7	455	523.6	832	4.2	26	6417	1590481868
26.730101	103.42234	29101	8870	844.5	456	524.8	0	0	27	6417	1590481888
26.801378	103.462242	29524	8999	889	480	552.4	0	0	27	6417	1590481918
26.82202	103.473686	29675	9045	896.4	484	557	0	0	27	6417	1590481928
26.837219	103.482185	29774	9075	896.4	484	557	0	0	27	6417	1590481934
26.990749	103.568123	31076	9472	872.3	471	542	0	0	27	6417	1590482016
27.155689	103.660606	31099	9479	894.5	483	555.8	0	0	27	6417	1590482098
27.177019	103.672592	31099	9479	889	480	552.4	0	0	27	6417	1590482108
27.359682	103.769196	31100	9479	903.8	488	561.6	0	0	20	6417	1590482197
27.500408	103.824448	31150	9495	905.6	489	562.7	0	0	19	6417	1590482263
27.627777	103.874596	31125	9487	900.1	486	559.3	-64	-0.3	19	6417	1590482323
27.759064	103.926208	31100	9479	898.2	485	558.1	-64	-0.3	19	6417	1590482385
27.897919	103.980949	31100	9479	896.4	484	557	0	0	19	6417	1590482450
28.028778	104.032814	31575	9624	896.4	484	557	832	4.2	19	6417	1590482513
28.168526	104.088295	32100	9784	901.9	487	560.4	0	0	19	6417	1590482578
28.302084	104.141396	32100	9784	901.9	487	560.4	0	0	19	6417	1590482641
28.430237	104.192543	32100	9784	900.1	486	559.3	0	0	19	6417	1590482700
28.565552	104.246574	32075	9776	903.8	488	561.6	-64	-0.3	19	6417	1590482764
28.704117	104.287193	32100	9784	889	480	552.4	64	0.3	9	6417	1590482828
28.849771	104.295532	32125	9792	872.3	471	542	0	0	1	6417	1590482894
28.979645	104.2967	32100	9784	872.3	471	542	64	0.3	1	6417	1590482955
29.125305	104.297806	32100	9784	863	466	536.3	0	0	1	6417	1590483021
29.259106	104.298706	32100	9784	866.7	468	538.6	0	0	1	6417	1590483083
29.392731	104.29966	32100	9784	863	466	536.3	0	0	1	6417	1590483145
29.50708	104.300552	32100	9784	861.2	465	535.1	0	0	1	6417	1590483198
29.533947	104.300819	32100	9784	868.6	469	539.7	0	0	202	6417	1590483210
29.608566	104.301346	32100	9784	859.3	464	534	0	0	16	6417	1590483246
29.626635	104.301453	32075	9776	859.3	464	534	0	0	16	6417	1590483253
29.707077	104.302032	32075	9776	863	466	536.3	0	0	312	6417	1590483290
29.792408	104.302635	32073	9776	861.2	465	535.1	0	0	141	6417	1590483330
29.83745	104.30304	32073	9776	861.2	465	535.1	0	0	328	6417	1590483351
30.019024	104.312164	32125	9792	889	480	552.4	0	0	4	6417	1590483434
30.195602	104.32811	32150	9799	879.7	475	546.6	0	0	4	6417	1590483513
30.339165	104.341278	32100	9784	872.3	471	542	-128	-0.7	4	6417	1590483580
30.409924	104.347702	32050	9769	872.3	471	542	0	0	4	6417	1590483611
30.59967	104.365112	32050	9769	879.7	475	546.6	64	0.3	4	6417	1590483698
30.717453	104.375931	32075	9776	887.1	479	551.2	0	0	4	6417	1590483751
30.909197	104.38929	32125	9792	872.3	471	542	0	0	358	6417	1590483838
31.053131	104.385468	32125	9792	868.6	469	539.7	64	0.3	358	6417	1590483904
31.18432	104.381981	32075	9776	872.3	471	542	-64	-0.3	358	6417	1590483965
31.318863	104.377068	32075	9776	876	473	544.3	128	0.7	357	6417	1590484026
31.452209	104.37001	32150	9799	872.3	471	542	192	1	357	6417	1590484088
31.586672	104.363251	32100	9784	863	466	536.3	-64	-0.3	357	6417	1590484149
31.716934	104.356544	32100	9784	853.8	461	530.5	-64	-0.3	357	6417	1590484211
31.848175	104.349739	32100	9784	857.5	463	532.8	0	0	357	6417	1590484272
31.97785	104.343102	32100	9784	855.6	462	531.7	0	0	357	6417	1590484332
32.108429	104.336258	32100	9784	851.9	460	529.4	-64	-0.3	357	6417	1590484393
