latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
40.83083	111.73838	7073	2156	296.3	160	184.1	0	0	268	0	1590478038
40.832657	111.727966	7474	2278	301.9	163	187.6	0	0	293	0	1590478048
40.837578	111.720024	7927	2416	303.7	164	188.7	0	0	320	0	1590478058
40.842957	111.716057	8323	2537	303.7	164	188.7	0	0	338	0	1590478066
40.901638	111.736572	10823	3299	324.1	175	201.4	0	0	21	0	1590478138
40.921597	111.746887	11549	3520	340.8	184	211.7	0	0	21	0	1590478158
40.937107	111.754738	11949	3642	374.1	202	232.5	0	0	20	0	1590478170
40.96862	111.769836	13451	4100	414.8	224	257.8	0	0	20	0	1590478198
40.982498	111.776459	14049	4282	429.7	232	267	0	0	20	0	1590478210
40.993927	111.781975	14573	4442	440.8	238	273.9	0	0	20	0	1590478219
41.005646	111.787842	15098	4602	453.7	245	281.9	0	0	21	0	1590478230
41.017639	111.794189	15574	4747	457.4	247	284.2	0	0	22	0	1590478241
41.02956	111.800491	16001	4877	468.6	253	291.1	0	0	22	0	1590478250
41.113819	111.84436	18901	5761	500	270	310.7	0	0	20	0	1590478318
41.126202	111.850296	19350	5898	505.6	273	314.2	0	0	20	0	1590478328
41.139378	111.856606	19800	6035	516.7	279	321.1	0	0	20	0	1590478338
41.162701	111.867775	20499	6248	524.1	283	325.7	0	0	20	0	1590478356
41.173359	111.872528	20801	6340	531.5	287	330.3	0	0	18	0	1590478364
41.225418	111.846252	22474	6850	513	277	318.8	0	0	304	0	1590478410
41.229828	111.832817	22776	6942	520.4	281	323.4	0	0	289	0	1590478418
41.23151	111.814636	23176	7064	527.8	285	328	0	0	272	0	1590478428
41.220699	111.776978	24026	7323	531.5	287	330.3	0	0	236	0	1590478450
41.21209	111.765907	24324	7414	546.3	295	339.5	0	0	221	0	1590478458
41.111526	111.760498	24626	7506	620.4	335	385.5	0	0	165	0	1590478518
40.95726	111.817657	24600	7498	735.2	397	456.9	0	0	168	0	1590478600
40.81572	111.866333	24600	7498	790.8	427	491.4	64	0.3	168	0	1590478674
40.687317	111.899048	24600	7498	794.5	429	493.7	64	0.3	169	5171	1590478739
40.560608	111.930847	24600	7498	789	426	490.2	64	0.3	169	5171	1590478805
40.444351	111.960548	24600	7498	789	426	490.2	64	0.3	168	5171	1590478866
40.31662	111.993347	24600	7498	798.2	431	496	0	0	168	5171	1590478930
40.18721	112.026184	24600	7498	803.8	434	499.4	64	0.3	169	5171	1590478996
40.058201	112.058983	24600	7498	803.8	434	499.4	-64	-0.3	168	5171	1590479062
39.978317	112.074471	24600	7498	796.4	430	494.8	384	2	178	5171	1590479102
39.939911	112.068977	24600	7498	787.1	425	489.1	256	1.3	190	5171	1590479122
39.861786	112.050514	24600	7498	785.2	424	487.9	-192	-1	183	5171	1590479163
39.842056	112.050636	24600	7498	790.8	427	491.4	-320	-1.6	178	5171	1590479173
39.822693	112.052856	24600	7498	792.7	428	492.5	-320	-1.6	173	5171	1590479182
39.802303	112.057434	24600	7498	796.4	430	494.8	0	0	168	5171	1590479192
39.674606	112.089149	24600	7498	794.5	429	493.7	0	0	169	5171	1590479258
39.547714	112.121033	24600	7498	790.8	427	491.4	0	0	169	5171	1590479324
39.42865	112.151123	24600	7498	783.4	423	486.8	-320	-1.6	167	5171	1590479385
39.412613	112.158325	24600	7498	792.7	428	492.5	-448	-2.3	158	5171	1590479393
39.40107	112.165466	24600	7498	796.4	430	494.8	-704	-3.6	154	5171	1590479400
39.389374	112.175606	24600	7498	803.8	434	499.4	-704	-3.6	144	5171	1590479407
39.375778	112.192085	24600	7498	809.3	437	502.9	-640	-3.3	137	5171	1590479416
39.361176	112.213341	24600	7498	816.7	441	507.5	256	1.3	131	5171	1590479427
39.351105	112.225639	24600	7498	816.7	441	507.5	768	3.9	135	5171	1590479433
39.286968	112.256897	24600	7498	853.8	461	530.5	0	0	172	5171	1590479468
39.229057	112.266174	24701	7529	844.5	456	524.8	0	0	172	5171	1590479498
39.165051	112.280457	25875	7887	811.2	438	504	2240	11.4	169	5171	1590479530
39.06292	112.305603	26601	8108	839	453	521.3	0	0	169	5171	1590479580
39.048569	112.309166	26601	8108	833.4	450	517.9	0	0	169	5171	1590479588
38.901699	112.345154	26949	8214	837.1	452	520.2	0	0	169	5171	1590479658
38.87933	112.350548	27451	8367	833.4	450	517.9	0	0	169	5171	1590479670
38.834557	112.361359	28399	8656	840.8	454	522.5	0	0	169	5171	1590479690
38.815109	112.366066	28776	8771	839	453	521.3	0	0	169	5171	1590479700
38.795238	112.37085	29026	8847	837.1	452	520.2	0	0	169	5171	1590479710
38.75629	112.380096	29101	8870	833.4	450	517.9	0	0	169	5171	1590479730
38.716087	112.389717	29124	8877	831.5	449	516.7	0	0	169	5171	1590479750
