latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
-39.87923	143.881958	0	0	0	0	0	0	0	254	0	1590478292
-39.879162	143.882172	0	0	24.1	13	15	0	0	70	0	1590478325
-39.879032	143.882523	0	0	33.3	18	20.7	0	0	52	0	1590478338
-39.878811	143.882675	0	0	42.6	23	26.5	0	0	22	3253	1590478344
-39.878521	143.882843	0	0	51.9	28	32.2	0	0	25	3253	1590478350
-39.87822	143.883011	0	0	51.9	28	32.2	0	0	22	3253	1590478356
-39.877998	143.883484	0	0	44.4	24	27.6	0	0	95	3253	1590478366
-39.878101	143.88382	0	0	40.7	22	25.3	0	0	115	3253	1590478372
-39.878208	143.884094	0	0	42.6	23	26.5	0	0	115	3253	1590478378
-39.878323	143.88443	0	0	42.6	23	26.5	0	0	112	3253	1590478384
-39.878448	143.884796	0	0	44.4	24	27.6	0	0	115	3253	1590478390
-39.878555	143.885086	0	0	46.3	25	28.8	0	0	115	3253	1590478396
-39.878685	143.885452	0	0	46.3	25	28.8	0	0	112	3253	1590478402
-39.878799	143.885803	0	0	48.2	26	29.9	0	0	115	3253	1590478410
-39.878941	143.8862	0	0	48.2	26	29.9	0	0	112	3253	1590478416
-39.879032	143.886612	0	0	48.2	26	29.9	0	0	98	3253	1590478422
-39.879055	143.886948	0	0	44.4	24	27.6	0	0	98	3253	1590478428
-39.879169	143.887268	0	0	38.9	21	24.2	0	0	132	3253	1590478434
-39.879265	143.887039	0	0	3.7	2	2.3	0	0	300	3253	1590478450
-39.878838	143.88588	0	0	90.7	49	56.4	0	0	295	3253	1590478476
-39.877903	143.883118	0	0	166.7	90	103.6	64	0.3	294	3253	1590478482
-39.876572	143.879456	0	0	225.9	122	140.4	384	2	294	3253	1590478488
-39.874088	143.872437	100	30	266.7	144	165.7	1920	9.8	294	3253	1590478498
-39.87241	143.867432	300	91	279.7	151	173.8	2560	13	293	3253	1590478504
-39.870621	143.862198	600	183	283.4	153	176.1	2944	15	294	3253	1590478510
-39.8685	143.856567	1000	305	287.1	155	178.4	3328	16.9	296	3253	1590478517
-39.866501	143.851334	1300	396	285.2	154	177.2	3648	18.5	296	3253	1590478524
-39.864449	143.846436	1700	518	279.7	151	173.8	3392	17.2	301	3253	1590478530
-39.861565	143.842163	2000	610	277.8	150	172.6	3008	15.3	319	3253	1590478536
-39.857746	143.8396	2300	701	277.8	150	172.6	3072	15.6	341	3253	1590478542
-39.853649	143.838989	2600	792	279.7	151	173.8	3136	15.9	1	3253	1590478548
-39.849197	143.840286	3000	914	275.9	149	171.5	3328	16.9	20	3253	1590478554
-39.84549	143.843338	3400	1036	277.8	150	172.6	3264	16.6	38	3253	1590478560
-39.842468	143.847519	3700	1128	290.8	157	180.7	2368	12	50	3253	1590478566
-39.839916	143.852234	3800	1158	309.3	167	192.2	1280	6.5	56	3253	1590478572
-39.836975	143.8582	3900	1189	333.4	180	207.1	1152	5.9	58	3253	1590478580
-39.834366	143.863754	4100	1250	342.6	185	212.9	1984	10.1	58	3253	1590478586
-39.83139	143.870148	4400	1341	342.6	185	212.9	2944	15	59	3253	1590478592
-39.828735	143.875992	4700	1433	335.2	181	208.3	3264	16.6	59	3253	1590478598
-39.826092	143.881897	5000	1524	331.5	179	206	2752	14	60	3253	1590478604
-39.820541	143.893845	5400	1646	346.3	187	215.2	1280	6.5	56	3253	1590478618
-39.8172	143.89917	5600	1707	351.9	190	218.6	1472	7.5	48	3253	1590478624
-39.812824	143.903503	5700	1737	350	189	217.5	2176	11.1	31	3253	1590478630
-39.807678	143.90657	6000	1829	346.3	187	215.2	2240	11.4	21	3253	1590478636
-39.802551	143.90889	6200	1890	344.5	186	214	2304	11.7	18	3253	1590478642
-39.797741	143.911011	6400	1951	346.3	187	215.2	2112	10.7	19	3253	1590478648
-39.792252	143.91362	6600	2012	350	189	217.5	1664	8.5	20	3253	1590478654
-39.782192	143.919373	6900	2103	366.7	198	227.9	768	3.9	26	3253	1590478668
-39.771439	143.926208	7100	2164	387.1	209	240.5	1280	6.5	25	3253	1590478680
-39.760918	143.93219	7400	2256	388.9	210	241.7	1792	9.1	21	3253	1590478692
-39.748352	143.93779	7700	2347	396.3	214	246.3	1088	5.5	18	3253	1590478705
-39.736816	143.942932	7900	2408	401.9	217	249.7	1216	6.2	19	3253	1590478717
-39.724888	143.948608	8000	2438	411.1	222	255.5	704	3.6	21	3253	1590478730
-39.713058	143.954575	8300	2530	411.1	222	255.5	1408	7.2	20	3253	1590478742
-39.701065	143.960312	8500	2591	413	223	256.6	960	4.9	19	3253	1590478754
-39.688797	143.965683	8700	2652	416.7	225	258.9	960	4.9	18	3253	1590478766
-39.676334	143.970886	8900	2713	422.3	228	262.4	832	4.2	17	3253	1590478780
-39.66367	143.976257	9100	2774	422.3	228	262.4	1024	5.2	18	3253	1590478792
-39.651718	143.981506	9300	2835	422.3	228	262.4	1152	5.9	18	3253	1590478804
-39.639603	143.986938	9500	2896	418.6	226	260.1	1152	5.9	19	3253	1590478816
-39.627174	143.992737	9700	2957	422.3	228	262.4	832	4.2	19	3253	1590478828
-39.61496	143.998337	9900	3018	427.8	231	265.8	960	4.9	19	3253	1590478840
-39.601456	144.004364	10100	3078	422.3	228	262.4	1216	6.2	18	3253	1590478854
-39.589233	144.009628	10300	3139	422.3	228	262.4	960	4.9	17	3253	1590478866
-39.576244	144.014954	10500	3200	422.3	228	262.4	896	4.6	17	3253	1590478880
-39.564423	144.019775	10700	3261	422.3	228	262.4	768	3.9	17	3253	1590478892
-39.551514	144.025269	10900	3322	424.1	229	263.5	960	4.9	18	3253	1590478904
-39.539291	144.030823	11100	3383	424.1	229	263.5	832	4.2	19	3253	1590478916
-39.526993	144.036682	11200	3414	424.1	229	263.5	1024	5.2	20	3253	1590478928
-39.51461	144.042419	11400	3475	422.3	228	262.4	896	4.6	19	3253	1590478940
-39.502075	144.048019	11600	3536	422.3	228	262.4	896	4.6	19	3253	1590478954
-39.489166	144.053802	11800	3597	422.3	228	262.4	960	4.9	19	3253	1590478966
-39.476948	144.059326	12000	3658	422.3	228	262.4	960	4.9	19	3253	1590478978
-39.44334	144.074951	12600	3840	422.3	228	262.4	960	4.9	18	3253	1590479012
-39.411942	144.087479	13000	3962	424.1	229	263.5	512	2.6	17	3253	1590479044
-39.380215	144.101501	13000	3962	448.2	242	278.5	-64	-0.3	20	3253	1590479074
