latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
31.194118	121.329247	0	0	0	0	0	0	0	65	0	1590478492
31.192816	121.330002	0	0	48.2	26	29.9	0	0	177	0	1590478647
31.191914	121.330048	0	0	55.6	30	34.5	0	0	177	5012	1590478663
31.191319	121.330086	0	0	59.3	32	36.8	0	0	177	5012	1590478672
31.190804	121.330101	0	0	63	34	39.1	0	0	177	5012	1590478680
31.189545	121.330177	0	0	29.6	16	18.4	0	0	177	5012	1590478698
31.188185	121.330246	0	0	33.3	18	20.7	0	0	177	5012	1590478713
31.185646	121.330383	0	0	37	20	23	0	0	177	5012	1590478762
31.183714	121.330498	0	0	24.1	13	15	0	0	177	5012	1590478890
31.183502	121.330528	0	0	29.6	16	18.4	0	0	171	5012	1590478898
31.188219	121.333008	0	0	155.6	84	96.7	0	0	357	5012	1590479102
31.215929	121.331413	1175	358	275.9	149	171.5	2688	13.7	357	5012	1590479143
31.222961	121.330582	1575	480	283.4	153	176.1	1920	9.8	348	5012	1590479154
31.226496	121.328941	1750	533	288.9	156	179.5	2176	11.1	335	5012	1590479160
31.232502	121.324715	2100	640	285.2	154	177.2	1856	9.4	328	5012	1590479170
31.238251	121.32019	2400	732	287.1	155	178.4	1664	8.5	325	5012	1590479178
31.241579	121.317406	2550	777	290.8	157	180.7	1728	8.8	324	5012	1590479184
31.246582	121.31308	2800	853	292.6	158	181.8	1856	9.4	322	5012	1590479192
31.25647	121.304199	3300	1006	298.2	161	185.3	1152	5.9	322	5012	1590479210
31.26276	121.298569	3450	1052	318.5	172	197.9	1024	5.2	322	5012	1590479220
31.26951	121.292686	3650	1113	338.9	183	210.6	1088	5.5	323	5012	1590479230
31.27626	121.286919	3825	1166	357.4	193	222.1	1088	5.5	323	5012	1590479240
31.284119	121.280174	4000	1219	377.8	204	234.8	1088	5.5	323	5012	1590479250
31.294975	121.270882	4225	1288	414.8	224	257.8	1216	6.2	323	5012	1590479263
31.305355	121.262039	4550	1387	437.1	236	271.6	1664	8.5	323	5012	1590479276
31.314899	121.253853	4800	1463	459.3	248	285.4	1216	6.2	323	5012	1590479285
31.324814	121.245285	4925	1501	474.1	256	294.6	512	2.6	323	5012	1590479296
31.334452	121.236984	4975	1516	472.3	255	293.4	128	0.7	323	5012	1590479307
31.343063	121.229515	4975	1516	472.3	255	293.4	64	0.3	323	5012	1590479315
31.348696	121.224686	5000	1524	472.3	255	293.4	0	0	323	5012	1590479322
31.363495	121.211838	5000	1524	476	257	295.8	0	0	323	5012	1590479337
31.37821	121.199142	5000	1524	481.5	260	299.2	0	0	323	5012	1590479353
31.38826	121.190453	4975	1516	481.5	260	299.2	0	0	323	5012	1590479362
31.397947	121.181778	4975	1516	487.1	263	302.7	0	0	321	5012	1590479372
31.405655	121.173386	4975	1516	487.1	263	302.7	0	0	314	5012	1590479381
31.411057	121.166649	5000	1524	485.2	262	301.5	64	0.3	312	5012	1590479387
31.419342	121.155991	5025	1532	487.1	263	302.7	512	2.6	312	5012	1590479397
31.431931	121.139923	5250	1600	487.1	263	302.7	1024	5.2	312	5012	1590479412
31.44429	121.124321	5500	1676	481.5	260	299.2	896	4.6	314	5012	1590479427
31.453951	121.115807	5650	1722	476	257	295.8	960	4.9	326	5012	1590479438
31.464798	121.109512	5850	1783	479.7	259	298.1	1280	6.5	334	5012	1590479448
31.474806	121.104111	6100	1859	479.7	259	298.1	1664	8.5	335	5012	1590479458
31.498627	121.091255	6650	2027	488.9	264	303.8	1600	8.1	335	5012	1590479479
31.51474	121.082642	7050	2149	492.6	266	306.1	1600	8.1	335	5012	1590479494
31.53186	121.073486	7475	2278	496.3	268	308.4	1920	9.8	335	5012	1590479508
31.544174	121.06691	7825	2385	501.9	271	311.9	2048	10.4	335	5012	1590479520
31.561249	121.057808	8325	2537	503.7	272	313	1984	10.1	335	5012	1590479534
31.579454	121.04808	8875	2705	505.6	273	314.2	1984	10.1	335	5012	1590479549
31.596725	121.038849	9375	2858	507.4	274	315.3	2048	10.4	335	5012	1590479564
31.614138	121.029617	9900	3018	503.7	272	313	2048	10.4	335	5012	1590479579
31.625774	121.023415	10250	3124	507.4	274	315.3	2048	10.4	335	5012	1590479590
31.642319	121.014618	10725	3269	518.6	280	322.2	1984	10.1	335	5012	1590479604
31.661852	121.004242	11225	3421	538.9	291	334.9	1984	10.1	335	5012	1590479619
31.682102	120.993423	11775	3589	553.7	299	344.1	2112	10.7	335	5012	1590479636
31.701508	120.983116	12300	3749	564.9	305	351	1792	9.1	335	5012	1590479651
31.74234	120.961304	13025	3970	607.5	328	377.5	2240	11.4	335	5012	1590479681
31.791275	120.935196	14525	4427	613	331	380.9	3328	16.9	335	5012	1590479717
31.833118	120.912834	15975	4869	601.9	325	374	3072	15.6	335	5012	1590479746
31.879028	120.888283	17450	5319	592.6	320	368.2	3072	15.6	335	5012	1590479781
31.927992	120.862053	19200	5852	572.3	309	355.6	2304	11.7	335	5012	1590479817
32.011368	120.817032	20475	6241	631.5	341	392.4	1344	6.8	335	5012	1590479879
32.101593	120.768639	22075	6728	663	358	412	1984	10.1	335	5012	1590479939
32.138363	120.746414	22850	6965	653.8	353	406.2	1408	7.2	325	5012	1590479964
32.150467	120.733864	23100	7041	646.3	349	401.6	1344	6.8	314	5012	1590479974
32.160599	120.71772	23350	7117	640.8	346	398.2	1472	7.5	306	5012	1590479985
32.166779	120.701622	23625	7201	629.7	340	391.3	1728	8.8	293	5012	1590479994
32.168991	120.692047	23800	7254	624.1	337	387.8	1920	9.8	285	5012	1590480000
32.171135	120.674217	24125	7353	616.7	333	383.2	2176	11.1	276	5012	1590480010
32.172684	120.656799	24450	7452	614.9	332	382.1	1920	9.8	276	5012	1590480020
32.182121	120.548721	26175	7978	626	338	389	2624	13.3	275	5012	1590480079
32.196274	120.378769	27600	8412	651.9	352	405.1	64	0.3	275	5012	1590480170
32.202789	120.299736	27600	8412	648.2	350	402.8	0	0	275	5012	1590480210
32.216618	120.131012	27600	8412	655.6	354	407.4	0	0	275	5012	1590480299
32.226578	120.006912	27625	8420	663	358	412	64	0.3	275	5012	1590480362
32.236313	119.885231	27625	8420	664.9	359	413.1	0	0	275	5012	1590480425
32.241802	119.760674	27600	8412	663	358	412	0	0	264	5012	1590480489
32.240433	119.74955	27600	8412	663	358	412	0	0	261	5012	1590480495
32.238495	119.737747	27600	8412	663	358	412	0	0	258	5012	1590480501
32.234726	119.720932	27600	8412	663	358	412	0	0	255	5012	1590480510
32.232056	119.710983	27600	8412	664.9	359	413.1	0	0	252	5012	1590480516
32.197437	119.581528	27600	8412	664.9	359	413.1	0	0	252	5012	1590480584
32.165363	119.462585	27600	8412	664.9	359	413.1	0	0	252	5012	1590480648
32.137024	119.355522	28650	8733	659.3	356	409.7	1984	10.1	252	5012	1590480706
32.105541	119.237198	30650	9342	640.8	346	398.2	1984	10.1	252	5012	1590480771
32.074905	119.122505	31875	9716	659.3	356	409.7	1280	6.5	252	5012	1590480834
32.043549	119.005554	33200	10119	664.9	359	413.1	1344	6.8	252	5012	1590480896
32.011505	118.886955	34075	10386	668.6	361	415.4	64	0.3	252	5012	1590480960
31.990952	118.768631	34100	10394	657.5	355	408.5	0	0	265	5012	1590481022
31.989258	118.645531	34100	10394	655.6	354	407.4	0	0	269	5012	1590481086
31.988184	118.52314	34100	10394	657.5	355	408.5	0	0	269	5012	1590481151
