latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
43.337784	-0.426771	4900	1494	0	0	0	1472	7.5	118	0	1590478530
43.336491	-0.42544	4900	1494	185.2	100	115.1	0	0	109	0	1590478540
43.334805	-0.418626	5200	1585	185.2	100	115.1	1536	7.8	109	0	1590478549
43.304634	-0.449924	5600	1707	429.7	232	267	0	0	72	7070	1590478636
43.307453	-0.386955	7100	2164	429.7	232	267	1152	5.9	72	7070	1590478657
43.309612	-0.36536	7500	2286	429.7	232	267	1088	5.5	72	7070	1590478670
43.309681	-0.354243	7800	2377	429.7	232	267	1408	7.2	72	7070	1590478724
43.317032	-0.32838	8800	2682	429.7	232	267	1088	5.5	72	7070	1590478773
43.328812	-0.331775	9800	2987	429.7	232	267	1216	6.2	72	7070	1590478785
43.33437	-0.344746	9900	3018	429.7	232	267	448	2.3	72	7070	1590478813
43.340748	-0.35523	9900	3018	429.7	232	267	0	0	72	7070	1590478825
43.344257	-0.366595	9900	3018	429.7	232	267	0	0	72	7070	1590478876
43.355679	-0.409126	7500	2286	429.7	232	267	-5440	-27.6	72	7070	1590478888
43.357983	-0.421572	7024	2141	429.7	232	267	-3776	-19.2	72	7070	1590478928
