latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
31.688461	65.474907	3625	1105	183.3	99	113.9	128	0.7	206	0	1590478532
31.685549	65.473129	3600	1097	185.2	100	115.1	-64	-0.3	206	0	1590478538
31.682941	65.471756	3600	1097	185.2	100	115.1	-64	-0.3	203	0	1590478544
31.657059	65.456757	3525	1074	196.3	106	122	-128	-0.7	208	1200	1590478606
31.654221	65.455681	3500	1067	190.8	103	118.5	-64	-0.3	198	1200	1590478612
31.615068	65.44841	3350	1021	188.9	102	117.4	0	0	197	1200	1590478694
31.60911	65.435501	3350	1021	159.3	86	99	320	1.6	231	1200	1590478725
31.606688	65.433418	3350	1021	155.6	84	96.7	192	1	227	1200	1590478732
31.605106	65.432922	3375	1029	133.3	72	82.9	256	1.3	193	1200	1590478738
31.603617	65.433746	3350	1021	109.3	59	67.9	-512	-2.6	123	1200	1590478744
31.603638	65.435974	3325	1013	92.6	50	57.5	0	0	82	1200	1590478751
31.603849	65.437538	3300	1006	87	47	54.1	-128	-0.7	80	1200	1590478757
31.604095	65.439041	3300	1006	74.1	40	46	-192	-1	82	1200	1590478763
31.604233	65.440277	3250	991	57.4	31	35.7	-448	-2.3	82	1200	1590478770
