latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
38.168655	-85.740021	0	0	46.3	25	28.8	0	0	300	0	1590478752
38.168896	-85.740211	0	0	44.4	24	27.6	0	0	329	0	1590478758
38.169365	-85.740402	0	0	50	27	31.1	0	0	343	0	1590478769
38.169891	-85.74057	0	0	55.6	30	34.5	0	0	345	0	1590478778
38.170311	-85.740707	0	0	27.8	15	17.3	0	0	345	6647	1590478784
38.170807	-85.740868	0	0	33.3	18	20.7	0	0	345	6647	1590478792
38.172009	-85.741272	0	0	44.4	24	27.6	0	0	345	6647	1590478803
38.172798	-85.741524	0	0	48.2	26	29.9	0	0	345	6647	1590478811
38.174286	-85.742027	0	0	51.9	28	32.2	0	0	345	6647	1590478822
38.175087	-85.742287	0	0	51.9	28	32.2	0	0	345	6647	1590478829
38.175999	-85.742592	0	0	50	27	31.1	0	0	345	6647	1590478835
38.176735	-85.742828	0	0	44.4	24	27.6	0	0	345	6647	1590478842
38.177315	-85.743019	0	0	33.3	18	20.7	0	0	345	6647	1590478848
38.177719	-85.74321	0	0	57.4	31	35.7	0	0	334	6647	1590478854
38.17791	-85.743607	0	0	55.6	30	34.5	0	0	295	6647	1590478860
38.178062	-85.744072	0	0	57.4	31	35.7	0	0	295	6647	1590478867
38.178608	-85.744408	0	0	27.8	15	17.3	0	0	345	6647	1590478877
38.179024	-85.744537	0	0	31.5	17	19.6	0	0	345	6647	1590478883
38.179585	-85.744728	0	0	33.3	18	20.7	0	0	345	6647	1590478889
38.180157	-85.744919	0	0	37	20	23	0	0	345	6647	1590478895
38.181133	-85.745232	0	0	40.7	22	25.3	0	0	345	6647	1590478905
38.181839	-85.745468	0	0	44.4	24	27.6	0	0	345	6647	1590478912
38.182503	-85.745689	0	0	44.4	24	27.6	0	0	345	6647	1590478918
38.183926	-85.746155	0	0	40.7	22	25.3	0	0	345	6647	1590478930
38.184486	-85.746338	0	0	27.8	15	17.3	0	0	345	6647	1590478938
38.184814	-85.746628	0	0	50	27	31.1	0	0	315	6647	1590478944
38.18486	-85.746964	0	0	50	27	31.1	0	0	278	6647	1590478950
38.184746	-85.747528	0	0	55.6	30	34.5	0	0	250	6647	1590478958
38.184147	-85.747856	0	0	29.6	16	18.4	0	0	177	6647	1590478968
38.183475	-85.74762	0	0	53.7	29	33.4	0	0	163	6647	1590478974
38.182217	-85.747208	0	0	103.7	56	64.4	0	0	165	6647	1590478980
38.180099	-85.746506	0	0	155.6	84	96.7	0	0	165	6647	1590478988
38.175209	-85.744888	425	130	231.5	125	143.8	0	0	165	6647	1590478998
38.168472	-85.742683	400	122	309.3	167	192.2	128	0.7	165	6647	1590479007
38.162872	-85.740829	550	168	329.7	178	204.8	2432	12.4	165	6647	1590479014
38.15873	-85.739456	800	244	327.8	177	203.7	3072	15.6	165	6647	1590479020
38.153004	-85.737602	1250	381	316.7	171	196.8	3968	20.2	165	6647	1590479026
38.147964	-85.735901	1650	503	309.3	167	192.2	3584	18.2	164	6647	1590479033
38.143509	-85.734383	1950	594	309.3	167	192.2	2624	13.3	164	6647	1590479039
38.138718	-85.73275	2175	663	318.5	172	197.9	1600	8.1	165	6647	1590479045
38.133919	-85.731155	2325	709	335.2	181	208.3	1088	5.5	164	6647	1590479052
38.128471	-85.729301	2425	739	350	189	217.5	1024	5.2	164	6647	1590479058
38.123291	-85.727432	2525	770	372.3	201	231.3	576	2.9	164	6647	1590479064
38.117672	-85.725426	2575	785	396.3	214	246.3	640	3.3	164	6647	1590479070
38.111198	-85.722977	2725	831	413	223	256.6	1728	8.8	163	6647	1590479076
