latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
-31.897825	116.967957	1250	381	494.5	267	307.3	-64	-0.3	41	0	1590478834
-31.892212	116.97435	1225	373	509.3	275	316.5	-704	-3.6	44	0	1590478840
-31.887165	116.980911	1200	366	520.4	281	323.4	-128	-0.7	50	0	1590478846
-31.882278	116.988922	1325	404	524.1	283	325.7	1984	10.1	55	0	1590478852
-31.877838	116.996262	1375	419	527.8	285	328	704	3.6	54	0	1590478858
-31.872803	117.004448	1400	427	538.9	291	334.9	448	2.3	54	0	1590478864
-31.865891	117.015938	1425	434	529.7	286	329.1	192	1	54	0	1590478873
-31.86133	117.023567	1450	442	527.8	285	328	-64	-0.3	55	2020	1590478880
-31.85257	117.038399	1500	457	514.9	278	319.9	-576	-2.9	54	2020	1590478891
-31.847969	117.046097	1500	457	514.9	278	319.9	64	0.3	54	2020	1590478897
-31.84322	117.054001	1525	465	514.9	278	319.9	-192	-1	54	2020	1590478905
-31.83433	117.068855	1500	457	513	277	318.8	-320	-1.6	54	2020	1590478916
-31.829773	117.076523	1450	442	511.2	276	317.6	128	0.7	55	2020	1590478922
-31.82547	117.083939	1400	427	513	277	318.8	-576	-2.9	56	2020	1590478929
-31.817001	117.098495	1400	427	514.9	278	319.9	448	2.3	55	2020	1590478941
-31.812469	117.106514	1425	434	509.3	275	316.5	-128	-0.7	56	2020	1590478947
-31.807709	117.115028	1450	442	509.3	275	316.5	-256	-1.3	57	2020	1590478954
-31.634995	117.204193	1525	465	398.2	215	247.4	320	1.6	164	2020	1590479419
-31.639938	117.208344	1525	465	376	203	233.6	64	0.3	135	2020	1590479425
-31.642115	117.217148	1500	457	344.5	186	214	-64	-0.3	88	2020	1590479433
-31.64016	117.22242	1475	450	322.2	174	200.2	-448	-2.3	57	2020	1590479439
-31.637087	117.226486	1475	450	303.7	164	188.7	64	0.3	47	2020	1590479446
-31.633942	117.230156	1500	457	275.9	149	171.5	128	0.7	44	2020	1590479452
-31.629684	117.235161	1500	457	263	142	163.4	128	0.7	46	2020	1590479460
-31.627264	117.238297	1500	457	255.6	138	158.8	-192	-1	47	2020	1590479466
-31.623308	117.243401	1500	457	255.6	138	158.8	-320	-1.6	48	2020	1590479475
-31.620758	117.246849	1500	457	251.9	136	156.5	-256	-1.3	49	2020	1590479482
-31.618378	117.250183	1500	457	246.3	133	153.1	-192	-1	49	2020	1590479488
-31.615906	117.253685	1500	457	238.9	129	148.5	-320	-1.6	50	2020	1590479494
-31.613579	117.256638	1450	442	231.5	125	143.8	-576	-2.9	43	2020	1590479500
-31.609016	117.258835	1325	404	225.9	122	140.4	-1088	-5.5	9	2020	1590479508
-31.606018	117.258369	1225	373	220.4	119	136.9	-1152	-5.9	343	2020	1590479514
-31.603104	117.25631	1150	351	218.5	118	135.8	-1088	-5.5	321	2020	1590479521
-31.600296	117.250992	1000	305	222.2	120	138.1	-832	-4.2	287	2020	1590479531
-31.60025	117.245773	950	290	225.9	122	140.4	-512	-2.6	257	2020	1590479539
-31.610878	117.231483	950	290	238.9	129	148.5	1408	7.2	225	2020	1590479567
-31.61516	117.226097	1200	366	288.9	156	179.5	2432	12.4	227	2020	1590479575
-31.618011	117.222183	1450	442	301.9	163	187.6	3136	15.9	229	2020	1590479582
-31.623447	117.213463	2100	640	300	162	186.4	3392	17.2	236	2020	1590479594
-31.627625	117.207428	2650	808	292.6	158	181.8	3584	18.2	222	2020	1590479603
-31.631882	117.205109	2925	892	294.5	159	183	1472	7.5	197	2020	1590479610
-31.636368	117.205383	2900	884	303.7	164	188.7	-576	-2.9	166	2020	1590479616
-31.641045	117.210991	2725	831	309.3	167	192.2	-1024	-5.2	112	2020	1590479624
-31.640625	117.216476	2575	785	307.4	166	191	-1600	-8.1	72	2020	1590479630
-31.638199	117.220566	2475	754	301.9	163	187.6	-768	-3.9	50	2020	1590479636
-31.635271	117.224777	2450	747	296.3	160	184.1	-192	-1	51	2020	1590479642
-31.632572	117.228844	2450	747	290.8	157	180.7	192	1	52	2020	1590479648
-31.630051	117.232903	2475	754	268.5	145	166.9	320	1.6	54	2020	1590479655
-31.626068	117.24044	2475	754	244.5	132	151.9	-256	-1.3	59	2020	1590479666
-31.623913	117.243843	2475	754	231.5	125	143.8	64	0.3	47	2020	1590479673
-31.619677	117.247742	2475	754	237.1	128	147.3	-384	-2	30	2020	1590479682
-31.616045	117.248344	2375	724	248.2	134	154.2	-1216	-6.2	1	2020	1590479688
-31.612694	117.247025	2225	678	229.6	124	142.7	-2112	-10.7	332	2020	1590479694
-31.610092	117.244156	1925	587	231.5	125	143.8	-2880	-14.6	307	2020	1590479700
-31.60869	117.240601	1700	518	233.4	126	145	-2240	-11.4	285	2020	1590479706
-31.60936	117.234566	1300	396	235.2	127	146.1	-2880	-14.6	247	2020	1590479714
-31.611343	117.231155	1025	312	242.6	131	150.8	-2944	-15	231	2020	1590479720
-31.613811	117.227692	850	259	261.1	141	162.3	-1024	-5.2	229	2020	1590479727
-31.61673	117.223961	1000	305	261.1	141	162.3	1792	9.1	227	2020	1590479734
-31.620934	117.218628	1350	411	281.5	152	174.9	2496	12.7	226	2020	1590479742
-31.62561	117.212921	1575	480	305.6	165	189.9	320	1.6	225	2020	1590479751
-31.628986	117.208847	1575	480	313	169	194.5	-64	-0.3	225	2020	1590479757
-31.632339	117.204948	1575	480	313	169	194.5	256	1.3	225	2020	1590479764
-31.636528	117.202644	1575	480	313	169	194.5	-192	-1	195	2020	1590479770
-31.64296	117.205055	1525	465	305.6	165	189.9	-64	-0.3	141	2020	1590479778
-31.644489	117.21006	1500	457	298.2	161	185.3	-256	-1.3	97	2020	1590479784
-31.64258	117.214615	1475	450	292.6	158	181.8	-320	-1.6	52	2020	1590479791
-31.639435	117.218307	1475	450	285.2	154	177.2	-320	-1.6	45	2020	1590479797
-31.635178	117.223473	1450	442	275.9	149	171.5	128	0.7	46	2020	1590479806
-31.630709	117.228844	1500	457	272.2	147	169.2	-64	-0.3	46	2020	1590479815
-31.626709	117.233765	1525	465	263	142	163.4	512	2.6	46	2020	1590479824
-31.624006	117.237251	1525	465	257.4	139	160	128	0.7	48	2020	1590479830
-31.621538	117.240707	1550	472	253.7	137	157.7	320	1.6	50	2020	1590479836
-31.61879	117.243996	1550	472	251.9	136	156.5	0	0	44	2020	1590479842
-31.614395	117.248627	1525	465	261.1	141	162.3	-256	-1.3	38	2020	1590479851
-31.609131	117.250244	1350	411	250	135	155.4	-1280	-6.5	11	2020	1590479860
-31.605927	117.248138	1225	373	246.3	133	153.1	-1152	-5.9	317	2020	1590479866
-31.604315	117.242081	1075	328	248.2	134	154.2	-1024	-5.2	268	2020	1590479875
-31.606979	117.23613	875	267	242.6	131	150.8	-1536	-7.8	229	2020	1590479884
-31.610273	117.231865	725	221	242.6	131	150.8	-576	-2.9	228	2020	1590479892
-31.612839	117.228539	800	244	268.5	145	166.9	1792	9.1	228	2020	1590479898
-31.616184	117.224014	1050	320	305.6	165	189.9	2624	13.3	229	2020	1590479905
-31.619385	117.219543	1275	389	326	176	202.5	2496	12.7	230	2020	1590479912
-31.625822	117.209396	1675	511	385.2	208	239.4	1536	7.8	234	2020	1590479924
-31.630569	117.205391	1925	587	400	216	248.6	3200	16.3	200	2020	1590479930
-31.636435	117.207588	2425	739	398.2	215	247.4	4096	20.8	143	2020	1590479936
-31.639135	117.214066	2500	762	437.1	236	271.6	-960	-4.9	96	2020	1590479942
-31.633455	117.223793	2200	671	453.7	245	281.9	-2048	-10.4	32	2020	1590479951
-31.626892	117.223633	2075	632	457.4	247	284.2	-1024	-5.2	347	2020	1590479957
-31.622145	117.218025	2025	617	476	257	295.8	-448	-2.3	306	2020	1590479963
-31.619583	117.204514	2100	640	505.6	273	314.2	384	2	272	2020	1590479973
-31.619659	117.191269	2225	678	501.9	271	311.9	960	4.9	269	2020	1590479981
-31.619293	117.160629	2250	686	490.8	265	305	-320	-1.6	270	2020	1590480003
-31.619257	117.14711	2225	678	494.5	267	307.3	320	1.6	269	2020	1590480011
