latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
48.728695	2.096365	900	274	0	0	0	0	0	284	0	1590479168
48.72823	2.092028	900	274	0	0	0	0	0	261	0	1590479174
48.726555	2.079885	900	274	0	0	0	0	0	255	0	1590479187
48.726089	2.073669	925	282	0	0	0	0	0	264	0	1590479197
48.721897	2.063406	900	274	0	0	0	0	0	234	0	1590479212
48.719894	2.056323	900	274	0	0	0	0	0	248	0	1590479226
48.715382	2.041072	900	274	0	0	0	0	0	233	0	1590479246
48.712124	2.028568	900	274	0	0	0	0	0	249	0	1590479258
48.70863	2.019244	900	274	0	0	0	0	0	244	0	1590479272
48.705696	2.010932	900	274	0	0	0	0	0	239	0	1590479284
48.700436	2.001752	900	274	0	0	0	0	0	227	0	1590479299
48.697689	1.996331	900	274	0	0	0	0	0	233	0	1590479307
48.693779	1.98961	900	274	0	0	0	0	0	226	0	1590479316
48.691498	1.987297	900	274	0	0	0	0	0	214	0	1590479322
48.689079	1.982165	900	274	0	0	0	0	0	241	0	1590479332
48.684052	1.975082	900	274	0	0	0	0	0	228	0	1590479343
48.677628	1.96742	1100	335	248.2	134	154.2	0	0	214	0	1590479358
48.676277	1.964601	800	244	248.2	134	154.2	0	0	235	0	1590479368
48.670177	1.956072	800	244	248.2	134	154.2	0	0	225	0	1590479382
48.662685	1.940532	875	267	248.2	134	154.2	0	0	234	0	1590479400
48.661194	1.93569	950	290	248.2	134	154.2	0	0	246	0	1590479406
48.660404	1.926583	1175	358	98.2	53	61	0	0	261	0	1590479422
48.6591	1.922391	1250	381	151.9	82	94.4	0	0	245	0	1590479428
48.657795	1.918415	1250	381	166.7	90	103.6	0	0	244	0	1590479434
48.657005	1.915813	1300	396	107.4	58	66.7	0	0	246	0	1590479440
48.654209	1.911693	1375	419	259.3	140	161.1	0	0	225	0	1590479447
48.650299	1.902225	1425	434	66.7	36	41.4	0	0	235	0	1590479464
48.648205	1.897165	1450	442	224.1	121	139.2	0	0	238	0	1590479470
