latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
31.190458	121.775322	3176	968	272.2	147	169.2	0	0	342	0	1590479400
31.201538	121.771088	3550	1082	275.9	149	171.5	0	0	342	2107	1590479417
31.24242	121.758011	4573	1394	326	176	202.5	0	0	3	2107	1590479462
31.26965	121.772408	5551	1692	353.7	191	219.8	0	0	33	2107	1590479487
31.300699	121.796143	7126	2172	381.5	206	237.1	0	0	33	2107	1590479518
31.360291	121.840912	9875	3010	561.2	303	348.7	3648	18.5	37	2107	1590479570
31.37146	121.854362	10600	3231	566.7	306	352.1	3520	17.9	51	2107	1590479582
31.376814	121.863426	10925	3330	572.3	309	355.6	3072	15.6	55	2107	1590479588
31.381609	121.87233	11150	3399	577.8	312	359	2560	13	57	2107	1590479594
31.385468	121.879684	11300	3444	592.6	320	368.2	1664	8.5	58	2107	1590479600
31.392975	121.894279	11525	3513	609.3	329	378.6	1536	7.8	59	2107	1590479609
31.402557	121.913086	11900	3627	629.7	340	391.3	2240	11.4	59	2107	1590479620
31.412338	121.932411	12325	3757	646.3	349	401.6	2048	10.4	59	2107	1590479633
31.439985	121.986801	13575	4138	672.3	363	417.7	3072	15.6	59	2107	1590479666
31.467264	122.041298	14900	4542	688.9	372	428.1	2304	11.7	60	2107	1590479699
31.497057	122.103424	16225	4945	707.5	382	439.6	2176	11.1	60	2107	1590479732
31.525543	122.162529	17350	5288	726	392	451.1	2432	12.4	60	2107	1590479765
31.556179	122.225975	18375	5601	751.9	406	467.2	1984	10.1	60	2107	1590479798
31.594027	122.297165	18675	5692	800.1	432	497.1	0	0	49	2107	1590479834
31.606155	122.310791	18700	5700	798.2	431	496	0	0	42	2107	1590479844
31.616135	122.319244	18700	5700	792.7	428	492.5	0	0	35	2107	1590479850
31.625729	122.325623	18700	5700	787.1	425	489.1	0	0	28	2107	1590479856
31.635458	122.330513	18675	5692	777.8	420	483.3	0	0	20	2107	1590479862
31.653717	122.336319	18675	5692	768.6	415	477.6	0	0	10	2107	1590479870
31.665157	122.337814	18675	5692	761.2	411	473	0	0	4	2107	1590479877
31.677633	122.337814	18700	5700	753.8	407	468.4	0	0	358	2107	1590479883
31.692764	122.335457	18700	5700	742.7	401	461.5	0	0	349	2107	1590479891
31.703476	122.332115	18700	5700	733.4	396	455.7	0	0	342	2107	1590479897
31.71991	122.324844	18700	5700	727.8	393	452.3	0	0	338	2107	1590479906
31.733093	122.318604	18700	5700	727.8	393	452.3	0	0	337	2107	1590479915
31.743925	122.313484	18700	5700	727.8	393	452.3	0	0	337	2107	1590479922
31.847534	122.264481	19550	5959	735.2	397	456.9	2240	11.4	338	2107	1590479982
31.966232	122.211311	21275	6485	768.6	415	477.6	1088	5.5	338	2107	1590480049
32.083466	122.158463	22950	6995	787.1	425	489.1	2944	15	339	2107	1590480114
32.19397	122.108368	24625	7506	750.1	405	466.1	192	1	338	2107	1590480176
32.306416	122.057037	24575	7490	757.5	409	470.7	0	0	338	2107	1590480239
32.412186	122.008774	24575	7490	759.3	410	471.8	-64	-0.3	338	2107	1590480300
32.521637	121.958733	24600	7498	757.5	409	470.7	0	0	338	2107	1590480362
32.636471	121.905975	24600	7498	761.2	411	473	0	0	338	2107	1590480426
32.747406	121.854965	24600	7498	753.8	407	468.4	0	0	338	2107	1590480489
32.859035	121.803406	24600	7498	753.8	407	468.4	-64	-0.3	338	2107	1590480552
32.969414	121.752335	24600	7498	746.4	403	463.8	0	0	338	2107	1590480615
33.099609	121.691879	24600	7498	746.4	403	463.8	-64	-0.3	338	2107	1590480689
33.114563	121.684906	24600	7498	748.2	404	464.9	0	0	338	2107	1590480697
33.267906	121.613327	24600	7498	744.5	402	462.6	-64	-0.3	338	2107	1590480787
33.397182	121.546341	24600	7498	742.7	401	461.5	0	0	336	2107	1590480862
33.502533	121.492035	24600	7498	740.8	400	460.3	-64	-0.3	336	2107	1590480924
33.610062	121.436478	24575	7490	744.5	402	462.6	-64	-0.3	336	2107	1590480987
33.719929	121.381416	24600	7498	746.4	403	463.8	0	0	338	2107	1590481050
33.822922	121.333176	24600	7498	742.7	401	461.5	0	0	338	2107	1590481111
33.838169	121.325996	24573	7490	755.6	408	469.5	0	0	338	2107	1590481120
33.87035	121.310699	24600	7498	750.1	405	466.1	0	0	338	2107	1590481140
33.909679	121.292099	24600	7498	753.8	407	468.4	0	0	339	2107	1590481162
33.956688	121.269775	24600	7498	748.2	404	464.9	0	0	338	2107	1590481190
34.011578	121.243675	24600	7498	766.7	414	476.4	0	0	338	2107	1590481217
34.074188	121.21376	24600	7498	748.2	404	464.9	0	0	338	2107	1590481256
34.090302	121.205986	24573	7490	744.5	402	462.6	0	0	338	2107	1590481266
34.168179	121.168839	24573	7490	750.1	405	466.1	0	0	338	2107	1590481310
34.201771	121.152786	24600	7498	748.2	404	464.9	0	0	338	2107	1590481330
34.210968	121.148422	24600	7498	742.7	401	461.5	0	0	338	2107	1590481336
34.400528	121.057449	24600	7498	731.5	395	454.6	0	0	338	2107	1590481450
34.417137	121.049477	24600	7498	742.7	401	461.5	0	0	338	2107	1590481458
34.69902	120.913406	24600	7498	738.9	399	459.2	0	0	338	2107	1590481622
34.871769	120.829468	24600	7498	720.4	389	447.7	0	0	338	2107	1590481726
34.965569	120.783806	24600	7498	722.3	390	448.8	0	0	338	2107	1590481782
34.999969	120.767036	24551	7483	722.3	390	448.8	0	0	338	2107	1590481802
35.109737	120.713837	21900	6675	716.7	387	445.4	0	0	338	0	1590481868
35.160137	120.689461	20850	6355	724.1	391	450	0	0	338	0	1590481898
35.190239	120.674911	20676	6302	716.7	387	445.4	0	0	338	0	1590481918
35.20583	120.667419	20676	6302	713	385	443.1	0	0	338	0	1590481928
35.248569	120.646706	20699	6309	688.9	372	428.1	0	0	338	0	1590481959
35.257221	120.642509	20676	6302	668.6	361	415.4	0	0	338	0	1590481968
35.30864	120.610817	19324	5890	609.3	329	378.6	0	0	323	0	1590482010
35.31789	120.60202	18999	5791	605.6	327	376.3	0	0	322	0	1590482018
35.357399	120.562675	17927	5464	572.3	309	355.6	0	0	320	0	1590482058
35.380421	120.53862	16975	5174	568.6	307	353.3	0	0	319	0	1590482080
35.43021	120.484077	15774	4808	542.6	293	337.2	0	0	317	0	1590482130
35.440289	120.472412	15499	4724	544.5	294	338.3	0	0	316	0	1590482140
35.487099	120.416466	14124	4305	537.1	290	333.7	0	0	316	0	1590482190
35.497097	120.404602	13825	4214	538.9	291	334.9	0	0	316	0	1590482200
35.505657	120.394531	13576	4138	529.7	286	329.1	0	0	316	0	1590482210
35.572395	120.353104	12100	3688	518.6	280	322.2	0	0	349	0	1590482270
35.861191	120.280075	7350	2240	400	216	248.6	-1216	-6.2	348	2107	1590482512
35.871552	120.277519	7150	2179	398.2	215	247.4	-1088	-5.5	348	2107	1590482524
35.887848	120.273285	6925	2111	387.1	209	240.5	-896	-4.6	347	2107	1590482541
35.917511	120.280548	6225	1897	431.5	233	268.1	-1088	-5.5	36	2107	1590482571
35.920807	120.284897	6150	1875	438.9	237	272.7	-896	-4.6	47	2107	1590482577
35.925014	120.29351	6075	1852	444.5	240	276.2	-640	-3.3	63	2107	1590482584
35.927399	120.304642	6050	1844	446.3	241	277.3	-256	-1.3	82	2107	1590482591
35.904762	120.361656	6025	1836	466.7	252	290	0	0	128	2107	1590482788
35.897686	120.369659	6000	1829	466.7	252	290	-128	-0.7	142	2107	1590482797
35.890137	120.37439	6000	1829	453.7	245	281.9	0	0	160	2107	1590482804
35.883072	120.375969	6025	1836	448.2	242	278.5	64	0.3	169	2107	1590482810
35.864136	120.367416	6025	1836	418.6	226	260.1	0	0	216	2107	1590482830
35.859467	120.360718	6025	1836	403.7	218	250.9	-64	-0.3	234	2107	1590482836
35.856262	120.352135	6025	1836	390.8	211	242.8	0	0	252	2107	1590482845
35.927994	120.367264	4875	1486	407.4	220	253.2	-576	-2.9	47	2107	1590482954
35.935955	120.378014	4750	1448	398.2	215	247.4	-512	-2.6	47	2107	1590482966
35.943401	120.388069	4650	1417	383.4	207	238.2	-576	-2.9	47	2107	1590482977
35.948639	120.395164	4575	1394	376	203	233.6	-512	-2.6	47	2107	1590482986
35.954575	120.403145	4500	1372	372.3	201	231.3	-576	-2.9	47	2107	1590482994
35.962208	120.41349	4375	1334	372.3	201	231.3	-576	-2.9	47	2107	1590483007
35.973007	120.425468	4225	1288	342.6	185	212.9	-576	-2.9	31	2107	1590483023
35.981247	120.429558	4125	1257	342.6	185	212.9	-640	-3.3	18	2107	1590483034
35.989441	120.432655	4025	1227	340.8	184	211.7	-640	-3.3	16	2107	1590483043
36.077316	120.434357	3150	960	314.8	170	195.6	64	0.3	346	2107	1590483152
36.08345	120.432472	3150	960	320.4	173	199.1	-256	-1.3	345	2107	1590483160
36.091599	120.429901	3125	953	322.2	174	200.2	-192	-1	345	2107	1590483169
36.099289	120.42749	3050	930	324.1	175	201.4	-320	-1.6	345	2107	1590483180
36.107357	120.424881	2925	892	326	176	202.5	-768	-3.9	345	2107	1590483190
36.114948	120.422546	2800	853	327.8	177	203.7	-1088	-5.5	345	2107	1590483198
36.119568	120.421028	2700	823	326	176	202.5	-1024	-5.2	345	2107	1590483206
36.127796	120.418396	2550	777	313	169	194.5	-896	-4.6	345	2107	1590483216
36.13829	120.415131	2325	709	298.2	161	185.3	-896	-4.6	346	2107	1590483230
36.143463	120.413528	2225	678	292.6	158	181.8	-576	-2.9	346	2107	1590483238
36.150146	120.411415	2075	632	270.4	146	168	-832	-4.2	344	2107	1590483247
36.156876	120.40918	1975	602	251.9	136	156.5	-704	-3.6	345	2107	1590483258
